androidx/appcompat: {androidx/appcompat, b3491d0b24a99e5c15df0d8add280816}
androidx/dynamicanimation/animation: {androidx/dynamicanimation/animation, 87f3f758f5dd9534412cddbf135a7ea3}
androidx/concurrent/futures: {androidx/concurrent/futures, 259b434ec438e22f1515174176b93eb9}
kotlinx/coroutines: {kotlinx/coroutines, 9888af890fe4c3cc105fd2430468b3c3}
org/chromium/support_lib_boundary: {org/chromium/support_lib_boundary, ddffbec37b4aab2e413c88f485b50cc3}
androidx/webkit: {androidx/webkit, b94b3c00b0f4cbd224d14b89376074fe}
kotlin/sequences: {kotlin/sequences, 7f86faae8096083c0cd81b523f6cbb69}
androidx/customview/view: {androidx/customview/view, bc80fa5f32cfc791caab66f6a9424abb}
android/app: {android/app, de1c2b92945417ecd988923d07abfa41}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, acd1d2d6846b666254c5093a0bd04ea3}
com/google/common: {com/google/common, acf7ef943fdeb3cbfed8dd0d8f584731}
org/equeim/tremotesf: {org/equeim/tremotesf, 29fec4c56675c15cf221d129a2583079}
kotlin/time: {kotlin/time, 21b8a9de7f85928217d3365552fa5c90}
_COROUTINE: {_COROUTINE, 3089fe2b1cf18a2e20632dafb8c4c6d4}
androidx/work: {androidx/work, 738567c342e767f92cd7d7707695b408}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, 63b40392e533cca99e254497ff708f7c}
androidx/viewpager2: {androidx/viewpager2, bc99c6204f0083cb2a2c7c18b7f0aebd}
androidx/savedstate: {androidx/savedstate, e9e1dc53cd754738c5883265ef21313e}
okhttp3/internal: {okhttp3/internal, 9a52881bfa485190852dcd1d787ce561}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 81329677d4cabb6140a57f27fd02792d}
androidx/sqlite/db: {androidx/sqlite/db, 731044c151c8e8013c9e999af165c81e}
androidx/constraintlayout/solver: {androidx/constraintlayout/solver, c6a79e571825efc52bc0b84d8f05546b}
kotlin/ranges: {kotlin/ranges, 8d07724fa04230ccb4a34293b29ad41c}
androidx/tracing: {androidx/tracing, 942de4e2dbc4dbb185247ec83fc14a6b}
com/l4digital/fastscroll: {com/l4digital/fastscroll, 6fec801c46b40edbc818e84c3c280025}
okio/internal: {okio/internal, db3ad2dd513c1f98afac2443ea070f26}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, 8044173c237f2fda5ae075c4f9cc19c7}
kotlin/internal: {kotlin/internal, bed891cf3dc47b328de2b22f74935929}
androidx/gridlayout: {androidx/gridlayout, 85a5a72b47f49a49ec88ade6eb4806a0}
okio: {okio, fbffc8ee4c92aa741690932dd6b82cbe}
androidx/recyclerview: {androidx/recyclerview, 7b46b3934bea1ad90b6f5af1f2c482e9}
kotlin/comparisons: {kotlin/comparisons, b58ac6c1eaa9f19fee922b61903e5e89}
androidx/customview/poolingcontainer: {androidx/customview/poolingcontainer, dfeb8c23a20731e9fbcfbf28b235fe78}
