A: {A, 46695fb7d54c251865e035c058d4811a}
org/osmdroid/views: {[org/osmdroid/util, org/osmdroid/views, ], 323a546246a3310022ac1b36e4a29cda}
W0: {W0, 24a64b38cb2743363180039ba957febd}
q: {q, 30a25f6ae7e0a09a728874037ec70a4a}
net/jami/model: {net/jami/model, f9c1fcfaa83ac7dd9e0769aec4cb0b61}
b4: {b4, 5261881cb6f3bdcacc1a544575546ebf}
o1: {o1, 35133caf6166c27719a9c025a6c3f857}
K1: {K1, 9df872c12f2b4da92ed5d819540504d2}
org/jsoup: {org/jsoup, 065124257fc28c4b516d0ce2e3473db1}
m4: {m4, acf7ef943fdeb3cbfed8dd0d8f584731}
Y3: {Y3, 89d6308a33283ce173773b22d4cfad05}
t1: {t1, b2f1c25b1d88580a6b35c55a8c2a2b6a}
P1: {P1, 91d7e63782662e89ca00d8ec316ae394}
A1: {A1, f5044fec6929846d9abc19f38f3c69b7}
x: {x, 6c52c7a5707f27ffa9a3f2e303309326}
r0: {r0, d7ef4ee9092d00525233b9e0b4e192d8}
X3: {X3, b1280b9f63951d43f87f47ef2ec715de}
p2: {p2, a2f4fe032c2240a55523b07c8bdccb59}
J2: {J2, e5d321beddbc0f5a3bbc5d850f282d42}
V3: {V3, b3e2330d2483254c371145172b69685a}
j: {j, 2a93d3696e016b8eb1f95e1273de2a72}
q4: {q4, 04823f92286afe75f12053fcea592414}
X: {X, f56a59f06dcb636e56d9dc3a5dbb0e5f}
R0: {R0, 3e2af6b8f0dda17d222e41ee96dc06a1}
S3: {S3, 37b5c3ef53d9748b3368ca5e9980f79e}
X4: {X4, c832ff832fb2a72dfed26055a1306008}
cx/ring/plugins: {cx/ring/plugins, afb882c05d2d121b8a29487f92f90fba}
G4: {G4, 0050121c43715da52ab812c639ccdef1}
f4: {f4, 063e8024fa3f686a38254c4d474c2440}
T4: {T4, 3adc63991529c6b17fd51671315c23e5}
U2: {U2, 56ce137fd8984bfb0684d9bc19459740}
H3: {H3, 1a1b93a958b8bea75b7651ab256d706c}
ezvcard/property: {ezvcard/property, 9409fa23787e6ff8aacbebc2f92a2b58}
F4: {F4, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/activity/result: {androidx/activity/result, 00afe7a18ffb4507da6cb5dda88bfa75}
androidx/startup: {androidx/startup, c2a250ecf1baeb4a05eaf39b91101b2f}
Q: {Q, 6ff79b4c67d705d2f43efaf9870fa495}
w3: {w3, 12d42a55a55004870715e1a72aa599ee}
com/journeyapps/barcodescanner: {com/journeyapps/barcodescanner, 4ff5ba22e394ca92aea20bc68e612d40}
I3: {I3, 41a6e28f9104f535eec6f2934df9adb3}
d1: {d1, 5827be57b2ae32515db390dbee7c71c6}
B4: {B4, e647c866ee1a7ce54680e37eaf90afec}
k0: {k0, 820a0ff73a32de0f65fec0de5299c758}
x0: {x0, 4b4ab487174cb2b0072e3b969febc8fa}
m3: {m3, 05879b8f759f743dfd12a0881cce8295}
i2: {i2, e9fec572f1c177a20cc394907cb144d1}
D1: {D1, 37106a4dd1b7eb7be70053bb336d6abb}
C: {C, f6feae6b9191184a46e3f55ccacc01ed}
a4: {a4, 54740d2ece0124f4606b976f5e099248}
android/graphics: {android/graphics, e079f4fb8febf5b63effbb6583d13a90}
J: {J, 50b53346767ec007db7804232c7d67c3}
d: {d, 40a2b63af48f5272f96f522cb66ade1a}
n2: {n2, 71ebca464d5ab2319279dfc1c4d80f32}
O2: {O2, 5a8ae9d0dffc36319a28ea0513ad20e8}
I1: {I1, 6a9ae138aae81158dda427aa5c37d376}
v0: {v0, 6799cd845f3d615174f9bd8105e2bd13}
H4: {H4, 7c7e00b5d43dccba61d592fbbde91a77}
g3: {g3, 2ed3f4e1abf841a32e769ed227110659}
M4: {M4, d53b4932bad337e3dc9818a2fc5e263d}
r4: {r4, a1f27325119e913249b4351058a4f8b4}
D: {D, a4f345412e5f45fca98c3d6232c181db}
N2: {N2, a997610fb32d525e094927f12be742e2}
h5: {h5, 5924ef12aff91ec77f8e132d5447e139}
androidx/sharetarget: {androidx/sharetarget, 65128e83f02ac8a9a0bc9e0e92f3da1a}
c2: {c2, 0dedce6d4aee7419070bda922cda7360}
Q1: {Q1, b6641bfa7768d96d772a3d190e664997}
l3: {l3, 0f7358f2a527699580e55e4fac31911e}
u1: {u1, ba43a2a113668bc457f51c17d0b56584}
ezvcard/io: {ezvcard/io, e17bd3b89cc33a99082cf743941b563d}
cx/ring/history: {cx/ring/history, d670a05d9b16b7aebc101fdee9650ebb}
androidx/leanback/widget: {androidx/leanback/widget, 3a00b7672462afb1baaaecaea239444e}
android/hardware/biometrics: {android/hardware/biometrics, c4e9eeb25e17c46354752ac4239a9772}
K4: {K4, 9e8d9ac3c23740bdea11cf9f60295efb}
b1: {b1, dbcf1999cf4cdd6970136ec9e633ef6f}
q0: {q0, 86121eb615de05c8190a7e282284e173}
f0: {f0, b0a573b30bbd4219ca1a4f99c7804cfd}
androidx/profileinstaller: {androidx/profileinstaller, 94a91ecdaf255067e16d23e491cde89e}
cx/ring/utils: {cx/ring/utils, a8cad08f5506230d2affd87ee32dafc6}
w0: {w0, ecec8100d4b7bf98d4520b307b9244a3}
cx/ring/views: {cx/ring/views, 9c41c44738834f68d9ad6404af8df808}
com/github/mangstadt: {com/github/mangstadt, ffe9f0808da9e2c7721025da24e3c4f2}
X0: {X0, d957fdc62baef7264d0d51a42937d354}
W4: {W4, 39b1c875dbbeeb4c08ce934a31d63a1f}
M3: {M3, 55cfb6dcc1f092922239124c036feded}
androidx/appcompat/app: {androidx/appcompat/app, 69344b5ca6599a5cfca4c84ab7f8de54}
A4: {A4, 6afc59f0780c072eae9c9dbc874181c1}
androidx/core/app: {androidx/core/app, 69b606dd194133b1eacbb7f36e376f5a}
V4: {V4, 3985c908f87a76b4fa6ebcdc82fca7f1}
z3: {z3, 4911bf03c68bd339a4d6b7617aff924f}
G3: {G3, fb9279c12abfd74280298c44ca3058da}
R4: {R4, fca2ed8c8bc99a3e36ae99f5ae657b75}
d5: {d5, 2c4a768a573fa6ab111efedc483d705e}
e1: {e1, b702788e8b7fc0fb0f31f4618a96067e}
C2: {C2, 86f5eabc88acc8e8a4758ad29331088e}
y2: {y2, 317a59e6a6ac4454be9840ea13d12c10}
cx/ring/services: {cx/ring/services, aeb68322125e6355fd2a223a74eb8221}
cx/ring/fragments: {cx/ring/fragments, 06b213fb16d07bc6ae429376e1669db0}
a0: {a0, 5fdeaf22748417c69c6f105b21caaf02}
E1: {E1, 72131686d968ed9a4ac22eb6bdd33cc8}
B1: {B1, f382e087d497d7c21f2474a6154267fb}
H0: {H0, 7d361d9d39751fb9148c93f8d3f45273}
V: {V, fcdcc18651055c8b2dc3c44321b9c3bb}
androidx/window/layout: {androidx/window/layout, dfae7f4d3d91227c717f312956520769}
cx/ring/account: {cx/ring/account, 2750fd8fbbacb973e270834dbe4e0f5e}
s2: {s2, a72d82db5b5d0885fc24789de1e75f97}
l0: {l0, ccddde0d1892ce6d4e55340eaee5490c}
h1: {h1, 3bbf5be102ce5a6dd81f9d1dcc51a6fd}
androidx/emoji2/text: {androidx/emoji2/text, 6e64625fe95c7fceba2e28419a766d63}
androidx/window/area: {androidx/window/area, 98e556f0b331745a1b45c92b4bba197d}
i5: {i5, 3a8f0446607185de01ecca7d31140f51}
O: {O, 8e240fc5288a7676c51bddc9dfd6b4ba}
Z3: {Z3, a6401f69401d23e74903ea0e8c0c7728}
androidx/recyclerview/widget: {androidx/recyclerview/widget, 12eb509f7d6b1a9fd1615c23231b8266}
O1: {O1, d60266cf9973eb5c041df25d30c442bb}
androidx/core/widget: {androidx/core/widget, f0368e6797c2a36d0a53ad88ebf4cf1a}
androidx/preference: {androidx/preference, d0333dfee2d3fe701c8622a8fe982014}
W3: {W3, 15357c7b47bee96ccc66f6a08f1c20c9}
o0: {o0, dee3e843225aa12d0d7dd9db9d8f6a53}
K0: {K0, a76b35512fa4d4cc141434b85fb0bec9}
b5: {b5, 2df10275685f49b16a8ca925920abc7f}
P2: {P2, 36447e322a7a75f7df5ac2253ec84a52}
Y2: {Y2, a52111046e7d6a86d25bcbe28a826269}
Q4: {Q4, 8994b50ce0195623c765b82d17c75578}
t2: {t2, 4cde6dd95cfddb6922988100189e3967}
r1: {r1, 9786c5bc4c04113c4510bcba404d39fe}
com/j256/ormlite: {com/j256/ormlite, 92a4038f6fe0b6d56f37db38a4d883aa}
A0: {A0, 7c6508338bef442d7786f6262fa0e358}
J3: {J3, 2d0e1b21b9a048c6bf968d90abca5a14}
k: {k, e7fb96d6f2f598df5119d4789506ab5b}
p3: {p3, 6b9f664f529703730599196dbf7dc316}
e5: {e5, 50a6d045e1d7ba8bf3bcd929987d0441}
b2: {b2, 84db5104c6b09a14e6d79c6190da0a25}
q3: {q3, 1deef17ab84b40952cc93b3e36791d57}
R1: {R1, b0cd19341134812f1ae9c09c888faede}
V0: {V0, 0a3fb12cfa7a6e2f5b6dfdee181269d0}
Y: {Y, da91705f1d0d695d1ac15d48a22da1b2}
androidx/viewpager2/widget: {androidx/viewpager2/widget, 0db870098b1e239a26647cc20becd73c}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 269b8b1fdad506bfca2e720bb7bb4c8f}
S2: {S2, f5bb567af6552254c7ffb4d29e25c7d4}
f5: {f5, 6ce3f8a06e3185bdc0e031e7a7231438}
L0: {L0, 2b5a2ec1bf0784e7e6ff33d976d956ec}
io/noties/markwon: {io/noties/markwon, 0bbb1f11848151cef261c11b792f0010}
w2: {w2, d15452c5dbfbb6fe2de160d79f216b88}
U1: {U1, 620dd063bae76af798f894d26b813c55}
R: {R, 2402d8ed8260f6eb8321189c0c140706}
C1: {C1, 841b889527d254e4235a20f1c6795401}
k3: {k3, c5e3cc9adcacd87de251c1225606f57c}
p4: {p4, 1cb0be6556a0809c308818f824d79bdf}
l: {l, bd9801b2ff4a3d6a7c9a5f22fd9a8331}
androidx/emoji2/emojipicker: {androidx/emoji2/emojipicker, 40e91fda4030c721ab864d15f2313883}
d2: {d2, bfdbe5f2021576848de3580bef13d6be}
x1: {x1, 77229646714a2cce68d459dabaab5e92}
androidx/viewpager/widget: {androidx/viewpager/widget, 6112670cf8ea42cce8f1ce87368b1008}
m2: {m2, 7c83298bc7c89fad2c16a70a94b979b1}
L: {L, dfd4037a3f78bf37b7dc8ddf2f886497}
android/app: {android/app, c4e9eeb25e17c46354752ac4239a9772}
D2: {D2, 1b7c482e3022dd5f5105edc69801c59c}
a3: {a3, 12fbd09bebe6832c0aafb91fa4aa1391}
K: {K, bc11eb46704dadf94ec8d5158223599e}
androidx/fragment/app: {androidx/fragment/app, d1bb2b1b839807809a50ef52344c1e7f}
j0: {j0, d96b15a34d1cf05776a545c83207037a}
B2: {B2, 86923002f0e6ad1e90eb9835113449de}
n3: {n3, acf7ef943fdeb3cbfed8dd0d8f584731}
e: {e, ee558ec68959ac9599fad474724c0593}
cx/ring/client: {cx/ring/client, 4ccdac487ff396838eec72a09d06ab13}
v1: {v1, 226ee9865bb628fa87fd345dd8ca4eef}
N3: {N3, 878265cd1145b620121435257e274850}
androidx/window/extensions: {androidx/window/extensions, e381f6991873210ea6cc1b6be99b5314}
E: {E, bd80811ce08a9546571fc53e64943879}
o4: {o4, 76dfd82e2b199a60ab1545a546f63382}
g2: {g2, 70bdff1082ac23621848d9bcacf621e8}
u0: {u0, 2a5a7d0b6fdbdae7ddbb3053f1cbf1a4}
cx/ring/application: {cx/ring/application, 3da1a4f7cc51b6f68caa78dd30e2bc38}
Q0: {Q0, 89705dec7d79f40c01e8cc6b6cf3cbdf}
i1: {i1, 6480c444a45789b14520827761d768d3}
l4: {l4, 3d46e423f740359efea5f096e96d9420}
s1: {s1, ebb5ae29fb42e12260ac7068b67a3a9f}
c4: {c4, 30a059febd79ab1e270d8f5540972365}
f1: {f1, 6696675c75e9e0e54f2195a8119b36d4}
L4: {L4, 4505b4e117110c98fee182d249ed47ff}
com/bumptech/glide: {com/bumptech/glide, fe6c30d654187dde3d4d3df5551f9756}
w: {w, 9d885781dcd824ba158e74513cc87095}
S1: {S1, 190778c1ecec52e0f5fcacc320b28832}
X1: {X1, 4a4134b3360315c38f58444468d90651}
ezvcard: {ezvcard, df153a3d45e6842d2f17040a684899b7}
M2: {M2, 60a02f29722ad28f2e45121a17250af5}
r2: {r2, 7cf88ea058821581ed8c9ef2b1b16a46}
A3: {A3, b109b6ef7185428d5f0ddce629fa0375}
h: {h, 901e95e256d01728643e19a5cb4a2890}
p0: {p0, 1d64e8701df3192dd7a2ebd9d321a570}
z0: {z0, a9bbcd635606133b1d91da80738af968}
R2: {R2, acf171049d9c552dd5922b89062ab481}
androidx/coordinatorlayout/widget: {androidx/coordinatorlayout/widget, d6f371a125742344ab29876f8556b335}
e0: {e0, 49f3941164143562a5924b7772e66ed5}
ezvcard/parameter: {ezvcard/parameter, f059beeac6a0adbb790a5f6b836bac9f}
G2: {G2, e3c0a425ec2c47b67599a8ff5554c565}
T2: {T2, 102b29a4a5363d823ab2c5ae99d2eb97}
androidx/leanback/preference: {androidx/leanback/preference, a37fe20268f71f52dc56fbbb5c79ab4e}
o: {o, e063b531178817569d7fdad12e4ad1de}
E0: {E0, d7c89b0847f426151e0337ff98079ff8}
n4: {n4, ce0a70ed6c09c36fd4f93312dd6bca1b}
y1: {y1, c4c9c570bd3e10346d001aa91116cc80}
a: {a, ce39ca1878fb251fa806493a26d4f5fb}
C4: {C4, 9e08e68780484667a0ab07dd9ccfd40b}
F1: {F1, d1801ed85103f5a7f94bae731b75ca01}
j4: {j4, 32610b7335303cd4c0496c16ac853d0d}
w1: {w1, d432ca469779fab8d837cb4822ea8ef4}
H1: {H1, 1d287c1e2524ea674fe8ffc59529a5a5}
W: {W, 1b056ed6fd3812cfcb83b21daa1dc0e1}
