a6: {a6, 1427320f2884d62b48b6a884f9996d33}
g3: {g3, 2aaa90d7a99dcff02bb11938aa144ecb}
androidx/appcompat: {androidx/appcompat, 7fa4323b51b26de8b37224de38ffb880}
de/hdodenhof/circleimageview: {de/hdodenhof/circleimageview, ae55a3d5e71d15a2b0f4b84e5fc5ee48}
r4: {r4, 62dc7c05a5ae6dd87778612f7aa88fad}
b0: {b0, c49da3b634abe38f22bda950b6fa5004}
a7: {a7, ac106666ba5f8ef26acb81d5ab6b4457}
y5: {y5, 07a101ef26c37c67b149f9f24ad37340}
m2: {m2, 9d55e41e7c56e260d3606bbaee7c4eee}
s4: {s4, ea6e3fcd68fbd166130e6260d3c8c748}
b8: {b8, d8663801e582e546abae20ddb60a93d4}
o5: {o5, ca870b169fa2ef4bfb942aaee5e685e4}
h5: {h5, 0a2568e672e70fa1647d8a09e189dcde}
androidx/dynamicanimation: {androidx/dynamicanimation, f375e34e522885c7bd7f5539403a98f3}
i5: {i5, aef2bec666a15923a3678fa1ba0bdbce}
c2: {c2, 438f65273193474975c645b63b403f91}
a3: {a3, 8dd175675a23269098907311815de3a2}
z4: {z4, 45034e85aa7f19160ad11f682cf7a301}
t5: {t5, 3c0cefb59439b5c66f7af9a53108f050}
j0: {j0, 0ffa02b2dd722487944db0743158cb24}
l3: {l3, 103a3fa58ba766decbf347da7d681749}
n3: {n3, 7008f59bc010f02e0bf87c8daba12461}
u1: {u1, db5e4dc1ee148253976df56505ae1538}
e: {e, 2c0bd1a82fcb985da575752149b05cd7}
p5: {p5, 9cbf4dfc73efef15faa2a3af33d9cd8f}
d3: {d3, ea355528d2b1bf2a86789b74d71cb540}
z6: {z6, 8e9d0befb7caf6a2cb592c7a742f9e22}
f3: {f3, 962958da09edad4c40cffe2ae9caa2e0}
androidx/concurrent/futures: {androidx/concurrent/futures, 54ce20e064008e0a684a387b7956f033}
k2: {k2, 09374f0733ab48ffa9200732dc7f6756}
m: {m, 541df4c471c0e8d1d2e99c189375acc1}
e3: {e3, 587c562078b26a96207b5a91dd691e4a}
v1: {v1, aef1ed6a468570f832996655ed235046}
android/app: {android/app, e079f4fb8febf5b63effbb6583d13a90}
y4: {y4, 68c54c40b8b30f3fe35cf3f832fc52cf}
q0: {q0, 7692bdae052ba65eed94b007bd178e18}
c5: {c5, 9dc9cb6eeed2609e40f3cec400bf245a}
w4: {w4, 6bfc1d367f54b5cd4ca61f85f9622e9b}
androidx/profileinstaller: {androidx/profileinstaller, 357afda1a73f91ad5e73e10d86c71973}
r5: {r5, 603d8de6120661c35a0d5109311115d4}
f8: {f8, 7a320ff09445f87d5ba38929f7916cc7}
z2: {z2, 18c5c491f18566ff8aaa60028ea3aa14}
o4: {o4, 2d746a8e989b9e7cfab594261007dbd6}
m1: {m1, f296e5a607361d654d0357e1e17eb309}
b4: {b4, 65819d9ec25b31c430b2efd2a38c421e}
x2: {x2, 0daaaef9263e393735a6f5c33d076330}
g2: {g2, 8d7a1beadaba5f2601193f5962e377d7}
androidx/loader: {androidx/loader, e3eeb9782b134ba39e5102bd20bba6a8}
a2: {a2, 1527fb4388044d42a658df5e54889245}
h6: {h6, c14f225d045a56844d983e5d1fa5591f}
androidx/recyclerview: {androidx/recyclerview, 9b3a4b9d7936301b129905a8d2480dcc}
n0: {n0, be27dff47bbf8064347caba2f8ebe08f}
u0: {u0, f38df6bc8564483ff7be7ee16c46b961}
k5: {k5, 6c3c7dde2fe9316c2fe1568830052195}
okhttp3/internal/publicsuffix: {okhttp3/internal/publicsuffix, 9eea5d93a8a9b55286f95c57a80ddfc7}
z5: {z5, c7346cc7544eb232df22f344f42fe6e4}
i1: {i1, 6b9150c1774775b08408ba5a176ac07d}
f: {f, bcf5d24987b254895d42d28082f3d830}
v6: {v6, 53d9cce50882db1b656b4b5317e51dd5}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 48bc972c3d8b099f57dcae15b609844a}
l4: {l4, d52206726ec63ebc292d6eaf2d490911}
y6: {y6, b056ee2d2840b95600ef4a31bed77772}
n: {n, 57631e1b4feec8a85baad9cda50e5e35}
p6: {p6, 370e5b7953816cc4898b29621aebf545}
d4: {d4, 2fb3165960d067bb766fba09ba706d01}
e2: {e2, 5ae92f339093ad9e7a9d3f0500784787}
t6: {t6, ee431f11f5fa4da630e00da611363a85}
j1: {j1, 4d0888b0b3fea9ff0a5c7f378134d1cf}
u: {u, a75ef1b28331ff0f2dfe6df216ece58d}
w7: {w7, 398fb9e66369413c3c7a836de57f622c}
m8: {m8, 0e5705608dc64b824c9ac126fa2b6c44}
androidx/legacy/coreui: {androidx/legacy/coreui, be8a1232ff86b541d65bf0458e04d236}
androidx/viewpager: {androidx/viewpager, f2a72ce443ac9ac721dc7b557eef91a7}
y3: {y3, 9e1243df4fcb7c96eeb9488461118508}
c4: {c4, afcacd98484638012a85f2f08fd45072}
s6: {s6, 602c789ce8af7b015dfba965e9290e84}
p7: {p7, 65304678e7abda4c740ec2504cb4b9ca}
s1: {s1, a225591100de52dd3d7633c0ab759e12}
o: {o, fbf16e7f291ff5a1337c32af9361a43d}
f1: {f1, 326d922924b61c9a9067780d332024d1}
z3: {z3, d50f4a3fb230d9ad87456318d727b35b}
a1: {a1, e936ca8f4727ee4d132165657d47910b}
h7: {h7, 028b199cd3ffffcce4f090b9ca6434f7}
n6: {n6, 58a49d47b92844c4483f7308b8ba828e}
w: {w, b1184153a4d1ec06d43d43ccc84e0771}
i7: {i7, 17a430a574bb762c1b7dc0a196742955}
androidx/savedstate: {androidx/savedstate, fd9f7ea18997b41e4076c3930b35ba39}
x3: {x3, 1ce2d9dbcb056c3ca1586851ccc19150}
g5: {g5, 4b8e5f61b4732c9a0784155fd26a6d14}
k4: {k4, b0c75cd98442a202b0329a8ea907b868}
p: {p, a9262585229622224f1ea151ecdbaf59}
d0: {d0, 4175322c0345193fafb4cd22beba7764}
g: {g, 3e203f8515fd83b2f98166a537cfc556}
n1: {n1, 5073ea743f1d7bb4aacd5d407efe2011}
u7: {u7, 0a24c9a63f952aa67b8e0b1b3e91740c}
v7: {v7, 390faae7f3985c33dfdad623f2bf34bf}
b1: {b1, 0272398ae2d004b3c6e70592c6503569}
l5: {l5, 9c6c0b66d6c47154da14ad4cd741c190}
i0: {i0, 5fa1abd10088f00073575b5b3e51cf96}
androidx/cardview: {androidx/cardview, 4385028fab9b82ec1266d50549443c01}
q7: {q7, 84115e84c14c7d363bf691914cd9bebc}
s0: {s0, 62d6f01ae789d0fd48fdf93398beb9d8}
u4: {u4, c872eaa552ef6298e93fcbc23ad5259d}
i8: {i8, 7bcfd2d86e8f12244eb9857b7d6c160a}
v: {v, 8b3c1a35b3f10a4b0fd6fa52e6c0dd1c}
r2: {r2, 4fef5ec11251228f22743c0f08e8573d}
e1: {e1, 4a9a0ee6c49701e7f955b1fb73054038}
t7: {t7, 8d1bb66013c1f2e686eb5cd968d6451a}
j6: {j6, 8b16a6a49870cac0e6a8b5a3a464c326}
d7: {d7, 8c53996abefc6c9f725b7534c9f5162e}
b7: {b7, 5da8961d8ba5f15295be68a18bc5ef3d}
a0: {a0, 6b93856dffc0a8ea7ad61ea0dc0103da}
w6: {w6, 740546a905a77699ca8d18007d42a30a}
androidx/drawerlayout: {androidx/drawerlayout, f376a323b1b26ac691ff86a020e78f81}
h: {h, 6e6583cfe74f30a10a12340df77eea6d}
s3: {s3, 8426c12b696cdab511fdaafbed3d3db8}
x4: {x4, 03134f9eb98aa688507cdd0a97334ecd}
c7: {c7, 96b862f392c031c1f8c6a0f4c76f4d39}
a8: {a8, 6090b346f4cde870b1ce4bca385135f3}
p0: {p0, 2e60a8c975960a7513b4e8d2346ef9b0}
n7: {n7, 1ad1d64262bf3dd9e118a41af69ccc01}
androidx/emoji2/text: {androidx/emoji2/text, c4b4946cef94248549b68712ba509f8d}
z0: {z0, d55ea702ad78c0d24476e6ad727d864c}
kotlin: {kotlin, 8f460011ea59255f7b61d71fd382efdb}
h0: {h0, cdbde96ebbf33adab6b1e3fbcd5c0306}
i6: {i6, ccfa9778dfea6d82600732ae55f460ea}
e8: {e8, ed628a6e21ff40d88d86c148f79b8027}
g4: {g4, 40b355d1a8a50b1a2eb6e130b393cb2e}
androidx/navigation: {androidx/navigation, 0517e23693c50ef2a2813c7ca6554f6c}
s5: {s5, 697b9ac53aeebdc371c7ff30114595f8}
z7: {z7, e748bbc345f20d67535e368d62c2d98a}
u6: {u6, be2be3900dfd0985d8f063a82342ebe4}
o7: {o7, 2fdb4d5189faddc65be8e1e8dd78ae22}
m0: {m0, 3d3a9fe3a327d372f390a614f689938e}
b6: {b6, d84623629f76b508890d1e088148f688}
v4: {v4, 21e7c053685aa4b02d14d423b012e809}
l0: {l0, 369fb08fdeb664368af4468d8078d7f7}
com/mikepenz/aboutlibraries: {com/mikepenz/aboutlibraries, 0302a92e1b1dbe4cc93f8bb00eeddb63}
q6: {q6, 8c01dcb104d7e62ed1dd680c380a4d63}
e0: {e0, 29405fcf0b7b0f7fb35f34dd8b0b8a11}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, 7485837927a32d41bb6d2621cc9bd8e8}
com/davemorrissey/labs: {com/davemorrissey/labs, 937aba94c8c976e2d16ad3f8fb44cdf7}
r3: {r3, b551036bbbc3513e25a50072a216d5da}
f6: {f6, 5ec5b0e393140ee049722cf58b66bc25}
c6: {c6, 25ea6e049f33bc23356fc36e0a1fe25c}
b2: {b2, 28dab30090fb145e908afc13b00fbc08}
y2: {y2, acf7ef943fdeb3cbfed8dd0d8f584731}
l6: {l6, c681eb89cd1051a7036fe48c75819c9f}
x5: {x5, 5970abc04f023931fdabcb89d0d5d272}
d5: {d5, 77e4093b64a81f8bb0fafced37c53aae}
l8: {l8, 1773daa06eca5fb8ac69f10bf89040ba}
p1: {p1, 6111be0258085e0d33830cc5fb5f330d}
s2: {s2, e20cb6ce63cf0809166227faf474302a}
androidx/work: {androidx/work, ccc1d0d65cbfc06992f55cebdb166bf0}
g7: {g7, d4022d479675cca443768b64dd87cd9a}
q: {q, db244f910268f5966b09a30bc89a308c}
h1: {h1, f380cbdaca32678fe755e942770e6c32}
n4: {n4, 36a0e1bab65a0d046fd7d660b12beed3}
y1: {y1, ed0555f8c09a0b9a9bb62dd75236dfdc}
o1: {o1, d758b31b26e2db513d72085541108a38}
t0: {t0, 48837e992f683690de44b13309e3a5fe}
v5: {v5, 2b7d4350bb516a5d4801f8a4cdaee548}
a: {a, 2cc554d2c3f633fbfec6e6ce2a0b2a6a}
com/vlonjatg/progressactivity: {com/vlonjatg/progressactivity, 2670f63852b01e0dd82cfca6f048cc90}
l7: {l7, e3c0a425ec2c47b67599a8ff5554c565}
t1: {t1, fa048778d0e13150c279cf6a16a15331}
androidx/versionedparcelable: {androidx/versionedparcelable, 00a75dd4e5061181d85c72b9d29f1b58}
com/bumptech/glide: {com/bumptech/glide, 4d0a7c5203151b652c55b205f553330d}
o6: {o6, 8fa903bb7fedc73c78e7d2bf3cc9813d}
m7: {m7, f2f0bd804132d2baae1368c8eba1d4d5}
j4: {j4, 8fe42c6ef5aeba12d7249e809f3d4855}
w1: {w1, 5041fdf657a04ead287fd9c5530d533a}
q5: {q5, 0842957124edd833d270deefb3199431}
androidx/customview: {androidx/customview, f375e34e522885c7bd7f5539403a98f3}
e7: {e7, 81a4d29301cb00e880e575c4a34b1ddd}
x: {x, 1f95c0bbebcc7c0efc74e5f7a4405d1e}
u5: {u5, ce2691929182b095314624544127aece}
k6: {k6, a6f903a9014ce237b99642bf339d40c4}
com/mikepenz/fastadapter: {com/mikepenz/fastadapter, 2c090a552dadfccf880ce0e72dd41a4e}
h8: {h8, f004015affd4374e9a23b90f983b8ec7}
