a6: {a6, 94bd2793a08b0de1df59e48ae0655886}
androidx/cardview/widget: {androidx/cardview/widget, 96a6ce43eee9b4d1602538ba76a51530}
l2: {l2, e68a2e3d653907080bb501103fa81866}
androidx/browser/browseractions: {androidx/browser/browseractions, 3a683c9ce8ce141ff2dc7a90ad57e143}
i3: {i3, a62b30285cc3bd1178adacf943b6148a}
android/media: {android/media, c4e9eeb25e17c46354752ac4239a9772}
androidx/core/graphics: {androidx/core/graphics, 9f745476397c895855887caf3eeb26aa}
o3: {o3, 5e4806a4b8c46b3c4f712f32ed0674a7}
androidx/savedstate: {androidx/savedstate, c191f487ab23791958d37ad2bc8bd664}
m5: {m5, e00fc6ea1796cc9299d3cdf655c5dcb9}
t3: {t3, e20cb6ce63cf0809166227faf474302a}
j2: {j2, 68f658504cf39c78536c963b59fd5eca}
v3: {v3, 2c567f55201c2530568aae5ae1f5fdfb}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 88afbd4cc0af560690eccc95c055662f}
h2: {h2, 4b2d4a08bebab1165fab5ddf03cd1261}
n5: {n5, 0fa0eb894bbf7a46381de82f35974541}
u3: {u3, c79ca359fc13f054f04865798caf07f2}
r: {r, 20884459b5df8110cd11e1dc5e7431f0}
f5: {f5, 5bfb7e3e92f85dfa775d0570d6d7ade5}
androidx/appcompat/view: {androidx/appcompat/view, ac7b9738f535c28713904fa0b48aff84}
w3: {w3, 0daaaef9263e393735a6f5c33d076330}
z: {z, 3a9ee04aa8c4e56f87af30c9240085ec}
s4: {s4, f1b4942b73cd6bf5c3a6a658c0e8d80e}
c: {c, bc8d91d2009c6d825173520bbf0c98ba}
k0: {k0, c6a56fbc71686371a15de6967c02ec02}
androidx/loader/app: {androidx/loader/app, 3e9008fad44256d3d9122ac8c59939db}
androidx/viewpager2/adapter: {androidx/viewpager2/adapter, 64c040d4682367732f06b97cadeb7ce9}
x0: {x0, a3066631d9c5836fe6d6f81a46a5675a}
b3: {b3, e381f6991873210ea6cc1b6be99b5314}
androidx/room: {androidx/room, 65ff00f5c8ac5880d04991fc33b91243}
w2: {w2, 3947417fc6b1d938f99e2e8ae1eac25e}
q2: {q2, ee69adfe44685ed931af2fced8c79e78}
e4: {e4, f38889929f0ddf2632642782ad3353b8}
o2: {o2, e68a2e3d653907080bb501103fa81866}
m3: {m3, bef649e38e9f9290d41e38f7127966aa}
i2: {i2, 4f77a30b9c0d3a22ec791ff2abc37e9e}
androidx/lifecycle: {androidx/lifecycle, e4ab742df3b899860b392bc63658c630}
c3: {c3, 98e4945abcb945b80a075e4188002241}
a4: {a4, 574ccd6fb36fc7df2a4bb854aee6f6f4}
h4: {h4, e27661765b9d0893a0b13e89dff69b4f}
t: {t, d5624b3998b2d56f0107e5a46379a5b2}
g2: {g2, 6b76e99be8338df53033b959d8fa4f9d}
j3: {j3, 6042042ad53f1ae3ef0eb28271000e94}
android/graphics: {android/graphics, de1c2b92945417ecd988923d07abfa41}
androidx/exifinterface/media: {androidx/exifinterface/media, 7654892936bd1676afedfeacabc2ffe4}
m4: {m4, 3d9504136406d947158908dc9be1be4e}
t4: {t4, bd01ec3e3a9f4fe0e0cc8c33458b5976}
s: {s, a081e530f03f0df90e07b1485ff03586}
d: {d, 4a921f089e0eeee6df3401defc5afa9b}
androidx/startup: {androidx/startup, 131abce5fc5ebe7e1684037bc13d5652}
h3: {h3, 403379904b5c2a968f542f6f5f124276}
n2: {n2, e68a2e3d653907080bb501103fa81866}
k3: {k3, 3e9a5074d12ed71b37f20a7ce3fd3423}
p4: {p4, 28a69c707fb24ade36671c81f1b33d75}
l: {l, d024d6551c5fdb649731ed2aeca087b1}
y0: {y0, d698218beb655e55334a6beeee8737cb}
f2: {f2, 203718eb79f9855ccfcb51b0adbdc825}
v0: {v0, 09c72a15bb68a64439aeafd759dc2eef}
d2: {d2, 889ee3930dbd9659b38515f782f39927}
q1: {q1, 79873bb9a5f063dee97d89e4dd51f021}
x1: {x1, 5adfe3eb97cd252a4e3b415bc1fae4da}
g3: {g3, 4ab96b9f71c0ad2148779b74dc8e5762}
androidx/browser/customtabs: {androidx/browser/customtabs, ab2601aecd456d8b46345fbac71c01eb}
androidx/viewpager/widget: {androidx/viewpager/widget, 730e62e5bc2651d4bdebf5f4d030c16e}
de/hdodenhof/circleimageview: {de/hdodenhof/circleimageview, f01d34beb19d88d243a8c2c6eaa0720c}
r4: {r4, e0d1ba3a757e35d7198ae9ddf10d4f61}
b0: {b0, eac4e36f6f0397897ab3f2b480d27582}
y5: {y5, f51701e39e8dd4d9598b15f54b6598a7}
m2: {m2, 99b10a35206e413864926e27990066c9}
d1: {d1, 47a2ef9d24845ec7803a979d292778b2}
android/app: {android/app, de1c2b92945417ecd988923d07abfa41}
o5: {o5, e2a2c16fc8e87db9ed1bc4793a53df9b}
h5: {h5, d52206726ec63ebc292d6eaf2d490911}
w5: {w5, e282880f249c370bcfae4397c0a6c8b5}
c2: {c2, 5a892f764e798d709cecc5ded2e9e7b3}
a3: {a3, baf0fdd36f1c85cf1ac12c973dff360d}
z4: {z4, 5ef2fb9f67703ad9a86ff2c0c4fc0c21}
androidx/fragment/app: {androidx/fragment/app, 5ed69160c622f13c4a42f850a57058db}
t5: {t5, e03503ae57fb1b27a46649d8ac341731}
j0: {j0, 65c7deb85973b9537270bd3500af3063}
l3: {l3, b563f1a11af25e4e36350c893c134aa2}
n3: {n3, ae6045acf0231046aa9b368af450d53e}
u1: {u1, a25bd8ddf2bb5b05ee9d0f9251192c34}
e: {e, e3088dd61a9a1d1d23194dcebb9dfee4}
p5: {p5, 36d06d0e12e2dbc11f6822f81403e70a}
d3: {d3, f11c15ac437f68065ed9416e32758e58}
l0: {l0, c33833dba7fb87384388fc02c7932016}
f3: {f3, 968153a0851f8800cb2bb38fb9b14839}
k2: {k2, e0c3b140db64acdff59ae97dc7ba947b}
m: {m, 26a933d1ac7994b184d6fcf5a9b6a0a2}
androidx/slidingpanelayout/widget: {androidx/slidingpanelayout/widget, e6ba864ebc77762eeb1b54ad313741c0}
e3: {e3, dc1d1da060b3832f25847cdcd77df70c}
v1: {v1, 6f5668ac522b0d776041ab5c808bfbf4}
y4: {y4, 6778dda1a9ea4b944b059d812401281c}
q0: {q0, 55e97002d5cf8373c8bdb86a0512370e}
f0: {f0, e0a654c1bfc78589077346ccd64a14c2}
c5: {c5, 5fa3cc830afaf1277e47d9c5b238472a}
w4: {w4, d17239b1a86fd8bbd1a18f34a0d146cc}
androidx/profileinstaller: {androidx/profileinstaller, 335bb312f4a9c05dfe90cab5110c84db}
androidx/core/os: {androidx/core/os, b10c5bef5ba85d37de0bf6c753fe94c9}
z2: {z2, 1a8d3a98452de7268be489a1bf0cffa3}
o4: {o4, 226295822a2336aea8a38599b9353bed}
m1: {m1, 6edcef896e32f0a9e7679d0e2992164a}
b4: {b4, 489f1001c017e779e67a06256047b07a}
x2: {x2, 9e36500337266941578ed6a99d5edf36}
v: {v, 40f0bb1510a4c6ce7b234c0b012ba2a7}
a2: {a2, 932ad6788e188a0fdd5d94a4e6866670}
h6: {h6, 61a2a2f09c3c9e340e9ecf30eba979f5}
androidx/core/text: {androidx/core/text, b5b37aafa9006210a97692a234f0a7bb}
androidx/core/app: {androidx/core/app, e70f935cd4b3a775ca0b99af1d5d258e}
n0: {n0, 570ab26e79f8373b3468874177698780}
u0: {u0, d61e88f31713267d7092176571ef3005}
k5: {k5, 0f3bb8713bec05d36907732c1a20ae8c}
z5: {z5, ba2fe197f72bf260ac7e26d97cd60eed}
i1: {i1, 56f85f34deb3bf04c2c20bdbb821b5e3}
f: {f, 2c9ca1fc2e42cb97df22d19c0c205676}
l4: {l4, 0ecfe64a0da9ac8ad1a12ed48cbf5791}
n: {n, 1cb9c12ca3e2fbdbb47d67149f8a47cc}
androidx/core/net: {androidx/core/net, 86cb9e4748cf4b5befbfed1135cbbf9d}
d4: {d4, b1445fd3bc862a1512883668dbbce3e0}
e2: {e2, e01310b2f8d84e8221bce4e88094c1c9}
j1: {j1, 502d856c7a42fd0a496b1acda0504460}
u: {u, 5f3365944bd7223a0c28f4349a9ea5c7}
y3: {y3, 8dd175675a23269098907311815de3a2}
c4: {c4, 3135998b31bb1405be9cdd623e3cf0b5}
s1: {s1, c335d793e2dcd8355d97b0e745e5e808}
o: {o, 4b62a787e5b37d65dec832739e5d293f}
f1: {f1, 40e796c3d97253d0fbebb45ccc01591c}
z3: {z3, 28d977d7b9d42556dc6942b6172440b6}
a1: {a1, 3377dd3c343f1c0a5c0963aaa0a9e90b}
im/fdx/v2ex: {im/fdx/v2ex, bd1272634ac961b85d62a38319472511}
w: {w, 9bc11103c4ee9c4d3bad5b52c4810774}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, d05636c9399bf41f8edf13518a0301b2}
x3: {x3, acf7ef943fdeb3cbfed8dd0d8f584731}
g5: {g5, b0c75cd98442a202b0329a8ea907b868}
k4: {k4, 5815dba7690d7baabd38e37645eea964}
y: {y, 3b5e2390ee98c2c98678fa54485c00fa}
androidx/coordinatorlayout/widget: {androidx/coordinatorlayout/widget, 54bdb65e6c121aec45dbd94dbda44200}
g: {g, ca4b34fafb9454dd9744032e002bf2d7}
n1: {n1, 2e07808efac53943f3eb04b5366c5ffa}
androidx/core/util: {androidx/core/util, a8a313cc51aefc86e7991765d33e77c5}
androidx/appcompat/widget: {androidx/appcompat/widget, cf453e19fea230760c185a1dd10812c3}
l5: {l5, cb50c72bc2b9d7fa8b0742d1495bf4e7}
i0: {i0, 80e6f94af8d005024d1afacd445dde27}
androidx/appcompat/app: {androidx/appcompat/app, a8637cbb5c5bb0d1d9ef4967c4b2cb6e}
s0: {s0, 2daec040b34dac48ff6e505516bfaf2b}
u4: {u4, 844768daee64dd4e6152adf36861774f}
androidx/concurrent/futures: {androidx/concurrent/futures, 2487abe248e373bb8a311fc9bdc88e2a}
r2: {r2, 95c4a6b8946e34ae192b23bf37fa8382}
e1: {e1, ed8b1b71b949afc0918d36aa0b09190c}
j6: {j6, 8eee0eaf05e81d8f39694449beaa3f2f}
y2: {y2, 40ca40fe11647791ae330b7b0abdb46e}
okhttp3/internal/publicsuffix: {okhttp3/internal/publicsuffix, a2af1327075adf12cccf5d85ad09c868}
androidx/customview/view: {androidx/customview/view, b5cdfa065e3a3b75a289919ef247c136}
h: {h, 4c42d5cc0c502e1386b426bda874d635}
s3: {s3, bdf1394205bc43dbeca229f2f77f6f2d}
x4: {x4, 1829a9574b35e701b2ce18bd854706cd}
androidx/core/view: {androidx/core/view, b9c7ab02238b3feb4475087824545ed6}
p0: {p0, 2b8cda63776130b91875351ab02ab2bb}
p: {p, 528949c8ca1c36f7cf3d7c85b65356a8}
androidx/emoji2/text: {androidx/emoji2/text, fbe9b550b62cf1d533f955b42c6e8aa5}
z0: {z0, 1d341d33cd0ac8afa1557bc1aeaa3e1a}
a0: {a0, 6b76ce47d4ea9a580f2fa0a35a0e29d2}
h0: {h0, 336a0bdd394031ae9a3992be0b714a2c}
i6: {i6, 025cb7b540ecfd45a65e8178ffb806b4}
g4: {g4, 2bb68410c59b049efe78ce60c4094bf9}
androidx/core/content: {androidx/core/content, b64d83213022f1f79324ea7b0f231f1e}
s5: {s5, a1f458829b0ff62c8937b0cfa8693251}
m0: {m0, 5d08ede9767521881c2fe8e4a1707d59}
b6: {b6, 40e6dbe42157dd97a43b7bdfd784ecda}
v4: {v4, 9e1243df4fcb7c96eeb9488461118508}
e0: {e0, 18381fc0b8ad11b7c0f3c15e4670a338}
com/google/gson: {com/google/gson, 637b37fb04ad5941e82a91f1a8c32d7d}
r3: {r3, d78e41dc2db020b4db38115ced17f9a5}
androidx/viewpager2/widget: {androidx/viewpager2/widget, 41139832ccad1b98b75bf73470d1bd3a}
f6: {f6, 392adcdcff61f10c16dfe85fe449bc21}
c6: {c6, b8d255ff96dfc7885a848063e2d3ab53}
l6: {l6, ddb34a03860e575f0c049570fd488cbd}
x5: {x5, 7a68550a7a06419b8b2953f7aa220541}
d5: {d5, 99bc1326bc2722e74f394811d7d87c3e}
i: {i, db54e6738088d287a0b3d346480b8899}
p1: {p1, 9b2dd51e8ceb6d5492f81294ee8c18bf}
s2: {s2, f5aa5ee85bbb993d8299e793ba2be527}
androidx/work: {androidx/work, 64a56a2062039a4a079b0ef7dcd74fb4}
q: {q, abbf494593b41efcdc94a9e32647c704}
h1: {h1, c27708993735a4cd7195a6fddd723c6f}
n4: {n4, 067f9f8512dfb0f01797efe8c16da854}
y1: {y1, acede8837121e694011ddeba80b03596}
o1: {o1, 2c80d3086431bc96ab00e6e3bec88f3e}
i5: {i5, 173bf27fbea5b3aa858ca2e5ca77d4b0}
org/jsoup: {org/jsoup, 5452cdd2895b5dfbf519dc1dcbac875e}
v5: {v5, 5570c3f21750547360c329061703f5a0}
a: {a, 15abe3443801356a179ac3024797e94b}
t1: {t1, 5b5a25e687bd1b80a6415df484cf2d06}
androidx/versionedparcelable: {androidx/versionedparcelable, 2a52f9097c5dc93ca33f3071f65ce0f7}
com/bumptech/glide: {com/bumptech/glide, 912f50df079cfc6caaad1dc5daedba60}
j4: {j4, 7eaf10de27290cadea5b414c45aafa53}
com/github/chrisbanes: {com/github/chrisbanes, dd5ecdb563bba2f792c26d61151dffe7}
w1: {w1, d3665e7a5154da9d2e563ca85fd31a1d}
q5: {q5, bf3beb578d96ff0ee8d1ef6c9ac8d171}
androidx/recyclerview/widget: {androidx/recyclerview/widget, 7bd5b931310669173db6a4d897aef563}
x: {x, e5391955978d6278663dd58dd9d44f97}
u5: {u5, 910616ba18edd2332a5657954544ef4f}
k6: {k6, a9e5abc7091b9b7bb4dc3f71d524c8b7}
r0: {r0, 09655a2eec7cd9681ee1b4aff0bf26f3}
androidx/drawerlayout/widget: {androidx/drawerlayout/widget, b188ec73e1e789e7087d05b230411757}
