androidx/appcompat: {androidx/appcompat, 1958d755812541b86433f73ee30a8bf0}
com/google/accompanist: {com/google/accompanist, e6a7d453287ccc707261b1420ad785ca}
androidx/slidingpanelayout/widget: {androidx/slidingpanelayout/widget, 6d41cf9c32032ccfbb2eba46ee07f890}
android/hardware/biometrics: {android/hardware/biometrics, c4e9eeb25e17c46354752ac4239a9772}
coil/size: {coil/size, e1b9a835d20152e74456823b5aafc4f6}
kotlin/io: {kotlin/io, c1c05f7be2580c283bdfe4a89ff587f2}
androidx/profileinstaller: {androidx/profileinstaller, 6728e1ce58015b9bf2095dc952f9177c}
androidx/compose/material3: {androidx/compose/material3, 4620fa97d9410b5bda1c64dbc1ae4521}
kotlin/time: {kotlin/time, adac168c70910d0b6f2c60841938f31c}
com/charleskorn/kaml: {com/charleskorn/kaml, 3398ad5180bbade3ed2f390883b4814f}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 1956102f6a6613f08873b81e8fdde088}
androidx/sqlite/util: {androidx/sqlite/util, 46d0be06680936d761777c657e062f0f}
coil/memory: {coil/memory, a886e58aa607ebf7e58d4ba6cd20b956}
androidx/compose/material: {androidx/compose/material, 7aa408baf366f7dab4f07c2e45105572}
org/apache/commons: {org/apache/commons, 4e66a6711fe21f1b0f61e026e45b24c4}
coil/decode: {coil/decode, f835d72d6e25321acba694144b29b619}
androidx/customview/poolingcontainer: {androidx/customview/poolingcontainer, dfeb8c23a20731e9fbcfbf28b235fe78}
androidx/arch/core: {androidx/arch/core, e2a0e9d23c8c90630ae10c2ec53c40ba}
androidx/security/crypto: {androidx/security/crypto, 9e63e329e304e78d8ed2f0f71a638bdc}
kotlin/properties: {kotlin/properties, 8725087b51722f7a21645a8c786aa495}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, fa5482f0cd838685d5cd44d7451b981b}
okhttp3/internal: {okhttp3/internal, 08bf87d89e18d2fcc3c4f7226cb7af94}
androidx/biometric: {androidx/biometric, 91b0226f74f63608af2a5a3988fd146e}
okio/internal: {okio/internal, e47e24caa3e0c9d6e4bcdc1af66d35bc}
com/google/crypto: {com/google/crypto, 9775b8848a5fdefe1de1cf07c2e5c982}
androidx/concurrent/futures: {androidx/concurrent/futures, a57513657283c3621cf27ab1e67d7345}
kotlin/collections: {kotlin/collections, 318ad2e145830028249d8f894b90a047}
androidx/fragment: {androidx/fragment, fcce636423cd4458f19d90564490648a}
androidx/customview/widget: {androidx/customview/widget, 6c241ccb45f10e806d4fb17d9d6e1a3c}
kotlin: {kotlin, eb4e824fe4dc3c56af94f9db0036a804}
com/machiav3lli/backup: {com/machiav3lli/backup, 292ed8b6488ab61a33bbb5c7dbeec0a5}
kotlin/coroutines: {kotlin/coroutines, 6f443f0a3eaf6520a5aa490dc5b7cccb}
androidx/compose/animation: {androidx/compose/animation, a18e95a8351e11b11cbb0949625029fe}
androidx/interpolator/view: {androidx/interpolator/view, 550d9160df6aca4f53bbdd4bfb6e1728}
androidx/window/layout: {androidx/window/layout, dbb8c026a3e48b54ea37e2e63774128b}
okio: {okio, 959a0bb26526bc4bdc1d12a7a6375a27}
androidx/emoji2/viewsintegration: {androidx/emoji2/viewsintegration, 7a37c3ee04e4093588c3c0fe68821f92}
androidx/work: {androidx/work, a14e56da391f5a04b1848cb50101849b}
androidx/emoji2/text: {androidx/emoji2/text, be7a47d6f775c0217f4e2f05c7055bc1}
_COROUTINE: {_COROUTINE, c6263c2715e8ad81a1cbe8c0f214b628}
coil/disk: {coil/disk, f4b8d08840a04d9e607be6890cd6c07d}
androidx/window/core: {androidx/window/core, d0cf7cef89761e798e6e52ecbb6b852a}
androidx/constraintlayout/solver: {androidx/constraintlayout/solver, d5ffe8e28c00204e39a8059b85943286}
kotlin/ranges: {kotlin/ranges, faea1561d90e5e6bf7aa02d58a7e6db1}
androidx/tracing: {androidx/tracing, 56ad51cbc8d4a40200cbc4084bbe1ad4}
coil/util: {coil/util, 8be926db0ffc847dee2c708b4b87d772}
coil/transition: {coil/transition, 4fed3948588ae2343389be1761a7de98}
