androidx/appcompat: {androidx/appcompat, c7ce11c1e9f5742f77395b1958dd61fa}
androidx/multidex: {androidx/multidex, 1f7b5ef8a714474c31edb59e524a5b84}
androidx/cardview: {androidx/cardview, 8638456dbc08541c4528854eed91d17e}
androidx/drawerlayout: {androidx/drawerlayout, 987e4ee6a3ff40904c8285b1897fbb51}
androidx/legacy/coreutils: {androidx/legacy/coreutils, da1c5c0e9e4d4de1ee6852a39fa1fee1}
androidx/legacy/coreui: {androidx/legacy/coreui, e97521e81a9f1d37da0597160bf5ab00}
androidx/viewpager: {androidx/viewpager, 02cbe8e336f7b04509987e6a69bfee8f}
androidx/inspection/work: {androidx/inspection/work, 542dd9699021b2a489ba6c7d8f6e4a23}
androidx/exifinterface: {androidx/exifinterface, dcd5a2c9ef97d0e4b51728d76adf7371}
androidx/emoji2: {androidx/emoji2, fcab8e1b19f0fbe0d20ffeaa21630a1e}
butterknife/runtime: {butterknife/runtime, da1c5c0e9e4d4de1ee6852a39fa1fee1}
androidx/work: {androidx/work, 892f103b9e5013469f6a1d3f6a20ace1}
androidx/legacy/app: {androidx/legacy/app, 0ce703508e0e2ea7f9a977858f898a97}
com/caldroid: {com/caldroid, e460ef53bc9ae96cf8e20982844d8ff9}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 1e44635c202c1b85588277b0c8a59917}
androidx/arch/core: {androidx/arch/core, 23e79d65469d82e26353bc325581681a}
androidx/resourceinspection/annotation: {androidx/resourceinspection/annotation, a4bd91c515d62e517c2896e81b40cc24}
androidx/viewpager2: {androidx/viewpager2, a656d6f7d121fe0a71228476f33d05ae}
androidx/legacy/content: {androidx/legacy/content, 07faabcafda309b615198d4b582b9cb3}
androidx/savedstate: {androidx/savedstate, 1fe4c0a62ba0a35dd52d4feea6a12ea1}
androidx/documentfile: {androidx/documentfile, 2c6f2600d5fec5372b08bd634a4e9835}
androidx/print: {androidx/print, e261ca456bbbb6e99177e5d4f1599fe4}
org/apache/commons: {org/apache/commons, bc076755310d4597647d2d17639f19ba}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 1cba8e8ba9c44b6418b33de879fab973}
com/caverock/androidsvg: {com/caverock/androidsvg, 63cd6e855c299ca92c31e230ed23715a}
androidx/constraintlayout/solver: {androidx/constraintlayout/solver, 260437dee4de22f5b3fabcfccc6df9f9}
androidx/legacy/v4: {androidx/legacy/v4, e97521e81a9f1d37da0597160bf5ab00}
androidx/tracing: {androidx/tracing, ac1c138f12866d9ca29cf68dba999565}
androidx/startup: {androidx/startup, 86fcc9acd3be58c7de92432067895bf4}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, 34144ead163e927e1ad8e3934eb55f0b}
androidx/recyclerview: {androidx/recyclerview, b850c324eff2c86f38136d308cb08b64}
androidx/gridlayout: {androidx/gridlayout, d75bbddadbe532694e2e20338acaa558}
androidx/window: {androidx/window, 40008b69f54228277840ad02650b62ea}
androidx/annotation: {androidx/annotation, c7d60566bcf76344db4d1f1ace15aed8}
com/google/common: {com/google/common, 3c900251a7cdabae1a2fd87f2dd32fe7}
androidx/dynamicanimation: {androidx/dynamicanimation, 20f96d09e72abe2920cbc1935effdba5}
com/antonyt/infiniteviewpager: {com/antonyt/infiniteviewpager, 6e3bc91ef405e3fd5dbc25a38de83ca5}
androidx/databinding: {androidx/databinding, b28a9bb78a70741ae5ea6a38e9dc0590}
