kotlin/collections: {kotlin/collections, 633225f788690e5e36ca215941e59293}
com/trello/rxlifecycle2: {com/trello/rxlifecycle2, ce571b4abbea73cb9aac25591f6a47d8}
android/support/v7: {android/support/v7, 3169def8dab9281401a3978859a16f7b}
android/support/compat: {android/support/compat, da1c5c0e9e4d4de1ee6852a39fa1fee1}
com/umeng/commonsdk: {com/umeng/commonsdk, 66cfdd1a611e5b69b944de0a6e2a7ece}
android/support/interpolator: {android/support/interpolator, 542dd9699021b2a489ba6c7d8f6e4a23}
butterknife/internal: {butterknife/internal, a49242f285be6a7b489d908b0117638c}
org/intellij/lang: {org/intellij/lang, 72031a0fa55a4d161f71e493a97c6296}
android/support/documentfile: {android/support/documentfile, 542dd9699021b2a489ba6c7d8f6e4a23}
okhttp3/logging: {okhttp3/logging, d5ea8663840fb2b3fffdfe4f7c6d9bf8}
com/makeramen/roundedimageview: {com/makeramen/roundedimageview, 1f76b4779e70e2573f9fccb1afb497c9}
android/support/localbroadcastmanager: {android/support/localbroadcastmanager, 542dd9699021b2a489ba6c7d8f6e4a23}
butterknife/runtime: {butterknife/runtime, da1c5c0e9e4d4de1ee6852a39fa1fee1}
kotlin/sequences: {kotlin/sequences, 3d4c311084d7632456eef949c4c8f8ca}
android/support/coordinatorlayout: {android/support/coordinatorlayout, f5649c67bb0f45aebcffe7a7a3f8e869}
com/kyleduo/switchbutton: {com/kyleduo/switchbutton, 58a1f218611c1c2b037f9026dee9f261}
android/support/drawerlayout: {android/support/drawerlayout, da1c5c0e9e4d4de1ee6852a39fa1fee1}
org/reactivestreams: {org/reactivestreams, f2c0ab0033b9dba5248bed9a187813ba}
android/support/graphics: {android/support/graphics, dcae6082ae3b82dc5959cc937fc4eb7c}
kotlin/time: {kotlin/time, e5c0fe62ef8d496d232169d47be57ab4}
android/support/asynclayoutinflater: {android/support/asynclayoutinflater, da1c5c0e9e4d4de1ee6852a39fa1fee1}
skin/support: {skin/support, 21cf4dd496710e1f68d286278180d072}
android/support/cursoradapter: {android/support/cursoradapter, 542dd9699021b2a489ba6c7d8f6e4a23}
android/support/coreutils: {android/support/coreutils, da1c5c0e9e4d4de1ee6852a39fa1fee1}
com/bumptech/glide: {com/bumptech/glide, 9572ae6b8321533c531ede668e203dd9}
androidx/core/graphics: {androidx/core/graphics, 89f58c7d98ef382191c9b4849faad5a7}
android/support/design: {android/support/design, 32a9a244ef58b81a1c76b6213abfa160}
io/reactivex: {io/reactivex, f400263480c969a2e8b9f7cd54a1334b}
com/rae/cnblogs: {[com/rae/cnblogs, com/rae/session, ], 627a342a88f03c751f43f39e4251ac6a}
com/jcodecraeer/xrecyclerview: {com/jcodecraeer/xrecyclerview, c4e36029a50259ac58c3b8608472b4d3}
kotlin/ranges: {kotlin/ranges, f4968549a8aff7eb59fca0706704d044}
com/umeng/socialize: {com/umeng/socialize, c0d6c78aa68dbaa11d48328ce74d2221}
android/support/slidingpanelayout: {android/support/slidingpanelayout, da1c5c0e9e4d4de1ee6852a39fa1fee1}
android/support/multidex: {android/support/multidex, 39c6dcb5225a1c2083a47a2c5449ce80}
android/support/mediacompat: {android/support/mediacompat, 462ae7f46371f5475b12436ae30fc208}
com/github/chrisbanes: {com/github/chrisbanes, 48dd683eb9df3eeeb4c85c68c5504b24}
android/support/print: {android/support/print, 542dd9699021b2a489ba6c7d8f6e4a23}
android/arch/lifecycle: {android/arch/lifecycle, b99a77a761068fc04b2b5adb88574a6b}
okio: {okio, 840ae39789369d76e9d4ce4df71b751e}
com/alibaba/mtl: {com/alibaba/mtl, e0970f0f10e1e1ccf7d1d256aabe07e9}
okhttp3/internal/cache: {[okhttp3/internal/io, okhttp3/internal/cache, ], 020eb29b524d7ba672d9d48bc72db455}
kotlin/jvm: {kotlin/jvm, a271279724d2505b5274ec5905ca142c}
retrofit2: {retrofit2, a6a63dc84eb476ca75b9398a540c668a}
