a6: {a6, fbbdaed771fb9a59ba6f17a272149ffb}
b7: {b7, 00edcc2f757e76908127894d6d86f319}
c7: {c7, a490f5c3040d489d738a0ddbb2d03d62}
p: {p, ce283eb839949d4048c090bb1bb473fc}
kotlin: {kotlin, 8f460011ea59255f7b61d71fd382efdb}
lc: {lc, 2781c412dd1a3a72ab5079526714d02b}
e8: {e8, 2e5d73a32af70bccb2299030d25cdf8d}
o7: {o7, f672695d51c24a5d65d48b04c8dc44f2}
t0: {t0, c472a7f37e9d7d3556c4a13c8ce10849}
ca: {ca, cb83212bdfafe722b244bdb820363bba}
r3: {r3, 61c3a9aa9f4caf2d699b5500ea193f71}
i: {i, fb25af3ec19bd29b4c431b989dfbf2f0}
p1: {p1, d48f7379f5e1624fd6d687a0efbaa0c6}
d7: {d7, 54a91192178fa6366c581233dcf8d100}
ic: {ic, e7f82b33bc0e4fa7ab3b94584ac8a44c}
q5: {q5, 0ef53e4ab3a19e60b8b8a4d6feaa7ffd}
e7: {e7, 1db0e50785c752e1cbc64c6d3af422f0}
f7: {f7, 77503e88e7bfeafe2f05ed36d990a900}
qc: {qc, 6c39e0e5d5d36593c995a632537a4c46}
androidx/activity: {androidx/activity, 791449237284986c7934ccced9f8646d}
k8: {k8, 86172a337c98dd56f09292b083338bfe}
y0: {y0, 44868490e2e88a648d397a2e7e77e62f}
y9: {y9, 7641954747c71f785a5ef44cab945e53}
com/google/android: {com/google/android, 8b974307f94b7715f79e2a86231e871c}
z1: {z1, b3e767c42cd5fc8f1c50bb7b57d2cab7}
ac: {ac, f81270c078aeacd2dc7744c95d8e20b2}
w0: {w0, 929db9adebcd7d99c8358a10e259228c}
ba: {ba, b7634e4393ad47c4c51d38daa065f78a}
j5: {j5, 4f28b0f034ab034ae5b728b53339f97b}
ia: {ia, a6de8c5dfb9107866445e05033b22038}
wb: {wb, 9e19dc56c188f5f3a624ac47e6f371aa}
d0: {d0, b942f1e3d4113f008a399a87ab33733d}
b: {b, 2f4a99bf284d36daf2e6367cbfe09761}
k1: {k1, 857b3645c338268d3368634f76e1b96d}
mb: {mb, cbced77c204674c915c9588599020991}
x7: {x7, 60a3451433eebd2402597bb467bf9064}
a5: {a5, 3402c93b50b7ef4b3e1ce8730bd0daba}
y7: {y7, c6a476740a3a4b61c1e68dc998d5b725}
androidx/cardview/widget: {androidx/cardview/widget, a5117a0079663e0d8e7b7a613cc6c2b5}
l2: {l2, e47fa49dcbbf28aef70a0a8f6ad400e8}
i3: {i3, c04919a8f5cd22d5da62b4822a46cdc7}
sb: {sb, 3cdb71c85524b680c87cfe7eb51af428}
androidx/savedstate: {androidx/savedstate, 5cf9b1614a590ce6f5e5fdaff6384b81}
m5: {m5, b0e7690a4d823c9752ff0ff085ef7040}
j2: {j2, 40f8199fea8398c8c4f9399c5c5a5395}
v3: {v3, 482ae848bb687051aa330d3460a1be4d}
gb: {gb, 480cc4c69b1c8a980b009677ea7c0ccd}
androidx/appcompat/view: {androidx/appcompat/view, 8d98b223be1128307d36ec4b4619c746}
xa: {xa, 5f399cd9dac710730b142f0d2e0d12b2}
o4: {o4, 43ba05def303f1a8be407df480f45e85}
androidx/databinding: {androidx/databinding, 5c5f067f0f319e4dcbf370233f866671}
g0: {g0, e750d6a5dead136938a400858a5daf51}
androidx/viewpager2/adapter: {androidx/viewpager2/adapter, 359d35646220e525dde5ce0f5407d17c}
o2: {o2, 79ee45995628e253638b4fa8f9304113}
androidx/lifecycle: {androidx/lifecycle, 68b82f6a0c1690ce86530b7a27547c41}
c3: {c3, 0ac06b9c04c27190abe756a0daaf333d}
h4: {h4, 30515f12fa275704d4259ca7c231f074}
vb: {vb, 3f85883a866b9a48a7833173d6590b70}
ha: {ha, 6bed5239a8e043732bf98e1b53536436}
t4: {t4, 4f1af245d318f234292c03615780941d}
u2: {u2, 15f868a7d97c32f788eb79fe79381fc8}
c8: {c8, 6958fb95a6e8c7d1f27ac20e3fc71d35}
h3: {h3, 457735a26eca6bf8b82901bb7fd82d5f}
yb: {yb, 7f10bbbdfca044381c95c77ab1d654ad}
s7: {s7, 5320e5b9b5ee59e7f13d3ec933a9952f}
q1: {q1, 1620b37a66f3c3158bc9b3a5695abf52}
androidx/media: {androidx/media, 500e4094a02c94034c41d1663e9931c4}
b0: {b0, 843f337fc9175e5290d5291cbd015d27}
tb: {tb, f4ae394c7ce761c5a580ef41104c953c}
u: {u, 5bf6a4ab4b12cd9aedf9532f7707852a}
f3: {f3, e88b74f2e1eed6829116f6c95ce5a508}
v6: {v6, 05cd4648c2d9892f87c2c90803671c00}
w4: {w4, bc01bfc152734b27c934abbe83a717b3}
db: {db, 1f9e4fd8420d59ac9aca93cf8717e72c}
z2: {z2, d0096de88b50958c8e16f4a5bf6485b9}
com/samco/trackandgraph: {com/samco/trackandgraph, aa2e161d78be0c6c1e9dfbe2564eef68}
y6: {y6, bb0b52f085d636edc1b5514a744595b0}
n: {n, 7d4319afd85aa70bf3337c61f76718a1}
p6: {p6, f65916bb3f10025ebc15c55c4f988032}
d4: {d4, 4d400b8e33c75b51f822efdb99d0400a}
e2: {e2, 6e7edb83091f8de8813be53c840dd30d}
q8: {q8, 84c03c61584f968a597617db883adb93}
y3: {y3, 8a72de59db21f332e03bf5e497e9df8d}
v5: {v5, 747cb0db4e88a372085d1947cf218fff}
a1: {a1, 9a1cc74cb815593e183852622eaa467f}
n6: {n6, 499b1646ba510c6befac165efdcbeb1f}
s8: {s8, 69d8da4a5520d7cb6b0d6f51f050cfda}
x3: {x3, e904635ba32cc9d94514b6130cab461e}
k4: {k4, 060d0df8a42a1e3efcbf0f4195c61e29}
wa: {wa, 318932fe2fd723ee873d223f30dc3217}
g: {g, 0beb9b582cb1f78e75edca6dcffe63bf}
n1: {n1, 7ce8b87643aeda3fc702db99f999904b}
androidx/appcompat/widget: {androidx/appcompat/widget, e32a25b8c2c208dd07d9bcf90fbc5c1c}
pc: {pc, c2e02ff4d8fd054c81ae99341a4a39dd}
bb: {bb, 6b538508e0d0e4a376ec56cdc605a551}
j6: {j6, 734b92bcc580f535d2381cd2f1758de0}
sa: {sa, de608fd7789ad8ac06aecc002df5fd13}
s3: {s3, 41cbfc50cab2b098df602a773ae07714}
x4: {x4, 0fa0dc6977521835a19f63a8c547a636}
a8: {a8, 23258ad94c2f44eb38e6b2a1da5a0977}
h0: {h0, 386823f635fb5696cd42475c129aa760}
i6: {i6, 534f2b716ac50fe8d77ffc309d1cbb8b}
uc: {uc, 34cd7f51cc8b39f38714fcee33e16846}
nc: {nc, 89a971de3e7ee797b6a82ab44fbcd87e}
lb: {lb, 8a080892298ea60542c350d14c2bccb0}
l6: {l6, b6fb16b6d7c3c5bf3d40ed21ba932a30}
u6: {u6, edbe951fb121228e4936606dd080c2eb}
m0: {m0, 933bb7f8bb2abeec7768408b63faefe7}
oc: {oc, 2018248bae0b6b5cc0099abe0eb6977c}
t8: {t8, cd23e04f0d1db2d9dc66f9ea89eca35f}
ec: {ec, cecec9aed4e7605541ec38485698d0ab}
q: {q, 307e4e5f42d741c37c1bc489fc53f65f}
b4: {b4, aa05e91d3520c8a356b927d05cb02141}
o1: {o1, 5d6516628162404fb66c764697c27533}
fa: {fa, 864677c937eab6894aba05c3785e52a6}
t1: {t1, d870a5a72067841d0fba94fa0744a82a}
o6: {o6, af51c505c5d9ff3c181de60f1eaa7c86}
ga: {ga, ab75071578025f68f604ec0450666173}
x: {x, 4a6e526919cbff6d0f2dbe8a93770b6c}
androidx/drawerlayout/widget: {androidx/drawerlayout/widget, f008a5e9f0e56c03462ba6c101355b75}
r0: {r0, 552aea4a401232b2f3cfa2f05266867e}
p2: {p2, edfc169f2116ebe4f62043cfa1896af0}
d8: {d8, 147dbaa710e6c603e7b00c2d8b64ceff}
j: {j, eccc19bc64f7c25b7a7c7f9aafb468b7}
q4: {q4, ddd1fd6017c28f7bb8675372aaa77995}
androidx/compose/foundation: {androidx/compose/foundation, e8f7cb8097beafa431ae17974e514329}
l9: {l9, d9b60710f50923ddd27ba7b908341f42}
e6: {e6, f9cee1bfe2afb7f938c76cbd267bad29}
qb: {qb, 9d0025477b6b4aaad0b44662c7b19ce0}
f4: {f4, 7c0e46bfb4bf79715021399ca536d538}
y8: {y8, 700b64356d04d3a21165a145ebad34c1}
ab: {ab, f114941ffc08036c47c93d1d260aff65}
z6: {z6, 1450dd15cee70ffb8c20b32d9e37e472}
w3: {w3, 3df6ae8f4f144543ca61584fc1521bdf}
androidx/compose/ui: {androidx/compose/ui, 90e1585045776f6ae3b713cab5568d7a}
d1: {d1, 4768b47cc0be4dc8160ed3322acb20a6}
c: {c, a371c53be64b9e31b3521ee8aa3e5474}
k0: {k0, a202adb67d0f6b0a04f174e8b518c70f}
ma: {ma, 8905517bda15dd6c032d9c0db58d1d58}
x0: {x0, beb93e64b7486f1423d3feea44257590}
rc: {rc, f719e3882dac122c2d5280b25b45acd1}
xb: {xb, 118144ce40b2c7541dd0cd196e57bae4}
m3: {m3, 4df3c0e3e1584d3fc7187d00666d8b1a}
i2: {i2, 9c36a331e86be1411a85aeee359cc2a5}
a4: {a4, 34972012b81c0fcef5af5c94a6de138d}
j8: {j8, 7c88577f183a25c7fd524615da7b3921}
j3: {j3, 633b59167824840345e9c171633ac9e8}
m4: {m4, 46d0be06680936d761777c657e062f0f}
d: {d, e83ddf213b0dbf977ac6c4d4c30e9301}
v0: {v0, a9ba622a717e77d2d7d270994b35bec6}
i8: {i8, 1e5eee089c865cac0c27688f2719b827}
ya: {ya, 1dfdb700393516eb234ba021bfebd948}
b8: {b8, e011929969b982fa5416730290313a6b}
o5: {o5, 6b99c34c7352e0eb355630c966b59bc5}
h5: {h5, 7c1dc271138e97157ea55c80c2827ecc}
c2: {c2, 1dd4c866998c8c4d0f6251bab0a9bd35}
androidx/core/app: {androidx/core/app, ce84b6a9787c9e0e8c1c6ba8fe27bc1c}
l3: {l3, 5e43b7be809d13330f579ac7534d9fe8}
u1: {u1, 9cb007b6fe00138134e9b2aa49ed4dd1}
s6: {s6, a29c48fc7e935f3771838498d362f376}
hb: {hb, 45a6744dac529c8e504ae8a577c8e130}
la: {la, 5da7b1b8ed36287e3824862760279744}
b1: {b1, 0ca9b8d6555084f0f374334a0a345294}
q0: {q0, 23a19e90b19cafb58aa7f50ced394c4b}
fb: {fb, 148f045a8f066db22fb21f58bd0ddca2}
c5: {c5, 24903a6d5c495b912777abced47e2197}
androidx/profileinstaller: {androidx/profileinstaller, 8b0bb606f224acf5ac358cddca30668d}
ka: {ka, e444553194418007d7b7f2b0f59a774a}
tc: {tc, d19d1c06fe76a7163b2f67d7b6808ae2}
v: {v, 6261ed4576f29e1fa8cbd2dd5c8e59c3}
rb: {rb, 83efb60c19cf21c8c46a0c2add30de68}
androidx/appcompat/app: {androidx/appcompat/app, 3f3ab22244848a0c2a85497200846a4a}
w7: {w7, 6d010da2b817c67b92e73ec9080897cc}
dc: {dc, 4889e1c968e787c5ce9076c94e6d83cd}
va: {va, a1729af78dd854eb3de0da7a098d5e93}
p7: {p7, 0dbbb43add5a2b36aeaa36f536bd1135}
o: {o, 3c9eb3fa8c1d0a914e0e6c7fcd1a1007}
z3: {z3, ad5eae08b813b5b831ef52d1f6740836}
za: {za, 3a166311a5407c18d385d25878d84492}
s5: {s5, 6a3a0c9355e35933a9d7e56ac50e898a}
q7: {q7, 4241d6a238970660301817b8c35322ce}
d5: {d5, 7f6bd2fdf9f965ac2ef122803aead9e0}
e1: {e1, 5dfa4c4f46a1b9dd30da0497679a8188}
y2: {y2, 4a827acfd4a3fa8cfcb3145df908be95}
ja: {ja, ca2c955197eb61853302c1d4818e8932}
n7: {n7, 1d500e4ca4a93dde6451c2590b01065c}
a0: {a0, bb66e850a444652c51f7aa4c37fc0c47}
k7: {k7, c6c01140f0b53e97f617db40e50a93a8}
p8: {p8, 4cb8c78ee462828fb83a1fc905770e7b}
g4: {g4, 0d9f9a1d084da3b53a3ad3ff81862691}
bc: {bc, 49d4413038ac13ffa488e341a297d2ac}
j7: {j7, 1f5efb8fe09801088a6ad89100248dd2}
a7: {a7, 97a0dc4309b3a029aa89218fa86cadd2}
r8: {r8, cb02c02c4cf820dcf9bf1fcede8d4a3a}
s2: {s2, 8faa6817c532ccdccf6eeaa207515035}
androidx/work: {androidx/work, 8cc7e772c6c414aca327324d5a78f5d2}
g7: {g7, 544853db46b1abf3c87cd384e276f62b}
l0: {l0, 6d7c8d65d5d6d1f55da759bfdce069af}
h1: {h1, a806998a31b19d6f5b2af37179ce516f}
ub: {ub, 435871f6cf8b5956cf12f405743dd936}
androidx/emoji2/text: {androidx/emoji2/text, d3c47804aa3a2350eb1d27dd41883c37}
i5: {i5, f6869055fef116b98850fd11b7b7b453}
ob: {ob, c67ff2c74b05fd4697d67350dcb70c48}
w9: {w9, 716d3ca2af2e46be4baa7a88d1d21397}
m7: {m7, 5ed279b2477233f2da81341ab7bd4b5f}
t9: {t9, df1d20d8818ba3182ef4dd6d8d556008}
androidx/recyclerview/widget: {androidx/recyclerview/widget, 204bfedb3ddba0b9c1d88da586ff20b6}
u5: {u5, 69a41fc642e53c02d6ea474d823e1641}
h8: {h8, e30c46f34e30d1b7a76ddad59576b6a0}
androidx/core/widget: {androidx/core/widget, a1eb5b61c5ee36b0506d1397d2acd66a}
c1: {c1, 352ae6fa75808438fc3f390a0cbc3b4c}
eb: {eb, 4ec8f65087d62019da5cfb6e5d78b516}
cc: {cc, 8cc3d2136147f68850a99a2630ee5de7}
v4: {v4, e861685f5c4e0f79761f9f65ee8c796a}
o0: {o0, a5f2ab895e95a02866e0b2c3af2f9ba0}
b5: {b5, 3285cf73a7e5e747d91632ed6c1731da}
o9: {o9, 40b355d1a8a50b1a2eb6e130b393cb2e}
t2: {t2, 386696fa3986debb3d8d2121e5362413}
r1: {r1, c5184e333953a2da3d2319e393743d61}
y: {y, 6e62a81eaa7b1219d9896a9921b0cdb3}
d9: {d9, acf7ef943fdeb3cbfed8dd0d8f584731}
k: {k, 35ab5915dccad1508a39f239fbb68bc9}
p3: {p3, 3e4562b8b393fce77380b964602552e9}
e5: {e5, bb2217b761004d576af8e2140a93edb5}
b2: {b2, c26001103f93ee5037de65c9e5ab151b}
q3: {q3, 03dc4d0ebf118a65c5d32481a54b294a}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 7834a5cb7e70e69f1e0e0d25242e11b1}
r: {r, 771bef82bc07eb81313e3ef941c87d89}
qa: {qa, 034db5ad88bd838cd02075d6e67aaabc}
f5: {f5, 9f3605857a5c70cfa9fdffa09588b05e}
g9: {g9, adff6deb4481a6454e4cebffefea33ae}
n5: {n5, 4a8c5a4de694dd5c09490cb4f898607b}
zb: {zb, 94a686c1ed4f2406026476824e3fb369}
androidx/room: {androidx/room, 069cdb710880d9bf5d0584e1f0bc49a5}
w2: {w2, aa41524db81d05745562f16165573433}
aa: {aa, c31ca7be1b6c040f7871d5f9056bd9c2}
k3: {k3, 092212ed7237f1791a4ef27a3e34ca3a}
p4: {p4, a9072ec928aa4f66deb3629953504bb8}
l: {l, 4fc40ec3399f5fb22434b4ab13da3106}
androidx/navigation/fragment: {androidx/navigation/fragment, 0a10623f6d5a32d1dde9c63286d37fff}
d2: {d2, 34b377f17cf658e831848b0c9b1d403f}
l8: {l8, 4af01e1d8dfd7b11f20803610776838a}
x1: {x1, 989e48a9afbeba24f0e7f9d9f08f383b}
androidx/viewpager/widget: {androidx/viewpager/widget, e820d46ea31743defb1963550b8bf0f0}
y5: {y5, ee6607d1b3f973b8db90e3c32874e8f5}
m2: {m2, 33b71091bc8fffb68a41a841ff70e1e5}
j9: {j9, 82c421b52b75aa1d69739391cc3c6dfd}
android/app: {android/app, 4051f7603a40d4c52dbcbec105c0dbf3}
n8: {n8, fd1cdfa1b16710e6992927a82eb2b284}
a3: {a3, 2ba38f7bf47fd719a7114159d566e6e2}
androidx/fragment/app: {androidx/fragment/app, 308fc1938c841348c8d220da5827afcb}
j0: {j0, d79301591a0ca2d76f5595498a890a41}
n3: {n3, 536f85af3598206b34378ea3d752d0ec}
e: {e, 06bb18dabf0d0241f0a59632779f906a}
jb: {jb, 9b892fa2b205645f9937e023e7c51ec2}
u9: {u9, 4c8cccbece4d3cfb1d894f93dbf647e3}
pa: {pa, 7e0f68c9a8fd01dc487afe886b135d46}
v1: {v1, 72c5f56e21d0d80488968439e743d1b0}
dagger/hilt/android: {dagger/hilt/android, e6374c84f9c4dbe60f20f620ca08d99f}
m9: {m9, d9b60710f50923ddd27ba7b908341f42}
r5: {r5, 458f081bd82e2275eab749d5a55ec29a}
f8: {f8, 3bc59da84d9f98d8f1dae7f4fb6e9373}
vc: {vc, 170df545b139c9dfdd784f638bc8bf56}
g2: {g2, 85bdf52e031574182b1792f287203556}
h6: {h6, bfdbe5f2021576848de3580bef13d6be}
u0: {u0, c7763951673cb86f3daeb36225c08ba7}
i9: {i9, fe3a2800d122e3872de5abe9db59aae5}
i1: {i1, 6633944bbfba75b9d18d3de13622c04a}
oa: {oa, 3a2d92afd645ae6e12388ccdf0268608}
l4: {l4, d8bb2f58164223fb3aab8ca109f9fff8}
s1: {s1, 5919e85c4b3d4ae160d2138f9a170aad}
t6: {t6, ceae8de034711a48355a87fc2cf8f28d}
hc: {hc, 6fe8b8835d02cf59199fd25d40ee545d}
fc: {fc, c0771c81e4e17b40e353fafd932483e9}
e9: {e9, 763c62f53799d7a37ee0a67c80f745ff}
b6: {b6, 4e3fcb8ef765db78d683fed4854b0f9d}
c4: {c4, 89bc48ac63e05b906f9b7cca1441b350}
f1: {f1, 364cded20175b2328e64a1d2cb079ed1}
w: {w, c1fc1fbf588cbc71eaa2cff910026e5d}
p9: {p9, bfcc998a6ff249ec7f2bd71b146513f9}
b9: {b9, ab9e6bef039fc74cdcf64e649cbf3efc}
r2: {r2, 185bb9c636f5cd1e58731221aa992a43}
w6: {w6, d9346c12e5feeb1482e3b704414a1776}
h: {h, abfe99aca59a3744fc9daa8da93722f4}
d6: {d6, 997a4fe17fac2a78a0d4e4a5887a8ed3}
p0: {p0, 3ca289b62368e526a7b2e4b6cd9f3e77}
z0: {z0, a74b94a4be54797c2639f08da9573631}
androidx/coordinatorlayout/widget: {androidx/coordinatorlayout/widget, ac17cb3fa1a081b64dbf54f4f1100088}
q6: {q6, acf7ef943fdeb3cbfed8dd0d8f584731}
e0: {e0, f235f887e70e1c44bccb756e12ed0746}
f6: {f6, 0ed16eccfa7f214977ec7c0e770b4370}
z9: {z9, 84bba944d991de2a1e8918aa49f6499e}
gc: {gc, 46ae65c0b6f9fcd33d2361695e175065}
k9: {k9, a7b9c0f09ee925dd5a6e6a9123cd31a0}
y1: {y1, 93f4141cf02269745bee5368f3651237}
a: {a, d67672d4d2af3f2814cd5f16e31e8b06}
ib: {ib, 3529685df3dd4d897d8a8b1ba8e53aca}
j4: {j4, 6a67dd0d315c38c9800c186ff5128616}
w1: {w1, dbdbd35ce55745e1ea717e9feaa5254d}
k6: {k6, 823c7792b77f6add58ae7d153c63efa1}
