androidx/appcompat: {androidx/appcompat, 9bb443db6c8311e713a7342de390bac3}
androidx/transition: {androidx/transition, e22ff4e1015173e716b9d3315ee1a5b5}
androidx/legacy/app: {androidx/legacy/app, 062cdfa6acbd2876b4c02bb6b6404f04}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, 0520e84f7ceaa9763ff257c57077e11f}
androidx/cursoradapter: {androidx/cursoradapter, 383d520a11b62a6e28bfcf6810337e95}
androidx/slidingpanelayout: {androidx/slidingpanelayout, cbc67baf6fe62b8110112d6270a24b35}
dagger: {dagger, d222e0c257262911153a7b4dc4b063fa}
androidx/drawerlayout: {androidx/drawerlayout, fc4452db2e2cce4c3729517914b74645}
androidx/legacy/coreutils: {androidx/legacy/coreutils, da1c5c0e9e4d4de1ee6852a39fa1fee1}
androidx/legacy/coreui: {androidx/legacy/coreui, e97521e81a9f1d37da0597160bf5ab00}
androidx/media: {androidx/media, 3660a51e6b14b3665a505365a0184576}
androidx/inspection/work: {androidx/inspection/work, 542dd9699021b2a489ba6c7d8f6e4a23}
androidx/exifinterface: {androidx/exifinterface, f51ab151b19a1739bb4c7b1312bed37b}
kotlinx/coroutines/flow: {[kotlinx/coroutines/channels, kotlinx/coroutines/flow, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/emoji2: {androidx/emoji2, 8fc1be0ff38b95122395d743cda23377}
androidx/work: {androidx/work, 021b018a87cdbb834a1e7f674ee10a26}
dagger/internal: {dagger/internal, be5db276b1136fc8ecee4be6f028aee2}
androidx/browser: {androidx/browser, ccba8803445e97cc77eade407fa89ec2}
kotlinx/serialization/encoding: {[kotlinx/serialization/descriptors, kotlinx/serialization/encoding, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 8f2ff751c813c387058164047075df29}
com/google/common: {com/google/common, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/arch/core: {androidx/arch/core, 4aedd1b836e501b0e82521ff6824fb7f}
androidx/resourceinspection/annotation: {androidx/resourceinspection/annotation, a4bd91c515d62e517c2896e81b40cc24}
androidx/viewpager2: {androidx/viewpager2, 68c53b8f6fdb57d7d39fc351d6940075}
androidx/legacy/content: {androidx/legacy/content, 6f17542208ee49d01c4f55a89a691e19}
androidx/savedstate: {androidx/savedstate, 35d82a9efb159da6e30c721e0b7c878a}
androidx/documentfile: {androidx/documentfile, c1e8882d9a131f86ce61208986d323c2}
androidx/print: {androidx/print, 4012429ae246dabc2fb4ab300471c99c}
com/bumptech/glide: {com/bumptech/glide, 80366debe3637e551ebad81b9f00ea25}
android/support/customtabs: {android/support/customtabs, 648ad9b7a2f9a85c1f91496676eac65b}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 4e595d0ecbf737322ac43aa94ebee2d8}
dagger/multibindings: {dagger/multibindings, 99bc1326bc2722e74f394811d7d87c3e}
androidx/tracing: {androidx/tracing, 1691b9585cc135c6595781ab31216573}
androidx/cardview: {androidx/cardview, abbb4dd720a5f30abc729582f79e186b}
kotlinx/serialization/json: {[kotlinx/serialization/json, kotlinx/serialization/modules, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/startup: {androidx/startup, 86fcc9acd3be58c7de92432067895bf4}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, 375a9cb174f483170d5cb09b8219a001}
androidx/concurrent/futures: {androidx/concurrent/futures, 5109780fefb06e09d76166ecf91feb30}
androidx/customview: {androidx/customview, 0f8c36d7857218ff5184d3ee7e029158}
androidx/window: {androidx/window, 0d926279b4d5725de8530e3a3cd6547a}
androidx/annotation: {androidx/annotation, 46e2f5a1d16153c1d9399ef5f5556de5}
androidx/dynamicanimation: {androidx/dynamicanimation, fd5cf9754b6476ad189e286b2b360196}
androidx/databinding: {androidx/databinding, ad35eaad3b6bf2a8b68c2cf2eb02d3ea}
