androidx/appcompat: {androidx/appcompat, cd25404e4b0e35f3f9d942f7b60650ed}
org/bouncycastle/util: {org/bouncycastle/util, 1f26985a1bc9d9f44b6ed932a52426ea}
androidx/interpolator/view: {androidx/interpolator/view, ee54aef26025686b20793115ba6db979}
kotlinx/coroutines: {kotlinx/coroutines, 75f05b857ff49e02f5b9f890b7b20ac0}
com/github/chrisbanes: {com/github/chrisbanes, 80027ce817614894722dbea8d505bee7}
com/fasterxml/jackson: {com/fasterxml/jackson, 77031d036ad036b2a0a166029057ac15}
org/briarproject/briar: {[org/briarproject/android, org/briarproject/onionwrapper, org/briarproject/briar, org/briarproject/bramble, ], ead2b7e35321c96c09b93ad0acd52c8e}
okio/internal: {okio/internal, 1d8c7629ebc2097b1608de0d55503391}
androidx/viewpager/widget: {androidx/viewpager/widget, b5c7cdfb24f578a789caa58eb737ce6e}
fi/iki/elonen: {fi/iki/elonen, dc57457330e66aebe4083d9ab8d4e2a9}
net/i2p/crypto: {net/i2p/crypto, 0be806c8cdea5a3f7a852f4228845c11}
com/google/android: {com/google/android, 170e0041ce0b0b2ebcf180c2d4ec6613}
org/bouncycastle/crypto: {[org/bouncycastle/math, org/bouncycastle/crypto, ], 73c9101b95d39ef970df9ab8fd4bcc74}
androidx/emoji2/viewsintegration: {androidx/emoji2/viewsintegration, 310e4bec2f678e9b830ae7400ed661a6}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 7c4759f9baea8b5d54fc053f693ce887}
androidx/arch/core: {androidx/arch/core, e670af69d020d96ed5403022b3ed85ef}
androidx/emoji2/text: {androidx/emoji2/text, f0c17203603ec9cec8834dbe54dec436}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, 5edb8883a2539f73be3192d943d47d4d}
info/guardianproject: {info/guardianproject, a37e81be612215953f98f115465d25e4}
androidx/savedstate: {androidx/savedstate, 9871d3a987fa455655fed80a5784b820}
javax/inject: {javax/inject, acf7ef943fdeb3cbfed8dd0d8f584731}
im/delight/android: {im/delight/android, f038c1e0799f4659f557acc65be3c86f}
com/bumptech/glide: {com/bumptech/glide, 8768db1e12caf9b4a6762a492a412ea7}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, a44183f8166e03621267b59fc5b649c7}
okhttp3/internal: {okhttp3/internal, 066779f342fec1f267815e91f7b1549d}
kotlin/ranges: {kotlin/ranges, 9cc017e57e70413c71ac06ab209d15aa}
androidx/tracing: {androidx/tracing, 5229c2066b181f32e04a48699e6f4f19}
androidx/cardview: {androidx/cardview, d67f8b92c2af4ed0a0b4c06ff39d3b7d}
androidx/startup: {androidx/startup, 3e65518dc1783a5b4e0396a0c8ec0298}
kotlin/comparisons: {kotlin/comparisons, ebdcc9c5ab3ebc6375c2308ad1f533d5}
okhttp3/internal/http1: {[okhttp3/internal/http, okhttp3/internal/connection, okhttp3/internal/concurrent, okhttp3/internal/http1, ], e13eb3d8a096c6c5a33d218ed2907bbc}
dagger/multibindings: {dagger/multibindings, 99bc1326bc2722e74f394811d7d87c3e}
okio: {okio, 29d07eb2d105c06fec4f8e5907bc035d}
androidx/recyclerview: {androidx/recyclerview, f643e3dfd826e5b78938c158456ab085}
androidx/customview/view: {androidx/customview/view, b5cdfa065e3a3b75a289919ef247c136}
kotlin/jvm: {kotlin/jvm, 1b8241f7ee2d7b95f82bf860b5dc5947}
androidx/loader/app: {androidx/loader/app, 6d417a5638bff7d0b195e62721b74cf4}
