p2: {p2, 9e904c76e21e509838046a412bd95832}
z: {z, e1991c2943d87012d781881247a59c5a}
d1: {d1, fa3e911e055e035d444a8d7b54450059}
c: {c, 31950cba833d026ed04572ce5ebd48a0}
k0: {k0, 2ad960c1ea6ff9d5cb7d8d6e738715bc}
g0: {g0, 8847ffd6f6a3eaedc37b8ca8954b5ee1}
J0: {J0, c5f00b9a0c0eba5347be60c41c037865}
x0: {x0, 4e97b5173f515d34f5f888a1613a2b7c}
androidx/room: {androidx/room, 069cdb710880d9bf5d0584e1f0bc49a5}
w2: {w2, 1f749f70af7f51d32e835b0993e55b40}
q2: {q2, bc0474e50a23a9212840493eaf3632d3}
U1: {U1, f2b5b0538e8af7bb9d5e68eb0acc9fb3}
X: {X, de30b2a41238c5fef024c0020959080e}
o2: {o2, fdb04557204e554b0e5efa3050445238}
i2: {i2, 1daf6f6a4b7ae07f047f0d56bb7633ed}
androidx/lifecycle: {androidx/lifecycle, cfc84ec9d1d42cc9b8d700e5455d8266}
Z: {Z, c0ba77ee0260be96a3da6d5968b00c04}
D1: {D1, 11ac1dc1142029485a514a18b15ddf65}
C: {C, f60202b5158948e26e272a03d4ac8f26}
t: {t, cb0040ca5ee7b2acfe2157b45610bfc2}
g2: {g2, 8b7d0192d69c7952c78d0d8fc3f223a1}
V1: {V1, 615dbe45d4e7a0e5a352f73cbd5180fa}
J: {J, 7d77cd7ce5e8df2b640d4799d5181fb3}
C1: {C1, 8a53e4733d57eb49ce55a528be85755c}
u2: {u2, f112cd84360dc828fe6830285ab74584}
s: {s, 3f82181bad9f1019572bf5efe2a2ae8d}
d: {d, 4154636c27003f716a7a38bdc086ebd1}
n2: {n2, 0bd09117d719216736dc5c9d048f6611}
L1: {L1, 414a0c8b28808e231a9017b0bcfa57ee}
Q: {Q, 5cc5b8a79526478b4a03adeceff792ac}
l: {l, ad5dbaa97dc34b55211c51aea523653d}
f2: {f2, df1d20d8818ba3182ef4dd6d8d556008}
v0: {v0, 751ac2c2618f95cf85c9fe604db35eff}
d2: {d2, e59c170aa1a27109c672a97a7a7f54bc}
Y0: {Y0, 3caf13aad225c87923a3e4a1ed12f2c9}
q1: {q1, 6791fe32c7089ef6e66c1b2a140b2746}
U0: {U0, ed75b71f3d628860bb567d669e756136}
x1: {x1, ba81cc2e3b3aeb3aa5e969db7470b5be}
S: {S, 6fd065362f66a4c28b7de391baa1e390}
D: {D, de45e6c0a29bcaf3890e1cf1ce7631ab}
b0: {b0, 60e4d116f8d58aff500fb0b451c1fdff}
m2: {m2, 3b4337dadd6f5013c82bcb46de98f8eb}
L: {L, 5eb6f3f6914548f1f9bf2fa7a254fe2b}
F2: {F2, a869974d04ae755d01f728abaeaac387}
androidx/emoji2/text: {androidx/emoji2/text, c3100f8017e9805d4433411c8a6342b0}
D2: {D2, 41c8b6383e818460702519341623fec1}
c2: {c2, 3c12fc6b8f55fab0318e6b22ba73f244}
u: {u, ca4d21e20e421e407c6a5415b578ae01}
Q1: {Q1, d92b38e7c7f7f421e0272e6a4cafa81e}
androidx/fragment/app: {androidx/fragment/app, 56b4424b361a7f176e77302c075fd249}
C0: {C0, 67175fde093e79cf1c8783c2d760bbda}
j0: {j0, 9ef6ef4a1cf07c9d0c0fb5783af34d33}
B2: {B2, b452fad9d78998990b92ae9bf1743106}
u1: {u1, 3712fb7110bd163891c63a72447f6902}
e: {e, a813e6adcba70a5621bee915b58d45a7}
l0: {l0, f850a0721e1dfc646487b896afc65c49}
k2: {k2, 46aa6df1484c470a3ac96e2fece0b06e}
m: {m, 6d9b46fd3b0c4fdaded76f53a8649e56}
v1: {v1, bfdbe5f2021576848de3580bef13d6be}
b1: {b1, a8c7bd032b5c19f382f5b7bd71253bb2}
q0: {q0, ee454a9e0ae65c866d545db985f5f492}
f0: {f0, b5b78f1a4dd1a8a7c083b8c17519798a}
androidx/core/app: {androidx/core/app, 61402b2353f6069ce0ff25a4f4f3e65e}
androidx/profileinstaller: {androidx/profileinstaller, 9403130e1bd732aa3cc9358e7c69b8ec}
E: {E, 17d939c2f448fcd179f6bf8b5007efaf}
z2: {z2, 2fa8942f76b2a7faf25f7a6b107dcd80}
androidx/appcompat/widget: {androidx/appcompat/widget, 66f4f622ea57d85d6d1b1988c02cded1}
M: {M, be40e43c75fb0568ae9bfae67bf4c423}
x2: {x2, 72c83405ec426611880b7eaaea16a82d}
v: {v, ed8df82594a1ab509268ce982ba82999}
a2: {a2, 2b6470c1e83c8ad3e773704ac0e61182}
androidx/appcompat/view: {androidx/appcompat/view, c25430386730e4db6e37c2b46304054f}
G0: {G0, cbd82c0f45f3452bca3d6bd6bc06c32a}
n0: {n0, baac6d3b89f9d5c5cc903522f0c0ca55}
u0: {u0, a3ba9e8d8f5449b27f4f9322fcd14115}
okhttp3/internal/publicsuffix: {okhttp3/internal/publicsuffix, 44ccf76f91aae62a75205794d9f459a3}
Q0: {Q0, 697b457c185e874e1088f85f184b6e58}
X0: {X0, 745a79db9a3b0f13b8ec47a703ad664a}
i1: {i1, 02ff15adaf1ee5ceb02fcaa454e796a9}
f: {f, 30d01b9d7ca6c2670e65f7f1be917ab0}
T1: {T1, 9e15da004e70e432b87c4149901e27fe}
n: {n, c6bac1825700e54a45907b85d4743710}
s1: {s1, ef78ed2700776efea9b3565c4d2b5826}
e2: {e2, d51b33709b7d810811aa4c892fdae8a5}
j1: {j1, 40f57af1e8f8a0628844f0707e263d5c}
T: {T, 7b4a416923bd483ab3748be76728a759}
N0: {N0, 364b6c8e11d01ff38d5a4e0083bec6cd}
K: {K, 99e97bdbea1cc1bdb5c7e629f628e8c8}
F: {F, 256ef6927ee1c1490b938d6d329b7244}
T0: {T0, 83ff7a836f2bca6fb1268b450dbfaed1}
o: {o, 1d427c153983158cad36ecd0cfcda55f}
f1: {f1, beb7dc5a91bfc79f53f35958bbade460}
a1: {a1, f9f0b7ae0580ab6060b869fb3bb785f6}
N: {N, d7cadf6f47a7125404f6d558746cdae9}
w: {w, a8b22579629a1fdba60bf976d3541432}
S1: {S1, 8862e826d98d5bcb34800b76b1e8544e}
E2: {E2, 4f6ac2c523c96026e97fc28080f14901}
y: {y, 734da9ad7d92d1051363087ad3b4eae2}
X1: {X1, 2f81882e0a5e46e1e87615f8cbe5e278}
g: {g, eabc53ffb28c2a2ef56fdc4c71349a93}
n1: {n1, 03321f063b8956ad236e809a0d0aeb29}
B0: {B0, 7655798369c6db0c6340b98f1b14d9e1}
i0: {i0, 84688fdafc128ec0e8118ad0e69be3a9}
androidx/appcompat/app: {androidx/appcompat/app, 3f3ab22244848a0c2a85497200846a4a}
s0: {s0, 06c1d7e094f917366ddd23421d0479ad}
Y1: {Y1, 0b3f72a8c149688d7552f22dcaaf7599}
r2: {r2, cc8f8f7ff13e7d6130b224f8764c44ac}
e1: {e1, a2f90b210582bd982d08ab9bd01fce35}
C2: {C2, ad301e6a992ca412f23e0f40edb7f15a}
U: {U, f6acefacea8341979a9aea65ba1b31f7}
y2: {y2, 8465c0d2d48933736daf9e8de6920f0f}
G: {G, 1661ce97feb8d0e355fe8e0d5aa7aa5c}
N1: {N1, b93f2a82e26fe0a72cca4ba7c3f80e52}
h: {h, b0bf7cb6a28bef774767b21c0aa49b5f}
p0: {p0, 64af9212e1f04c3e28e06a57ac49af54}
p: {p, aa3d77f8d12cca37a3179835ee1bf9fc}
W1: {W1, b2eb5cc2dd42eea095bf623a1ccb1858}
S0: {S0, 17b8a8c8fa5853fd1b7f54bae75c2a3a}
z0: {z0, ab9274fcb80ba5b25093f38983214f7e}
a0: {a0, d949491c597dc4da75baf9e9f6a7aed3}
h0: {h0, e99c19083c09467071ce1030c507ae35}
E1: {E1, f83406a0855cae208d5aaf38d0bf4f90}
androidx/coordinatorlayout/widget: {androidx/coordinatorlayout/widget, 4e08de8a8bf0bd9997b88ab6e4bcedda}
B1: {B1, 7fecb70ca7f13b9de045cd1019ed4ccc}
F0: {F0, fa7b0c45e9ab6c80d95b2fd7586d4325}
m0: {m0, c56c295235e1e76a28e36b7948d65aa1}
t0: {t0, 832baf76374d23c34dc340d97fc031d1}
P0: {P0, baa7ce2cfe56c13e60ee8dc03bdc06f8}
e0: {e0, 56f3e5bb40d7fb5bf70f532bd3656545}
M1: {M1, a134fc88f55192aa46384de06cc302e9}
H0: {H0, 58d194c838d74d36620a88a483200bf1}
G2: {G2, 9e029a5d7db774b5819a1c8f7c7302af}
A2: {A2, d7222b1655837afd6251c05fdb7be901}
M0: {M0, 5f7867b2847085b6160294bd065e2da1}
i: {i, f559f8ee1341afdc93dc3fba66864ffb}
p1: {p1, 319c09ee85e6ad48187484bbb163b4ad}
s2: {s2, f902b6c407497627ce0335c65706618b}
W0: {W0, f2994f1017e576f9b93d78809e25288b}
E0: {E0, deba09b5caa4d85eba5844092aceee1f}
q: {q, 5effd56601d0d76e13bdf7887cd6ca18}
h1: {h1, 0ba59eb0140177f9871466206e54a109}
y1: {y1, 4b13cd210a03b6572824d5c89bffbcf0}
o1: {o1, e447828678dd093ac3112d30fcd978fb}
a: {a, 8d3e4e0dca5df8cef7bad072e96d3025}
be/digitalia/fosdem: {be/digitalia/fosdem, b673f50ec5afa1e60427ffc36261aece}
t1: {t1, 1dfe93721a517bf685f4f75b97c10235}
androidx/versionedparcelable: {androidx/versionedparcelable, 9d566c8bb72bf85d0f4cf8e4e857ebc9}
P1: {P1, acf7ef943fdeb3cbfed8dd0d8f584731}
O: {O, bf2fa988abec325d9cb03d1288142496}
F1: {F1, 2d0335e6bbe9229a15a26434aab2de9e}
A1: {A1, 884024d014d3f24d93ea96bb3e6966f0}
w1: {w1, 38cd0d9cde3f7f1812558f637af3e796}
W: {W, 7d5e17aa5f82afe8de9058ca295db6b5}
androidx/recyclerview/widget: {androidx/recyclerview/widget, fe178b4b5136e5764bcd8b7042cf7aaa}
x: {x, 6325a8823f6db5983129efefb37b58e2}
O1: {O1, 6911fb3642ad6f0b61214aaf64c97c62}
r0: {r0, 8230af5c91654a5924673b20d4835265}
