a6: {a6, d7a181c78c993facde893c07a58441c5}
i3: {i3, 6f097f7594bb5fef8d97082ac0df2421}
androidx/core/graphics: {androidx/core/graphics, 01bf19ee6322efa5246b9c74c38fa5eb}
o3: {o3, ab77e6b0349ada37ba422d21a7050673}
androidx/savedstate: {androidx/savedstate, c191f487ab23791958d37ad2bc8bd664}
m5: {m5, 75fafaa43948045dc648f30e036c1b8c}
t3: {t3, d7e96815cd93b278e105c6d0affbd943}
j2: {j2, da44e1104b05f3af49b6817ca28b7486}
v3: {v3, ad6bfee72ffe66193ff9f357ade2771d}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, ec92a322ad3143e69ae2e36441093ef2}
h2: {h2, 2048508cf6608147c17778dc031b7936}
n5: {n5, acf7ef943fdeb3cbfed8dd0d8f584731}
u3: {u3, 0f77e6b7c4ff5a944730758503046671}
r: {r, d560fd8406aa483aaf8f3a4779442039}
f5: {f5, 5fa3cc830afaf1277e47d9c5b238472a}
androidx/appcompat/view: {androidx/appcompat/view, 8ad4a1c94141d4a69215727e63cc938d}
w3: {w3, 31cc75df97edc67ae8f526bac4e9e636}
z: {z, 1a01f96ab860b186b48676c529e186ef}
s4: {s4, 90ebeb9d3090ee0c93f88ec7cde78f22}
c: {c, 01433715c9bae9d4dbeb97e257a194fc}
dagger/hilt/android: {dagger/hilt/android, f62fe62d33dcb2442ba224576c881fc8}
androidx/databinding: {androidx/databinding, 9cf611b853ff98fea5dfba53b935d561}
androidx/loader/app: {androidx/loader/app, 3e9008fad44256d3d9122ac8c59939db}
g0: {g0, 51a206bcab04442c75f36d5f8e4cf13d}
androidx/viewpager2/adapter: {androidx/viewpager2/adapter, f29b5ab99791922660542dce6b188dc7}
x0: {x0, 1cd9bfb9717e4f58811b55b6a9336afe}
b3: {b3, d590e0245bfa5721e32b0cbdf0feee80}
androidx/room: {androidx/room, 731371a4b229244ce28d97e2b71f5d4e}
w2: {w2, 82afbac6b364cf54271e6ab5e1357fdc}
q2: {q2, 3b5674793f51fe4722865203693edb5b}
e4: {e4, 5dea67a2ed8079e0fb06fdd32b685095}
o2: {o2, 7429fba7950edc6fd24e0e99788164ca}
m3: {m3, 49f1521253ef6b7d21a40ecb09610421}
i2: {i2, fa310f2544d1926c5dd5fbda23e8657f}
androidx/lifecycle: {androidx/lifecycle, fcca2bc7cb68df9bc91ef9bc4d02429d}
c3: {c3, 6807ecb2c8fee2d6c50d2817d89de0f1}
a4: {a4, 37c43219a6d24c54b496fde8f7d94f57}
h4: {h4, 2f98f4fd60829d2567feda6a980af495}
t: {t, 58d4fc7d4d196a6be1dcc840e7cc4524}
g2: {g2, c21b171e50e18794a97c9a06d9e0ad51}
com/takisoft/colorpicker: {com/takisoft/colorpicker, c0687cbd9fd10543db812b39adf9f860}
j3: {j3, cfa9f20c64e6625d961f52a898a86e51}
m4: {m4, 30f9bc06f2b0074adf09befbe0792d6d}
t4: {t4, acf7ef943fdeb3cbfed8dd0d8f584731}
u2: {u2, 54e25c30f14d4be89b8ae48aaccc4fb1}
s: {s, ea6a957b450fa2fa3d53602690a4c64a}
d: {d, cc57fae598e62f5d2ac21b89acc73774}
androidx/startup: {androidx/startup, 131abce5fc5ebe7e1684037bc13d5652}
h3: {h3, 4543f5ae8321e28e05c0779bdc5bfe2f}
n2: {n2, 968153a0851f8800cb2bb38fb9b14839}
k3: {k3, 9ce489318d08f982a0f3991da74bfc64}
p4: {p4, 632acdd3e1d958f9a35fd298c9de2015}
l: {l, 041c21940f52dbd841f73cbc76706552}
y0: {y0, c02e06a7bfe8ac054ca981bd28c47b76}
f2: {f2, fa2f360795eb9f641fa2b8051e8c552d}
v0: {v0, bc112cdf45c3c90d1fae352c506f9a0b}
pub/devrel/easypermissions: {pub/devrel/easypermissions, 86f831407641c8d7481ff2f603709151}
d2: {d2, 4490b557a538f5ebb77cf02c7b458889}
q1: {q1, c14dd8af41ba2d1ea7cd17f0bb0c099d}
x1: {x1, a34c210c5ebe9171e22b8a1005694139}
g3: {g3, 437b3aa0c84f47d4bd3d6d085e28a82b}
androidx/viewpager/widget: {androidx/viewpager/widget, dede76a3b080413759a5f6cf211a1edd}
r4: {r4, 6497242f1cf152dac6579c68a779b8f1}
b0: {b0, 9fc2265a973c9f9edb459e722229c96a}
w5: {w5, 36d06d0e12e2dbc11f6822f81403e70a}
m2: {m2, e09d7829cfb984dd2cfd410b4eb4aa80}
d1: {d1, 74888324a39021e4e39b23bc6770b1bb}
com/apps/adrcotfas: {com/apps/adrcotfas, 43c3b29841c1e12147e167f598b7a419}
android/app: {android/app, c4e9eeb25e17c46354752ac4239a9772}
o5: {o5, a54686eb551e2dba498e2f75ea224ad0}
h5: {h5, da7faf660f57f892c7297ede8ce61605}
c2: {c2, 15ad1ba771b05f69fbfb057ee94ed8a3}
a3: {a3, 53d2177d086c8ca36f28183afa9ff8c4}
z4: {z4, 8ca4f12ac6aa301fee95692a49ea377c}
androidx/fragment/app: {androidx/fragment/app, c961319c841b6648d105f9ac48cb309a}
t5: {t5, a747d04104392cd33c487b27f603d69f}
j0: {j0, 1295dbca91d2bd8d1df685a12e922844}
l3: {l3, 8dd175675a23269098907311815de3a2}
n3: {n3, 574ccd6fb36fc7df2a4bb854aee6f6f4}
u1: {u1, 498282a3168d889854a8927efbcfbf36}
e: {e, bf8a6ba77f933b93deab734ed9a40476}
p5: {p5, 147be824344b31b98ae38c63dacee26d}
d3: {d3, d78e41dc2db020b4db38115ced17f9a5}
l0: {l0, fe9b49a15235357274b2c82b82a5835b}
f3: {f3, 4a2d64494b22b1f388ab0300ac2639ed}
m: {m, 5d8c5ae6784c73eb3221f66e0745d848}
e3: {e3, 5ebc9d2fc58aa4891221e494419f0b93}
v1: {v1, 1e83597803dc3acf6adfa0c3c13f7230}
y4: {y4, 9e1243df4fcb7c96eeb9488461118508}
q0: {q0, c4e8235978854780256684a812a0c552}
f0: {f0, f55947c88ee1cebb2a0f57e2f66d23fb}
c5: {c5, 9016fe7b313f8bfbfa4f09c3ca384112}
w4: {w4, 6476761da45c80b001290755c9e863d1}
androidx/profileinstaller: {androidx/profileinstaller, fd110b8bd044a871810c06130482c262}
r5: {r5, efdde7c082b4193de1debb6f4622e306}
z2: {z2, 5e4806a4b8c46b3c4f712f32ed0674a7}
o4: {o4, 15c69310a1059b68c8490d3085d5417a}
m1: {m1, d9e18d4bd96f82c2b0a86ebff35511ff}
b4: {b4, 68efd51b394b0e365acfc8fca4626de3}
x2: {x2, a4cb12123310ba8138852b72580a4360}
v: {v, 938453ef0576d042c0a44d3e591b02d7}
a2: {a2, b899f9b8642d6a031947ae03c81a84b0}
h6: {h6, 81d67bc4a89c5d5e4cf6140f127d0495}
androidx/core/text: {androidx/core/text, ab43f278f132d0cdcba2cab946213780}
androidx/core/app: {androidx/core/app, c4bd694fc65cc26d37d9786fe2e65ab9}
n0: {n0, d9b63ff872f3f7abbe2b220418c23c31}
u0: {u0, 19e4e84bd1a57934f4830abffe6b2f54}
k5: {k5, cbec5f686452c03b0d8ddc7860bae18b}
z5: {z5, 344bb63b39a75d96e1565d61e59feedb}
i1: {i1, 7a93ee809b59c677deaec908e9f2e711}
f: {f, 892399e4b00c3302ed5b524c7cf96ac1}
n: {n, 5639e3556a46ddc306ce65ad52cfe161}
d4: {d4, c53679f59772ed38225ba825c9e1cf11}
e2: {e2, 8c70f9910dff65d8a76bc762d310bf74}
j1: {j1, a8ec48aea9871bec5156c3cf67522466}
u: {u, d899914a69dde793912f48148c6ea82d}
com/heinrichreimersoftware/materialintro: {com/heinrichreimersoftware/materialintro, f3dc73f6af8e115b867dbbf53fabfa71}
y3: {y3, a62f11cc4e587b49c2b6628b6609c325}
c4: {c4, e571a57149a3658604974664a2dd4a3a}
org/greenrobot/eventbus: {org/greenrobot/eventbus, 992b4345523da1b76845c0e35f9e9d26}
s1: {s1, a8f57375065159cb71e9697113fec846}
o: {o, 3796cda6b9ef114f1309b6526e1d1603}
f1: {f1, 0a7d502f8afdf842a37e35c87b543cbe}
z3: {z3, eb691af55974821a872d99834322a233}
a1: {a1, 464842add2094f1bdf78634654a5c434}
w: {w, a60b9c68303c6c289e9dd8651d15a75b}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, 22e79fe650659f5c8fdae0c2866efd0b}
x3: {x3, 7eed5a10476c9b61f2567c9105e13a45}
g5: {g5, 99bc1326bc2722e74f394811d7d87c3e}
k4: {k4, cf52b482a4601c94acfbaa6037e1c4e6}
d0: {d0, f45cde5b8b6ef1a653ff3e8911ec9542}
androidx/coordinatorlayout/widget: {androidx/coordinatorlayout/widget, 3c1114363f15c40d0e5ead3742ceab39}
g: {g, 43ae26c82e8a638e678ea0eb11e1ef94}
n1: {n1, b038644bda3c7027c9b62903818cd93b}
androidx/core/util: {androidx/core/util, 90c087f65ca603a829ba5f342e2f05a8}
androidx/appcompat/widget: {androidx/appcompat/widget, ee4497f395011dbfcf885d7bdab5b07a}
l5: {l5, 639a7284950b5684c2711914426463e2}
i0: {i0, da931df1b6e08348601782e96bb4ac79}
androidx/appcompat/app: {androidx/appcompat/app, f2b7b5e4faf88ab3cdf7368f43d6f8bf}
s0: {s0, a3197dc0178d36ce4a2b2d539dfe4b31}
u4: {u4, 8b232f45992efd6f3c64724b83bd63b1}
androidx/concurrent/futures: {androidx/concurrent/futures, 5da5bef0eea74c80e4908a7e3d5d0647}
r2: {r2, 0cbc737df3a3565145983e9e6a0b8a7b}
e1: {e1, 5ce8d5d630552be8f0db1a6e1c677acc}
androidx/core/os: {androidx/core/os, ff0c2e80f000d4f2b3e53c8437c99f0e}
j6: {j6, 334133641ed7c5086b4dd65a68d3123c}
h: {h, c1e51ebed8743186bdc6d985097a5a71}
s3: {s3, 50b6dd68a5e8ce4ed5dbf81a6baa35e5}
x4: {x4, 844768daee64dd4e6152adf36861774f}
androidx/core/view: {androidx/core/view, b070d9dd4aa3411ba426bc1715938c7e}
p: {p, cdfb10954e403f30a681332d8a54126e}
androidx/emoji2/text: {androidx/emoji2/text, 301dbf162efc1ac704bdee0708dcf8fa}
z0: {z0, f6087daf6d7a69ba52c8562d5d44ab67}
a0: {a0, add1380673ba78d128d24785409aba92}
h0: {h0, f7a79b1a286d9aef5be6c448bada84b6}
i6: {i6, 8217c4c035c234838243dd5f54b5e5c7}
g4: {g4, 72b1bcb8bdb2f2a85575541432fb5521}
androidx/core/content: {androidx/core/content, 666bb5d617763ee46e95c6873977b1a9}
m0: {m0, 80b6a65c77f4abd0bb4c7faac32fd0cd}
t0: {t0, 5aad98161c35fb43935f256087cd9250}
v4: {v4, 3a4f8d9b5760ed12d03a88f2422fffc0}
e0: {e0, 898f6db1d6a90c163a25c21c506758b3}
com/google/gson: {com/google/gson, c62144db18ad106ae47824ff5d677f24}
r3: {r3, 1d90a80d8344da9030ce32ad03a48d2c}
androidx/viewpager2/widget: {androidx/viewpager2/widget, a7d905bd25d2c60198d10e7484207157}
f6: {f6, a8ac89be713850d8ceaf78ebe3a25556}
com/mikepenz/community_material_typeface_library: {com/mikepenz/community_material_typeface_library, f0fdde9343cf842f9fe1309075074fdf}
c6: {c6, 475599e94cdb4aa47a67527779dc8538}
x5: {x5, 81ca865a95468ac069af2b1b50ef8f5e}
d5: {d5, 38d0f191aefbbcff7ef795b028f9b5e2}
i: {i, 72ccf25dc119388159195dc7045930f8}
p1: {p1, 5ce81e190652e5e9c26025c414abed69}
s2: {s2, 5b84269e50a82566b0bd8492984fa320}
q: {q, 2748b917799ad410e991555d8153de90}
h1: {h1, b8e9b5fdcf479869e473c8fffa4196ba}
n4: {n4, 828f01b6858c293abc10e992971c1202}
y1: {y1, e50efac070f009577d170c32cabbb27a}
o1: {o1, 2a7c476dcac6c36a636176835278c54b}
v5: {v5, cc194e5033db3845d5287a4a69d984c4}
a: {a, bd4df7aee78ae268bf10d03610cdd875}
xyz/aprildown/ultimateringtonepicker: {xyz/aprildown/ultimateringtonepicker, 0af16df21489b83d5893bc28f3033693}
t1: {t1, 803289e1e8416bef17ede374dc3054c8}
androidx/versionedparcelable: {androidx/versionedparcelable, 6b13148f87fcaa1c5b04d34b54108d0a}
j4: {j4, 98a56afd002bd90edc87e3c084866934}
w1: {w1, e89cb94c86c250586dd1486da1132049}
q5: {q5, 6f85beda81d03c1e5b2cc7a12a6189f9}
androidx/recyclerview/widget: {androidx/recyclerview/widget, 152fe09a55596b6a57f043c40d20617c}
x: {x, 2e3e4df07efd269ff9015ae589198c6b}
u5: {u5, 0a0f53fd5e33de7e325c1fd7a2f99abc}
r0: {r0, e68e295f777ae79e00edefaa617b376f}
