androidx/appcompat: {androidx/appcompat, 65ac335b54de4eb18e46438deeb77cff}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 067d0d28014f09dff062a1d2af57135a}
androidx/arch/core: {androidx/arch/core, 1f4d92c078a1c2776b4bddd63b3f1841}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, 4201dfaa18902b19d06c079ed845d109}
io/ona/kujaku: {io/ona/kujaku, e4209a4adacca113c3d5d1acf1005e99}
okhttp3/internal: {okhttp3/internal, 5ceb07dcadb43c2be95d7cd963daac14}
androidx/legacy/content: {androidx/legacy/content, 6f17542208ee49d01c4f55a89a691e19}
io/reactivex: {io/reactivex, 83158f4780b25f763640275a7c8a184b}
org/json: {org/json, 81a57f5c1dd9a0bc1f0edd98596d0582}
org/kxml2/kdom: {org/kxml2/kdom, 74f0822f1b05d145c17d925af746290f}
org/threeten/bp: {org/threeten/bp, f4793959e3f1e074e27f90a0832a6a4f}
androidx/gridlayout: {androidx/gridlayout, 4df2569adcaab5bb61fdaa158c487fd2}
org/bouncycastle/pqc: {[org/bouncycastle/pqc, org/bouncycastle/math, org/bouncycastle/asn1, ], 97d48891d2b2c2f5fe9222d744cde610}
retrofit2: {retrofit2, 1914840b85a43318f29c988f9931aad5}
kotlin/collections: {kotlin/collections, 565d734f2b71ea292490d8e4623fbb8b}
com/mapbox/mapboxsdk: {[com/mapbox/geojson, com/mapbox/android, com/mapbox/mapboxsdk, ], 0e4c5ed5dd13bd86b028bb566239835b}
androidx/customview/widget: {androidx/customview/widget, b689d7da8419efc4c52538e974070cb9}
com/carrotsearch/hppc: {com/carrotsearch/hppc, 8aeb214f73bbc0342ec6d2ae0e96d066}
kotlin: {kotlin, c905602ee72bf79e4c1889ef1f7f2b73}
org/commonmark/parser: {[org/commonmark/internal, org/commonmark/node, org/commonmark/parser, ], 12bd2bea0a4cba5e82049a63abc24b67}
androidx/dynamicanimation/animation: {androidx/dynamicanimation/animation, f8723697165c7af78ed2ca00693bd829}
kotlin/coroutines: {kotlin/coroutines, 05de5bd0e479348c4d7bb2939a3a19cb}
androidx/interpolator/view: {androidx/interpolator/view, 4e2f8fdaa8dc2c56837403429e0cded4}
org/kxml2/io: {org/kxml2/io, f01ced6d4ed04a710411cec4917ad676}
com/fasterxml/jackson: {com/fasterxml/jackson, 3438d7cc204d647072237ec65a12252b}
androidx/work: {androidx/work, ea30a1c285178ff279c149f0ed26a1ca}
com/google/firebase: {[com/google/firebase, com/google/android, com/google/ads, ], 65d30f752f3ba85bf938fb3c82392b5d}
org/jsoup: {org/jsoup, 34590dacaa05935be2bffac0fb2db457}
com/bumptech/glide: {com/bumptech/glide, 5a234918288060b3ffd40634aa4423dd}
androidx/constraintlayout/solver: {androidx/constraintlayout/solver, 752d28c3539aa4f82bbd543dba25c50a}
okhttp3/tls: {okhttp3/tls, d201c508f1b10e370c752a482c7ea558}
kotlin/ranges: {kotlin/ranges, 95e247b0670cc63088d29ee2a41ce81f}
com/google/gson: {com/google/gson, 1d1f5c76c06c6b47e02b2ceb00ae186c}
okio: {okio, 9843c0810ce95aeee7c9362a500665f9}
androidx/drawerlayout/widget: {androidx/drawerlayout/widget, c4149673c0d0f81317424eab371a5021}
