androidx/appcompat: {androidx/appcompat, 020fd8c77923211dfa8e66950b876db5}
androidx/exifinterface/media: {androidx/exifinterface/media, 0ce405c1e8c0953deff1a198dbb96b82}
androidx/versionedparcelable: {androidx/versionedparcelable, b65ef951e712612481c023fd23636dcd}
okhttp3: {okhttp3, 1137a3585214fae702322e52e2abb35a}
androidx/core: {androidx/core, 9e2fda9fbf1237fe1f55efb2426b79e4}
androidx/collection: {androidx/collection, 4f17691306928f364f57fe5f2ff3dfc5}
androidx/transition: {androidx/transition, 4ec2b1390d199f5b5e875d5b5b4f494a}
coil/request: {coil/request, df24435ed561fcda17dab53e7d40013b}
com/rometools/utils: {com/rometools/utils, 8493519dcb33c3897663e14cfa97a7de}
coil/key: {coil/key, a9dd6acb1ab346edf09cc5c30b46b8c1}
androidx/hilt/navigation: {androidx/hilt/navigation, bdddf73bee080123bbf00ea356300711}
org/slf4j: {org/slf4j, 3acceb3a31e78521ea2ec0407fd454b3}
androidx/browser/customtabs: {androidx/browser/customtabs, b0d5dbfcb0826b06c8e1c6f7a3e6c212}
com/google/android: {com/google/android, 01810eb7bac53e3aa75e5da1181cf7b8}
coil/target: {coil/target, a1a9874d88a32d4628cf207e78b4eb52}
androidx/customview/view: {androidx/customview/view, 5ff62cf777028cdafa769cadbbee0236}
coil/network: {coil/network, 56dac4027a91412a55b0499639be8abe}
androidx/recyclerview: {androidx/recyclerview, 2eec5ef7c30bac546d430d52e741dd5a}
kotlin/comparisons: {kotlin/comparisons, 85ec3311a7d99eb8296022c9bacdf018}
com/google/accompanist: {com/google/accompanist, 19b88827b5300f4cd9f0b46aab97dcb0}
kotlin/jvm: {kotlin/jvm, a7225d821da74a1d6a7ab56ae5326f7f}
coil/size: {coil/size, 88a187d5ddb51450c5b2c830c28f4119}
kotlin/io: {kotlin/io, 47b5c988df477e0102601a4a390c9f09}
androidx/profileinstaller: {androidx/profileinstaller, 7276895702023ef444c84462042f395d}
androidx/compose/material3: {androidx/compose/material3, 9babeffa28728798581098eb7b8d02b1}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 9fe2837f51db76f7cb939a989872fc48}
androidx/sqlite/util: {androidx/sqlite/util, 42f098719dafa505203dce530246c37a}
dagger/internal: {dagger/internal, d5fe428675041969c8d07dd43c3d7bf1}
coil/memory: {coil/memory, c1404a482319864f0617c1c03a406921}
javax/inject: {javax/inject, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/compose/material: {androidx/compose/material, e53c92bceba8d257d645c1770a90808f}
me/ash/reader: {me/ash/reader, 59d0fed6d60652c332e5a59e9bb2fd00}
coil/decode: {coil/decode, f8541313403a1f491db81c652142ac73}
androidx/customview/poolingcontainer: {androidx/customview/poolingcontainer, 40bc7967c3a0ebfc03866347d79eb7f9}
androidx/arch/core: {androidx/arch/core, 2a9a26f27b5c22af3311f86e9fbf156f}
net/dankito/readability4j: {net/dankito/readability4j, 5ff02eaf823b1bb94930a90b06ebbeb8}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, 3d6cc7ccdd0d6e114aec22fc4f3725d9}
okhttp3/internal: {okhttp3/internal, 20d0f6aff55dc518b093c8cb30dab5c3}
be/ceau/opml: {be/ceau/opml, f22b4a89ab2ac7507b5c85654d02771d}
androidx/datastore/core: {androidx/datastore/core, 3ca59ef9a6ba4921c0bb2b83662e8526}
okio/internal: {okio/internal, b203bbf12ad2e380edc26ca077880d0a}
retrofit2: {retrofit2, 361c8d4eceb613d5222e69f4c54aa2d6}
kotlin/collections: {kotlin/collections, b955acaeb1e88e1da33d5918e44bd7dc}
androidx/fragment: {androidx/fragment, 845303cc5dee0dc457c13277ab68f0c9}
androidx/customview/widget: {androidx/customview/widget, 38d082b25c8350299492a9fcbe22158f}
kotlin: {kotlin, 653cec547011b298b39a3179411f4c36}
kotlin/coroutines: {kotlin/coroutines, 722577547651b1b39af375b773656bcd}
dagger/hilt: {dagger/hilt, 7faf9d34b4bc36d7111fcab26208d9a4}
coil/transform: {coil/transform, e3c0a425ec2c47b67599a8ff5554c565}
androidx/compose/animation: {androidx/compose/animation, 793e1f65ce6fda007e66396b607594ef}
androidx/interpolator/view: {androidx/interpolator/view, 5ecd05c851231d6c149245d383f9310e}
okhttp3/internal/http2: {[okhttp3/internal/concurrent, okhttp3/internal/http2, ], e795b1da2006701019917eb8d040d83a}
org/jdom2: {org/jdom2, 4f187cc0d1c136075043317eeb4ee663}
org/xmlpull/v1: {org/xmlpull/v1, d4d536dbdf23ab3ed3fa0cd99a020ad9}
okio: {okio, 6029e324880836608cb436690b803f14}
androidx/paging: {androidx/paging, a905aabc976dbf15d5e0c9a3878570ef}
androidx/work: {androidx/work, 081f0f83fdc977472ef754d750b4c4f8}
kotlin/time: {kotlin/time, ac98cf6851a5bc521cf91e895c48bdbb}
retrofit2/converter/gson: {retrofit2/converter/gson, 41ffd48d149e95de6f731ab3f5b2d8c9}
org/jsoup: {org/jsoup, bba96c6a2afd546d154f8362d2847435}
com/rometools/rome: {com/rometools/rome, fc90355bf490f8320c06fdd807fd01ab}
coil/disk: {coil/disk, 66bf575e3f4092f8bd1fed3bf164b261}
androidx/constraintlayout/solver: {androidx/constraintlayout/solver, c70a8776253c6ec2d8360c7958009b2d}
kotlin/ranges: {kotlin/ranges, 6472037f7e05856fd8696b6e054c9b0e}
androidx/tracing: {androidx/tracing, 7dba6df8ebc1936fac5eee6c2d35023c}
com/google/gson: {com/google/gson, cf42e60f42b757bd0570e5a3eab51bf3}
coil/util: {coil/util, 092c107eb634ca91bfab4a6f14107bfa}
coil/transition: {coil/transition, 6880aef7266b69f8a5b3845ab1f2db20}
