androidx/appcompat: {androidx/appcompat, 1c23910e4aa12227af0cde9cc62d0c09}
androidx/versionedparcelable: {androidx/versionedparcelable, 3a5149ac0b0c7ea75fd44982a09320d7}
okhttp3: {okhttp3, 1e7f002cb84873df2bc9d7e1b6596c0c}
android/view: {android/view, de1c2b92945417ecd988923d07abfa41}
androidx/core: {androidx/core, 2369982cdb5eff75562a3bf4a4dd90a1}
com/materialkolor/hct: {com/materialkolor/hct, 65f813322c1fdedf30cfab14834d101a}
kotlinx/serialization: {kotlinx/serialization, 7e5b2779fc79ae3c7b8da10e69c59dfb}
androidx/transition: {androidx/transition, 3668c1745903f206a34db11c518b86ec}
coil/request: {coil/request, f8d0860dc0e31b2049fafb7bc44cfcf4}
dagger/spi/internal: {dagger/spi/internal, a57d25a1760b698853c2a0c1273f3bd7}
coil/key: {coil/key, fdec7c141703560d86df48660ec7814f}
androidx/browser/customtabs: {androidx/browser/customtabs, 7f0f5a8c488ca4c48c5185a1fc5c90a7}
kotlin/jvm/internal: {kotlin/jvm/internal, 935503c283eb77da05a61a030d35f245}
com/google/android: {com/google/android, d1e9fe9d6e215f60ab3add096b002f95}
kotlin/jvm/functions: {kotlin/jvm/functions, 40b355d1a8a50b1a2eb6e130b393cb2e}
android/app: {android/app, de1c2b92945417ecd988923d07abfa41}
coil/target: {coil/target, acf7ef943fdeb3cbfed8dd0d8f584731}
com/squareup/javapoet: {com/squareup/javapoet, 375cdb8115cc47a540413d10c282cc32}
androidx/customview/view: {androidx/customview/view, 91981a7a670542b63bfc973528d709aa}
coil/network: {coil/network, 9bcc8b616d4b66543309a862c4a10350}
android/support/customtabs: {android/support/customtabs, 859d64c5132b521f891faf968590daf3}
androidx/recyclerview: {androidx/recyclerview, 0ff00ba7d8cd8ae7fbddd1a8525b1fa0}
kotlin/comparisons: {kotlin/comparisons, b58ac6c1eaa9f19fee922b61903e5e89}
com/google/accompanist: {com/google/accompanist, f495d7441f8dfc80712caeec85e9c9a5}
org/jsoup/nodes: {[org/jsoup/nodes, org/jsoup/parser, org/jsoup/select, ], a6f7ff691bfaa4c1de8ed6507e668a85}
coil/size: {coil/size, fcf8d6e89349a9d9d6e105c6d3bd751d}
kotlin/io: {kotlin/io, a87f7ea72b788b09d470f9ab4b88ed57}
androidx/compose/runtime: {androidx/compose/runtime, 293149794baa220c6e2088996c44fa23}
androidx/profileinstaller: {androidx/profileinstaller, 26bf3ff136692de86303bef76ebdeab1}
androidx/compose/material3: {androidx/compose/material3, a7e23152d3a3f4709555af1cd8259010}
androidx/emoji2/text: {androidx/emoji2/text, e8ff5b9785992a014bef0cb70010f4db}
com/google/protobuf: {com/google/protobuf, 0419b100383c8f83b7d762b6bbe7637a}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 1747860d35cd82669ca198d3e53902f2}
androidx/sqlite/util: {androidx/sqlite/util, 46d0be06680936d761777c657e062f0f}
dagger/internal: {dagger/internal, 55819bb8e35fdecba0996181c919803a}
coil/memory: {coil/memory, dcba089a3996f898bcf7434b8ea3b5cd}
androidx/compose/material: {androidx/compose/material, 9ba5282aa01fcdc2659286fba0aacf46}
coil/decode: {coil/decode, 16edc18ee8772354ba1354b12c1e9ac5}
androidx/customview/poolingcontainer: {androidx/customview/poolingcontainer, dfeb8c23a20731e9fbcfbf28b235fe78}
androidx/arch/core: {androidx/arch/core, 8d6c6052744d6bcae101d4f3a87f428f}
kotlin/properties: {kotlin/properties, 8725087b51722f7a21645a8c786aa495}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, ca6d8e2d107a43c9b2d5584b9009929f}
okhttp3/internal: {okhttp3/internal, e510736cfa563f6469003108314d8068}
okio/internal: {okio/internal, 949706cc237ddfbddeb91ab23726e30d}
androidx/concurrent/futures: {androidx/concurrent/futures, 15ab4dfdf9db8984475e53c627ac7501}
retrofit2: {retrofit2, 1c0aa72cf66b785d3fd87d96f4e22c48}
kotlin/collections: {kotlin/collections, b81fe3e06ef72ee4406f983ba6b9fd3a}
androidx/fragment: {androidx/fragment, a189af67815a008917d54f7b493ceb78}
com/materialkolor/utils: {com/materialkolor/utils, bde4514d4ebc5c08000e4f3cf11b7353}
androidx/datastore: {androidx/datastore, b4a80e8d6d994640627300f3427d1426}
androidx/customview/widget: {androidx/customview/widget, 59b39c9215830c34206a165ab66095d5}
kotlin: {kotlin, 949723df38095e3a545d0fb50de1ccf2}
com/squareup/kotlinpoet: {com/squareup/kotlinpoet, ec435c31ae4ba383faf28fa9fd319e26}
kotlin/coroutines: {kotlin/coroutines, c2d0b64e79bc7bb3b86d2740962e37de}
androidx/compose/animation: {androidx/compose/animation, ff0ee75f20522fb65894a19b9166b202}
com/geekorum/ttrss: {[com/geekorum/ttrss, com/geekorum/aboutoss, com/geekorum/geekdroid, ], cd7aa33f5a1f50412b9aa875e19ec8e9}
androidx/interpolator/view: {androidx/interpolator/view, 550d9160df6aca4f53bbdd4bfb6e1728}
okhttp3/internal/http2: {[okhttp3/internal/concurrent, okhttp3/internal/http2, ], 41a465de7e009c2ec3e0df4711f2ca9a}
androidx/window/layout: {androidx/window/layout, 76fa13b3ab9c8c1d4301a1cdd103d0b1}
okio: {okio, 4a2c2e5c36809bfe5596c405d7c55538}
androidx/paging: {androidx/paging, e66b82572e0be013b208b6b77c3484ff}
androidx/emoji2/viewsintegration: {androidx/emoji2/viewsintegration, 2632cc460cbd9006ab0b36e027c0840c}
androidx/work: {androidx/work, dac027957645a9779f6b9956dcaa6b1c}
kotlin/time: {kotlin/time, d35208e9728efd9e9cb4910f2f96ec35}
_COROUTINE: {_COROUTINE, 100e4c3f4d3f406beeff83b3ce744c38}
javax/inject: {javax/inject, acf7ef943fdeb3cbfed8dd0d8f584731}
coil/disk: {coil/disk, 80401985871571e7808fb3d5f45bbf2a}
kotlin/ranges: {kotlin/ranges, b4116719a5bc6f2d19f698aefa1dd2c7}
androidx/tracing: {androidx/tracing, 4a265400b5b24d8d8d061fc83c10d1e4}
coil/util: {coil/util, 3e77d73d41d5d4c40b2f93b9b4a883ba}
coil/transition: {coil/transition, 4fed3948588ae2343389be1761a7de98}
