androidx/appcompat: {androidx/appcompat, 4f03325a700821aa7bf47dfc008fc66d}
io/realm: {io/realm, ac22d65768b21fa736c49ec91a114f39}
com/klinker/android: {com/klinker/android, b5e897653fa39052bb39c466275a36c4}
androidx/lifecycle: {androidx/lifecycle, 3059070cb012d2aa4bbe88139823782b}
com/uber/rxdogtag: {com/uber/rxdogtag, ecb1be681b64827414364deffa44461c}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, 8863920b6fcfe6564b9533cdad0d8bd1}
kotlin/reflect: {kotlin/reflect, 3a4def0acd569ba977c6993d1822d947}
kotlin/text: {kotlin/text, 0e6e133aa7fa23aa43072d9634db7bda}
android/graphics: {android/graphics, 0c6023f667bc146b36f40471bfa49668}
androidx/versionedparcelable: {androidx/versionedparcelable, 3c0b0cbe15f96b150d5ae7ff3607eb47}
android/view: {android/view, 78b9d25652f226d8ff75a334a2ed56ae}
androidx/core: {androidx/core, 23914187cf49a96abf407c43975abb56}
androidx/collection: {androidx/collection, cee1a707d1e793b82bb3c033b4adbbec}
ezvcard/parameter: {ezvcard/parameter, 0930601fdc0ce2e35a4eb2dfa1715156}
android/content/pm: {android/content/pm, c84b86552730d0c6b11b85a278d387b8}
androidx/transition: {androidx/transition, 20b5bade0723311a630bbd9fea9d4cd9}
io/michaelrocks/libphonenumber: {io/michaelrocks/libphonenumber, 38d84701c03df836f52e95faa4186127}
kotlin/reflect/full: {[kotlin/reflect/jvm, kotlin/reflect/full, ], af5d62ec860c54c804c2437e0fc72274}
androidx/viewpager/widget: {androidx/viewpager/widget, 12a321ef9515259d33d5e811a3772150}
android/app: {android/app, c79790ea02812241d36bcb8544ea7701}
androidx/viewpager2: {androidx/viewpager2, b32a17ed00537c336ddd9205fee5b892}
androidx/customview/view: {androidx/customview/view, c3b3beb9393315adfa34bad026d4a89d}
ezvcard/io: {ezvcard/io, 1ea8acf483ece066a6d81f0346c46d37}
androidx/recyclerview: {androidx/recyclerview, 27d9600afc8dd49d8449857dbc5c4adf}
kotlin/comparisons: {kotlin/comparisons, 6839ce50b25edcf0eb43344c1137f45c}
kotlin/jvm: {kotlin/jvm, 971152db02fadcb655163d2a742057e9}
kotlin/io: {kotlin/io, 9749cff718522b69ad75d908af0c1e04}
org/bson/assertions: {org/bson/assertions, 7afdbae2f913894768212665f23f58d8}
com/callcontrol/datashare: {com/callcontrol/datashare, 76470a65c893e6649f3603f0658fe2a7}
android/net: {android/net, 25f57c6c2dd10f3b03234b0f7a72aea0}
androidx/text/emoji: {androidx/text/emoji, c3594e612581bf824cacaacdd90b7254}
com/f2prateek/rx: {com/f2prateek/rx, 45c1215cea8ea88d9ca2b98c1b9b6f43}
org/reactivestreams: {org/reactivestreams, 907475feef0ab7fa1cd750a3bc58c144}
com/github/mangstadt: {com/github/mangstadt, 8dbf7e5ceb4b2e33ad60e37a73607724}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 318a7f65e87b56fc9b31b12677712118}
dagger/android: {dagger/android, 7fc56998576ad912e2f29eb632d00c46}
dagger/internal: {dagger/internal, 6587da8de1744c419a8d55a61b3247b4}
com/squareup/moshi: {com/squareup/moshi, d01f4355615377f4c75d49990628995c}
androidx/arch/core: {androidx/arch/core, 6923aa8af98629ece7043bfc2ccfdf10}
kotlin/properties: {kotlin/properties, bf005215bcfbeaaf96b3a5260a18e291}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, 8c4edbce61101ca4da83089da8a3cf87}
ezvcard: {ezvcard, 187d245aeadca8ee78512734f770127d}
okio/internal: {okio/internal, 36d8eaf68de67064a580005eb1bae3cf}
kotlin/collections: {kotlin/collections, caef105381d09095483dd0331a3ba16f}
androidx/fragment: {androidx/fragment, 96c380513d4131c376503bd86b99326b}
com/android/mms: {com/android/mms, e37125b17319f8ffa05ebf1e41420bde}
org/bson/types: {org/bson/types, 16a72dc1b2a099f991466d3de464798c}
androidx/customview/widget: {androidx/customview/widget, 2336eb1acb0316505ef426be5b1fdc63}
org/w3c/dom: {org/w3c/dom, f72492a10d6cff7e93910b234acaba2f}
kotlin: {kotlin, d4670f8aa1ebf602a0ab1eac7d2b7be3}
kotlin/coroutines: {kotlin/coroutines, d11beff6c4af1babdf33a2efb8087ff0}
androidx/emoji: {androidx/emoji, fc7431f4f1c11e0890f543356ffd14d3}
com/moez/QKSMS: {com/moez/QKSMS, f9e176e8abc9000d8c9b5436adf9aaac}
androidx/interpolator/view: {androidx/interpolator/view, b0cd30ad7edc905a01d8c1d4b1903fa4}
com/bluelinelabs/conductor: {com/bluelinelabs/conductor, 4cf7ef97fb2ea928e4e7f3725f9bb728}
android/text: {android/text, 2733e2836e342a73565f1c4a6d88cd13}
javax/inject: {javax/inject, acf7ef943fdeb3cbfed8dd0d8f584731}
com/bumptech/glide: {com/bumptech/glide, 08d3f31ac67351c0dab0f65fd26dbdf1}
androidx/constraintlayout/solver: {androidx/constraintlayout/solver, 891ef18a859af65f5158bb21e547d455}
kotlin/ranges: {kotlin/ranges, 3b63a236cec6cba8c23131926f6b9ce2}
androidx/tracing: {androidx/tracing, d70813e462fcef330b6af75eedc15146}
com/github/chrisbanes: {com/github/chrisbanes, 2a7441094708ecec91b439f8cdc3824d}
okio: {okio, 3839f2411726f5e4d36feda0e79cec56}
androidx/drawerlayout/widget: {androidx/drawerlayout/widget, 34943eb6bfbba54cc4a8a8e490b26cc0}
