coil: {coil, eceb3d6994f71d8a76000a3fce4511d3}
androidx/core/accessibilityservice: {androidx/core/accessibilityservice, 85be6440d215eea83e41356750e16c81}
kotlin/reflect: {kotlin/reflect, 2d95edf66988747bfca737b02ed87c86}
kotlin/text: {kotlin/text, 90f5207378bce6c4c82e3d2a646024ef}
androidx/viewbinding: {androidx/viewbinding, 61f2b4afed0f1597c0c1760651a2e4a1}
androidx/versionedparcelable: {androidx/versionedparcelable, 6103aa01854bedee9f77486834bca5d9}
coil/transition: {coil/transition, ad9493afcf770a7d6bf0c74b26cf4a4e}
androidx/swiperefreshlayout/widget: {androidx/swiperefreshlayout/widget, 31b8adf99a61225b1752472cb2cfa7d7}
androidx/collection: {androidx/collection, dc2eadf372ff78d9c36267694a6a3b61}
androidx/transition: {androidx/transition, 4d24da459ba74d99ff6024553189de04}
coil/request: {coil/request, 5a5ecf72812f208003633eef3b866a83}
androidx/multidex: {androidx/multidex, 5e506a0028d03ff0a14785db77a42cc8}
coil/key: {coil/key, ae9b240750b2c53f59679e8016767c89}
androidx/viewpager/widget: {androidx/viewpager/widget, a00b8328b5af55c6142274a0b9f982bd}
com/google/android: {com/google/android, a02ec091f4e76b7c7fefd5a4fdaaeaf8}
com/mikepenz/iconics: {com/mikepenz/iconics, 8bdd9bfaadae088928e950ffae4b6264}
kotlin/jdk7: {kotlin/jdk7, 49815e47fe04b410a548e5ea0bf0dddf}
coil/target: {coil/target, 55ff299c36a1b6dc943b26d6869edb39}
androidx/core/database: {androidx/core/database, e7ea723adcf1b58888562044c239c839}
androidx/core/app: {androidx/core/app, cbb3ba22445fbc83315259aea4f9a945}
androidx/fragment/app: {androidx/fragment/app, e7ab65384aaf4e75e09047b6255ee556}
coil/network: {coil/network, ad73ccfb820b2723a5d95d4e533935c5}
androidx/core/transition: {androidx/core/transition, 21535385a5db1330666bf2eac21c0989}
kotlin/comparisons: {kotlin/comparisons, eed26f00efa79c8e263d2fece5932752}
androidx/slidingpanelayout/widget: {androidx/slidingpanelayout/widget, 3dae85653fc711f6eadd9ffab5414989}
kotlin/jvm: {kotlin/jvm, ca4b05a2a4e2326e6f901a0aace30c0e}
coil/size: {coil/size, c70b476c0e3e1a51560d0315111166eb}
kotlin/io: {kotlin/io, 5ddd23abf86476be8b93b2495f95dd05}
com/google/errorprone: {com/google/errorprone, 490aec19a7c612fd9bfafffb9dacde26}
androidx/profileinstaller: {androidx/profileinstaller, 0b7a05b0b1f77dafbdf928163e0a3190}
androidx/appcompat/view: {androidx/appcompat/view, 83630b768a693033efab5e50dfb26634}
androidx/appcompat/widget: {androidx/appcompat/widget, fa1379672aee72fa3a7ed9b0942abb25}
androidx/emoji2/text: {androidx/emoji2/text, 52142b75d5dd9e1929946c7a0f98639b}
androidx/core/text: {androidx/core/text, 6e9ea5ca2b543de9936bfc32367415b2}
androidx/core/math: {androidx/core/math, a01bb84adf7ac3f6922e479752bcc8e8}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 9666b0ad32f86438178ab46e7fe90dbb}
androidx/core/net: {androidx/core/net, 59243f47b2a7287056ca6f2c09375f56}
androidx/appcompat/app: {androidx/appcompat/app, ba0526ba9c80b8516942a22c4e7eb1ba}
com/mikepenz/itemanimators: {com/mikepenz/itemanimators, 68143893c970a59964b4332e4e8128b7}
coil/memory: {coil/memory, cc8558989f793874bec6f0227b3905a4}
androidx/localbroadcastmanager/content: {androidx/localbroadcastmanager/content, ff6d066a940533b15d6ee313ed9faf96}
androidx/customview/view: {androidx/customview/view, c0ffd29892542c28700ce6d54296a0b4}
androidx/core/view: {androidx/core/view, 6530bea9da66403e0c00f9215c7f4cb3}
coil/decode: {coil/decode, 83235066984f361b7f7e075e22f0f7eb}
androidx/customview/poolingcontainer: {androidx/customview/poolingcontainer, 1373bb53f32d1178dedf1b90d3373460}
androidx/arch/core: {androidx/arch/core, ca59e21f4a3c4c4a6b8b6f9d9cc53915}
kotlin/properties: {kotlin/properties, f87a87173896d1b39a69979b89311a30}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, 13ff4924df62f9fec4cc581aaf4a6e1d}
kotlin/system: {kotlin/system, a9293fe916790945a5e5a4fb7307c648}
androidx/legacy/content: {androidx/legacy/content, e6caef7c94e15399d37cdbe70f889003}
com/mikepenz/crossfader: {com/mikepenz/crossfader, c457e686be754a46fa7d7b3e3d20604a}
androidx/core/util: {androidx/core/util, 7716b5e774315e654d46223436ba895e}
androidx/core/location: {androidx/core/location, ace1b1cd866b0b5a0a4a86b3eb4b6436}
androidx/appcompat/text: {androidx/appcompat/text, d093f3325b115a8e86fe7e7c550024aa}
androidx/concurrent/futures: {androidx/concurrent/futures, 086dcf7afbef61cbf062f66115b883e8}
kotlin/collections: {kotlin/collections, 748970d65170886ab957a0ce652a4774}
kotlin/contracts: {kotlin/contracts, 22b9d8be7f5f1239cdf7ff3c6a091a13}
androidx/customview/widget: {androidx/customview/widget, 7564ec70ba7a5754fe4e085b6a750ebe}
kotlin: {kotlin, 4840b8795ca8bb9a8b71ef453fcd11ae}
androidx/appcompat/resources: {androidx/appcompat/resources, 20db3dcd7a7353b3d3793a4960d8a933}
com/mikepenz/aboutlibraries: {[com/mikepenz/aboutlibraries, com/mikepenz/fastadapter, ], 872be6558466e53be1e1d77655d1702c}
androidx/core/content: {androidx/core/content, 0c09d4e6e4eeacf91b6e8ea3b79d27f0}
kotlin/coroutines: {kotlin/coroutines, 52236e10181244e5e7970718a47bfd30}
kotlin/concurrent: {kotlin/concurrent, 366b1808abfee050c7252e97e8eb8da2}
coil/transform: {coil/transform, 9fc66b5204485199d66dbe4d1a31b5de}
androidx/core/telephony: {androidx/core/telephony, 3bb078db9cf0eb3ed97e6b1247676d1f}
androidx/interpolator/view: {androidx/interpolator/view, 26aa6343424125775f70c0b829773b62}
androidx/loader/content: {androidx/loader/content, 1980716b41c6394686f3aba431da832e}
androidx/viewpager2/widget: {androidx/viewpager2/widget, 35270d878d6f2496d5b184ca2e44c46f}
androidx/coordinatorlayout/widget: {androidx/coordinatorlayout/widget, b58b1e10cdaf9f113ac08a55428a3a30}
androidx/emoji2/viewsintegration: {androidx/emoji2/viewsintegration, 41eda15b366c2b9a402d49b7f30bfd6f}
androidx/appcompat/graphics: {androidx/appcompat/graphics, 5b38edd22dcb07ef1034710a61c26ab4}
kotlin/time: {kotlin/time, e438ea4155439aea295751bfa3a1d214}
_COROUTINE: {_COROUTINE, d932eb1f5a20ed9c56513edfad3692f2}
androidx/resourceinspection/annotation: {androidx/resourceinspection/annotation, a4bd91c515d62e517c2896e81b40cc24}
androidx/exifinterface/media: {androidx/exifinterface/media, 3f630a62b20c865736c9925192ec8615}
androidx/print: {androidx/print, 355fafb7665557ec7a0e27540d37bcec}
coil/disk: {coil/disk, e1815722a6432b53114060f0feed1ab9}
kotlin/ranges: {kotlin/ranges, f46d3879ceb7bb373169281d61b1e7e5}
androidx/tracing: {androidx/tracing, 53e86821696e1d7ba98e1e73c22e4c99}
coil/util: {coil/util, 20fd469e4c0d69dd7789eb36b51303b7}
androidx/recyclerview/widget: {androidx/recyclerview/widget, 5ead430c4728fab47fe0eedb575a46d8}
androidx/drawerlayout/widget: {androidx/drawerlayout/widget, e3d16368ccb360f508daffd6de97e51e}
