a6: {a6, 093c99d6891787218018866fb3062b15}
c: {c, 9b1f32c44d1064763ec6d597bb4289ac}
k0: {k0, be5e72e16f4da8e8f05f24d12b61fa47}
dagger/hilt/android: {dagger/hilt/android, 7e7a2dc716c2d96103680127174c28db}
androidx/core/provider: {androidx/core/provider, eb573c48020169b31187e993267fb943}
androidx/viewpager2/adapter: {androidx/viewpager2/adapter, 3877cfb76b49926ccaa1be8ac23b3a71}
androidx/loader/app: {androidx/loader/app, 28ef0c65c62ae8000d09f2ac214158dc}
b3: {b3, c92ec2667ac1e85f37aabad948b86acb}
w2: {w2, 838100ca0fa5d89eb00bde6a3a502921}
q2: {q2, 4a2d64494b22b1f388ab0300ac2639ed}
e4: {e4, 828f01b6858c293abc10e992971c1202}
o2: {o2, 29b2bd3ba3718fb235e94a18d29e46d4}
m3: {m3, ccf3dce28b32d5271ea0b8cd4737f59c}
i2: {i2, cf6ee60abb9b3bb41d55c32e7f89fe38}
androidx/lifecycle: {androidx/lifecycle, 96d1eea04cdfc5de2e9d1ef2c68a274f}
c3: {c3, 9483a90fc6fe2287aec36d63d3fb8121}
a4: {a4, f8c45711c55c011f1b031afbff868970}
h4: {h4, b2a2955061ced04cd62af131e6ebbdc0}
t: {t, 30a9947dd32dc55ec6aabbd0a1b8b68b}
g2: {g2, 56f980fd9fca860b346ba0b45850dc5b}
j3: {j3, c24546a69ab141385a2fb21ff99db787}
androidx/exifinterface/media: {androidx/exifinterface/media, ebd0cf4f620d0579618e07e9e0cbfc17}
m4: {m4, 8521f4c6be314c2d2b6f65faa4395f88}
t4: {t4, 48f5ff95ed0ad50f794160e328acb869}
u2: {u2, cfa9f20c64e6625d961f52a898a86e51}
s: {s, b3408312f00466d9abd9f57ee4668f89}
d: {d, bfd65520b1aaecb9521bf5dd31147b2d}
androidx/startup: {androidx/startup, dfc77c869f6cbafe0176e365c6f2949b}
h3: {h3, fad84fb3992affb74732e19de5ed7eed}
n2: {n2, 098c1a35c8cee7c48b81d1d63fe602e3}
k3: {k3, 795e8f8c11b2dbfc9f9ec0d933ad6fb4}
p4: {p4, 64f8b3c2ce1b7cb81dfcaae636995ae2}
l: {l, c6752de459e471c1a6ebe62f2da62549}
b5: {b5, 28dd65699fc0cae7f468c616c9dd3fba}
f2: {f2, 1f19d70e0ce35e945eccaa45712701da}
d5: {d5, b0c75cd98442a202b0329a8ea907b868}
d2: {d2, 8c157269008b27ca91289805bef2ba71}
q1: {q1, 071df5a70fdf1ca262896ee81ce31067}
x1: {x1, fda8b749303ba126592faa8d2a3d3f37}
g3: {g3, 51c2e904db3767ae52b9af22017c6c9d}
r4: {r4, c334b74a672d8b84da61bba48eed3f10}
b0: {b0, 71cc1a6b06946d3d0f0ad3687684e9e1}
y5: {y5, 525500da40a6a1c787a9b24e97644e39}
m2: {m2, 876c7b734c05cdb9296479da6778a42f}
d1: {d1, 9f4a33bce29e7d7df8659fb95fbedee8}
android/app: {android/app, c4e9eeb25e17c46354752ac4239a9772}
o5: {o5, 9ef1cda28821a7c2453cfe3f15448997}
h5: {h5, 612c3c4f407f02a6524571bf0a4dc3e4}
w5: {w5, 9548c977a51014e254a6e94394307762}
c2: {c2, edca3d725b0e4e2c05a5f61d18061baa}
a3: {a3, 8ab90eb72008fa210516cc448a71e0a2}
z4: {z4, 211486f089a32df63cd293236e1abb5a}
androidx/fragment/app: {androidx/fragment/app, f61ef85ae22b1d4da71c4fd2e4801984}
t5: {t5, e8a1cf3f53dfaccc41ac3b98f9720efa}
j0: {j0, ded3b4ebb7af6110f00b08941f7aae18}
l3: {l3, 2a181b0fabec127844075ec7d494032a}
n3: {n3, 86639cf485dccf7a4d39f1662f6f36f6}
u1: {u1, 5288f182db63f3658c72621c77bfb827}
e: {e, 1179ff190877f0b4afc063c41ab23cef}
p5: {p5, 028b199cd3ffffcce4f090b9ca6434f7}
d3: {d3, 794ebadc8ab567a7368d7d32c062d289}
l0: {l0, c9967d3de47bfb498badd0ae35a73635}
f3: {f3, 6d25163cbccc6e1064067d0734da3a82}
m: {m, e35682190a143ad9180134e5ccaeec2a}
e3: {e3, 02d27db2ac2756c6f17fd5360e2094c5}
v1: {v1, b55851d19470b16c7fa65527a5435e04}
y4: {y4, 716b1a7b4435aa4ab1172388fac8396d}
q0: {q0, d517a030722e3dd616719380a9c68b91}
f0: {f0, ffec01cbfa91f8712fa819c7222e87f6}
c5: {c5, f02d865e109ed7a03a811a4f414df175}
w4: {w4, 290dda0c67b2066b1e7190fe19f3a55a}
androidx/profileinstaller: {androidx/profileinstaller, 970bba5b3456dc430c62e1eed09bb540}
z2: {z2, f773333a882c60600566cb31fcbe29e5}
o4: {o4, bd01ec3e3a9f4fe0e0cc8c33458b5976}
m1: {m1, a91632f9c07f80d3159bd1abf9866d78}
b4: {b4, cf52b482a4601c94acfbaa6037e1c4e6}
x2: {x2, fe227ef60651d1b69430efb224f09e73}
v: {v, bfd500680846297b317557527dda11fb}
a2: {a2, c9027ce1010594a2e3107f49fa70214d}
h6: {h6, 77b35bdc7acd046c635377de35002aab}
androidx/core/text: {androidx/core/text, f482c4c3b1e5aa1eea5a84a9326767a6}
androidx/core/app: {androidx/core/app, efc7c307ab7b733b8d51e4f5c4cd1e85}
n0: {n0, 66579d6360916df308120f901aebd5bc}
u0: {u0, cf9d95c90f220f0d19204a3514bbb939}
k5: {k5, e608e8443cbbbb7a9d8fd5f5110a6d7d}
z5: {z5, fad6602d6a1a87954d60b822c8a8ce46}
i1: {i1, 4a756a9074e67a7272307325fde43d58}
f: {f, 2a266129dc47b5dc7333f57e67a69fc7}
l4: {l4, e0c5352923285216c096739ff254ca27}
n: {n, ef056bc1af96d755623a02e6cc96c9dd}
d4: {d4, 30f9bc06f2b0074adf09befbe0792d6d}
e2: {e2, fdc450c558e0c5b9ef075cd57d9bdd2f}
j1: {j1, 7bf175bfe252d333b6c5e2276e95ce0a}
u: {u, abc216d174699fe4f07495bf3f4232ba}
y3: {y3, 19e71e6e5bc51a2a87ce03d59b3d54f8}
s1: {s1, 3371068c7a78aa4f4d34190af9ace055}
o: {o, 345ba4d35916d9e417f55e7204a14436}
f1: {f1, 7c471ba1102121f0aac5ec68b14bf55d}
z3: {z3, bb00f793ee81de70880cfdc3ccc8d9a4}
a1: {a1, 63cd82ed2a5d8807db734a02dcf1b13e}
w: {w, 4de4b77ad277b6819a05776e72e3db40}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, 82ee7b2eadc5642a81a2320d06429c26}
coil/target: {coil/target, d8f2e0c18db3243453bc151b77b92462}
x3: {x3, 882e6dcbf28a56b891c92c5ac1512a1d}
g5: {g5, 30fca3c14c02be01bee2c6c9c0108bda}
k4: {k4, acf7ef943fdeb3cbfed8dd0d8f584731}
y: {y, d7eeb4d4d25a3f627ef8d26fe7e50b7f}
g: {g, 9eaa5f824bf7ad81cfa31cad95ff54c0}
n1: {n1, a9494948cf1d94cfd292ef6776c17de0}
androidx/core/util: {androidx/core/util, 0e1e5d82013623642d52b682bd96f1eb}
androidx/appcompat/widget: {androidx/appcompat/widget, 35e35cfd89f6ea062ec24f546b5ed7b9}
l5: {l5, 955662e25ce29cbb40f958826bc5bcd2}
i0: {i0, 8440c1afcdd2fdd0aff070aa79f27542}
androidx/appcompat/app: {androidx/appcompat/app, 5cec6085ca2faa119bc8408bae3bd8a7}
s0: {s0, cf24b89d3fc0fb696b6d616702f9d565}
u4: {u4, f1b45425971b20b0819be46349f56472}
androidx/concurrent/futures: {androidx/concurrent/futures, c79b657ec2ed51f6af9d8d03cecdfb87}
r2: {r2, 3561f5f58a902ed420277b740bc7d077}
e1: {e1, 176b07fb8d15e39195fe9c84f3c1d0b1}
j6: {j6, 0469e59a6d656d8bc83d120db29b6309}
y2: {y2, 928e17b43442db8e7c290c8baa0f4f76}
okhttp3/internal/publicsuffix: {okhttp3/internal/publicsuffix, 21d787cba43af45632a8ec189ff50245}
h: {h, c68f6f1be1b82ecb7b7a5773f6ad4d62}
s3: {s3, 585eb5701e00ccb1d1e70ed04fc11376}
x4: {x4, f7506d490c02062ab2a18ab614f18d9f}
androidx/core/view: {androidx/core/view, f758a087f2dcd2e93a3a454b0c0286e0}
p0: {p0, 7ae73a83316a23c752ccca4667ac30c4}
p: {p, 560ca9d8e48501c412e330c9ce4728cf}
androidx/emoji2/text: {androidx/emoji2/text, a764764a97cf4d219fc3f5c4ef62b799}
com/nikola/jakshic: {com/nikola/jakshic, b4c0cf03c9e19cbabf179b8954cf40d6}
z0: {z0, a026b9fd384a5aeba86a6a5c4cfead93}
a0: {a0, 2605b1cf66794ba3da73916c7ec56651}
h0: {h0, 10212a32d36ee90858170dfc17789584}
i6: {i6, 486b232efd58953a70e98667d061051d}
g4: {g4, cf98290ab8183de7bdb4e26d38ee9292}
androidx/coordinatorlayout/widget: {androidx/coordinatorlayout/widget, 132f5acbf4180fd8b0cb66a123fadc7a}
s5: {s5, b6f9dfb35a8b9e5dee5b66fb5df59a65}
m0: {m0, cb387e899f1e54751758c8043f61b0c9}
b6: {b6, ace35555934fc2a3804194d65d0b9b37}
v4: {v4, 68a12bedfe0dcda14b008eadc707082b}
e0: {e0, 8aebecc087a93e6c2a2aa0ae063ab61b}
r3: {r3, cfab41a720c93e4b0aa7b56383939a11}
androidx/viewpager2/widget: {androidx/viewpager2/widget, da13016f46867df992f67ce638ead9dc}
f6: {f6, 3247c7440eaf439a5acce0e169384f42}
c6: {c6, 03de6766fb753acd2d72af7731ee4faf}
l6: {l6, 93ff435ebf3f682f913e940375b7ea20}
x5: {x5, 8e40ba1c1af8d0163260b015aeaf3054}
i: {i, 01ede03c97dddd6c2b61642f72be0caa}
p1: {p1, fc63e2ffd9b0e537ed78f0dce24230bb}
s2: {s2, 6c08eb933489bafc7f669f0503e819f0}
q: {q, 7c14d6878cdbc7ead8a4c2351712abcb}
n4: {n4, b8595384246a6cde15e5fe2a26da0f8e}
y1: {y1, b4902a5b2288c52b8fdbb9f4821bc0e5}
o1: {o1, 6338429b3fac807fd330a47b60dfdcb1}
i5: {i5, bfb148b521c1fbb1212681d5d2ebf8ae}
v5: {v5, d5fc0b5606a5ad9ec2245547c27846ee}
a: {a, 4d8b2a27e3d2264f9aafd2adb0be5de7}
io/requery/android: {io/requery/android, d3b59ae97403d76a4839e97619c6736c}
t1: {t1, cf92eb601024ae18bbdce2e4b2dd7365}
androidx/versionedparcelable: {androidx/versionedparcelable, 51eb17dd26b6c5ae1ee44d8d3a49ac75}
j4: {j4, d76f64d8ae2d5fac51af2132138d8c73}
w1: {w1, fd093cc232a3cccb4854dd9ace254855}
coil/util: {coil/util, 403ed43587876215c4371f85cb62c76e}
q5: {q5, fa2d3a6fe3a127aa40b0d16246d7a378}
androidx/recyclerview/widget: {androidx/recyclerview/widget, 85d432fa59b6fcb0c5d835cb620eb0a1}
x: {x, 50ee4a5fdb497da1da57eef886f92aa6}
u5: {u5, 2844a612fbb4dc1f30690e47c84437eb}
k6: {k6, a9a79279d21f10762a15e698abf860cb}
r0: {r0, f96edf9e04250e70a09a47b819564c6b}
