androidx/appcompat: {androidx/appcompat, a2865ab3ce7be872fa2fda7636caab17}
androidx/versionedparcelable: {androidx/versionedparcelable, 75d2286be9300ddcd35ab4a20812d1ce}
okhttp3: {okhttp3, dc92415ab8b2c1af4b1168e100250e01}
androidx/core: {androidx/core, 54daeb6c7636a0d73d6b8eed6ef5845d}
androidx/collection: {androidx/collection, 14b8474d354b892e37f98b2b76e495b6}
androidx/transition: {androidx/transition, 301ab7c9f43b0b35587f5e5060a903e3}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, da87e1309ecf1a175c5c0a8df067da38}
androidx/cursoradapter: {androidx/cursoradapter, ce57f636c8568f5ffbc42ce9a778b40f}
com/commonsware/cwac: {com/commonsware/cwac, ad6049a73472405010bbb27509011ba7}
androidx/multidex: {androidx/multidex, 5f8337e0b9af4ec14fe7be07cb79d0f0}
androidx/legacy/widget: {androidx/legacy/widget, 82049910e9994fb88dab5c38292b7abd}
androidx/media: {androidx/media, 93187e2b0d72345a4bb06d0cce0fd294}
androidx/viewpager2: {androidx/viewpager2, df57d617c13fc20141608bf6e4528434}
androidx/documentfile: {androidx/documentfile, 9ac8d69c6cfce1a1dda4fe359af7e028}
org/apache/commons: {org/apache/commons, 6b9edc76268dcbb8e6c10eb097dd3738}
android/support/customtabs: {android/support/customtabs, ce54323de51089f18675b29b01e25c81}
org/mariotaku/library: {org/mariotaku/library, 33561408b9f321b988999685308ae6ee}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, be7b95b5e936d11ecd049cd3794356cb}
androidx/dynamicanimation: {androidx/dynamicanimation, aa737013145dcb9f7436fc0d73cfcece}
kotlin/jvm: {kotlin/jvm, 2b7eb54f10ecde9e1199f3f07835cdc7}
kotlin/io: {kotlin/io, 6cb7535f524a81c8f74e76a017026767}
androidx/loader: {androidx/loader, e78e5a2e161824b247815e74498e60f7}
androidx/interpolator: {androidx/interpolator, 9520954530ce7215903ebf692e2215c5}
androidx/coordinatorlayout: {androidx/coordinatorlayout, aaa0a4967523d38072a3e647b19d424f}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 551ca1f042e7539449a9840c2184f4e5}
dagger/internal: {dagger/internal, 9c6c0b66d6c47154da14ad4cd741c190}
androidx/slidingpanelayout: {androidx/slidingpanelayout, 8528ad3d434333164336d3f6f45bd5ec}
androidx/drawerlayout: {androidx/drawerlayout, a764d05b2a934d0aac6cddf583e6b58e}
androidx/legacy/coreui: {androidx/legacy/coreui, f5649c67bb0f45aebcffe7a7a3f8e869}
androidx/viewpager: {androidx/viewpager, b1cdad61b6957c2eccbe6d86be2bcb56}
androidx/exifinterface: {androidx/exifinterface, 74b86f48e94ee1b9630375364a7e9ca0}
org/mariotaku/twidere: {[org/mariotaku/restfu, org/mariotaku/twidere, org/mariotaku/chameleon, org/mariotaku/microblog, org/mariotaku/kpreferences, org/mariotaku/sqliteqb, ], d28d966e394f3a64a408e1e8c24eab0a}
kotlinx/android/extensions: {kotlinx/android/extensions, d50cf4d8f568038cbd18f5f281abda9b}
androidx/arch/core: {androidx/arch/core, 4aedd1b836e501b0e82521ff6824fb7f}
androidx/legacy/content: {androidx/legacy/content, 6f17542208ee49d01c4f55a89a691e19}
androidx/cardview: {androidx/cardview, 74ebf48089f5668f00fd35daf374fb0a}
androidx/concurrent/futures: {androidx/concurrent/futures, 2dfb3ebc8e31e480c3a7a62ea536eb3c}
kotlin/collections: {kotlin/collections, 064911c22e47a8aea5ff9515f9476d68}
androidx/fragment: {androidx/fragment, 14c97d66856e8f39df7214af5e04a289}
org/mariotaku/mediaviewer: {org/mariotaku/mediaviewer, acf7ef943fdeb3cbfed8dd0d8f584731}
kotlin: {kotlin, 0feb5e7dd033d17d9e62bda377aa385e}
com/davemorrissey/labs: {com/davemorrissey/labs, d91e41c8c8bb9f37657aba6cec165140}
org/mariotaku/ktextension: {org/mariotaku/ktextension, 3c77e4a7ff122599aca3c906eee76d0a}
kotlin/coroutines: {kotlin/coroutines, f9bf99107cb209823486033068124441}
androidx/recyclerview: {androidx/recyclerview, 0d4f12a0d4cafc6076a50ce2f19aacbb}
androidx/legacy/coreutils: {androidx/legacy/coreutils, da1c5c0e9e4d4de1ee6852a39fa1fee1}
com/fasterxml/jackson: {com/fasterxml/jackson, ab281948fe0d1c6a0bc9fb0293570d6d}
okio: {okio, 8dfda7c1e92bb6125742f91ebe4dfe64}
kotlin/text: {kotlin/text, 521c53d7a5967078e1e0dcc2c98737f0}
com/bluelinelabs/logansquare: {com/bluelinelabs/logansquare, b12003ef8f031a887c38c0eef255ef4d}
kotlin/time: {kotlin/time, e5c0fe62ef8d496d232169d47be57ab4}
javax/inject: {javax/inject, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/print: {androidx/print, 60bf5c11bd96ef5e4ddd65374fd1cb0c}
com/bumptech/glide: {com/bumptech/glide, 698bbef242837a4061edc67668a9be92}
androidx/constraintlayout/solver: {androidx/constraintlayout/solver, 987d69d8c1cd3656fe48f7a5131a0a40}
androidx/legacy/v4: {androidx/legacy/v4, f5649c67bb0f45aebcffe7a7a3f8e869}
kotlin/ranges: {kotlin/ranges, ead94b22c4c5a9827ebed9d7a93a8de0}
androidx/tracing: {androidx/tracing, 00ba871b13d3868284ed0b1147f7f736}
androidx/customview: {androidx/customview, e3afd51d514125c88fd913cbdcac855d}
org/intellij/lang: {org/intellij/lang, 72031a0fa55a4d161f71e493a97c6296}
