a6: {a6, e8de3815359f2f3bc3a50f73c1470cf5}
androidx/lifecycle: {androidx/lifecycle, ff516f953a6465b82b550496771d3700}
c3: {c3, c71a91d6ab6835122a0032db4b3cfd6f}
a4: {a4, cf12d7a49a013e28a0c979a23c90cc06}
h4: {h4, cd6c3fe0ad34fe0d0446a206f325383a}
t: {t, 3cc17bb91e8389bd63475bf612be3bde}
j8: {j8, 7c70127c8c53061a225c7620bef0b13f}
j3: {j3, 93d44966a2723139ff9a81918406d35d}
y7: {y7, c46668977e6912781a247c06f903885e}
micro/repl/ma7moud3ly: {micro/repl/ma7moud3ly, 98d7b05ab58743b30cf5677238607824}
t4: {t4, 3aa8861d64ecdcab49fd28059ae971a0}
u2: {u2, c84068c5eda9bf2c860ec143075eb08b}
s: {s, 3b73eee87c9640e58a253e4cd8eed80c}
c8: {c8, 5a59a5cc5f5f9a9a9bd31c74f4337dc2}
androidx/startup: {androidx/startup, 08c5775df7901f348750f14f4def3be5}
h3: {h3, b8badc76107c909bf2d9257ae84e7402}
n2: {n2, efe89ce680449f6e9be4e8eb614940a0}
k3: {k3, 3851c498ba4007d6e91686840d615fd5}
p4: {p4, 5d38afb4b948cccb304456f703c0f08e}
r7: {r7, 49b17447bf20f055a1dd951845aa2f95}
y0: {y0, fb69335716ce15a010c93a3fd1ee9aa2}
androidx/compose/material3: {androidx/compose/material3, f770e0af11c987ee68be48b5e84c901f}
f2: {f2, 576ad34c81d7e6acafe63feb7e5dddc7}
g8: {g8, 23c6aba4367a14a3ef86c370f621bfbb}
v0: {v0, 8d670b8e3276cf985f405298a04bd864}
org/eclipse/tm4e: {org/eclipse/tm4e, fbd0e7031d385f83fa5f06299bc9e093}
d2: {d2, 2d50bf578c4b015c6559c54c514d676b}
q1: {q1, c72dc09fbfba05dbad3d6e4a42bf4f6d}
i: {i, 0174a1c3e788dbed02ca69ca31d364ed}
x1: {x1, 99abc3ab3a01a5c5dc785f3bad699073}
g3: {g3, 4df3c0e3e1584d3fc7187d00666d8b1a}
r4: {r4, ea2c215e0a714c6c308c007769314a49}
androidx/compose/ui: {androidx/compose/ui, b09d560a6e7b69e0170ea92b737219d7}
b0: {b0, 218ec839a2ba765b5cb82468c4cfca60}
y5: {y5, 7e25aceecf888a111dab005d6b4c4436}
m2: {m2, 463ca9a08058645efe6940518377e47c}
s4: {s4, bfdbe5f2021576848de3580bef13d6be}
b8: {b8, 6958b12f14c93b3423c8ca230ebc762a}
o5: {o5, c0313e76a5c4eb6413a60091ef516bad}
h5: {h5, 95b0aeafdf1ad85b5043a8a3f67dcd98}
n8: {n8, c1636bd595297ccdb631abc51d2346fe}
i5: {i5, 54150dbe25e82cc15397be56c59bb98a}
c2: {c2, 38a711cc709937ab96e58bbddb91c972}
a3: {a3, ee2e6e56dde21e9dffd2a2ccee7c1bf8}
z4: {z4, 5307d7b83ea7b0ee3c8f55a601b91821}
androidx/fragment/app: {androidx/fragment/app, c7beda02cc207969a78271d8c71ffcbb}
t5: {t5, 9b0626af33962368439aed84d0d37a05}
j0: {j0, be73e072f3623f53d580d4a848c033bd}
l3: {l3, 03ccf49164aebf7baafabd380207a99d}
n3: {n3, 33a61c7d633eca52e9c799d4716d2f84}
u1: {u1, 20ad33fc808a2a597168591f2886f886}
e: {e, a0b2839a85b50d522fff0083f28f24ca}
p5: {p5, 60db471e91867724fd4ec7b03e7f1b1e}
d3: {d3, 607b08651b72910ddd9fc066b15e650e}
z6: {z6, d9b60710f50923ddd27ba7b908341f42}
f3: {f3, dfeb8c23a20731e9fbcfbf28b235fe78}
k2: {k2, e88d8a4f9b09ae6db3069192618b9a01}
m: {m, 6c444700cbf01abadaf2fd93f87787c7}
e3: {e3, d9b717359015cd06dd1a005b4cd9d80a}
v1: {v1, bd9319fae6278708348086de59ea78e8}
android/app: {android/app, c4e9eeb25e17c46354752ac4239a9772}
s7: {s7, 6707252eddec1dbf1013f5eabb410c08}
y4: {y4, af51c505c5d9ff3c181de60f1eaa7c86}
q0: {q0, f5c8371167c8fc352a246d7394b76843}
f0: {f0, c66ffeff127adfaee27905d00f5f3195}
u8: {u8, 325185f3f83b151ff4b4f5b82b5064c0}
androidx/core/app: {androidx/core/app, ce84b6a9787c9e0e8c1c6ba8fe27bc1c}
w4: {w4, c3456492a99ab0ef8cb5e92fb771fde0}
androidx/profileinstaller: {androidx/profileinstaller, a5ebc595ec3feae3a5cf55b7cd6ec083}
r5: {r5, 76e5b5a2ce350f259f512430d63e90ea}
f8: {f8, 5bd1050bd42657244787d7977689e595}
z2: {z2, 1b9bdf5d7a6744f9c65d1c60fcadc7f0}
o4: {o4, 0b5e0f84b244b9b8698e9c984d9777f3}
m1: {m1, 663500171c263aae393ec9f93a6f954e}
b4: {b4, 7f7e42a612f26ccab9ae6021fe26302e}
x2: {x2, 99d1bbb99080b7e28bcc34b0ba3bde86}
g2: {g2, 4b51ffc2c58e79e5db6c49fda688670c}
a2: {a2, 596cb833469c7d5615a2bc210937debf}
h6: {h6, 6a20fb15b770f2549b3853dd7209432e}
android/view: {android/view, 4051f7603a40d4c52dbcbec105c0dbf3}
n0: {n0, bc86ebe9e87644499ba37af9e03c25ee}
u0: {u0, f99e6df7a231a8f8c0bbe4a75be505c8}
k5: {k5, 2c651262e001a59cfe57a99815646443}
z5: {z5, ba9c794615287be69d65f74c1bb38477}
i1: {i1, dae224ddea2e5a880bba5a245e093dbb}
f: {f, a235f665a6d63e196b3f7e5da3c8e802}
v6: {v6, af3fa1ce22c11cfb3013365ea14797c7}
l4: {l4, 5d836e1f254f2969c53a18548c7ad249}
y6: {y6, d9b60710f50923ddd27ba7b908341f42}
n: {n, d15fc7f03f663ffe2021b22af38d441d}
p6: {p6, 8b9fb644fe7e15ffcd5867075002116f}
d4: {d4, 874d1721ed21322d3074194d043d2f10}
e2: {e2, 81e0e1a2072287bc25b4e1f02fbbb1f2}
t6: {t6, 69d7baeea9d0147b0440e31f787a1301}
j1: {j1, 51d993ef7cd4ee412b1e1b2ec1acb37a}
u: {u, 9c09cb8d04f441b9313539a3c5b33323}
q8: {q8, cb15f88c1a18aac2f759b8c8091f396e}
w7: {w7, a98a22e2f9a3b4251e235530946109ea}
m8: {m8, 76e4a1f6f8b3c9a729b5fdd04864e260}
y3: {y3, 21f3a619a836011156dcf68421b5ff77}
c4: {c4, ffee9a6e296040bca1bbe11cc28f2ed6}
a9: {a9, ae38cd87a4f91ffa687fc386ce7a3440}
p7: {p7, 63b2180bad4de1d914e81a77ef8d277c}
s1: {s1, b399259d102bff13875ea20bd2a2d87c}
o: {o, 35cf2485f940800ad4e7daab9a041906}
f1: {f1, 66ebd583a91ff809575617beac071653}
z3: {z3, b9a6551a5bc5bc8d06f1ab8999fd2c51}
a1: {a1, 890e50635eef4ccab15158becf437244}
n6: {n6, 343958c6f4e7cdc92e68bd462e8c0ff5}
w: {w, 356b4cf8fd136c0a45ff6f443c4509ce}
s2: {s2, 384fd595b6bd4622abe3b99eead39c15}
i7: {i7, f2acca650f455b575d6b2d2afd5040b5}
s8: {s8, bcf5c724a9b63ac6fec72e35c37be412}
g5: {g5, 9f29662572d2dd1fa66b588ee09721d7}
k4: {k4, 48bda2c474f1b6837ec8c5e2ad67cde0}
n7: {n7, 7e95be378feb14ac78320ca6a7e15c28}
d0: {d0, 4838ad1881990affc4c23a5528085e33}
g: {g, 0c7b073f6ca4ff61ee1bba75159bb058}
n1: {n1, 5b57ee53429ddee7ca729e5ebae5c2e0}
u7: {u7, 3a35cd400774ebe6b9f92ececbe3ae1f}
v7: {v7, 470f345840481e15658c29a5e41bac3c}
b1: {b1, fe45e5716c7b803cfae05f6e576a21d0}
l5: {l5, cb0ecd6e007a8b2b89d319e63b52725c}
i0: {i0, 866d4979870fae3dcd1aea908e913fee}
q7: {q7, fa404739d06a6749270ae16c3b74a120}
s0: {s0, b6467734e98f47bf9b246644b0fc4f57}
u4: {u4, 6e493cf713ce32a7ea3d555b209ffd98}
i8: {i8, 9fce3413720c7aa4895c99a71b0d28bf}
v: {v, fa3976963a0f77b8fad65dddbc52344a}
r2: {r2, 749f65ad45255895ac3bd963f5434bf9}
e1: {e1, 0897bfbcf68fb8564e90c35e070f3b01}
t7: {t7, e6a2afd0fcbd639d86b4002a1225ddb2}
j6: {j6, 34553955821f2a1fc88cc7688ef2eea4}
androidx/appcompat/app: {androidx/appcompat/app, 3f3ab22244848a0c2a85497200846a4a}
b7: {b7, 07b6a5cdfea894df55a836874a6f184f}
w6: {w6, 465adad6aecc01a0f54940e756f573ac}
h: {h, 4be3c590170adcfc31a70a92088a263f}
s3: {s3, 3d707a5813af00ab2b737e9633d53fef}
x4: {x4, 499b1646ba510c6befac165efdcbeb1f}
z8: {z8, dc700ae3f99bd3d4b13ca235fa63d1dd}
a8: {a8, 94dcc46bc85a0fb4f3d8e627100ab2b7}
p0: {p0, 7c8b34ae117b5c6a702134d4858e5233}
p: {p, 6fcac506281370de0130cf71001794d7}
androidx/emoji2/text: {androidx/emoji2/text, a204e9f2157d7292fc708c6292efe122}
z0: {z0, b22822d80e6a6fd6cc847952d7d58d17}
a0: {a0, 7fe903af835ee9eff4940db1d49c52dc}
h0: {h0, 4e6d0f944a4941c4852fdb7040c7c266}
i6: {i6, 35ae40101b16969103fbeae4ebafb4e5}
e8: {e8, eccef00b4e1e5c8efda6afb600f051a2}
x8: {x8, eaa0a3eb476da6549146da96bfab87b7}
g4: {g4, 91b5fdaadfa31497190d899ea6580c0d}
androidx/coordinatorlayout/widget: {androidx/coordinatorlayout/widget, a65f6b1a89e94897a6efe79409b92b11}
s5: {s5, 20538f588300145861ff9b75fd39a666}
z7: {z7, c6a476740a3a4b61c1e68dc998d5b725}
u6: {u6, b4bc6d7880e2c7ec7ccec87c5cfd5f61}
k7: {k7, c2dd2e27fb1d499f83414da892e3fcbd}
p8: {p8, a256ff6f45c3143a7a43c5abe75da05a}
o7: {o7, 79f5610a31875c1c568e5310e2076884}
m0: {m0, d80a1cf6f44403fd9fee53e61918d9cc}
b6: {b6, 9caf073d57ffa83824c529321410bc76}
s6: {s6, e63342190546f375630738834d801022}
l0: {l0, e2f48f3d35393f09f23eec43f6a00f92}
q6: {q6, d0a3d6b23b35b2b810a0fdac0ddab4ed}
e0: {e0, 6265a4dc7f0d967588ed0e51af167b9f}
t8: {t8, a806f83c5f5f6ff78ee092025eabeb11}
r3: {r3, 8e0b7d73fc637d86812c471d866e61e1}
f6: {f6, 5d9063e8d6be93d6c1d85973789bce7a}
j7: {j7, 8fa8b26fca83efbf782ac58e3464c1c8}
c6: {c6, 72945cf125835e621fa96996707c160e}
a7: {a7, 8086138030b63889d8c914926d6c6a46}
y2: {y2, 57ecd8ad4fb7f9fdeb82d98e210d407f}
r8: {r8, 09cc3cab94903d9c5cc6bd0744048391}
l6: {l6, 44c846d6059864ef3e21fc5dddc7c567}
x5: {x5, ed497fe782082e0e7132f060d6fb9104}
d5: {d5, 4de930125c579f3bb6f7c4c119bfa1f1}
l8: {l8, a8f5c5c07d755c9d3c55164dd881c8aa}
p1: {p1, ebf398b8526b7100cd24aaa2e9199981}
d7: {d7, 6db733d4b0457ed51c76bd8d234e75aa}
g7: {g7, 1cc1288dbb59babba928bfe1d6b2c0e2}
q: {q, 5066d81d6cf6ecc8f45ea57bc83ea2b9}
h1: {h1, 2ce5cda8df74b04be65518b451d024f3}
n4: {n4, ee6607d1b3f973b8db90e3c32874e8f5}
y1: {y1, e31101ea2e2f37b53a1bb90e14cb2a7c}
o1: {o1, d9966751ccdfd105217fe03547ecb66b}
t0: {t0, e13d19456cbb326354c3a0e39dfb4657}
a: {a, 871a87c20c933bd53224594aa47c26b1}
l7: {l7, b678bd3448dda0037f424adceb5e8b03}
t1: {t1, e10a34d9cf27a83e149d1a59c3596f4e}
androidx/versionedparcelable: {androidx/versionedparcelable, 9d566c8bb72bf85d0f4cf8e4e857ebc9}
o6: {o6, 8e8e81a76e1e9ff1e95782c790b69125}
m7: {m7, 07e16f5b7308ddfc7c3233306380dc20}
j4: {j4, 2a8c94dfaa331a945c20227da1cd1105}
w1: {w1, 57c804b24003c3400e90e390032d7b21}
q5: {q5, 5138e5fe386795d3002cab3821159a90}
androidx/recyclerview/widget: {androidx/recyclerview/widget, d70b6595080667de8f3400bdd45b1b63}
e7: {e7, 3543c52eb7be2d992cea98a62bd4cf95}
f7: {f7, df1d20d8818ba3182ef4dd6d8d556008}
u5: {u5, 4256523cb5b07bc67fe1d48c3f000dc4}
k6: {k6, e3f22389201108b30b0b3ab8a21d174b}
r0: {r0, 79e489ccb0bb7c4d88b78d0a1501c0f5}
h8: {h8, bb163270c4f263eb321abb1db4b027d2}
