androidx/appcompat: {androidx/appcompat, 4e955d18a5e1d0bca8ab92216b8a634d}
com/crazylegend/crashyreporter: {com/crazylegend/crashyreporter, 1668f28e8a89045c8ed3f411a12bf548}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, 428231ec6a7b7129304e71382d3f1645}
androidx/viewpager2: {androidx/viewpager2, c79f6189514c0d243790fc2f4d5fdd3a}
androidx/exifinterface/media: {androidx/exifinterface/media, b90c3a77ec72d4b8b67f41b61c712eb8}
androidx/savedstate: {androidx/savedstate, 24274274ba1eb9578f88e5cc5f6bb734}
com/otaliastudios/opengl: {com/otaliastudios/opengl, cc4a29ce15e1be366d7db45b197ba0c2}
com/bumptech/glide: {com/bumptech/glide, eeab1f210b962bae5d69b20df7c719a0}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, cc1ea367e44186d012546e3d90f4da16}
androidx/biometric: {androidx/biometric, d65cc7dc9c40f1163c3854aa49062bfd}
com/nex3z/flowlayout: {com/nex3z/flowlayout, 9afe3e6640553737756c448325612b5d}
androidx/tracing: {androidx/tracing, 374de4f681a359c89397f5040835f60a}
com/libRG: {com/libRG, 63e22899eb5744db130f3576f62076da}
com/lsjwzh/widget: {com/lsjwzh/widget, adf86dc1cd5361f73ddb8cd245335e09}
androidx/documentfile/provider: {androidx/documentfile/provider, 60fe2e2da3c38c07006e6cea3a630816}
androidx/swiperefreshlayout/widget: {androidx/swiperefreshlayout/widget, c60506081cdae06ac3df0e9ed2ee458d}
androidx/startup: {androidx/startup, 3e65518dc1783a5b4e0396a0c8ec0298}
com/google/gson: {com/google/gson, 94e63707791022aa92481ec41db7115c}
androidx/concurrent/futures: {androidx/concurrent/futures, a7d95acfc7a8b37f568405b35069edc1}
androidx/recyclerview: {androidx/recyclerview, fd11c0aa9652d1eb9a5c564707a1712e}
androidx/customview/view: {androidx/customview/view, b8c748f1df3e00212db9d6a540c5d400}
androidx/loader/app: {androidx/loader/app, c69447cb4524b5424dd28571b36f868e}
