a6: {a6, f7e2d1f4a6c98beb902f16408c842398}
androidx/viewpager2/adapter: {androidx/viewpager2/adapter, 0882bfe7904e328bfe66192e77050659}
x0: {x0, d681d4702fc7e05821b68d213170c76b}
b3: {b3, d4e31f9dc8953df8640258ab8a6e8c78}
androidx/room: {androidx/room, faa3729d2519f6aa202084e4f62a195a}
w2: {w2, fe7f9107186821bc7ff2518470286bb0}
e4: {e4, d8d72190783f088f6b26850df49a5a42}
o2: {o2, 5c544b0800df26d102cda505929fbb1c}
m3: {m3, fa406ccfb83c006d72ad187b14395811}
androidx/lifecycle: {androidx/lifecycle, 142971a8f1f2c81ead76ab191d3829ab}
androidx/appcompat/view: {androidx/appcompat/view, bc19b27dc72d2179c9e1f52ed6d2cab5}
c3: {c3, e947975f3065df8fc3e5b532a34c8c08}
a4: {a4, a364c133c8b4041aabe4b6ab014501d3}
h4: {h4, 360b10975a97164c9cfc1cc7119f82fd}
t: {t, 659a1da23b49d110c74b363f048ac57b}
g2: {g2, 1baa3afe2d480c6b672e27709741609e}
androidx/media: {androidx/media, cac973247cd62d02ef1d0bfec2dff78b}
j3: {j3, 0d88eb3ab612b2cf9c1d2dee87f67e6c}
androidx/emoji/widget: {androidx/emoji/widget, bda813689bea248034a282981cf20042}
m4: {m4, 2c27fe7575ba9cf7ecff0d73bf27bdec}
t4: {t4, bfa06ea90049fceafe309919913b10c5}
u2: {u2, 84d40668fe7478aa27638c21bcd4769a}
s: {s, e17d87af1558ccb0e604b835e1aa15f7}
d: {d, d55313363436cd9ded1211e4ccb912a4}
androidx/startup: {androidx/startup, 131abce5fc5ebe7e1684037bc13d5652}
h3: {h3, 1ccde12b8525e66c65eddf32840a08e2}
n2: {n2, 84c31f30bb18602f00a062c81302832c}
k3: {k3, 9f5661311475ac05aa87702c3d7db69d}
p4: {p4, abbd39cb6e98563aa0addfcdf9d2d664}
l: {l, 6ac90910143884b31e944cac4a1ea2e3}
y0: {y0, 97ce6e73be3072aff06d4a0705becd41}
f2: {f2, 0fad9865d3841944fbcea5a748553e56}
v0: {v0, 107f2989b50ea4d37095a6128d59643f}
d2: {d2, 9d0b258d4ad50df2257f262b6ddd94a6}
q1: {q1, 25ba07bf7f9cfa980e327dfc15f506ad}
x1: {x1, 3c67e231dfef63d196d9dd85e53c8797}
g3: {g3, a4737a3c837ab1250c1d930b1731561f}
androidx/browser/customtabs: {androidx/browser/customtabs, 24c501747dd41280992610af12495871}
androidx/viewpager/widget: {androidx/viewpager/widget, 9021accc20e6e5d6a2fae5fc3ec57634}
r4: {r4, e354c90b1726af3012783c69d819a34a}
b0: {b0, 98711644ad57d0ba812b39e1c7b2ccf7}
y5: {y5, a051182df03f0069c700284f53ec1bb5}
m2: {m2, 1dc9591da273acc885852d1e970e1d42}
s4: {s4, 8997fa9d5fb60d635c89574a02d0a37e}
d7: {d7, 5da2d68584d396db300240cd10ad9436}
h5: {h5, 7206485df25fe6e2ed493da682f6dcf2}
w5: {w5, 6e62b8b6d8876137b76d0c1edf92efef}
c2: {c2, 1eedf5341f4983840d8255518955cebc}
u: {u, 1f82d14dda5f0597bbc98c2786c62dc6}
z4: {z4, 4170937d9c1260aea0ac8fd034e6930b}
androidx/fragment/app: {androidx/fragment/app, fdcff6fb2a99d964a57a607e1f07e968}
androidx/legacy/widget: {androidx/legacy/widget, a7398e968b7866769a932f3dacf7b3bf}
t5: {t5, b62f4e082cb981e61bf827b69c58f7d0}
j0: {j0, bbba90de6111d58d47ffc955afb4a892}
com/google/firebase: {[com/google/firebase, com/google/android, ], a23be15b81aa7ce2c5c24c4f3c2ac399}
l3: {l3, 132583538f1c8acc92647676b1b1945b}
n3: {n3, 6d485ffd2f041a64511bdd2964beb07d}
u1: {u1, b1659d41fcb777494ac53856f1038f1d}
e: {e, 9bfbc8179578f2b6d91eb88a2efb03cc}
p5: {p5, abaa41e325b9d5102a5bb32339815ce0}
d3: {d3, b851d94b4667ef365e03336a295bd9f2}
l0: {l0, 3601785f3d97508c1c786018ca93f62c}
f3: {f3, c44a9f749f61763a6ca9a86120cd2c0e}
k2: {k2, e8e4f1b285d5f8c978e256897b910c95}
e3: {e3, c3172145c9f2835221e3bdc6af777203}
v1: {v1, e31524744ef11933b62f43558685e61b}
y4: {y4, 701fbee895b2c996244de4c19006d1d7}
q0: {q0, 61a7d3e995feedde7ff3cf74adc8bf9d}
f0: {f0, 1d0957ef57961be03f5024ad0e1b2048}
c5: {c5, bf5f6c55557fc2677328f2ccc012f6a7}
w4: {w4, 559af1524e5a41a45127463b624a3bc3}
androidx/profileinstaller: {androidx/profileinstaller, 90b75ab25441fa4bf06ab633d15bd4d6}
r5: {r5, c75dfe15062f80c9c0d5ca59c18745f7}
z2: {z2, de0ac48ce2ce20cf6352db533d002ae7}
o4: {o4, e757a5f884822f14dbb8946c1e8d0bd0}
m1: {m1, 648a67513a98f4c6b20bab7e9b514210}
b4: {b4, 40079db8ff3972977dba74e2f042a791}
b7: {b7, d92ba4c4a2adf3227e6275199a0feea5}
v: {v, 2ccc287af741848439abaef9fdefa3f5}
a2: {a2, 7fafc21aed0256015b2bc192676dd276}
h6: {h6, 0aa5f58dbdf4b3905c79463c13323b83}
androidx/core/text: {androidx/core/text, bd95274e5a0be873b155247e4cfb83bf}
androidx/core/app: {androidx/core/app, 6c56e68b0d06fa800e6353cd3e8f017e}
n0: {n0, bda3445585e82717ec765c2428b70715}
u0: {u0, 3af63c8b12778b27bf807e0df7925640}
k5: {k5, 89a70afb0d46a359fbdc842c55d30038}
z5: {z5, f69aa7dcfd995c72e3801d8d21633804}
i1: {i1, eef02da63e1c3a12d132b3e4416be623}
f: {f, c31922e133e3a16d1ddab5c643f82b38}
v6: {v6, be56b6386ad90a40250f9b1c524d1686}
l4: {l4, 874a020df28718afd039e70c7cb521e4}
y6: {y6, 4b328cf417022d35668abd707cc6327c}
n: {n, 496891b052d1e8d91b4fd914f3e2807d}
p6: {p6, e5f673af393754d9d1a98d86184ecd28}
d4: {d4, 6c4f36bb1c14579379ab2377f89b3e6b}
e2: {e2, 391a8968e3cc47967105e8d838201c74}
t6: {t6, 79975c2528dbf3f3c7cc4390d672d3f4}
j1: {j1, 669fd89b6dd7e795e16bd889e5499f53}
androidx/core/net: {androidx/core/net, 86cb9e4748cf4b5befbfed1135cbbf9d}
b6: {b6, b79ed51a959e3dfb0dc806bcd71a4c34}
c4: {c4, f9ea62ead6f4ffc7b7f1609224314c5c}
s6: {s6, 7e9395308474f13d60eac3316ed82344}
s1: {s1, 57a610b495a4c7c53cb7517e9eed57ed}
o: {o, 26d0f81b0dfffcb038d4858055a732d6}
f1: {f1, 1c77994d9a56c3f32e35dad43ed28252}
a1: {a1, 937b4d724f9145e8414823963fd8848b}
n6: {n6, 96253a18c9e701c795a662091a6582d5}
w: {w, 56168e4e9cb9c2435891af19d0d1f2f0}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, 8c547f4d721e749a2ffa3d641eb508e3}
x3: {x3, e80dd80bc1007eb78993afd9679ebaa7}
g5: {g5, 36da7eb9d29b851aa3518f9c1c2e0e2b}
k4: {k4, a8d38bf0fb8e9322d5aabd4b963dbf47}
y: {y, c78aff81398c9cc5d2c90b29cd995a2c}
g: {g, b0d390ac9b9721188a43fa1fab067611}
n1: {n1, 9178b571dfb24e634c6af4f85c435589}
androidx/core/util: {androidx/core/util, d1015b2c7c23479a11edd11b104d21ac}
b1: {b1, c45a1682ad901228b112ee22e2dcc73a}
l5: {l5, 7717775c3d5b2835b9d961450c202cf8}
i0: {i0, 2d54a1c05c3b1eaeb1b6a8614d7c7faf}
com/android/billingclient: {com/android/billingclient, 769819c944e9cfa2a08e93c8e74e843e}
androidx/appcompat/app: {androidx/appcompat/app, 29206b0da31c5d295d9aabf58c4d229e}
s0: {s0, 4fff0519dd13a4ecbeb61780cc06b371}
u4: {u4, 3cb35d24fa33a25caec118767e999d42}
androidx/concurrent/futures: {androidx/concurrent/futures, 779b656e19783ca1affe8e267c1b3149}
r2: {r2, b093f792157d1e9fd838f109334283b6}
e1: {e1, d4dfa23b495ed6cea814aae224a0fce3}
androidx/core/os: {androidx/core/os, b942e899f348b79b499f4bd60b22c418}
j6: {j6, fef7810f529aa25f5035badad61d7486}
y2: {y2, fc913349937f46d57b213371a9f4c173}
w6: {w6, cc7177ad1fb03cb3b587605af52ad584}
h: {h, 07629c5eba2834768d8b4348bfee2cb6}
s3: {s3, 50440f3f6797ed37e092b5eddb5c8fad}
x4: {x4, 9fa6d96fe6acc32a4ab9cf6581823e2b}
androidx/core/view: {androidx/core/view, 1bd9f2c3f4742b196d9deea5c17d9f2a}
c7: {c7, caa1a5a4b8a04910ef917d5b61b58352}
p: {p, 33223248d35ac501017eb9fc05e30181}
androidx/emoji2/text: {androidx/emoji2/text, fe896052517fdc10f6c3c8074490c7b8}
z0: {z0, 4bb5b18467818f2cb92bce576426e6ad}
a0: {a0, 56a37b9066d467f2a922915b4e9dd3d1}
h0: {h0, 6d43f4fd48f72241bf9cb94ae8351ce2}
i6: {i6, 0e7fa03e52d11276a009582c4fc150af}
g4: {g4, e123d7d52468a95c21b061b2d92375a4}
androidx/coordinatorlayout/widget: {androidx/coordinatorlayout/widget, 5c20cf60bc6c8d102c78d89518c1a049}
s5: {s5, 2a15014102f4dd5b2f64261008e80d3f}
u6: {u6, 58e3fb725fc73a73b479dca2bb520dcf}
m0: {m0, 53e784783723d9bddc72da485cbd0371}
t0: {t0, 4684a4e7435f0d752ffe0e4126526bb8}
v4: {v4, 9a0a985d518ad7653833c10ca07ee6a1}
q6: {q6, 13a5de41f9ba974f90e85b701972abca}
e0: {e0, 4a0c12846df724bfccecb8a8941bacb8}
r3: {r3, 14badea6ebf4225537fa5509d15407e4}
androidx/core/content: {androidx/core/content, 9aa0c08c74556c01216c41f979ed2e22}
c6: {c6, d73a39cec7c870da2abf21911566540b}
a7: {a7, ec83f66cb4f6923591fbc2098926b3a4}
l6: {l6, bf776195121d96439910c3c730b85a8e}
x5: {x5, 94d5681d09d7698f8cdff08c3f07378c}
d5: {d5, 84d37b67109ca4b869169b0e7569e5e7}
i: {i, edae82236afa3534445246925d858f4b}
p1: {p1, a4fde30a1d20410d1e536ec8565ab6f6}
s2: {s2, 7f56a496ce57bb36a292ef5955f1bebd}
androidx/work: {androidx/work, 1b93c17bffc07df3d7464484bf7b2ed4}
f7: {f7, d86178f3fd97fac976cc5400cbce4c89}
q: {q, 9e33bcbfa4587f5fd4aa7a25818146ca}
h1: {h1, a393dc035eab335445c5dbb415ec6c14}
n4: {n4, f931bfb5e96289e5b5a1f7dc07f3e326}
y1: {y1, a6b938be159697999aeeb52b36141743}
o1: {o1, e242e2b1e401060cd0d2345be3d3a9d9}
i5: {i5, 36df6bb38e975338a8f7a49b994a3c8b}
v5: {v5, 783a9fa7071c4ca0f5e8bb24488a9d08}
a: {a, 7ca6d36f963c2a351352d266773c29da}
t1: {t1, 0acf5c82e14cfaeecae1a7e97aa35995}
androidx/versionedparcelable: {androidx/versionedparcelable, 567dd6147c8face1090ed622d4a69d4a}
o6: {o6, 9d79ffd2e3064397c6091f2427171bea}
j4: {j4, c5d33c009127fb256b9d27e893c6e1ba}
w1: {w1, 393e89c35cd91dac67914745bd797d1b}
q5: {q5, e693edea901a2532411271cc29951128}
androidx/recyclerview/widget: {androidx/recyclerview/widget, 59524b7ae4cbafc5266988f2a6e99725}
e7: {e7, 765cf19d146170faf8780070b0c34025}
x: {x, 4c9dde752e6b4a487bce3c6c8a882401}
u5: {u5, a6776e306bbe9c45322131a4c705c1da}
k6: {k6, 1f4f00543fcd487a1f5e58cdb5333a25}
r0: {r0, 40a94d702f165bcf306af59248d4a1c4}
androidx/drawerlayout/widget: {androidx/drawerlayout/widget, 56a261544c2913a5fe8c9e62bad1abbc}
