p2: {p2, 536b6ccf3874268cb11b43bbdfddd122}
androidx/core/app: {androidx/core/app, f3116dd962589d27e68e4bcdabd5b3c6}
androidx/profileinstaller: {androidx/profileinstaller, d635e499461ea72ed5f5c20cd90f8c86}
I0: {I0, b00289384dc9717001638d3e2a8f0118}
E: {E, 7182b23c1ac1d422518504a6f3b73595}
z2: {z2, 2d01daa5d82dfe0dc26efea819493203}
androidx/appcompat/widget: {androidx/appcompat/widget, c8934defc039f324ab302bf015e36fcd}
m1: {m1, 621fa8e90df1e073a9d22b536d32f551}
M: {M, 8a45c0cb7df99ab3713dc07d111c52d3}
x2: {x2, b2a2955061ced04cd62af131e6ebbdc0}
v: {v, 072808032f57e3196d456c0aeb19b6fb}
a2: {a2, 9a971e8db1e74f1489b758cc5c8b9371}
androidx/core/text: {androidx/core/text, 689d21a166839f11a94e345714da6fe1}
G: {G, 296010100364038128fdcbd91814d4cd}
G0: {G0, 4b7da896995f8e58d2c4c0ace37ac1e9}
w0: {w0, 0124b2b64e26e9ebd25dc02975b1daca}
u0: {u0, 2ea9cf55750f5c09d01afae34bc1d82c}
okhttp3/internal/publicsuffix: {okhttp3/internal/publicsuffix, 452a2649307521c3e5d22a8197424eb1}
Q0: {Q0, 20f1211eef9612db1ce9d88811bc8860}
X0: {X0, 44cd3e88c4c90878e8921f7592dc6171}
i1: {i1, 89dd48f8cf15c2af7e03040b595365df}
T1: {T1, 06740ba8534d57314c7c2348018713e9}
n: {n, 3171b1a39a66fd310a35892a43194a14}
e2: {e2, 21564a3589d985179003783a7dae046f}
u: {u, 7981b3d57349f0c9989621bc1f90409d}
T: {T, ea43c3e4bf3183cc61bd43a414a043d7}
N0: {N0, a27b7b8cbf4ad12e3d415cf67315f425}
y3: {y3, 9e97f29cbcd1817aa473719386e3dad0}
F: {F, de4a5c8026b5891f6a4ebec2ddbd12f9}
T0: {T0, b3e7e315cdcb727643d057500193a7cf}
o: {o, a50fb1cabf59c457f4657625af29479f}
f1: {f1, fe8a0420c75fb30518fe7e95c79e6a1b}
z3: {z3, fb35d3bafdf0af43452bc35847529afa}
a1: {a1, 2f6fd4069993b65e198b6d6212cf6c3c}
N: {N, 2c47201bab393566336a3d02e2680695}
w: {w, 8275ace14a89d3ac09fc1fd361e43624}
S1: {S1, e841ee3fc0a289dac508804f202592dd}
E2: {E2, 0e25b2c9d2ae9aedf500c76f56d163ae}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, 50e520b0a64094e5c5078cb2dd36148b}
x3: {x3, cda863fbf0307db1edd247bc1f1a1fe8}
y: {y, 6344efd721916880c65939beb90d7dbb}
X1: {X1, a3387cfa7876c634b51b5a4664131fe4}
g: {g, 8dcd5cac39632cabc7dd8611f2bf850f}
n1: {n1, 454378379cdacbb42146f7324c7d8aa4}
coil/compose: {coil/compose, c88fde68f1767a9391b466a423139bfe}
androidx/core/util: {androidx/core/util, c1108f32f01b223b983db221ddb1ffd9}
B0: {B0, bb15ae75caa265d1f11663371bd54323}
i0: {i0, 5ac2097276bd319cf2d47dbe5330b8a6}
M2: {M2, 543e922cb2b20a4aa3e4e822013ebc10}
androidx/appcompat/app: {androidx/appcompat/app, bf713f9f5bebf90beefee697e91779b9}
s0: {s0, 21a71c0775516c137e6e5ba12e1d7286}
androidx/concurrent/futures: {androidx/concurrent/futures, 3e0ad31be42c81159bc64b075091e6ed}
androidx/compose/animation: {androidx/compose/animation, efbc72e07fd2984350672d83f0e6aba3}
r2: {r2, cf52b482a4601c94acfbaa6037e1c4e6}
e1: {e1, f2b7177649731a84edb6757ee0391a55}
C2: {C2, e5126c63639f2d6b1504ea71bf4bf361}
A3: {A3, 16de6721224e9991e9e146f4632b19de}
y2: {y2, 4defdf006dcca4a0e7070d4ea8d8097f}
Z: {Z, 8c0bf0dc701f8d915a0f977c9f983d5c}
N1: {N1, d63fd303c2684df9b18f886e05a4dc0a}
h: {h, 99bcfb17189d35a0d68ec07ac400b239}
s3: {s3, 09bf854dbda2ae702d747ba164840124}
androidx/core/view: {androidx/core/view, de230959266914eeb27e719f792ded6d}
p0: {p0, 66e70ce90f7739d0f290bf65afb60b8e}
p: {p, 98d70465deb91bac60ff8d13c8d7159f}
W1: {W1, 5d89c98eaf7142a9432a8b7eeae2f9e2}
S0: {S0, 1df2bd2d7661b6151b2420041c0d38bd}
z0: {z0, e6c80a3eeb3ba3f9958a7f97ac23d924}
a0: {a0, da283e77fcaeef92708f032b8bfac0b5}
h0: {h0, 77eaa68a0efbbbc31adfb4039fcc918c}
R2: {R2, bad638b55c311ee0373a11a2657da819}
E1: {E1, 52d6ffdb314da557baa08c4463d03d29}
androidx/core/content: {androidx/core/content, f2b66c78871b1697f0c36a44f47a73cb}
B1: {B1, 2325ccdbf1b486b1606fb2c036d108a0}
com/kgurgul/cpuinfo: {com/kgurgul/cpuinfo, f9c2ed6a9ac9874b992d247f3b497b98}
F0: {F0, 45a68f0d96c8fa16c25c395c16fc1aa3}
m0: {m0, 047f30211d8aed05435f2817b4c8634b}
t0: {t0, f928451434d6f487a5a01072e1763dd3}
P0: {P0, 63e339c3c1d20921f768736254e15150}
e0: {e0, 268f37135b3ea69ab374b3d58c225b07}
Z2: {Z2, 1e7112d77b6b58a1b6fa00bdc4dfc28e}
M1: {M1, a1277e2b3bff89c52e677da5c5b023d1}
H0: {H0, e1cf83c9b86d982974e1fa2285ada93b}
r3: {r3, d9df8eff68f3431477270bb30ec73cd4}
X2: {X2, e2abf9a9eda2258d7b10e7094d6d6c77}
G2: {G2, 0c608cdbe898bdb961f16f9a41aae701}
A2: {A2, acf7ef943fdeb3cbfed8dd0d8f584731}
V2: {V2, 30fca3c14c02be01bee2c6c9c0108bda}
M0: {M0, 4a2898203d6be15268a1a0153631db5c}
i: {i, 0116672026011c36c7c2a1d2003fe716}
p1: {p1, 95c8ac84a1069b1e35ab72ddb6fba29c}
T2: {T2, d52206726ec63ebc292d6eaf2d490911}
W0: {W0, 011f7c89bae5e406ce37dbd587fec042}
E0: {E0, 8f3b77e5f550d436ef2e0431e5201d7e}
q: {q, f2bd65e0326c410991f1110bb4912f02}
h1: {h1, be5860435600758d7489baac700574b8}
c: {c, 6d550070c0dedc47d62427b20f83e5b1}
y1: {y1, aa1a29e983ad1fc48ab05cfe05090979}
o1: {o1, 2ba6e608bd6d7369043cecd0b46964e8}
K1: {K1, b4c6017ab50f5f7630b3bedf6f68c501}
a: {a, 4a6133d4edc0c07d785791096a1013b8}
android/content/pm: {android/content/pm, d54b7fdc680233d0820641b5dc0cf784}
t1: {t1, b4522a0f15160c5028057d513777922c}
androidx/versionedparcelable: {androidx/versionedparcelable, 3d03a7f562052deb572b09f5d51f72a0}
P1: {P1, 631e1c7aca62c27e3aa2f2e5cd5be7c0}
O: {O, 3ee17d8efa6d6f0261e882e63c5345aa}
F1: {F1, 5007f3b21da29ba4c2c1041fbcde8d18}
A1: {A1, c8b6ab30ddea3f6b4537c4337a1406a7}
w1: {w1, 7196f30d454c1597e6bebe8026ed9fa7}
H1: {H1, cca06bb1c33ca4509f390cf2e28fe592}
W: {W, 8365b9eb9f90e8b04fde670035e8d920}
e3: {e3, 756db1eca12f650c7ba5f5f3b7335a99}
x: {x, 9bc758ff732e6982dd663a34c024d895}
O1: {O1, 319a4d91faffbc628075f9facb8af4a4}
r0: {r0, 451d0704f203d421b41df813f7d1caa8}
