a6: {a6, 4911bf03c68bd339a4d6b7617aff924f}
androidx/core/graphics: {androidx/core/graphics, 6e6752313a6ef0ce84984ee89ad3f132}
o3: {o3, c7853443297be4e52e96161a2a25df0e}
o8: {o8, fb297ed5dbb9ce63e62491cc48249c38}
m5: {m5, ff8ade98777990bddd3a7980bdae0e32}
t3: {t3, 108082b0158f1c3761a18fba8219cbc9}
j2: {j2, b9aad7b2a501f8711cd201033f5c81bc}
v3: {v3, af51c505c5d9ff3c181de60f1eaa7c86}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 0ea714997c1b89ad9c0cd0b22befb794}
androidx/datastore/preferences: {androidx/datastore/preferences, e01c23683cb91381091214eecda5e235}
h2: {h2, 912bfbbe00836a88cb31e9f92d3bee95}
n5: {n5, fdf100b1ab07d257fa8bef819200f801}
u3: {u3, 3bbde502f2eb0473d652d0dc620ddef4}
kotlinx/coroutines: {kotlinx/coroutines, aebc7cc152738541c9b78cbb691516fa}
r: {r, bcc13ea1b0aeb8caf0c71523d2fafedd}
z6: {z6, 255e3430b5720e9a9e51fc5a8cd478bb}
f5: {f5, 702260ab4d49ae9c91e3fb39af8437ff}
androidx/appcompat/view: {androidx/appcompat/view, 23238212e7b185414bfb9f5cb278711b}
w3: {w3, 3f6a258fa8b23565bf4a98df47e86b89}
z: {z, 40bc0fbdeb2924e8594d39ad5c318cb5}
r6: {r6, cae1f4b270dab0bb7df3da9aee18d1aa}
d1: {d1, 01f31b60510cec7a9ad45edb4e541daa}
c: {c, 1ef6d9d85ef252408edc1e5d5e49b6ff}
liou/rayyuan/ebooksearchtaiwan: {liou/rayyuan/ebooksearchtaiwan, 29abe2514645fa446a64e6506270f11b}
k0: {k0, bdf29c5b0dfe9c8ae26055667c7da7cb}
g0: {g0, 2834794ba00afcc388fdd11d56f834aa}
v8: {v8, c4388be3b7e9791cf06e91c10975a404}
androidx/viewpager2/adapter: {androidx/viewpager2/adapter, 359d35646220e525dde5ce0f5407d17c}
b3: {b3, 310e7284b5cfebf513915601717e3a1d}
androidx/room: {androidx/room, 7304a05df1e4ff593ccda67cd865314c}
w2: {w2, 38f084e4b84e69be3c2dbb1379358efc}
q2: {q2, 02a3e47aa44ef0ffe97dd58a397a9c7c}
e4: {e4, 403048b0ccad40bacb679929f5071025}
androidx/constraintlayout/core: {androidx/constraintlayout/core, ee4b2e1d236d6e9ccf32e29d4a92343d}
io/ktor/client: {[io/ktor/network, io/ktor/events, io/ktor/http, io/ktor/serialization, io/ktor/websocket, io/ktor/util, io/ktor/client, io/ktor/utils, ], 9c1a24b4ccf6be70d55345e3a5bfc407}
o2: {o2, db6e51809d3a7c165dc084c9d68a5997}
m3: {m3, cff6187c4373dbb472abf9f9325991c1}
i2: {i2, a43b66cc02dba2ab48b84e8bb0517196}
androidx/lifecycle: {androidx/lifecycle, a7c84e2b40413822776c9e546cd5ab8b}
c3: {c3, db9bac77242c5093af0d3071ae785b22}
a4: {a4, 2e4e76f18554ab00d06eb0bdf6a250e5}
h4: {h4, 1343f4d61b3247b108cd6849c3375060}
t: {t, 7d37197d7335f0c5a3bbb94ba7cf4a26}
j8: {j8, c58c31d3bc291ef418e001b57c6d1014}
j3: {j3, 81f3659850cffe396c84f289614e3936}
m4: {m4, 9428e9bac2d1243f30caff2e8a2e32a3}
t4: {t4, be11f5a3c206bcb2fbd6c54ef4289466}
u2: {u2, 77cec3eb86b89c9aeff513e909e68e17}
s: {s, 54bc9cd374cd012c68473b8e9f728ea7}
c8: {c8, a0ba925c793f515393da3b3513da9672}
androidx/startup: {androidx/startup, 7360de66450581111c622e4dcc770764}
h3: {h3, f0fd7fb0b98eb6ba555665e57d70b044}
n2: {n2, bb3c83334201f161ba3efb22a8b34096}
kotlinx/serialization: {kotlinx/serialization, a4d9d872f94bfaec0b5a21d256401a50}
k3: {k3, 843c71a1591b241ae852da57788ffc44}
p4: {p4, de8696aed5f130bcd89b9b8066ff46fa}
r7: {r7, 2a19a33265338421a41c0b4275e2ee06}
b5: {b5, 4230f3bf5ff98517300107dad0361139}
f2: {f2, 0e45b292ea3560fb3320112a3674d50e}
g8: {g8, 9c6c0b66d6c47154da14ad4cd741c190}
v0: {v0, 7c90219944cb0e5267d6ef3ca2202d0c}
s7: {s7, fe2ee60370caf179185f709bf61c90b2}
q1: {q1, ca7cb4701880d9def074601a7f10bd2c}
i: {i, b425e22378c0d6928b50014d816814a5}
x1: {x1, e51f2aa183960a0aa33357b84bf1a8f9}
g3: {g3, acf7ef943fdeb3cbfed8dd0d8f584731}
kotlin/jvm/internal: {kotlin/jvm/internal, 289b147d22977ba9360d0050ca9c0feb}
r4: {r4, c9fca7a0508345f6b52b79233f4cdc8f}
y5: {y5, e449992a3c29284aa14c1ac38914ffd2}
b0: {b0, ba0dc9ab7ac9a1079f546e61f123bd59}
m2: {m2, c95c27dc5bbd7257ade61059ae875cdc}
b8: {b8, acf7ef943fdeb3cbfed8dd0d8f584731}
o5: {o5, 5001cc2d423e7b8bb3235b5dc4b7d3f8}
h5: {h5, 7e8bc0d2aaeaab081617d4969063954c}
n8: {n8, 86e960bf0a36e74e321cda2dffcce43a}
w5: {w5, 527c5297c3825af2a14cc4a640a32fce}
c2: {c2, 872ef19f8d0d3bc655f6c9d9d416049d}
a3: {a3, e6e8b1de04bd2e7c2bdc469d633706da}
z4: {z4, c16b3361da44399de8eefe422a0c752b}
androidx/fragment/app: {androidx/fragment/app, 047056e6ca96c67352478a0fbdcdb82e}
coil/network: {coil/network, f7e974746e8bb2e1d2c937d0a8e7c69a}
t5: {t5, 0fdf3812b06fb2858b63c0844c751fed}
j0: {j0, ec568246c582d918efa524264ef4140a}
l3: {l3, bb85a389191bcca0342f1d35131a2e7b}
n3: {n3, ea2c215e0a714c6c308c007769314a49}
u1: {u1, 4295f661716f02befd500e77ee35c7fc}
e: {e, d7e26d8d404e71dc8a760edbc01b7fda}
p5: {p5, 76443e5c3f5825495eafe147621d6877}
d3: {d3, e997fc7a0ee5c251e287a6560595642c}
l0: {l0, 17dc14c31390f9cb255f72f38231ad36}
f3: {f3, ad317d32b662e3aaedcc96d712e255eb}
k2: {k2, 069f7a8ed83e9c06a489375dcc8d8cdd}
m: {m, 85b59c88192e5bb69f39cc8431423c45}
e3: {e3, a973b8074c3324b0b10e65af05b7163b}
v1: {v1, 73b6375ffc43e346368f2a5b5c5212d3}
android/app: {android/app, c4e9eeb25e17c46354752ac4239a9772}
y4: {y4, 69a74bcae815475a97f6c88033301b1c}
org/koin/androidx: {org/koin/androidx, 5ba81e4cf8da7a9ec4c6039fd53fb29b}
q0: {q0, 6ddfc7b5809c7c1b2aaa4e3cb96e147b}
f0: {f0, 474f6294a152fbccf21124daf3ebc227}
c5: {c5, 1fb731bf4b7532e85a0ba1158c8ede34}
w4: {w4, a29c48fc7e935f3771838498d362f376}
androidx/profileinstaller: {androidx/profileinstaller, 1bc027b251297a51e2b06796a1bd1551}
r5: {r5, aa8d7afb6b1967c7a1e00215c17cf555}
f8: {f8, 4b3c7cb8b85d9e436f69290b4e03dd34}
com/journeyapps/barcodescanner: {com/journeyapps/barcodescanner, 7130d64f056e49dfdbc9a13314c5e49d}
z2: {z2, e642f1f2408847f59cd8c2e1c8da05eb}
o4: {o4, c0744fef8128182ebced0ebbd5542b08}
m1: {m1, 97881d349d2fc1bb99b1786f15b1963b}
b4: {b4, df176e063a601aeef8fc71701b1bb442}
x2: {x2, abb89137572979fdc98dc250979bf871}
g2: {g2, 5105af8ddc6618132e586a0d6b733833}
a2: {a2, aa29d5100eac473eeef61909749990ca}
h6: {h6, babd5ee7df8d8b3633a9aff6abacf7c8}
android/view: {android/view, c4e9eeb25e17c46354752ac4239a9772}
androidx/core/app: {androidx/core/app, 42afaf6c8115ae078d1f7ceb290514be}
n0: {n0, 64ba24b0c314ea46847b9200b55b49fe}
u0: {u0, 362ea0328ed669fb9b5284d9688b771d}
okhttp3/internal/publicsuffix: {okhttp3/internal/publicsuffix, 18d44c0efd3cd85bd4ccebfc49212c61}
z5: {z5, f9658b3afd5bc8a8db21168d75f7f4ce}
i1: {i1, d64ed7217c477f635a24f602aa982d6c}
f: {f, 96834e990c9c1d75db80160ed8931f3d}
v6: {v6, 1e3391b5f1729e5a1b18dce2016b69c1}
l4: {l4, 4d3178cf8859e55291c26ee727db1322}
y6: {y6, 4a5cf69073f18f4ddbb86e9ae491b48c}
n: {n, 5a88239b9f11afdf138e32404dcd3c5e}
p6: {p6, fba43bca46fa53181ca7cd0517f04491}
d4: {d4, 4f7fa41f3f6a44159a2f16036d7d3aa7}
e2: {e2, 9e2af57fd52fce201d19ac0113ebf053}
t6: {t6, 8f3346bc13b4a0d317318268aac23316}
j1: {j1, 8db63dbd033336fe5d686e9ce090775f}
u: {u, ddb6302306eb9775c88945e4ff5bc426}
androidx/datastore/core: {androidx/datastore/core, 12abc5712cfcc79482c294687223dacc}
q8: {q8, 5984cd641fa6d43be921452517f00e29}
com/google/zxing: {com/google/zxing, e6f447b8316b7d4af7135536e1df854b}
w7: {w7, 477a2588426d7a9379c7dc5b3a51f75b}
m8: {m8, b6fc4fae479c00d185514adeb61be1b1}
y3: {y3, 6215e995a27837512ad885452b23df5d}
c4: {c4, bfe7c6a56913f27ab4e767e0927505f6}
s6: {s6, 39eded2becc12a2a50df2d95fe1cb3c4}
p7: {p7, 5bdc6d36713919b9a4f994af91160cc9}
s1: {s1, 26f49b91e877b4ce8807994c65517a57}
o: {o, c1fb43e5a6e1abe1f3576dd7b94bf0bb}
f1: {f1, e4356ca6dd6220dcaa5dbe91046f5bc7}
z3: {z3, 0126f7d2c05add5656a43a0bc8f49f25}
a1: {a1, 6bd9d9df4ab104557418785b703324f4}
h7: {h7, 2ac80d6688708c9d994a540133f68122}
n6: {n6, fa591b582406331bc844dc53e411b281}
w: {w, b75d75edc462f107ea29a1648692c6be}
i7: {i7, 3f7face981e82de6475f4bbe6f3cdf0b}
s8: {s8, 9ecbb2b6b328c6fbf5b14ab11bac5412}
coil/target: {coil/target, d6b23d3ca09eca850b5b81eb12cefd08}
x3: {x3, 542dd9699021b2a489ba6c7d8f6e4a23}
g5: {g5, 956d485edaea23f045b76157c5bb71fe}
k4: {k4, 9dcae2f7e7c895e063bfbadff85fe63c}
n7: {n7, 6855665f8d8dd76c897e3d627e068213}
d0: {d0, 07583efdc1b760a4e881d9224de6042d}
org/koin/core: {org/koin/core, 42613bffe8911283d61f789aed55091d}
g: {g, 67e64746a6864fb2d14ed554b34a8b64}
n1: {n1, a4af2a3923e005f74b160ddea0507f8a}
u7: {u7, 84c71c82f60235a28bf6f798890c4037}
v7: {v7, 4f6ac2c523c96026e97fc28080f14901}
com/rayliu/commonmain: {com/rayliu/commonmain, 610b354cf97c0baca77902513a3c006a}
b1: {b1, ecd6ee97638aa79b9489db75b8445557}
i0: {i0, eea4d7cac31b95489be2541736ac90e8}
org/threeten/bp: {org/threeten/bp, be4e345cb15f0f374505bd1dbccaa76f}
androidx/core/os: {androidx/core/os, f9658b3afd5bc8a8db21168d75f7f4ce}
q7: {q7, af35f5789555bb0562a870e785136de6}
s0: {s0, 550d109a628e2a07e9daaab3e1054207}
u4: {u4, 902fa598b75639a7d3d5d453f2b32410}
i8: {i8, fc7e364db34ba5f60a99c8df7b34e433}
v: {v, fd5e9fbea576c6c856e9690f773a286c}
r2: {r2, 25e7b1422138cef3501b1b98ac408aed}
e1: {e1, 663f22a40200e3c7ef3d527517a106ac}
t7: {t7, 50f8b3c76a9bef35f4a0ec8a8351e4be}
j6: {j6, cd4b340d2039c7a8376332121cc9eeb6}
androidx/appcompat/app: {androidx/appcompat/app, fc87db589b55dbedbefc199e4a14cdad}
d7: {d7, 542dd9699021b2a489ba6c7d8f6e4a23}
b7: {b7, 54d1bc2f6f0b933f74d8912dc41bb625}
a0: {a0, 3eb5210cb5abbc7c6ab5cfc569f0bb00}
w6: {w6, 542dd9699021b2a489ba6c7d8f6e4a23}
h: {h, 504cc19c47f060b7e3910d600f10ca9c}
s3: {s3, 9f40bc79ef75a5ff0aec0c75b2ed58de}
x4: {x4, 01af4ef96afca8374a81c6bbda0b5f1c}
c7: {c7, d09d27de6bf5f2f8a94a5abbed843c86}
a8: {a8, 8202585adbe574c24da679b6f6b775f4}
p0: {p0, ba2b3097a7e4067d29eae26b093736ee}
p: {p, d885d7e56cd328a075f5c09cd2641b8a}
androidx/emoji2/text: {androidx/emoji2/text, 110384a4ca2e56f0fc0a9fde1401ef33}
z0: {z0, 6253be0ecb96fddcc73f961e5bdbe992}
kotlin: {kotlin, e295817e8f8828840469e41cf2a973f0}
h0: {h0, 2180647dee6c8896ac0b1f18f64a1009}
i6: {i6, 39ba879a9147fbc90dd3d793909edfa8}
e8: {e8, 89bc2c8c85d5af30e887126dfed24a1b}
g4: {g4, 217448ad54f611f9fc79365a5658e3a5}
androidx/coordinatorlayout/widget: {androidx/coordinatorlayout/widget, a65930d7ce520872552e831edac24b31}
s5: {s5, 6b31bf5727faa5ce7ee78c3880183947}
u6: {u6, d2b9baff9f7d90c94bee557a98dae33b}
k7: {k7, 49af6c71aa1aea7423a1bd9cc16e4e60}
p8: {p8, 34002b1048839dc9383de832f7809d8d}
o7: {o7, 6445ea6e2407943e89cdea518bb7efd2}
m0: {m0, 8dfc35696ecde5c794580c0ffa972148}
t0: {t0, f02e863f2c100e54d029d941e08452f8}
v4: {v4, 61a65115d7f726537f0348e20296fd5e}
q6: {q6, e414139180e3bea8c2840577530522c5}
e0: {e0, 4df00aa54d7cab07d6aad3d4272c3b57}
t8: {t8, b874b64597e0ab7c8e0303674e6a40e0}
okhttp3/internal/http2: {okhttp3/internal/http2, b50b0c8825fa3fbe29f5459c66809197}
r3: {r3, 0f687450f49a15b783386a2dba9b1f12}
f6: {f6, 66ef0e79108f12931eed70e4de936af2}
c6: {c6, a904d680a85756fc82ad857b5458eedc}
a7: {a7, ab430a1b2f54ff42bb9dad77b9693a5c}
y2: {y2, f84227ab7279f21f8f5df35f7b1b6ac1}
r8: {r8, 6fd9d31c13b956a700798fd5c8e20f58}
l6: {l6, c16c64df6e81011b09bbff53e4a9d7bc}
x5: {x5, 2c9cfb80c5e1bb7b3c645ff8ab3e618a}
d5: {d5, 6f2382bcda4ee656cc09cf05eca24ee9}
l8: {l8, e47c9e0e1a5a37a788783e7d6ad17663}
p1: {p1, e3c0a425ec2c47b67599a8ff5554c565}
s2: {s2, cfddcdf6c65e3e72204227b0da8bd528}
g7: {g7, 105b58b93d01173fb8bc55bccdae579e}
q: {q, 1c4944f64b75967c9f3b2622e8c582e8}
h1: {h1, e7cd78c27ee50b2ea9389d9d1306266d}
n4: {n4, 94bd7af08538e5dffdb2316692baf344}
y1: {y1, 078af7691216540c9eba76834c996a99}
o1: {o1, e1e25e25ff9907ee1ed10dc38167cb50}
i5: {i5, 9177d183e439e667ec957c8ce9d1ab09}
v5: {v5, 1fd2c15abc06e97f35d0f430babf3a4f}
a: {a, 8ed187373f8a21daa41afb01d58759cc}
l7: {l7, 7d3b20cc8ba36077a686c47378e2d459}
t1: {t1, 0a2aef932e4dae2e231d49defeee8ed0}
androidx/versionedparcelable: {androidx/versionedparcelable, a500ff5ea624fac36eb48dd156bfb24d}
o6: {o6, a9fa877448acf202552589a3f7b6637c}
m7: {m7, 6ba21497717d0f4f6fc37c6abf80162e}
j4: {j4, 084a2b0e769ed91b19955930b05fddf5}
w1: {w1, c80e9e5ce5dd2c4c6eb8c42a48220b4d}
coil/util: {coil/util, 81f7a40b0bcb90ac6c3799f7e769200c}
q5: {q5, 0a0f0d55c14d295c5f8d044eef6d675b}
androidx/recyclerview/widget: {androidx/recyclerview/widget, f8bd8d591f98f8c149a5fc76903e09b7}
e7: {e7, e2d2ef993bc5d3a1fe1954274c98cce4}
f7: {f7, 495e8cee340b4821edd836882783af3a}
u5: {u5, 0e279fc212ba5436cbd991142ab1257a}
okhttp3/internal/connection: {okhttp3/internal/connection, d09d27de6bf5f2f8a94a5abbed843c86}
r0: {r0, 04bca041b8dd539150cf6bd905cff634}
coil/request: {coil/request, 51360b43e911137ed72277e20d7cf033}
