a6: {a6, 586715011f1580e08a0d29b37214d78e}
b: {b, d695323229b1b9dcf8b87a3c455cc5f1}
k1: {k1, 2c172e4a741b1ab18badb56521b10c57}
mb: {mb, e0ae0efe9d8d587bdcd56a9dfa211cba}
x7: {x7, f599484bb222ac4c80b990a8d70d7910}
a5: {a5, 4e4734367bea5a7e0029b68c3e567c1e}
rb: {rb, c814b000e227393aabd818a7d2f10e07}
android/net/ssl: {android/net/ssl, fc6f99f70236ce11eac0fb3d6aeb3b33}
androidx/cardview/widget: {androidx/cardview/widget, 8372d2ca2a6adf079d3b69da73f5116a}
l2: {l2, 9647f07b72a6e0d583bc04cc66a7c99d}
i3: {i3, a9f4c6d0a1a0f4786b630de3811a1cd5}
sb: {sb, 3413a9a38b6db792a3c5a450b2a889fe}
androidx/savedstate: {androidx/savedstate, 3a20c42a936df2f74b43ad578eaddaeb}
m5: {m5, 93335cdea91e567f371c36c70e87bddf}
j2: {j2, 504bd8ec85c3e392dae35a97a831a364}
v3: {v3, 1023827965663a9dc93bf624ed6446f5}
gb: {gb, 6f50d1f1dfa9c700eabe1e760bc89d10}
androidx/appcompat/view: {androidx/appcompat/view, 405c68a632f8d1ef4784f9c8f2aae2d6}
xa: {xa, fc8fc0e8f1e39d4527d8174e2fcce07d}
androidx/appcompat/widget: {androidx/appcompat/widget, 8b049eda079d810ae1f276a3662610d1}
g0: {g0, bc5c0baa670c14c36a3c0d4ba7eb668b}
androidx/viewpager2/adapter: {androidx/viewpager2/adapter, 052cb11fe1fc37ed5c89a4016e322e7b}
o2: {o2, 530b62ce18b310d0058c24be7ea9fdad}
androidx/lifecycle: {androidx/lifecycle, 922889814b2d6abb4f2a819abf293f55}
c3: {c3, 127a700e24750e8b0fc43bc5a54fb63a}
h4: {h4, d9d5a0c3536ccfd4a9738ebee5a63746}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, a9e0de11bc05ab3962278ff71d3f6d1e}
ha: {ha, e12d822b74c89906d6a60ac9b596ce26}
t4: {t4, 289894e788a4df41b6c8624eedef384e}
u2: {u2, af5d694176915bdf23ba4d498ebf0b04}
c8: {c8, c05c39383d2729d5e5898010fd054d61}
h3: {h3, 0291444568e1bccad4aff494d808d3fb}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 9967bb81d7cc8cea0e401a3226849367}
r7: {r7, d5b0047978f9dc78cf358c71fc6adf95}
openfoodfacts/github/scrachx: {openfoodfacts/github/scrachx, 7e9b4d7734bec93d2593bc07de2431e9}
s7: {s7, 1a71b4a966c5132dc9da48e04561a057}
q1: {q1, 6e42c4d6568efab21af89f3ae39329c5}
b0: {b0, 165c7c72689876384634e7a79c859038}
tb: {tb, 69e01dbe04103ab442e694228952c69f}
u: {u, 79d97327086328bf1f94e17c27f9e322}
androidx/customview/view: {androidx/customview/view, b5cdfa065e3a3b75a289919ef247c136}
f3: {f3, e1a43ff0a7adee3f8c996381d3c0119f}
v6: {v6, b0c75cd98442a202b0329a8ea907b868}
com/mikepenz/materialize: {com/mikepenz/materialize, 0439a1febeb34d0e0b0e08102266b0fe}
db: {db, c52089a256303ccf92f71e4fd1166bb9}
z2: {z2, 8b8b0b04f860023d5cae47b8ca3e5b22}
androidx/core/text: {androidx/core/text, 0b57829805477db7beb6dc50ef8eddd6}
z5: {z5, 053647e3fb6a1e3c050ef468a8f404cc}
n: {n, 6266a263f54af57113ec558c6116dd54}
p6: {p6, 1d64d13e49296f601f4d3f2995d31317}
d4: {d4, 5900c4ecbd5c75de36c650252bc63632}
e2: {e2, cdda58c92f2a2e4e2d78dbd2746d8edc}
q8: {q8, f3900fb49fac2464d7bf8149f267911b}
y3: {y3, 5b14005a1e5078b802bbaabb18eb7505}
v5: {v5, 7e6375fb85daa2601c923f02fd444466}
a1: {a1, e1bc20dea954ca9b4be54f4e8d682fb2}
n6: {n6, 243def5a10b753754d33bf91c604f98d}
s8: {s8, b162d30c290b3fee8db435775c35b4fe}
x3: {x3, c6bcd50accbbdc2e917a5743f44f2ed9}
k4: {k4, b3ba5f39b2e57d31a6745a25d1e27650}
wa: {wa, ba79933ad4961ea43efc84d1f27e44fe}
g: {g, 91deb662b34c386bbc2249ac340c67ea}
n1: {n1, 76745bd106b694e3adeca748c442dcbc}
i8: {i8, 03e62c8013cb3526b153d062e4da255c}
bb: {bb, a4cc6dbb65b7a16253a8d30724d950a9}
j6: {j6, 16db915fcdc5d41c2acd3aee366faaab}
okhttp3/internal/publicsuffix: {okhttp3/internal/publicsuffix, f26cb90fed7ea09f9969b902e5cb16aa}
sa: {sa, 3dd6cad5ff5854a93fc33efe5360a69c}
s3: {s3, 59c9d26b384205003d19729a7189de53}
x4: {x4, 38e3849d041d700be8b596a27c8d0c47}
a8: {a8, 7cc2a123155102d4635c0daa30e16848}
h0: {h0, d122a06f785e15751c02ee55535ee7cd}
i6: {i6, 4fe5bad378bd4ffc20582a9acf87b0e6}
g4: {g4, 621a62a21a37845891f799331f70342e}
lb: {lb, 98ca4d2d41d4a3d10ec302dec304e87c}
l6: {l6, ea38dd9cb4f30534e29778745aded277}
u6: {u6, 7a28f7c2cb0414b3b83dd13cf9dd60c2}
m0: {m0, 1e39408e5badaa82c80439c03a3adee0}
v4: {v4, 94b3bc27677cc9b5624972ec71e167d4}
t8: {t8, 8c6439a57a2cfdadd418792b828a21c2}
c6: {c6, 687badca0ed04ea020ba48b1cd269951}
kb: {kb, dee0d20d5c1d42f9b7f29e86eadb2a28}
l8: {l8, b583089abe87d7eae3e26ddd36fc1242}
q: {q, 53810f20fe4bcfb8885e4e13c8de0060}
b4: {b4, f16c9d225f170b5d378e0c73f6863ce1}
o1: {o1, aeaec92275e730cf6c3afd46daefc911}
fa: {fa, a55daeb90d2b27176fa9c5646cb56b99}
t1: {t1, 8dbc6cabd9033195f7100120ecd1c7cf}
o6: {o6, c303c8ec2729ba0dea9ad763152a8dcf}
com/github/chrisbanes: {com/github/chrisbanes, dd5ecdb563bba2f792c26d61151dffe7}
ga: {ga, 2b4ad64a1c1194ab8cb49f2b855d7469}
x: {x, a9615f30b9531c0a906621cfea0ed90c}
androidx/drawerlayout/widget: {androidx/drawerlayout/widget, 39fa8fb5fda408baead68abd0f7452cd}
r0: {r0, 8c487dd9b7c0c248739e3f63a7849657}
p2: {p2, 7052f96df4f1704fcfcc2ed18ceaed8c}
d8: {d8, 3d4244fa45447215f1a8d88a4fdfda56}
j: {j, 561077e5e1865a5a57c060c4afd96d81}
q4: {q4, 4a3f1281d0464544eb7a20a88feef6ce}
android/content/pm: {android/content/pm, 4e747eb389e2674564718767053d8170}
l9: {l9, 30d32a1a2f6f264c8f44e2d60a9df904}
e6: {e6, 0430b48d0ba2e58cee7d3f7d7f74984c}
qb: {qb, cf2978236b58e74caf60d71d7e64df31}
f4: {f4, 624a986f216689cb32daabb5a9eb9232}
y8: {y8, c88fd72c620f62eab93edcb1524c21df}
ab: {ab, afcb3fd6ce2dafe5c65de20490884872}
z6: {z6, 3996fa25f6a02a5945206715d0351d12}
w3: {w3, a32e53ec7498ef46c23b5754c2fcdbc7}
com/journeyapps/barcodescanner: {com/journeyapps/barcodescanner, 4b76a490537f4fa2027769dd4b4f51ae}
d1: {d1, 1d2d116b5564c108134aaae2eb954b33}
c: {c, e4614d56bd4963b824d2992ed188ca73}
ma: {ma, 16119c6f7922fcf44a5a3b5049f894c3}
x0: {x0, d6ac4c490c063301a7e46834098020a9}
y6: {y6, 68ea1c325c13aa20217002037cbc9af0}
m3: {m3, fe9f9cfdd0c8606dc7eda00dc3e26406}
i2: {i2, 1438d616765b72337afc3cf99330baa5}
a4: {a4, f28bc2f0166e6b575281b2ccc797e760}
j8: {j8, 40cf7eff8c4a800cc582cbaa242b5cbb}
j3: {j3, 20b0e6ea3c29082c7b578776fea7a8ba}
android/graphics: {android/graphics, d51caee8d643dfc89685fb646c6e1a35}
m4: {m4, 3df7df50513563ae410400c4cb84aecc}
d: {d, 5f6f803fbcac7bce98e5a319c5742241}
androidx/swiperefreshlayout/widget: {androidx/swiperefreshlayout/widget, 6441069d1222608b2d7d7508fc29559b}
n2: {n2, 69f8e8ec2ce9781c09476b0a438302a0}
android/service/quicksettings: {android/service/quicksettings, 2aaaa0871bd7b48661bd46504d680397}
ya: {ya, 6b8706137bbeb6f86a25a65026d33c9b}
v0: {v0, 8550091a5aba9a65ed1e09c5120112ea}
g3: {g3, e657d2bcbf02692eaed73ccf5575f8f5}
r4: {r4, 86dc75378fc94ea665efc6d00fbd3a7a}
com/mikepenz/iconics: {com/mikepenz/iconics, 814f380dbe705dd26c806977d219f1ad}
b8: {b8, 2f908a4475f489de70225bbf16767281}
o5: {o5, dc393e6c22b833aad04ff955ae093810}
h5: {h5, 99bc1326bc2722e74f394811d7d87c3e}
c2: {c2, fbca1ff2a023de2c5d581c64903441b8}
androidx/core/app: {androidx/core/app, bf6c34a9ef6abb15449014f9ec2c3445}
t5: {t5, a2d288441f63afba52adb4c1bb141b48}
l3: {l3, 83f8e66ea9bb2dcd019becfb67b93da5}
u1: {u1, e4d052c15fbcaadcd7d23ec6d716820b}
hb: {hb, 84479824815ff1cc41228e73bc15fdc4}
la: {la, 59f92889abd90f4e198455152116747d}
b1: {b1, 8c091e4022bf67137a4b5b81ee648283}
q0: {q0, 2c3d86ae7afa22144dc65ecc955dd66b}
fb: {fb, 8948401bf49b4094d7e3cc05ea09fd3a}
f0: {f0, 75b82eb7b737421fa2df3973a25d0f26}
c5: {c5, 420e47386ebcf746d825287010bb5395}
ka: {ka, d96f6d526517bafbc7dc6cd560532918}
v: {v, 2cadfd3ce9df26e1a35c1294b79e5168}
android/icu/util: {android/icu/util, a4da3e04e6e7d40a41d7257971e75fd0}
androidx/appcompat/app: {androidx/appcompat/app, 9ca62164ee75f1d5cca47a4c664512d2}
w7: {w7, 469e2eb446c3cde91843092d662337d0}
va: {va, 17b58087b8818942a64740361591d57b}
p7: {p7, 21b44978673050c0dd06ffeb52584d1a}
o: {o, 448b06f23789b7f0dbed6bf81b94b723}
z3: {z3, 93d674b18f7eac787f40cb3283592d9b}
za: {za, 74c88e9f460b60409513e6e5372b8efb}
s5: {s5, bfa99f679f2e612dc639b25f44ac5e2a}
androidx/core/util: {androidx/core/util, 3ee4926052006705d9402a12bfc40216}
q7: {q7, 4d508058863adbd4958c1bc04e8096da}
d5: {d5, 53a0f7ea2b187380fa831474c623db49}
e1: {e1, a96c95b3cc7c5598ba2a32d961368926}
y2: {y2, df227c8f5fbb702b8e5f9ecb8cc06009}
ja: {ja, 9dcfa532d1a48b53d0b5f8a3697d4cd8}
z8: {z8, ad86beac1ea0779725daa311a7ca4577}
n7: {n7, 41a9cea2529bf367323486f5076f8329}
a0: {a0, d706444498ba657189ed665415defae2}
k7: {k7, 84a246cf28f2a700bf534819c80d965f}
p8: {p8, 5ec5b0e393140ee049722cf58b66bc25}
androidx/core/content: {androidx/core/content, 127612af9330faba049ccd9112f4a1ba}
j7: {j7, 1b584c0dbaaac05f12c13fc22a05e3e1}
a7: {a7, 4d4326834f4227bbba466f4456b7cfe6}
r8: {r8, 498665b2b5248c3a58713d640fa5e0be}
x5: {x5, 1113e576ac34a111fca6a617eaeb159a}
s2: {s2, 49bc22f83d539e309483f3a9ac9aaf0b}
androidx/work: {androidx/work, 1b159edb5e714a46bb919d477d65076c}
g7: {g7, 7d005da8cc1a9302f161ed5c89a530fb}
androidx/appcompat/graphics: {androidx/appcompat/graphics, 9b26b9eccfb663ea4cb0d386b26103d5}
h1: {h1, c7f5c267665534d684573135b095d258}
kotlinx/coroutines/sync: {[kotlinx/coroutines/internal, kotlinx/coroutines/sync, ], 9aaf3edd29ce89f92bfdffe389aea04c}
android/widget: {android/widget, fc6f99f70236ce11eac0fb3d6aeb3b33}
androidx/emoji2/text: {androidx/emoji2/text, f90644a3f6a72deb2945fec1505edf4c}
i5: {i5, fee9cf47c9939dfb00285cfb071e7247}
ob: {ob, 7761f5d2a9fdeeb4e0eb36f5991b3565}
l7: {l7, d902cd615525d4e35088228807eea017}
w9: {w9, da147b5a7e207cb3b84d33d7f017122d}
m7: {m7, 442488a0a1047190ae51bdd82811ef65}
t9: {t9, fab168ae9029d8a44d47005cd2460a04}
androidx/recyclerview/widget: {androidx/recyclerview/widget, 43318b75acce9398c4e5aa70be541f0f}
u5: {u5, c599486b7d4cd41e9516183a61f97cf1}
h8: {h8, 74537fd3843af7aec8220d7f3c1edce3}
androidx/core/widget: {androidx/core/widget, f2c4ba98458fb446b5670b88295beef1}
androidx/browser/browseractions: {androidx/browser/browseractions, 3a683c9ce8ce141ff2dc7a90ad57e143}
c1: {c1, 79e8056101de548ce47a86a94f59b173}
eb: {eb, 0520c9abffcbe6461e7d93f05c8a85df}
ra: {ra, 82624000c6fcba70dbd663a794098fd3}
androidx/preference: {androidx/preference, c5a63a17f835d4b4d0300ffc95407b88}
o0: {o0, 30797d6ea749843b12d1ef1b84cd82e5}
b5: {b5, 4d206a04e6a0fed69fd63bf511981a65}
o9: {o9, acba1d2485a1e0552f9e27d57c23ef1a}
t2: {t2, bb6166b34867e0691f0442ea56b17c11}
r1: {r1, 49f0acb8e1057ef36e36e89ee677c7dd}
kotlinx/coroutines/flow: {[kotlinx/coroutines/internal, kotlinx/coroutines/flow, ], 464217824362fc9824e942fa12323feb}
y: {y, 9fb65c787d914f163336c0f387e3477a}
d9: {d9, 9125bd61be7c000e0fe22d82a9085326}
k: {k, 4a1579bfa4ce25f5b685e8c448ccf6fe}
androidx/core/os: {androidx/core/os, b0df3f3dac2b5e5cf9a6706cd818a113}
p3: {p3, 27acac57daeb5589ff52d8b4978bffe4}
android/telephony: {android/telephony, c4e9eeb25e17c46354752ac4239a9772}
e5: {e5, 79d6fa65da780da3fc9575b905eb1362}
b2: {b2, a8c2d2502aef3ef4acfee55ba9b435b7}
q3: {q3, 5f989f4e6df3ba156b7ef91aa89b6cdd}
android/icu/text: {android/icu/text, 0c248c7ad95169e1412945fd6b802162}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, aa45eed9e0d930b091ee701e71fd7039}
r: {r, 2afad3247ed71c1103eff3a6b1a1dbeb}
qa: {qa, a3366fc393c137b695daa4d807383564}
f5: {f5, e4f6d4692d3e0408fcb4117641c276ae}
g9: {g9, d0c9c463d97b3047221529c2c2cd43e1}
n5: {n5, d2351f0882d89c0e577f62b53a9c7210}
androidx/loader/app: {androidx/loader/app, bfe4abb618d1ad52d4335c63a1e57b22}
v8: {v8, b8b23fcc8848a08e7bb0f92605de44ca}
androidx/room: {androidx/room, 931569a3491e66a785251a0b7973f31c}
w2: {w2, a66a78b462f96b1a62e4f65095f9fd3e}
aa: {aa, fb9561a01fb134367bb5877404b4f72d}
z7: {z7, c97d496d9537222b0b7c8554378c8d15}
k3: {k3, b4a924a53c02ef03de0a20634d47af3e}
p4: {p4, df9c2c30bbdb3e9d6d07a3392d426b5a}
l: {l, 5e055c0a51a221014efe98c848669f54}
d2: {d2, d1e398fca867b2838f3c66f2346f7811}
x1: {x1, 691a98ac8175a636ac45c58df8fb6a48}
androidx/viewpager/widget: {androidx/viewpager/widget, 99259fb50ab2c90ea0a19bb010399be3}
y5: {y5, c93663d8982f7ee91bc8f35c8169565b}
m2: {m2, 4ae79f0de94e838be98273760f75589e}
j9: {j9, 7dbf439cc5da7fa2e942d360efdac44b}
android/app: {android/app, 6e2f2dc97ed4ac7e540e7f74ae7d90b4}
n8: {n8, 3bc9efef784a41b81f8367e53bdd2666}
a3: {a3, 6476edf96ff492650d3edbc4f62038ec}
androidx/fragment/app: {androidx/fragment/app, 6fb121d9f6811e582f5d5198d02637f7}
n3: {n3, 8d1954ae1551d66c11ac3787a0faa524}
e: {e, 0cb30181081eb72bf43f0896169455f9}
jb: {jb, e4a7ab950e6a0f24022fbb60a7be8a65}
com/squareup/picasso: {com/squareup/picasso, 5df75b79388fe5f5e4855609d849546b}
u9: {u9, 2810784cc10280f4bb6e736b620651e2}
pa: {pa, 7947818ca89278364b97c1c299ecd201}
v1: {v1, b0853a7c1ebfb8dd74b0cbed43cecc0c}
dagger/hilt/android: {dagger/hilt/android, 1ddf9470a44395baa845e437efbf4661}
m9: {m9, e2668b7538b28ab0660a5e784fc3617c}
r5: {r5, d03f812e4aaaa7a29cad859b175680ad}
f8: {f8, 93612eba3116a6c4a3ef6db4fe1db861}
o4: {o4, 81ca6d7a6abc363b73899239076ee6fe}
g2: {g2, 878a54bbebd59c007a4b85ad2ee3fdbd}
h6: {h6, 98a32847753fe4312fadf9d9350f8845}
u0: {u0, 2ebe7fd54cb50d300850b266249e1e88}
i9: {i9, 45b2cd3a5250f95b707b3ba1afce70b2}
i1: {i1, c23cf9d7a49f6b4f7021233093bb5c3d}
oa: {oa, ff0b6f4e23d509e16676ab304653ab40}
l4: {l4, b3168037fa83e9038c956df025c6cda5}
s1: {s1, 38480185eaf4395138eac56ae73e83bb}
t6: {t6, 209aa5a168379cb6b40ba255a04d4696}
e9: {e9, f49ac0bdeab825f6d3db60237fbbebaf}
b6: {b6, 277683351d29f38ba6c9a5f08e80f575}
c4: {c4, c2ccc17fd4180266ce1ecc4bca1d1cb1}
f1: {f1, 0172022f89d9bf610c3b2b7908d0c257}
w: {w, cc49d1fbe5ec1c7e0ba779179bdd4c2f}
p9: {p9, 61fdfd94fd1f0096efa3e4c8765d6d8b}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, 40f1593b5ed10c345e1ce57230ce180e}
com/canhub/cropper: {com/canhub/cropper, 3395963e93eed78c59daada777517846}
b9: {b9, f50fa193135137569db4c2e6ab0150e6}
com/mikepenz/materialdrawer: {com/mikepenz/materialdrawer, ad19024582396bfd5a8ca4fc117c7705}
kotlinx/coroutines/scheduling: {kotlinx/coroutines/scheduling, 6e4800f057c7ab5464ae443ddcba00ff}
r2: {r2, 55a8a4cfe43c65f122163b9b0208d2fd}
w6: {w6, d52206726ec63ebc292d6eaf2d490911}
h: {h, c3c8e2701ebc4838f8a5cf0724b5e0a7}
d6: {d6, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/core/view: {androidx/core/view, 88dbb630bd65294f5a90269ab8bcd3bf}
p0: {p0, b6ab72dfbd4b74a20afb33982a274d87}
z0: {z0, 4308426e755b9cca1202dc53ce0ddb69}
androidx/coordinatorlayout/widget: {androidx/coordinatorlayout/widget, d383070af92e71cc29bc861ceac5e16d}
q6: {q6, 8086138030b63889d8c914926d6c6a46}
e0: {e0, cb5f1e135421f375bf00ce1ed4ad7332}
androidx/viewpager2/widget: {androidx/viewpager2/widget, fb70322a738e526ec59e825674a19703}
f6: {f6, 1afba88a0d988e8746e1963a99c23cd3}
z9: {z9, d801b4ea1284aef361a548c9aa72ecf2}
android/text: {android/text, ea1be5e9adc911e85d1aa7c52f0af9be}
n4: {n4, a65948e7183765cdbb9828684affe50d}
k9: {k9, 46f5134911dccab533351a03894fba2e}
y1: {y1, e3cf3e859b332355bd588b9c64b6af2f}
a: {a, 2413556022b1bc90d1694f647415a018}
ib: {ib, 6a6cd23e6f604475d2e103ce14fe8855}
j4: {j4, c15aa7c988509fd15afb86c0b6842a79}
w1: {w1, c99e4f21d6109de5ff52da0959238beb}
k6: {k6, 9eee06d668ded542e101068dee31d39f}
