androidx/appcompat: {androidx/appcompat, 1a021ec987e9f7446c366939cd7e2354}
androidx/customview/view: {androidx/customview/view, c3b3beb9393315adfa34bad026d4a89d}
com/mikepenz/actionitembadge: {com/mikepenz/actionitembadge, 248cf41e48c19a11b73323de2759cc56}
android/system: {android/system, c4e9eeb25e17c46354752ac4239a9772}
org/reactivestreams: {org/reactivestreams, 907475feef0ab7fa1cd750a3bc58c144}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, f8ce048720318268772e29f167d98b81}
com/google/common: {com/google/common, 300ab078b1d605e0d12e26972e5eecb0}
android/media: {android/media, c4e9eeb25e17c46354752ac4239a9772}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, de331bbfa95416e66d39c6041af0d93f}
com/optimaize/langdetect: {com/optimaize/langdetect, b4250bd955d3e6e5f92ad77ee9377361}
androidx/exifinterface/media: {androidx/exifinterface/media, f902f1c3c43c6a98f19e6830f92967d0}
org/jsoup: {org/jsoup, 695fdfb2e54364653ed9b5c2613581c4}
okhttp3/internal: {okhttp3/internal, ff0d77f2e2938d0cfb921267489de2dd}
org/apache/commons: {org/apache/commons, 970c2e86bf0ffd5794c7815eeb8dbe5f}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, d0049b7d4ce59749e2127ef45aec9b43}
free/rm/skytube: {free/rm/skytube, fd802d3b5bf61c036a77365ec18103ce}
kotlin/ranges: {kotlin/ranges, 6f25e4ed2840947ffa1876cd4c7d0a0c}
androidx/tracing: {androidx/tracing, 9ccead7bacc2c52b0825bd8172672c07}
androidx/recyclerview: {androidx/recyclerview, c99da77f8bc590699bfdf5c820e6aee8}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, 51c9c4f4f7748a807de770182760a30f}
okio: {okio, e6f9f17e8e4bd026eb39b0bc4bb48faf}
androidx/drawerlayout/widget: {androidx/drawerlayout/widget, cb8ede9e6d5a4188ee921c8ca5293c0a}
kotlin/jvm: {kotlin/jvm, c8bab481d447c9a09feebef9beeb80a7}
androidx/loader/app: {androidx/loader/app, eea82b838c21a3f3b73fa3d976b55e88}
