androidx/appcompat: {androidx/appcompat, 66bdd281344d204b193a45662774cd49}
androidx/room: {androidx/room, fbb7455098fde2ce5a7c0c0b742cae45}
androidx/sqlite/db: {androidx/sqlite/db, e75eb5a28f09112450534c0fadb9f900}
androidx/lifecycle: {androidx/lifecycle, c325650b5da148c9f7b6744505022100}
kotlin/enums: {kotlin/enums, 1829a9574b35e701b2ce18bd854706cd}
androidx/navigation: {androidx/navigation, 5a93b17fb2f22c5abf5362df92fd8348}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, f663656b77dd29bac56d435cf3c06266}
kotlin/reflect: {kotlin/reflect, e456c176acdff061ace8ba202b2ee78b}
kotlin/text: {kotlin/text, 532c5326b99e095f6816d4f933696788}
android/graphics: {android/graphics, e079f4fb8febf5b63effbb6583d13a90}
androidx/viewbinding: {androidx/viewbinding, 8d02b9bbe485adc3f85448f2789940bd}
androidx/versionedparcelable: {androidx/versionedparcelable, 50bc12e7edd72cef03efd60cef5acad6}
okhttp3: {okhttp3, e615fc063f15d0d33c3a1c7da59c1c11}
androidx/viewpager/widget: {androidx/viewpager/widget, 16a771fe3d927e36fa686cd7f153d2b8}
android/view: {android/view, e079f4fb8febf5b63effbb6583d13a90}
androidx/core: {androidx/core, e8288c9b22d128876954bc8c81a25be8}
androidx/collection: {androidx/collection, 43fdb026151e8259fa1ad29ffda5aba2}
android/service/quicksettings: {android/service/quicksettings, c4e9eeb25e17c46354752ac4239a9772}
androidx/transition: {androidx/transition, 961d608a0b6818a8326d4ed5ba918ec2}
inet/ipaddr: {inet/ipaddr, 55e771ba18dc45698bb71335866f244a}
com/google/android: {com/google/android, 2921e6e6576e6aadecde802b3afdca69}
android/app: {android/app, de1c2b92945417ecd988923d07abfa41}
go: {go, a5ff443458e987543b3364de645b0733}
backend: {backend, 2ec53ab47f41a7eab5816fa46112870c}
androidx/viewpager2: {androidx/viewpager2, e43f2e72e63c5e913dd95719e9da9249}
kotlinx/coroutines: {kotlinx/coroutines, c86e4e9d4be189d9282c8d0ee4127022}
androidx/recyclerview: {androidx/recyclerview, 335c0f77c1aea34dc2a4c09d59d3276c}
kotlin/comparisons: {kotlin/comparisons, 17e1c78e995528b930058164eed73d30}
android/hardware/biometrics: {android/hardware/biometrics, c4e9eeb25e17c46354752ac4239a9772}
kotlin/jvm: {kotlin/jvm, fb7ae4593402a99284f78fd0e90f8b5d}
kotlin/io: {kotlin/io, ef4954cf386b1cd2ab0194b007f5c765}
androidx/profileinstaller: {androidx/profileinstaller, b6d24c6fa81edb4f3644cdb0efc862c6}
androidx/coordinatorlayout: {androidx/coordinatorlayout, fdd11ddfbfc3cdc5714182fa8e8b1568}
org/koin/mp: {[org/koin/mp, org/koin/core, ], 2590c0b755ea92ebc92cd77daf37911c}
androidx/sqlite/util: {androidx/sqlite/util, ae9d98726a658a57ff6811e34e63fc0e}
com/google/zxing: {com/google/zxing, 031a272b8fca882d90ded24951f9e0e4}
retrofit2/converter/gson: {retrofit2/converter/gson, e3dcf7a5eb53966bc2965325f7c34beb}
org/koin/dsl: {[org/koin/core, org/koin/dsl, ], d7173914837c0fe9f44db53d3683d1c2}
com/facebook/shimmer: {com/facebook/shimmer, fbca2637eec7e7e032120b1c9a1a54e8}
androidx/customview/view: {androidx/customview/view, c3b3beb9393315adfa34bad026d4a89d}
org/koin/android: {[org/koin/android, org/koin/core, ], 7afc87458143ad4c3fff9bd9d2fad08e}
androidx/arch/core: {androidx/arch/core, bbcdc49fedf1645a6e80c95ae2e87400}
androidx/security/crypto: {androidx/security/crypto, 636204458411a831ed59ecbe0c4db4f3}
kotlin/properties: {kotlin/properties, 30fca3c14c02be01bee2c6c9c0108bda}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, e09b2eae6f0ea6f6a975786d5902e371}
settings: {settings, 405aa598f0e56b24eb31c081694cae6a}
androidx/biometric: {androidx/biometric, baa32706cf5c4e5a786c8506d89b03ff}
okio/internal: {okio/internal, ca7b68abe43e2c9f4dcec22d0e9752b6}
com/google/crypto: {com/google/crypto, cb4ba7515bd52a794650248bb0f4c4b9}
androidx/concurrent/futures: {androidx/concurrent/futures, f8d473da48f4b3354344019e700eaf0a}
okhttp3/dnsoverhttps: {okhttp3/dnsoverhttps, 5ab5ee26b5e4502a009afecef9154a8f}
retrofit2: {retrofit2, 932d148d3069f5c64c6aef9bb3a21e14}
kotlin/collections: {kotlin/collections, 2277aa7629c3a2ad74ddcb3ddb736207}
androidx/fragment: {androidx/fragment, a23654298149ee913a08ffc338000115}
androidx/customview/widget: {androidx/customview/widget, 9bc24cfdb470e4a02ffa12005cce35ff}
kotlin: {kotlin, 9fa7f9752b1470f5f22fbad81443a246}
kotlin/coroutines: {kotlin/coroutines, 7c0ff23c595abec5b000ef9111e8fc95}
androidx/interpolator/view: {androidx/interpolator/view, b0cd30ad7edc905a01d8c1d4b1903fa4}
okhttp3/internal/http2: {[okhttp3/internal/concurrent, okhttp3/internal/http2, ], f4541a0f146fcc81ae5107fbf3dffb48}
androidx/paging: {androidx/paging, 195980ba473cb97dc6cf29310e8da22f}
com/google/thirdparty: {com/google/thirdparty, 3fe84fa1aa5a45a751471bc779fdc3db}
androidx/emoji2/viewsintegration: {androidx/emoji2/viewsintegration, 252e9f50bc59c1347e7eda056d073907}
androidx/work: {androidx/work, ddd9255162973e5cb1676ad1be30b033}
hu/autsoft/krate: {hu/autsoft/krate, 65b8cdc01d4220645fb4d163994c564b}
androidx/emoji2/text: {androidx/emoji2/text, df35b2bcb44fb7a2d4b33d1a7f67d422}
_COROUTINE: {_COROUTINE, 15f74a532dd698f4205bbc712e428a0e}
androidx/exifinterface/media: {androidx/exifinterface/media, de4d4391d3198b6119ccddc2bcb265a0}
go/intra/gojni: {go/intra/gojni, 542dd9699021b2a489ba6c7d8f6e4a23}
com/bumptech/glide: {com/bumptech/glide, 4caaa1e3a5b9c6d75a9cf01bf8ab916b}
intra: {intra, 5ffeeb2d83e6a481c43c5e89f5f5ef5d}
kotlin/ranges: {kotlin/ranges, 62837f2422dc4d6676689e0e2d787bdc}
androidx/tracing: {androidx/tracing, acff8b6406b400d7d9dd134708d5ae37}
com/google/gson: {com/google/gson, 67f32c0c64cf581409ad9057b3637d05}
kotlin/internal: {kotlin/internal, 1bf6e679ac14319263e3d375492c8b10}
org/koin/androidx: {[org/koin/core, org/koin/androidx, ], b315e30250d9cb81c1ae88c31e8bcab6}
okio: {okio, 0e24d9fc1129937829adc1aace1dca3b}
