a6: {a6, 7bcaf746368f7640b8676ee0b2233203}
android/hardware/camera2: {android/hardware/camera2, f80a89868ddf833847bddb39b269d274}
ac: {ac, 11e47df2564b2d02ff168ad1de1b77f9}
w0: {w0, d821b198a2b39ac6591a1a70d5a442d4}
ba: {ba, 610d6ff9e97d02e3abe2b160a19e810b}
j5: {j5, 32d32510f89d365a9c79abde77234f91}
ia: {ia, 7b44c9368c92b29d5540bd4bef693a54}
wb: {wb, 5a9c15388c212416f297ff922929e1a9}
d0: {d0, 8d405e66731b11c34dc7e0b9035e8953}
b: {b, 4776f49de6f59f0ed0120df7f4f76799}
k1: {k1, e6c70a95e93e148d553e9113ecbfc15d}
mb: {mb, 434d1bf17b6a59133ee1bb94f44d6537}
x7: {x7, 993dc76377faeb48669c72a7264c2b5e}
a5: {a5, 428f91a19a1b8178748d21c40a0e5947}
rb: {rb, 38d0f191aefbbcff7ef795b028f9b5e2}
android/net/ssl: {android/net/ssl, fc6f99f70236ce11eac0fb3d6aeb3b33}
l2: {l2, 1f91c4345f303eb19bec1827aad0b14e}
i3: {i3, 035eeaf6558eaf37c0944a79435a0fdc}
sb: {sb, d0c1dea4eb642125a322487e8c6a0f67}
androidx/savedstate: {androidx/savedstate, 0ef030f80dfe9d4473b1cef9df710d0a}
m5: {m5, 49c7e0e5dd523462d358fd733f31b36d}
j2: {j2, c9c69aac0e46fb5a35d8674a7ced979e}
v3: {v3, 141da97d1998260be63668ef3ffce40b}
gb: {gb, b997ef5945f8a95a39afb878e44a8cbf}
androidx/appcompat/view: {androidx/appcompat/view, 452fba082233aa9144944f23caabe889}
xa: {xa, e4313e9d473ab3bee10e88d38a443c45}
androidx/appcompat/widget: {androidx/appcompat/widget, b422d21358ff1cfb7161d6547d427ca8}
g0: {g0, 6f68870e18706ef57612136bcd8b48b4}
androidx/viewpager2/adapter: {androidx/viewpager2/adapter, aed19eafd2bff333b6d70db2f0f30b51}
o2: {o2, 2d225839828b16d7d0efe197d0410d41}
androidx/lifecycle: {androidx/lifecycle, 4a2ebc7f0da24ce0909023035848bd2e}
c3: {c3, a2784e7285beac4b5aab05594dda05ed}
h4: {h4, 3746b14b884af8d2834db443d7686aa0}
vb: {vb, 3c12fc6b8f55fab0318e6b22ba73f244}
ha: {ha, c4b4203fb378a1d78a52862259e2909b}
t4: {t4, 6d6857cec6a54500a3590ac9a6193ff5}
u2: {u2, fb3d97d7dd7ca613dc7344473d01e7fe}
c8: {c8, 810dd86b3b34fa0e98eec0bf4064a4c7}
h3: {h3, 6414969dc5d0d80f601574e8f572afed}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 7455cdf51cde40fadffd528c4ac13d7f}
yb: {yb, 5bfb7e3e92f85dfa775d0570d6d7ade5}
s7: {s7, c09ede3ec2669ab4cc52439368d54be2}
q1: {q1, 0514f5ba184c5e77c1b2086808831822}
b0: {b0, dac9c05b33649b3ba3b2072b75ea1069}
tb: {tb, bf78859827d5a086e77cdc38f114fafe}
u: {u, f4fe9738f47d2c0425959a40eb05573d}
f3: {f3, 3798d950100e4d92531d8451de3712e6}
androidx/concurrent/futures: {androidx/concurrent/futures, 52a3a57f06a47dd06f74071a16316160}
de/rki/covpass: {de/rki/covpass, e9c3c90f75116caab4c4a0f546c3f831}
v6: {v6, 8c11db823a5b3d4e803f753f0b612164}
w4: {w4, c95aa26c97a3a9272def928ed7b3f35c}
db: {db, db6168199445594c6f39b8c8a698dd13}
z2: {z2, 057bd9f724821e6a7f19acce7dd709dc}
androidx/core/text: {androidx/core/text, 7be3b4722a94f11552e20f8f8f5f20bb}
z5: {z5, 9e8656fd5746ed9b0741eec3f3119955}
n: {n, 3e2e9ce16828a60c3b0f42605e9380bb}
p6: {p6, 479d0c8703b4167b60216fb70d444037}
d4: {d4, 532660cc8c22faa80cfeadabb4d017ee}
e2: {e2, d12e60153e0bc075e0ae81be1ff4f7bb}
q8: {q8, 114d64d91d7f1c84a6169240fa2d0b41}
io/ktor/util: {io/ktor/util, a89f564f67bac93f547d413272e61549}
y3: {y3, a271ae7e0fcd5a221380bb967f111b14}
v5: {v5, 0ad6de35bd25aa24e5be78a209f0d545}
ga: {ga, 472dd20b34438b02dfc8cc34c0876220}
x3: {x3, f9a85ca52cf1c18236e1f05ac4eee893}
k4: {k4, f363167dcf50590a8f49a29ce26b5c69}
wa: {wa, 788ec20c86b00562be0d491cc1ec2d51}
g: {g, 2bb21e4d0ded81bba595158bf318c798}
n1: {n1, 76494c0dd3369144fb53e6ab7dcfe2fd}
i8: {i8, 1db144f57dfd15bd3ac71825c816a602}
bb: {bb, 0b47cfbbe6ca3ad1a6beb847cddc3560}
j6: {j6, 3b7a6cea5ac5ff4cfe6a121b8b79355b}
sa: {sa, 62bb51a73a8d8dc003c080724b5beb55}
s3: {s3, 0190151de48337c3197ebb441a88a1a0}
x4: {x4, 633c94a8bc225430cee7d86bf7418389}
a8: {a8, de5fc6aa94e752b03e1636253d78561d}
androidx/core/provider: {androidx/core/provider, 1baa7dd88ec0521abb657382d4ba66eb}
h0: {h0, 027cdf4e755f8044c2177e9d43879b80}
i6: {i6, 026257bf3133b35960762a92c7ecc7bc}
g4: {g4, 398aa9a8acde910f1608b69b265360e8}
lb: {lb, 6d2c76dd3433c256c20ed1c3ee48e0e0}
l6: {l6, d7b71a26fca4fbe4a887de201861b226}
u6: {u6, e2f2d20d074b9d94666ff97d98409875}
m0: {m0, 6d8176f9a5c23aaf32407ab77db357eb}
v4: {v4, 517d728d67e57fe1a4e6be87b89f7c55}
t8: {t8, 489d7246c037ab770eef8437a8bb16cc}
c6: {c6, c474d7d909c50bbd214c58e02738a423}
kb: {kb, 1cf71c53462843a684efe16e07d3ce98}
ec: {ec, d69cabd3c2506eeb282fd0aca206a5b5}
q: {q, b908f4d9321d38e3ab598f4a101bc743}
b4: {b4, 5d0edb359d4e9ed861c20951b52154cb}
fa: {fa, 4dadc985a2abf6961a11209e938fb644}
o6: {o6, 8f541c50de30659b442104badf87e072}
androidx/camera/camera2: {androidx/camera/camera2, 695bf459e451559c1b3e6ba95745f919}
n6: {n6, 5ad011d537998dc707d1db2bbb5bbcd5}
x: {x, 234873b4a5d25919b167530b5813faf5}
r0: {r0, 813caa83c01f25d2b783384bd4d6d21a}
p2: {p2, 2084a1f88da651943b86aadf646ab7c2}
d8: {d8, f9546304365fe9e92426ec193c193d54}
j: {j, 92e50bc6bda1af3c306a53586f54db58}
q4: {q4, 11b2d6053288cfc2ebbead458d7d1e7b}
kotlin/jvm/internal: {kotlin/jvm/internal, 542dd9699021b2a489ba6c7d8f6e4a23}
l9: {l9, 345f2451d03f1a9b5f0c90b4f00bc70c}
e6: {e6, 65c13a927acb441a1fe3675787b15a9d}
qb: {qb, 9016fe7b313f8bfbfa4f09c3ca384112}
f4: {f4, d1959fb6934af62c1673362afd166a47}
javax/net/ssl: {javax/net/ssl, b95cb717b3369c3546ff720c82e9d619}
y8: {y8, 1affb978d6ff3230b1b8d6ccd76e5bb3}
ab: {ab, 11047feada775ed0af6fa5f826a6a993}
z6: {z6, 6798c27e73f21ef8aa008ad7b811c5a4}
androidx/startup: {androidx/startup, 131abce5fc5ebe7e1684037bc13d5652}
w3: {w3, 090930ff87c5c5b86940e3fb5a9ff49d}
com/journeyapps/barcodescanner: {com/journeyapps/barcodescanner, c5d2e2ab528c77de89e9b34df954ed04}
d1: {d1, 625ff8a83648530265bddc8bcb5d724e}
c: {c, 0d15df1430e1f6c299c91e9e7f217130}
k0: {k0, 2b5b6920b339f40a22136b2aabee3912}
ma: {ma, 65ae43488ffafbfdaa6360837c33bd97}
x0: {x0, 178796f65af476114034db205a18f777}
y6: {y6, 103c95fdece014ce7e18a0070db93cfb}
m3: {m3, 4f66c09369cfe70479c8a7b6b45e4a16}
i2: {i2, 72554815c374a26a661907d7b23020af}
a4: {a4, cb1163f7f5dfa4138651a6d50573fcbb}
j8: {j8, 46e8d9db04bbd815afe81ef29fa32fdf}
j3: {j3, 053d65ff50419d6869554b626509e90a}
android/graphics: {android/graphics, 1ea1507e606e0dce02389a79209eaadd}
m4: {m4, 2f4f678b2f69526ece4741a0a24ee098}
d: {d, 8e026fbd6e505b3bfde86f269f56af70}
n2: {n2, aae06818db8a3537b17f20ac4811e5ba}
com/ensody/reactivestate: {com/ensody/reactivestate, 7fd3812389ced332c41c822c303bd44a}
ya: {ya, 82a332917918c60c16b2596e8242f219}
v0: {v0, 2fcc16e34130b7a14b751f5545383316}
g3: {g3, 801ffcbbd6baa5bf4a6b6347ba49c4b3}
r4: {r4, fe1cb28c907073398c1b5bc422d62447}
b8: {b8, 1056ad4120b48d223a94dcfdfdcec04d}
o5: {o5, 8b77d80ea81e92c0e8bcdef282bf0daa}
h5: {h5, 2592b14d8ddd2b7fdcfe290ab0d2ae6b}
c2: {c2, 4749e87d0021f080834c1b6737c5e887}
androidx/core/app: {androidx/core/app, c53abe5cfe13faef5bf09f510c9dc5f1}
t5: {t5, 16b127e46c848aababaf2abe1b60cf69}
l3: {l3, 2e5b3c9fcbb341bdab839f7a71c4238b}
u1: {u1, 437dd7d8f43c9522b7aa6c6d7eee98c7}
s6: {s6, db59b041e1df28d5a7c266698e4c8145}
hb: {hb, 5f3ef022b70e2fb960624865582a2aa3}
la: {la, 72e769f8900cdbb94350ef288119499a}
b1: {b1, 8bf776a3067a9c1539609f7d121b59c5}
q0: {q0, ac9ab365723ea1d4918fb3d3b1cf2060}
fb: {fb, 99daa0e84d63151dff740fdb5a82d1de}
f0: {f0, b9fc0b056270eac85db7c94a93cb4a39}
c5: {c5, ac79d69eda0b43f3df641cb9d7f011c8}
ka: {ka, c0d5d258f4b53d3cd4133ceb44e032d2}
v: {v, 71b0c33be25321b4a3a8cea5b694eb5e}
android/icu/util: {android/icu/util, a4da3e04e6e7d40a41d7257971e75fd0}
androidx/appcompat/app: {androidx/appcompat/app, 9c11a386dbd86be6ef8f8ff977f019bb}
w7: {w7, 4fcbfb61eb410d822fe9ba22a489da9a}
dc: {dc, b80d5ae299a70f347b5328d9c0eda947}
va: {va, d8946bdb7e99b80ef433f8e01d8be5b5}
p7: {p7, 2ae7b9538cf9054db356d4d231c7c3f4}
o: {o, 5357942825145e586f87e0e09dd6667d}
z3: {z3, bdefd2bfdf8a972995107fe6c5e83128}
za: {za, 2d91fef16e37d8a2ed4990996e590881}
s5: {s5, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/core/util: {androidx/core/util, 6b4c1b3369386715809af3a10481369b}
q7: {q7, 5b99325c5d5f3848a7e4fcb5801f08f0}
d5: {d5, 918b836da244c61b55988ba87b7bd297}
e1: {e1, 15a015095b10edd57d15d6dcc858a611}
y2: {y2, 224b7ff3c8bf18bf1b8ca0df75b4cde2}
ja: {ja, aa3927145c99fca01a222c1e6822c324}
z8: {z8, a17e40f92e3cefef0b49c29424e0fe63}
n7: {n7, 1d83acae0cb404de54ba350d6daedd33}
a0: {a0, 4ed48a094255ad69a88b40bcf7225a3e}
kotlinx/serialization/encoding: {[kotlinx/serialization/descriptors, kotlinx/serialization/encoding, ], 020eb29b524d7ba672d9d48bc72db455}
k7: {k7, b027c6ac796e37c69052ddb3fae6a795}
p8: {p8, cd9b03e867a657b4241efefa1fa68d53}
bc: {bc, d52206726ec63ebc292d6eaf2d490911}
androidx/core/content: {androidx/core/content, d066e9db3a2ba47d4241576753507e93}
j7: {j7, 92a68e1af81e9dfb7021928aa1db3a99}
a7: {a7, 9392cf71233b86f29d30d4dcddaf2b89}
r8: {r8, 829d25409bc615e5cf3712eee325abcc}
x5: {x5, 43269d8e500933f3c5300768b58f62d4}
s2: {s2, 0e6eac01c215273b1b59c4a43f57f183}
g7: {g7, 52068b5383ccaebd534ce872221fd61c}
l0: {l0, d32e7f2ae89a8c4b8bd55e8b165c489a}
h1: {h1, e8a255b4f2bc060c9d0a0d265f6040d8}
ub: {ub, 1d64d13e49296f601f4d3f2995d31317}
androidx/emoji2/text: {androidx/emoji2/text, fbf2231b0f5b83476746981fdfd1f48a}
i5: {i5, 152e66338c7d5759d3d8d4bf0fe053fa}
ob: {ob, ee90e719ed3104b286ae25878d8726cd}
w9: {w9, c4fde209381017a8ccd8bc254372a649}
m7: {m7, e081ec9e2cef645e48aac60894e95da1}
t9: {t9, 739d7de7f026f0aa46769b315fe8a2c7}
androidx/recyclerview/widget: {androidx/recyclerview/widget, 274f659e831e0ae1a7fde672f53d28f9}
u5: {u5, 281614f120d51d7747e8a96d966b9c48}
h8: {h8, c1721e418518e776b65f8e735a0a880d}
androidx/camera/view: {androidx/camera/view, 2dcaef1160bde1cf2cc999265af6f255}
androidx/core/widget: {androidx/core/widget, 92d36bf532826b44d83ba49fa89ae082}
eb: {eb, 65a75e52cecdbf4e32bcdb59ff054879}
cc: {cc, 632577d0b6bbd3e2e51bc41b7c2a1f16}
ra: {ra, 4b4b7d4445b095ff245ff463d0323814}
o0: {o0, 04de05725fef9790b104ad0a3f4c0019}
b5: {b5, fb6ddc8e3ad02dd0d92bb4c9cbc5e25d}
o9: {o9, 1796d859a129a2de6ed01a399f3630eb}
t2: {t2, 5287828308d3df66b042558ae348e06a}
r1: {r1, a90129456464cbce258fd5235ead58ac}
y: {y, dbdbbda23ea7f30e63c708c299678ba8}
d9: {d9, 53ddb4560d840fb5af8cc06ca61b9629}
k: {k, 997f2561412f72d7561c8c8b6e9cdd82}
androidx/core/os: {androidx/core/os, 3a54fb054d7e2be22ce1efcb9d80867c}
p3: {p3, d23077d4efad2e1bce3f62f9b72ac9b4}
e5: {e5, 3027b4061c88580d56aabc96d7f74956}
b2: {b2, a635977f0750756d8533f14ae755b170}
q3: {q3, f2749e7b03eeb8784534835b3cc78996}
j$/time/format: {[j$/time/format, j$/time/temporal, ], 020eb29b524d7ba672d9d48bc72db455}
android/icu/text: {android/icu/text, 0c248c7ad95169e1412945fd6b802162}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 4c890d583b22a6f6623ab7fb4cb1dadc}
r: {r, d759b1cec2abe94fc585ebf1fc5ae7bb}
qa: {qa, c96cb398475021d718b73a2c615122d9}
f5: {f5, 7f288ca7c0363ac948414c0338faac10}
g9: {g9, 5440fa3602ad6347bdc04f0e8fe07f2e}
n5: {n5, acf84d2960a11ffa5fdf44109c301aa5}
androidx/loader/app: {androidx/loader/app, c974c1cbc4bd2d32a6deeef0272ec8ca}
v8: {v8, 47db079dcf0da9200dd70d186f082999}
zb: {zb, 0fbd32867114dad098e173998b76f501}
androidx/room: {androidx/room, dc3b8ff358153ff724256f9f7b430353}
w2: {w2, 75acc4f297e21a45316e83da858c1903}
aa: {aa, 3fb410e3aca8011d91ab507da1d0adad}
z7: {z7, 21ba1b8f90b4dda84c03bb6f61d6cb7e}
k3: {k3, 65c3192a8565d7c629afd3fce22c5eb5}
p4: {p4, ff9701ab5c3964ee3479ca94820fb09d}
l: {l, 945f22d7f3766495e2c53640bbb2e7d1}
d2: {d2, d584f8c1d33825d04af9ea015c26c12c}
com/airbnb/lottie: {com/airbnb/lottie, 26525caccd95f02282c2fcc0dc2e0357}
l8: {l8, 53f6ae67f358edf7b70d55dd9e74f0cd}
x1: {x1, 474db387b19668f733a0034d1b25e1b6}
androidx/viewpager/widget: {androidx/viewpager/widget, f423003714ac7a31614dd43991a588a9}
y5: {y5, 3a4152902f3dab3bed21c5c517004a54}
m2: {m2, f0282419a7215925b00670cfb5249ac7}
j9: {j9, 3ad54ce5580e989b8572d4ed04edc448}
android/app: {android/app, 6066eb09665d14b1f2b800e017829fca}
n8: {n8, 366f825895f136eba2cb7c70e70dc9e9}
a3: {a3, 23b2d59dd9021aeaa1fdb758fb04f985}
androidx/fragment/app: {androidx/fragment/app, e403a898e5e957e4c5e0856aa6d8aa27}
j0: {j0, d6d90dca0ad27ca05aaae886525131df}
n3: {n3, 1265625c8364ee11bae36b643394ab5d}
e: {e, 10d090aee57f7e174cdfad7d43e2305a}
jb: {jb, 7e27ff1ddf92b0b35865a89ec6f57ce6}
u9: {u9, d656cdecfde801209cafefdc8168f11a}
pa: {pa, 3321546cc3f22ed7626c0ca507cd9143}
v1: {v1, e44d0fa3130614c37e9d0b9749610689}
m9: {m9, 97ae3f1a8866f92915d0a361f6708a9c}
r5: {r5, 2a6ef0a783f385222f3acfa300c7cfc1}
f8: {f8, dc958b98f3cc2218a6797fb722f9306f}
o4: {o4, fa8e9d4dc5d5f6a0fa979482a5e8e3ae}
g2: {g2, f043e69275bc261d2961fccbced75e44}
h6: {h6, e2d1aab8c94ca8dcf6589218cfd5aa47}
u0: {u0, 4578b418bcaa319464881b16796942ff}
i9: {i9, 75332a69a4ae1f14de66c4f9ab9aa40a}
i1: {i1, 5126c60e62e7988c43eabd3d2306f517}
oa: {oa, 12895fdd1aab24ef0df859025395d460}
l4: {l4, 8dc5a27765b138d942e4f9ab82305494}
s1: {s1, 6fb7b658fee2f59c2a4b10922aa877ed}
t6: {t6, 30023afd8af849480d07e49ce65cd78f}
fc: {fc, 67d3d9f87cc3fe0f1c6eae87967af4cd}
e9: {e9, 538679e94d42f58cb618adf7affb270e}
b6: {b6, fb254fa1c392a58c50a4b6c172a5be59}
c4: {c4, 6a2b3dc49207ff9aa8b14d3119e32cdd}
f1: {f1, 0965beb900ef733a02cb677fc24f84b1}
w: {w, 1bf31fd238a5d69b6c1a3c2b6f64fe80}
p9: {p9, 698948ee0dbcb6af6c296760a12805eb}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, b9a9cb4f1179d3c45b7c0ab167539074}
b9: {b9, 2ff45db76698a1e310fe3449193f088b}
com/google/crypto: {com/google/crypto, e209ea6150af874c2efe20dd608740cb}
r2: {r2, 5815a66e61157336c52484fe15c08205}
w6: {w6, 74b9822dee19c1010c6690d0770bc1ad}
h: {h, 8570c014b594bb054e3b2216a0f3f68c}
d6: {d6, 1addef44eb4ed6fd0c8d4768f45a8314}
androidx/core/view: {androidx/core/view, 6ee725ab4931d2d2ec5122803177998f}
p0: {p0, d3f93284f8f148cef495752d66f123f3}
z0: {z0, 23fefc6f55948def7f08fb6fb154c839}
androidx/coordinatorlayout/widget: {androidx/coordinatorlayout/widget, 5aa0dd4972dab63590d3bf4f71d7fa95}
q6: {q6, fac4627d059f39054aadbb25b59b69c4}
e0: {e0, d44627a13dd3e909e108b15c44598a93}
androidx/viewpager2/widget: {androidx/viewpager2/widget, b36a8ac8d336650845e55622637238a7}
f6: {f6, f5c118db3a73bc5bf5355105afc3658a}
z9: {z9, 0918662aed3782e7d5ded0deb016afa9}
android/text: {android/text, 2733e2836e342a73565f1c4a6d88cd13}
n4: {n4, 26ed10e8beb049dfd8558993adcd7d72}
k9: {k9, c874a0fc4a51dc2ca7222330ff6e7724}
y1: {y1, 860c0e1f07106ebfaf382163db018e4d}
a: {a, 17c07a6743af40001b7efeae88cae3b8}
ib: {ib, 714d77375fa0427b7f9b25b396bc9f0e}
j4: {j4, 2dbb5b2c90dccd4b50cd673a0722eb0b}
w1: {w1, 063a793bd9edf2ffeb4daf7302abefcb}
k6: {k6, ee2d4772d29525a6a4bd7983ef6d0773}
