a6: {a6, 094c26cf04171ebc8c401f1e44d2607c}
y7: {y7, 3bf9977b6c5ce1d6f3af84e2485b2b57}
q3: {q3, 6b9e6e5f3cccee03ace3ee17c0ae442d}
l2: {l2, aa7a91750328f9a55c02bd69c531c202}
i3: {i3, 1422b7420eea4da8fc518fb62f336929}
androidx/core/graphics: {androidx/core/graphics, 9b2c0499103d19370147feddcf1f4f14}
o3: {o3, 26079690e82d7582feb2b897a09e0d10}
androidx/savedstate: {androidx/savedstate, 2139d4393d22735a0ea741d8f0c22b6e}
m5: {m5, f98638a68c50ec9df30a5de5640dd7a7}
t3: {t3, d2a90f1a3c20b5e7159ec8e108f20ab2}
j2: {j2, 32b324eee13e47f5c213e22d348ad84c}
v3: {v3, cceaca35c1b8917a88efd3948c3598f6}
h2: {h2, 2f002b653593354c0297fd5930c1d533}
n5: {n5, c1daaf013c8e37584bd289b1f19839d0}
u3: {u3, 6770511336d8c5aad8de627511f309d2}
r: {r, 1765cfb60b7b337fdd3cfe18406c71a2}
d2: {d2, 693704cdee8397dde2ac70451bb967ec}
f5: {f5, 651c20c87c74c1a0cb4d18011b6a3ef9}
w3: {w3, cd8f41c96544d69aa0229d5d3613bb94}
z: {z, c7ff3be5c583f383b3162262491c31cc}
r6: {r6, b480b7527927b85609fb3cad0f2f2e12}
d1: {d1, 88e3842f75462d7c780776a7707b81a4}
c: {c, 3e136ab16d90fa668db28050f2180eb2}
k0: {k0, 71606476f65ee38cd0ebab1cceb03f54}
g0: {g0, aec1c0c8c323639c36434c2ce6fde4eb}
x0: {x0, d93a598a86f7fdf15c5b9e2607987f94}
b3: {b3, bc3468d3f6bd28f7199df589f6fee4b4}
androidx/room: {androidx/room, 0dacd8d449ada4c37aa7ed553e3356ff}
w2: {w2, ddbcfa68a3ca454bfa3f0be0dbfcd029}
q2: {q2, c38927784ca368b9e111e2664d092a4a}
e4: {e4, 26cb0a6c3771740cb88a872fc8d38897}
o2: {o2, 13a7b263823ae3166164d6f996d8e0b0}
m3: {m3, 5efc49e556612b9ba526015ed62423fe}
i2: {i2, dd85c7b7e771172799763a74bf3072a0}
androidx/lifecycle: {androidx/lifecycle, faeb2517df69d34df021d4a00eae755e}
c3: {c3, 986b2aa19041f1cad8c1468ff3bc1aec}
a4: {a4, 056546342989973ce71f6771cb8036e6}
h4: {h4, ee617cac0790afd70fc62f4762553d6f}
t: {t, de62d03f9054ec4c075469c216f54af6}
j8: {j8, 2833072b32cfe6da3e1f9040ddfa6e64}
j3: {j3, c629a74cabd43defb0b1fcee8144b4b6}
m4: {m4, cbeec2f8cef24296ec191a6a9d462616}
t4: {t4, 393fd0e8089a0b770a9abe5b90cb1feb}
u2: {u2, a033de19bc59afde609048707a46ee4c}
s: {s, 03c7bb2f486ff1ab7784512b7e50064e}
c8: {c8, 4d1f793b41dfb1cddbf3e49e747ff2af}
androidx/startup: {androidx/startup, 47cd419821c46faf19760057a391cc0e}
h3: {h3, f996cb1f0144203d81eba82db4f74ca4}
n2: {n2, 4eae769bf5e39d1e947108c9dd83fa45}
k3: {k3, e2fe444cc4f244dd0e0d4c6973e8423d}
p4: {p4, 19b5a00fe8950f9ab2761f298756827e}
r7: {r7, 8c500f70296e76d00e134e11e2915f5f}
y0: {y0, de2296e76a37c205ee3752a942de867a}
androidx/compose/material3: {androidx/compose/material3, 905fca8dfeb7c071bd77463a536ca38d}
f2: {f2, 087932eb1722ab7e74f64e755464b10b}
g8: {g8, b6402c1be085ba9202e342ca2ab3c35f}
v0: {v0, b9a5a26c7baa6a00fa97cac6f425a67c}
s7: {s7, 8c8fb074b8d2b8361f1bd2fb94630c7c}
q1: {q1, 38a3aef3f10e227d36e85dea0e97012c}
x1: {x1, 66c6b8d960e6c5a0fb8bb0fde14a8d30}
g3: {g3, dd2bc702f96d632debefcfac8d06d5b9}
r4: {r4, 5a6d327681361588c3adf2d981374131}
androidx/compose/ui: {androidx/compose/ui, ecbee24c92268f329ec12dd9453e149d}
y5: {y5, 07b27bf7284c86e08e9b093c57de86c1}
a7: {a7, 40b355d1a8a50b1a2eb6e130b393cb2e}
b0: {b0, f196b59eedf00a33db94dfcea83a0aa4}
m2: {m2, e748fe7a48ebf62f74667de8431bbd0d}
s4: {s4, dadb031e9a54f8b1a7727bfcf7e17b70}
b8: {b8, a52b491ea9629f5bd0d437b6c50ec36c}
o5: {o5, 63010de11af9e989509c8b7659c18ee0}
h5: {h5, eccca868957fce48a8a684a5db010bb0}
i5: {i5, d47c960a0ef5593ce8991989ab44576c}
w5: {w5, b2d789ba3691686aa29381c6b68cf267}
c2: {c2, f86b15fbb2754449955c135384975f6f}
a3: {a3, a1ba5d2cb5a4866801d51494585ac2d0}
z4: {z4, 94402a65f1c067fb91ff39c119fdf68b}
t5: {t5, 4f0ecc561c69ba04b6e2a1424a561343}
j0: {j0, bd9e150165ead4d7bf78c29ead8f9113}
l3: {l3, 60c944b1403d27a1bf24dba1f5da6869}
n3: {n3, 33695f56f476dbe01c0f7432aafc9aaf}
u1: {u1, 5ecc80659aef5a3193973161e63e0e7f}
p5: {p5, 152949e99725534877d578fd25d88121}
d3: {d3, 32ff2b89337db63f6cc2509df4045f3b}
z6: {z6, 98c4fce7970019f7bd10be1e2e603e3c}
f3: {f3, 22af5046685b75260b3cd423de8c5984}
k2: {k2, b44cb9d1d575b1eda575e855b4896af9}
m: {m, 1e08a6d5cd74a7557d0b86d14081e972}
e3: {e3, c5c48981b2f12dcefc8170845d3a07e8}
v1: {v1, 6dc4d572b58c4e60dbb5ff7235306d91}
android/app: {android/app, e079f4fb8febf5b63effbb6583d13a90}
y4: {y4, 829a06c3cf6ce80f6020d3e047288ede}
q0: {q0, 36ccf157c2a815a32e47026f4cc1efc0}
f0: {f0, 8efd1a352e979e9a461226fc2af22907}
c5: {c5, aaf8df7784f2738b0a9c76babd759ddd}
androidx/profileinstaller: {androidx/profileinstaller, e4467928447ee3653f2b188af42d034d}
r5: {r5, 534d30a71b647a2d628a0a6c6a3de7f2}
f8: {f8, 42bf86db813c12ebc4c8e620557709fc}
z2: {z2, 997497ba58e6c66566c36e2faf202bc1}
o4: {o4, 2c2515d5ee33363ad2db904446a0d15d}
m1: {m1, a01e2dc2852fc714ad18ee0cc51101db}
b4: {b4, d1723daee4924d4d2fa7a5038d92a6a2}
x2: {x2, 969afac2bf6409e64096c235487f25bd}
g2: {g2, 8eed92fd5e258680923dcabef5687779}
a2: {a2, 7668479020a5513437a7b8d52e25278c}
h6: {h6, 81868fa110965f25ee9ea8744a2807d4}
androidx/core/app: {androidx/core/app, 42afaf6c8115ae078d1f7ceb290514be}
n0: {n0, c607b8545396c7d9cf8a96520b867921}
u0: {u0, fde7a2ade906f523d0731681cac4ba7d}
k5: {k5, af660acd2f531aa40be72ea5159257c9}
okhttp3/internal/publicsuffix: {okhttp3/internal/publicsuffix, 4146914fd935766815251f784fe9d43a}
z5: {z5, 7c9fa068a9a5ea55fd88987f6f71ae46}
i1: {i1, 683c083f2ae31f168181b5a27994559f}
f: {f, 456ccce2c544d84f619b94f7f3607381}
v6: {v6, 8d1abf1e6acd501dee78ca4866fe41f0}
l4: {l4, a9dd6acb1ab346edf09cc5c30b46b8c1}
s3: {s3, 090238c14166287aaa7122239f6df797}
y6: {y6, 357a53f811a8b4e8ab80f6b59db1bad8}
n: {n, b8a593be860811b8d0b6ceaa51275fed}
p6: {p6, 4275a23ee4cdc192fe99cbd50be46423}
com/bnyro/wallpaper: {com/bnyro/wallpaper, 4ca0268cf2c906a0ab74ac5f950b26e0}
d4: {d4, de0e6c9ee069df597dc95d0f73198917}
t6: {t6, 408b8eef14fed6dc1f718ed0ddcd8633}
u: {u, 5c8332e05ed0e3a5f6064040d3daf95d}
w7: {w7, 6719250dffe05545f208611551d598da}
y3: {y3, dfa66ac993dd38e6e4770a56ed512fd2}
c4: {c4, 4ead0a2cf412b9a6db894cb385348b15}
s6: {s6, 2f404daeaccc322ca3057dc579cea6a2}
p7: {p7, 05197c21e945b9212913515fd77a4c69}
s1: {s1, f575369e4b4d4fadf7eaa6abe2fce821}
o: {o, 05f5821f8fc75e8c14e84401e9791162}
f1: {f1, 27689ad3793abbd10cf083b29a8ddcca}
z3: {z3, 68cd2a13f1fa1211c01bf76f9ed06512}
a1: {a1, 6501a6121fc39108d23ff63e04befe7e}
h7: {h7, acf7ef943fdeb3cbfed8dd0d8f584731}
d: {d, 09f22bb2bcf8985d306314da79363347}
w: {w, 6b218148740049aa8ccad619f67593f8}
s2: {s2, cad72dcd6cef31b3d57738b670d3009d}
i7: {i7, 85cf71c3bcf8b042e42624ad0bb43817}
coil/target: {coil/target, 28f900a2e6893c2c00ddfa0f32fed76e}
x3: {x3, 672fd1c646f0ce06d2452b77bd216693}
g5: {g5, f0e0d70e0505f8dc6759138abdcb026d}
k4: {k4, e84af2fd258e393b2a891782d78dcde5}
n7: {n7, 146abc6a5152b6852ca4c38b12fc2e0f}
d0: {d0, a8743df78212895ff0b122adfad5e372}
g: {g, add0950b4d3c7e5b7de9d9320a9b7602}
n1: {n1, 1a0137f7f0e87e39b69fa8d851a4be4e}
u7: {u7, 86ab6bce52a2585cc4a016a043692805}
v7: {v7, 1ae4e99bd312d2b154745a139a79ba16}
b1: {b1, 79c7b6ee812ad5831f725d86bf1be231}
l5: {l5, ee1adf8d58d69f56a198eb73c01432c8}
i0: {i0, 32b3c2aaf1e28e48558ffed5aaabcebf}
q7: {q7, 48a31d07d0d02136226808cd03427d37}
s0: {s0, 2b1c0c32683538662802eac80cfaf081}
u4: {u4, e77a50e0a900cb5e6425b5d518055ba5}
i8: {i8, 7d18d8f29f28076758fd60607d9b3c3e}
v: {v, 24e9482e8a242151fdaa4f2e3ef238c8}
r2: {r2, ac3bd391026fad8f7435c944412708e1}
e1: {e1, 9915682cd050af24899f5911fe4acbe8}
t7: {t7, 9baeee355c83766cf2f40cb272458c10}
j6: {j6, 3280f0507e1c9a10447fae931f824af6}
b7: {b7, ecb8f92dda5f6b19fd2c9e7fdc400278}
w6: {w6, aee5f12144bb43ed581b18532d81018f}
h: {h, c0ded9579065bd60aaaeac7b297ba94c}
d6: {d6, 22ac57668a523f353fb86bcd497d08a7}
x4: {x4, ae6c8ca8293f8313c1bf1dfa9399edc2}
a8: {a8, 57498604e6c5ba64334e9a718163f831}
p0: {p0, 4e38aa6544e89b37cfc3a1a610cadba4}
p: {p, 154b416818929f44316ff881f231b0c4}
androidx/emoji2/text: {androidx/emoji2/text, 0aec4e54c3ea34d5c835871dd7d29494}
z0: {z0, 14352e8529ea7d4481ae4a22306857be}
a0: {a0, 163f35064e59e1ab9e7604ad5d2e3458}
h0: {h0, f6cd5a044d6bf41a31fbe15f3931502e}
i6: {i6, 52f1ff99e4cf7b41fb3ff6b61d9ed01d}
e8: {e8, 3247c7440eaf439a5acce0e169384f42}
g4: {g4, 6fe935858f3cfd6d402a404ee3ba3bb0}
s5: {s5, af919f3131d4486bc5aa90fca46018f1}
u6: {u6, e5c1f6746990ce2f22342a6a8c7dafb9}
k7: {k7, 09732ed34e032867019f3fb703411fbd}
o7: {o7, 71da95593d61c2b03b6f811742e7b84b}
m0: {m0, 0177dfd7f22c99671f7e588de0ebef94}
b6: {b6, 486857f60ca15fcaa05d0765fa155b30}
v4: {v4, e67cb720facb7bae72a7c64203e5d105}
l0: {l0, a87aaf721c201a2491f4e9695684248e}
q6: {q6, 61eb011c2b46a6509cc4d1a26ce908ce}
e0: {e0, 784e2ed2761a524b7a511df23b26356b}
w1: {w1, 7ff63abafc7c544493371265e055796e}
r3: {r3, a786960ed1a7e08b6a80727a52234772}
f6: {f6, 7d259f845fad350dbfffffa7028d45b6}
j7: {j7, b92f19d3318e435a538dc9602986e235}
c6: {c6, c745513df828985c029c72a399753a7e}
b2: {b2, aa711f1d27e002fdc87379a186a3cbee}
y2: {y2, 848913ab840d7acfe52e7ba2df625d6d}
l6: {l6, e7eb401742000782161c01cd74aab178}
x5: {x5, 3a61718b6ba9492d8ceefb6fb5850176}
d5: {d5, 91359f7b3491080de026a502efd884b3}
i: {i, 9815f116f43fa902fffc7155fe6b3c90}
p1: {p1, 4a1ed94576ebc978184d0d6a0deba231}
d7: {d7, 542dd9699021b2a489ba6c7d8f6e4a23}
androidx/work: {androidx/work, c452ec826ba1e504ff505a620364b811}
g7: {g7, e5d89d61a638d5bbc3a406b10f67006f}
q: {q, 01b188066533923f227aa38d825d53bc}
h1: {h1, 8bb8ff8f13015437562046b67c9a81dd}
n4: {n4, b9c76f3a319ed8881f23b1ee8af85e21}
y1: {y1, 8dcd294f776890b46a7f581a573b3d7d}
o1: {o1, 99a10474d54a6debc54138b4064947b7}
t0: {t0, 70b4e892487a2009326714f0ff3ba0eb}
v5: {v5, 7d606d4aaba88ea39ed965469cab814b}
a: {a, eba87cb59eff4a64fd76513b85220e9b}
l7: {l7, 74cedfdf8c8e810a2cc532e72f0e8a30}
t1: {t1, a642471f4e80f95075ff55b79ef17d6d}
androidx/versionedparcelable: {androidx/versionedparcelable, 17d11d0836635d2e0f25e383be8bd90a}
o6: {o6, b802d157ed7f388f811841e142f404d8}
m7: {m7, ae5da424658515e02b268b818fc969e5}
j4: {j4, 44acdf9db508210ad788204ba9f7bf6f}
n6: {n6, d75ca996fc2a7cd46de933324cdce349}
coil/util: {coil/util, ee9735c4c78b0e89b5e02f73c34a62d9}
q5: {q5, c66d095307a264eebfa9e076e1b1dc4b}
e7: {e7, cd74283426ae5599d7df663e8535b36d}
f7: {f7, d52206726ec63ebc292d6eaf2d490911}
u5: {u5, a94f987e6aab8c9175762cc24603161f}
k6: {k6, c6be389f26c44df1228f1cf250fdd17e}
r0: {r0, 8532bd6b66986acf106d0c7b68ec699d}
coil/request: {coil/request, b00c1737e743ece07dbd1ec721c8b717}
h8: {h8, c763b0db88bca47206c88b2786bd0efb}
