androidx/appcompat: {androidx/appcompat, b30402d75b31566ad26e5047a70c67f7}
com/dropbox/flow: {com/dropbox/flow, 541299870c8c0a57d3905f4da3542832}
androidx/recyclerview: {androidx/recyclerview, e9582e864faefcbb580c653fd9ec1604}
com/google/accompanist: {com/google/accompanist, 2aee4de5e04b1754bd0f37ce082959a5}
coil/size: {coil/size, cacaa54a0d542b8edea57be786d3b30d}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 68db3a0d5aa05f9abc3ea6f705dce306}
androidx/profileinstaller: {androidx/profileinstaller, fa00bdd5c148443f0bb5e1f2a334980e}
androidx/window/extensions: {androidx/window/extensions, e381f6991873210ea6cc1b6be99b5314}
androidx/compose/material3: {androidx/compose/material3, f8f794ce28ac8d0c16a29eee7003810a}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 262b0db2a1636fd157d0191910db02b0}
androidx/sqlite/util: {androidx/sqlite/util, bf344bac0996f77593fa66be29ea46e3}
coil/memory: {coil/memory, 93fac8ea3fd6c83ff131cea799157100}
androidx/compose/material: {androidx/compose/material, f45df6efd4c27a852e74c62734deea12}
coil/decode: {coil/decode, 686d2841949e25a4430fd137e3e4c098}
androidx/customview/poolingcontainer: {androidx/customview/poolingcontainer, 16fc7f1667dfbfc582711d5a31829363}
androidx/arch/core: {androidx/arch/core, 5a52f453ac4e108316dfaccbbc467dc1}
androidx/security/crypto: {androidx/security/crypto, a1915749724806321561289482cb5642}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, e2586ab80e076187f999c3afcf061945}
androidx/concurrent/futures: {androidx/concurrent/futures, 19cd3c3996f5c2116a3170e02918ba05}
androidx/window/core: {androidx/window/core, 167e96faa7896b0afd4a97cd38725b7c}
androidx/fragment: {androidx/fragment, d277a3582a6beed09c465cfc0567b2d3}
androidx/datastore: {androidx/datastore, 0500b555e7c1563f2052e6ae7135df50}
androidx/customview/widget: {androidx/customview/widget, 7eb9f360d900e7502872a947b359726c}
com/dropbox/android: {com/dropbox/android, 68c1b9465a8e33e4764371159866c91f}
ch/qos/logback: {ch/qos/logback, 22fe1c59e215cbd7e51bde165c7efb82}
androidx/compose/animation: {androidx/compose/animation, 65223cc7de685676c13ca381de14071c}
androidx/interpolator/view: {androidx/interpolator/view, b0cd30ad7edc905a01d8c1d4b1903fa4}
androidx/window/layout: {androidx/window/layout, 1e67c983466831e9ec0577d8a4d7bf91}
androidx/emoji2/viewsintegration: {androidx/emoji2/viewsintegration, 64b59bc95e6623544efa78ae1c145ca5}
androidx/work: {androidx/work, 0fc6500814a5f8e7f4c57dfdbcbb641b}
androidx/emoji2/text: {androidx/emoji2/text, 7e65aacf486478ebc21815ff97e77d56}
_COROUTINE: {_COROUTINE, 15f74a532dd698f4205bbc712e428a0e}
androidx/exifinterface/media: {androidx/exifinterface/media, 1d892590d98316119af898dc65eba571}
com/bumptech/glide: {com/bumptech/glide, 1b3c6f0c256b72d7a4ff608db37400ab}
coil/disk: {coil/disk, 0e25e07a9505e656fd982939734685f8}
androidx/leanback: {androidx/leanback, d8f1ce03634ac4ecfbba3e9f4113217f}
androidx/tracing: {androidx/tracing, 9e7f1e2877f6a625dfc0b20486545c6d}
coil/util: {coil/util, 99b0db3d5ddf8ba21d62965e4dfee6ef}
co/touchlab/stately: {co/touchlab/stately, d5210e005b5fb6c857d7861e295070da}
