io/codetail/widget: {io/codetail/widget, 5bed93e57eb6833db16c6d4f512171cd}
f2: {f2, 0d6cf7a74444241880737545068da850}
v0: {v0, f319fd91055aa90ba452c34a7caf18f9}
d2: {d2, 61a0232d2c26eb3d14d411f2521bd655}
q1: {q1, b6bd6cba03693841e231e0e97a668452}
x1: {x1, 2fc17eacb7948fdc03edd6f02d385722}
g3: {g3, eb31dccdf5b0a2a5d77b66d1141c55f4}
androidx/viewpager/widget: {androidx/viewpager/widget, 0d3b6265343376eb7e17376f1d9372c9}
r4: {r4, a8f8948869942571da3f4bdf696b483a}
b0: {b0, 46a3c25b89ba083686571349802cb88f}
y5: {y5, 5f85ffb886753618108a0f1a0e62f4bd}
m2: {m2, 1b3870e0c15256b4ea660eef2907e4c0}
d1: {d1, 29004ed0c7fa361b3fe0d67363455c32}
android/app: {android/app, 1a21afe63fc6c26bbb207c740e8485d4}
o5: {o5, bac6cac3e82a45b66c1aeecc63df4b72}
h5: {h5, d52206726ec63ebc292d6eaf2d490911}
w5: {w5, 4f6272971610a4f96c9df3c4191bdf36}
c2: {c2, 714e2cecc5f6c78b8e8a81318078c7c3}
a3: {a3, 263c721e21cb2dfe9c1643f01eae6423}
z4: {z4, 0d9fb56b5d384537ff943148cf456968}
androidx/fragment/app: {androidx/fragment/app, 084587218dec858c63a1c7a485008318}
t5: {t5, 287ae3fbd1421b4e0a9ccdee3a2b1786}
j0: {j0, e1c53b590f932ff6ef998dfbd3a1dae8}
l3: {l3, 371111d3e018a75abe71b54224fd2938}
n3: {n3, eed66bdf2a41c8974ab897b238fae718}
u1: {u1, ccdf54b041800b3dfc8e2d28a7b0dd90}
e: {e, c095d6a32123a0cc5adfb48fb9b0fd73}
p5: {p5, 42dd3e4831123fb16fbd5e53c9a289b3}
d3: {d3, f9ff6d62d9ae21aee715078fd4896617}
l0: {l0, f57427c1c350978d460515d0c8e4aae5}
f3: {f3, 948eea08a022ac663ac8e43c8d8cf82c}
k2: {k2, dbd03671e828223b9fd4eb3f09f106f1}
m: {m, 9152637a2c9ce79141e7a0e6d695d7ca}
androidx/slidingpanelayout/widget: {androidx/slidingpanelayout/widget, 8f1e6ac69dfcdce1e42511f7f9da95ad}
e3: {e3, 3a6b4e29f789ba347d949a1dbc67190f}
v1: {v1, 214f31a5ec616119068a286c647ed474}
y4: {y4, ec8409ce517e477b34173537153f5db6}
q0: {q0, 22e1456713e88c875528647b1b8068a4}
f0: {f0, c0c8520cc5747c8e93899d532c03e8d4}
c5: {c5, bf78859827d5a086e77cdc38f114fafe}
w4: {w4, 4fe5bad378bd4ffc20582a9acf87b0e6}
r5: {r5, 61fdfd94fd1f0096efa3e4c8765d6d8b}
z2: {z2, c7de10c5de3f55d58f7471b1f9a77aca}
o4: {o4, 504d6cebb9416d66260308e4fc531b17}
m1: {m1, 0148b3bafe748d59d3ab5534d0783b9f}
b4: {b4, 4da1bf400bf9dfd95ba2c72d1c0d0ae7}
x2: {x2, c4a5783e09c8a6afac7ae4adcf9b1167}
g2: {g2, 7716332d42c217871d9914326f1ca18e}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 7bb8976028d029dc49aa457a655d15c7}
a2: {a2, 146b96940496a7ee8a019734461e9b4e}
androidx/core/app: {androidx/core/app, 3b668da65b842c00a2ae61f0d229faf8}
n0: {n0, 4c58589a003a58cd74f77fded79a110c}
u0: {u0, c4fe8e2880bf03dde44484f873594e2a}
k5: {k5, 5343cdf02de7946c3c13b3e6d64e34b0}
i1: {i1, 10a6b01cf292f582ed1f4eb8bff88af2}
f: {f, b89446126d0490d556383825f89a9b70}
kotlinx/coroutines/android: {kotlinx/coroutines/android, 7c4f3cb846db32d337c684dfe64de90e}
kotlinx/coroutines/scheduling: {kotlinx/coroutines/scheduling, 534ce3e437c6abb47001fd66e3ac456e}
l4: {l4, 26c73c25bc99ca0cb50610ef6128010f}
n: {n, 42c14e21f85bf2d67b7d002893b66272}
d4: {d4, af27bb47f1c90c1a3833468b9824f546}
e2: {e2, b3da9212f4ef84edb3baffbf7190fbf2}
j1: {j1, e95997db5bb0e47117359db2707e2274}
u: {u, f515c6ccccd65aa9d9d864d2c348d0cb}
y3: {y3, 2f98f4fd60829d2567feda6a980af495}
c4: {c4, 4f5f40f892632f4fef06e49cb06121eb}
s1: {s1, e9f592d33607fdd1d5e923b2e65aae06}
o: {o, 48bfdd2c2947efbab9819c77c7f34b47}
f1: {f1, 3f654e28ab7501510cd5e5a0869ef068}
z3: {z3, 0f05984c08e0502305ab260213db6531}
a1: {a1, 320c0dc03c48db6eabdfca95ad050892}
w: {w, 14e46ee1ce13118ec875925589e5f8c3}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, 40f1593b5ed10c345e1ce57230ce180e}
x3: {x3, a03749e12731554c5d39fe0402545282}
g5: {g5, 11e47df2564b2d02ff168ad1de1b77f9}
k4: {k4, 949c459e31548a2f2a7013128a971bb0}
y: {y, 41fd2abf0827408090ddad9b75adb1d5}
g: {g, 7109447edc1fdd338727ea7678136e80}
n1: {n1, 3f1b0372298b207778cae6b2775e4445}
androidx/core/util: {androidx/core/util, 1fdf509c057498b7c16d9963c4fd654b}
androidx/appcompat/widget: {androidx/appcompat/widget, 7f6f8f33516748a9b0f6854d7644105c}
l5: {l5, f577a6c2979d8ec7735c4865f5275464}
i0: {i0, a53f0bd1c41b97811c4b631687c5767a}
d5: {d5, 5fa3cc830afaf1277e47d9c5b238472a}
u4: {u4, 4c27ab95739e3d75cf34140f9a19260c}
r2: {r2, 8d7d71d69f1a4ea4fb091e7ba4ba1965}
e1: {e1, 85697be586d8cf67187bfad856d0a393}
androidx/core/os: {androidx/core/os, 803da8f0705c9e65a48616f161fe07ca}
androidx/appcompat/app: {androidx/appcompat/app, 65cf6a81c734f71cab741dbeb84fb233}
y2: {y2, 212964b14bcd6ac914bcafb0e6dd79e6}
s0: {s0, dcf27ff2989eb97837a899b172993e71}
androidx/customview/view: {androidx/customview/view, c3b3beb9393315adfa34bad026d4a89d}
h: {h, 98bc5c0f90dcd4ee7bab505a33a5514a}
s3: {s3, 6a7e9046552604d791d0a0aa6e7c4e0a}
x4: {x4, 16db915fcdc5d41c2acd3aee366faaab}
androidx/core/view: {androidx/core/view, ffa9e8008920486c5e48ec23e8eaa09e}
p0: {p0, 590c1bf3a04770a4d2ad72dca738ede9}
p: {p, 57937f7fd372f5731a8bf4abbc35a00d}
androidx/emoji2/text: {androidx/emoji2/text, 3d3e118ed39d709e7f67491dce63af1c}
z0: {z0, df54c6c8d955ec300ff2a561a34a6479}
a0: {a0, 5a11e6e0b84a0f19e22bbc70574441c8}
h0: {h0, c90cbef8c4d44a943bd950b28354c15b}
g4: {g4, 3495dd10f59471265f2b52a1908394e6}
com/michaelflisar/lumberjack: {com/michaelflisar/lumberjack, 5e3989b33a9694fed6be43eda7c47e53}
androidx/core/content: {androidx/core/content, d526af72d83e89b008a6efc5a03fe5e3}
s5: {s5, e3c0a425ec2c47b67599a8ff5554c565}
m0: {m0, beacf7486bd92b8de0d346d10a5aa10c}
t0: {t0, a47cde6c4b228499f93306b36258f93b}
v4: {v4, ece5abc544d93df69237276adc3adc8d}
androidx/coordinatorlayout/widget: {androidx/coordinatorlayout/widget, 6b14acf43cd6c42a908fd8bca61ff810}
androidx/window/layout: {androidx/window/layout, 6af8be9ed4941629fa1553e073e33b09}
x5: {x5, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/legacy/widget: {androidx/legacy/widget, f38044ff76efa2da8f0bd9c7e9f2df60}
i: {i, c145956dbf89e869ca9682ce98adcbd7}
p1: {p1, 52165651b7b71a80899c9ee2926329a5}
s2: {s2, 4a88c9da27116e288319c67634bb4386}
android/text: {android/text, cc255f887e743383e46b95405dee2252}
q: {q, a1e63d127140c7bfb8cfde7cf56b2405}
h1: {h1, 09fa96384adfa0a1a9f387f0e1af5918}
n4: {n4, 7f10a7503352729da2cae3822e8c2ba7}
android/widget: {android/widget, fc6f99f70236ce11eac0fb3d6aeb3b33}
y1: {y1, 5fa6a16cc98034320dab6ec5c8005b0a}
o1: {o1, e4ab0ae40c7eddeed4db9c6aa642918d}
i5: {i5, 7d3a6a27ba48b758557183f2e58d01cd}
kotlinx/coroutines/internal: {kotlinx/coroutines/internal, eef26f6d0a5ec592d9f47810ce6344b8}
v5: {v5, fa1cfa89a7a74c76ef95226ebde91d2e}
a: {a, 30ed3be2f08fc2b386646d18223f8166}
t1: {t1, 05e974133cd204d18391be345673a163}
androidx/versionedparcelable: {androidx/versionedparcelable, dbb4a3838f8a4f884fcd23d84784cc75}
j4: {j4, 44b100f47eabd5453cadfafe8708bd6d}
w1: {w1, 19629e5c9733668951fbeb9ccf80eaf6}
q5: {q5, 089884ad27ba9455b1123283fc5e21ea}
androidx/recyclerview/widget: {androidx/recyclerview/widget, 3465b5fb2db078d070a4a5770f9ea635}
x: {x, d6401da29733d480cd17f72eb3c841a2}
u5: {u5, f98565d8f55f7085e1e36f485dc449c9}
r0: {r0, 4aaeaac248afd216009efd43b4557439}
androidx/drawerlayout/widget: {androidx/drawerlayout/widget, f397c68bc129eadf716af0a5f6e37489}
