a6: {a6, fcf7f3ed74b83b614e7c5c7168f940f9}
f4: {f4, 3ba4a1358e3e666100d27fb431adb438}
b: {b, fc193b32ccb1e88749381e513962b295}
k1: {k1, 7ef5591375ea3b13200d9461d4e0c992}
k: {k, fe47afa1723d519e951c5cc7bef11833}
g1: {g1, a0a9a36cc0cf338ac604020228c9bc22}
c0: {c0, 3baffb4e90f1e536c117ae59b64f1f23}
a5: {a5, c26ad38d4861e18e828b5a8312a6dc3d}
p3: {p3, a6ac8273bdb57af0cab51e5b46f3e36c}
android/telephony: {android/telephony, a4da3e04e6e7d40a41d7257971e75fd0}
e5: {e5, b35127f31024ee6f5d541bdb08b782e2}
b2: {b2, 11829a49f8f3e9933340b88ae56b7946}
q3: {q3, f2b5421562632dfd663ef2efaf6e4865}
d6: {d6, f744e276c47a1c3b31a1fb55e537f11a}
l2: {l2, f95f57c3b21459d55ee54efd4c65f800}
android/icu/text: {android/icu/text, 0c248c7ad95169e1412945fd6b802162}
i3: {i3, b115cbad73b28f5ae3c6cb15fd1c2e8a}
android/media: {android/media, ddad792fb8400d9882c24fb3438678bf}
androidx/core/graphics: {androidx/core/graphics, 6bc03a93834b7632cdd37da060d706c0}
o3: {o3, f36244a6bf3bd900a4921be74a356052}
j$/util/stream: {[j$/util/function, j$/util/stream, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/savedstate: {androidx/savedstate, f7df4e609ebe7f4037b9c7f67e5e2196}
m5: {m5, 235ec2336c4f03b95e883f0adaf1799f}
t3: {t3, f25cf1641788f58985301bf07de932ff}
j2: {j2, 68fe6b3b5961ca61e7e2c51af601d953}
v3: {v3, fd6d3ceac06b7b27ad0c70bfc9c29dbb}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 202e6cfc649fdd862916655eb3796a42}
h2: {h2, b40763ba39e2b1bed19e7fc86d8b7711}
n5: {n5, d97a47c95213360583a0a8121bf170f2}
u3: {u3, af304c7dbc19d7e11d8849f0c8483203}
r: {r, 378c8e56d4366a21962f607ed3d3c630}
z6: {z6, f5b253f80f01bdabd62e49558492ca1e}
org/opencv/imgproc: {[org/opencv/imgproc, org/opencv/core, ], 020eb29b524d7ba672d9d48bc72db455}
f5: {f5, 542dd9699021b2a489ba6c7d8f6e4a23}
androidx/appcompat/view: {androidx/appcompat/view, 6488902a082a64b7bf5dd6a11152edc6}
androidx/navigation/fragment: {androidx/navigation/fragment, d2a44e9e6a4f7a3870c45099d5b95173}
w3: {w3, 3a49e0af9a56695336588c90e8284602}
z: {z, d304c1ef35a5785bd40be7e6046e531d}
r6: {r6, 6a223aa37256e9ebadd1b941bcfcd36c}
d1: {d1, 6898512aad14800b6bd1f4075d3aeaa0}
c: {c, e90632c9b2a1b83d316b41cde9e85390}
k0: {k0, a9c2646dd4cd4b503591cc741563f143}
g0: {g0, 27a1f4c15c40099aeb91b6ec8b2c0adc}
androidx/viewpager2/adapter: {androidx/viewpager2/adapter, 12cb9410ed71f1368ebad3de5f43c7a3}
x0: {x0, 73533ab90f5d521239cbb6addc818bdc}
b3: {b3, 867ed71f12d0bf3d0ed8bff5ed5684e3}
androidx/room: {androidx/room, 29c15d6d2d24a5d6beccc722347d0ce3}
w2: {w2, f4060291a6f85e91bef0e79140445a08}
q2: {q2, a81c0fde442e9bc17d70c7d69b75628b}
e4: {e4, 5587232b93487f4ca8b06c6defbfaa50}
o2: {o2, 0db7b0e194c2a350623f135248260b7b}
m3: {m3, f9532a3be86be3e3d30a4888df3aa4dd}
i2: {i2, a8bcc6e505ca61e0f0d0c01274b313f8}
androidx/lifecycle: {androidx/lifecycle, 454cdce3e1751ed0008d2e4d22010ba3}
c3: {c3, b47820b28d8e921d70f43276f57e5c4c}
a4: {a4, 9532ba0ffdf741be99a5de5aa3fe130f}
h4: {h4, f88f13a3915bc9866aa20290f12e80ae}
t: {t, 6b7b70d3fce1868119b65c7eda515c75}
androidx/media: {androidx/media, 77c25699b18d1de461d20a291b108102}
j3: {j3, 6bfb6977d9c94528604afaaba2abb4fe}
android/graphics: {android/graphics, 834abaf0818b1f44e37d375aa9c20472}
m4: {m4, 1a215de418e02ed9f3c674fe7edc7cc1}
t4: {t4, 30db0f36c5460dd56742bc4ce8f5bf39}
u2: {u2, 7426a5442e14fddaa94825d1d35f04e2}
s: {s, 74400da425b7d4f57b8e6d4d6df5106b}
android/view: {android/view, 0bf6d475d03ab8c57e05e322f8005bdf}
androidx/startup: {androidx/startup, 2f46cb78cfb847e0d5850f18b60c351b}
h3: {h3, 8b8adde77ee108c100aa599d93605058}
n2: {n2, 6174842848e1c257fe92e1b5dfcfb4a9}
k3: {k3, dea01bf69a5614411bee63ecd68be247}
android/content/pm: {android/content/pm, c4e9eeb25e17c46354752ac4239a9772}
p4: {p4, 210084b114f1229db6baf3a23c0d12b1}
l: {l, 7738e98aa5cf6519b0eecc5a40f61064}
b5: {b5, 136b4bb52b19d716b6e52a838a86d77f}
f2: {f2, c178ab44e7f71b9cc371a6cb9790ba16}
v0: {v0, 9bea2d7402e7e473d0af473595844c35}
d2: {d2, 773bf1ae523e1cf3605bc00506c2272e}
q1: {q1, b46a92159e53359de27d83a19d6246ad}
x1: {x1, f26341338527a136182390ef20102a63}
g3: {g3, a6b3457221a2980375c059f4f2d0e040}
androidx/viewpager/widget: {androidx/viewpager/widget, ebd9d1f452c41621e7653fc5e60f82ff}
r4: {r4, 52fd1b5cb8e7d44e569e8dc200e3508a}
b0: {b0, 36095dc86cf06e527938d11a7f887c25}
org/opencv/android: {[org/opencv/core, org/opencv/android, ], 020eb29b524d7ba672d9d48bc72db455}
y5: {y5, 868b278220247634c49356992ae174ea}
m2: {m2, 6abf66abd8cb0656cd4b5ed7cff978f8}
s4: {s4, 66c290f0799cf3bc2bf3f7849c865f65}
d7: {d7, c755073b37de4c80921ad75e0986231f}
o5: {o5, ba7c0b67333763d5955d687379459bfd}
h5: {h5, 5724bec7fdd1a4ed7b089bf6c5ad762d}
w5: {w5, 1f5615adf5db7e5de60ee87729e56733}
c2: {c2, 6d0c6eaeed263e30d8e76436a3804dac}
a3: {a3, 1057044a9eb0ad1f94651a1efde0e095}
z4: {z4, 4bf6fd795194d6df9270b6664899a3d7}
androidx/fragment/app: {androidx/fragment/app, 2a814246f7444caeef0da881bee776f8}
t5: {t5, d5fc2a3acd6933cac8e1b4b45a04169f}
j0: {j0, 9367796cf0666f9c6cfd280c7a0bbe18}
l3: {l3, c8798472b70159ee2ecd84790240d2f9}
n3: {n3, 6b64f177c8383fb37ffd3656646e924e}
u1: {u1, dcbf91d254309dc72ce18cd6cefba2f1}
e: {e, c618c2b5e1f99666067a04e0cc892bfa}
p5: {p5, 0ea79881e04eb00ee5469db403f53f91}
s6: {s6, 56d9e9b1b7d254d4016d038c8670ba01}
l0: {l0, 31cda34ff99dd7b49bec356904c60763}
f3: {f3, ab0439c6e2f8e1ea8fb4df3b82216930}
k2: {k2, b0bad84f3dbd27f949c190251149722e}
m: {m, 172928ab61ca54338340421d0b87110e}
e3: {e3, 0ff7573a82e2898c7865044d8ab1fa52}
com/artifex/mupdf: {com/artifex/mupdf, a6ef3a7eb98d93165dddd9e8abfd3510}
v1: {v1, 6991db526e3b85b425969fbc0f3ad3b8}
android/app: {android/app, e4b0044795166e53d98d95229bb349dc}
y4: {y4, 2327500fb31fa64626282a1de0245b33}
q0: {q0, f4583c4eb3c37f457a8fda185d318f81}
f0: {f0, 7acf44ff40d91084119485f9f32695d8}
c5: {c5, fd07bbd65abcb3cb5cdd7b06ba37b298}
w4: {w4, 0f6ea8fe4aa96c9039fa876936c1d8f6}
r5: {r5, 382463a84578913cb0de4038a4775e37}
android/security: {android/security, bcd1e092f17df46a7d2aca17234dcf08}
z2: {z2, 8dc2dff08bdd9b91dd5816630b6ce5cd}
o4: {o4, 19630f2a1fda246a900047752e96273d}
m1: {m1, c070026b98bd83f03962c97b9ea02604}
b4: {b4, 63b8259f0befab6d7d2fa496a6a053b6}
x2: {x2, 03528ac67bfe8a8a03481df9a71f35b3}
v: {v, 35ab00f53c7de9c449d4ecaea0852ac0}
a2: {a2, 2cd77d4ceea3cbaeb7c2cd00f814a234}
h6: {h6, 05b75b462f2033790910145ffcce6fb7}
n0: {n0, f7277fb02ea0616742c2e6f55dd71352}
u0: {u0, 2a8c3935bb5cd8ed8bb21b5d27866935}
k5: {k5, 3f5419bac60aea6e23d65b2eefce70e8}
z5: {z5, d65abc98ec591fbc583d1ca72ed5129e}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 797992a2d075f50cb43935b8a2068f81}
f: {f, fd39238331faea8886c045bcccb8653e}
v6: {v6, f1f4d0379faf9a560391a2f3725aae66}
l4: {l4, e5ee1fefd8e714dee904ab1e08ae3767}
y6: {y6, bd59baf9c875b9c5285b58942f2a40ab}
n: {n, f8a62395469ec2d7743166683567dc1a}
p6: {p6, f309c911dee465f6875cb34234353003}
d4: {d4, a0c84c31779edac26904b94bbaca28e9}
e2: {e2, f93792fbd2e40f488046a523fa1067e3}
t6: {t6, 9292dd6d2acca02ce8912abb0d8bd202}
u: {u, a3e67168205abb95d98e57b88ebcc42b}
android/net: {android/net, 3ef3d1823ac4c8a03c4402610a70d6de}
y3: {y3, 7aa29cae3ebe101ffaf54e26632e3663}
c4: {c4, 8985dcc0ac05513dac43a548dab290af}
androidx/core/app: {androidx/core/app, cacb4267e17c879ece420228c84e10e1}
f1: {f1, 436b799b71c16c36931a26dfe903a010}
z3: {z3, daa14a2d72b38bb7bb2ed87f916375d3}
a1: {a1, b2efc1d6bbaa3b1e2cdb93275927913a}
h7: {h7, 1b1191620ebdebc7f9eceefcc1e9a89d}
n6: {n6, 36cefb0064163a121cda786063d1a535}
w: {w, b4442e4cbda07fbea4f26eb95ae7a632}
i7: {i7, a32080b09e15d06a9cc44e23217f5460}
x3: {x3, 49a054843fb56586cac1b2a7cf2da253}
g5: {g5, e200fc6df80aed4bdc7ef810a9628ba0}
k4: {k4, a238596ee7e83fbdeaacc4883d96f83f}
s5: {s5, bc7b3b4dc213fbadfce67d5f32a40551}
androidx/coordinatorlayout/widget: {androidx/coordinatorlayout/widget, ee3db6bcec90372b88e4d9721e2ae54d}
g: {g, 416f0bdf9d1c344df8f1a7d5abb8464e}
androidx/appcompat/widget: {androidx/appcompat/widget, 3e2fa6b1471a419e36ff59b2a96cdc45}
l5: {l5, 513b7a736a6f544b3195ba8bd7d434cf}
i0: {i0, 5181af5d3fe4213f56647053fba03294}
androidx/appcompat/app: {androidx/appcompat/app, 750fb1ea87585ba712cc2c444d97d6df}
s0: {s0, ff88e538fb2feead87fb873017f43251}
u4: {u4, 841dad3a89a7dc35a2f0e15aa27752da}
r2: {r2, fe9e42bf31c2ed49d8fd40ad2a50309d}
e1: {e1, 3e7133a69ab66ceaa22c72ef84ddfe89}
j6: {j6, e07c5fe9736af97b3a7580a2a400ac2f}
b7: {b7, b0bbee107ab9fbcb7f3a15744454277c}
w6: {w6, cf588ecc2c3c11c7268ef74b6341e047}
h: {h, 388c07cab1ab02c4cbe819ffab5bbc8b}
s3: {s3, 0d77bfb7fd7dab65bcff5843cb380b0e}
x4: {x4, 901fc5b8583a040075566f1c0c63ebb6}
c7: {c7, 619d1f4994c80f0a8fb393d0f96b3c25}
p0: {p0, 8191556e3ab43ac490d291dead143687}
p: {p, 3975215d452032e49c424df44b421067}
ch/qos/logback: {ch/qos/logback, 34ef3e2d277d7342a593c4095ca70666}
androidx/emoji2/text: {androidx/emoji2/text, 4519c7e9cf39e88d1b03798a902f335d}
z0: {z0, 13ad5c91538bbad3a12461a00a001b34}
a0: {a0, 3218f329bf3d5b214b20d4cd2a1e2984}
h0: {h0, 1723b9cb7653e762c214272a0ebf91c0}
i6: {i6, ce8a04cb8b241a388fdb99eeadace163}
g4: {g4, 8cb8c60107c7512c4f8ee85ce7dce00c}
androidx/mediarouter/app: {androidx/mediarouter/app, 9c7f13731f50480c1c5ac56a841fb01a}
androidx/core/content: {androidx/core/content, 45eaab84ecff8d5f7c4e84ffd0ab9f8f}
l6: {l6, 13a64de1af16e02f8d24a6fd8f1e0950}
u6: {u6, 40e2bc412aa3ad84468b05db3af8d748}
k7: {k7, 7a7f273b1d254c401f528acaf07fca67}
m0: {m0, 85468cf44d9bf9169218a5af5904f360}
b6: {b6, b7a7d14fd7a46e4743224cda4acf1b19}
v4: {v4, 2ac3df4b958da8a9769b2f8baa12133d}
q6: {q6, 7eb2fe926a1c7deeeb78fc799b9b86a2}
e0: {e0, a0497236bb93cd1f18a293460c79a10d}
android/icu/util: {android/icu/util, a4da3e04e6e7d40a41d7257971e75fd0}
r3: {r3, 6868845ba25928d7dcd2322dba5ead83}
androidx/viewpager2/widget: {androidx/viewpager2/widget, b6db4e7d7c8c103c6507a0ef96df2f19}
f6: {f6, a50559d24e7c4c4c14140fa5538d5a2a}
j7: {j7, 55ee034713d848f32ea0331c9e5ee1a7}
c6: {c6, e60fc651dd5dd34b47f022edc54848ec}
a7: {a7, 4df47d59f8c7c7125c468e575daaa2e9}
x5: {x5, 5fdbea576f4e736f6cab5ab5136abc24}
d5: {d5, 46ff67380125533cb7a32419b4e358c4}
i: {i, 00b7307ec7855ce2de8e1adf347533d0}
p1: {p1, 47f60d499665c7bae3a0fa38fdab307c}
s2: {s2, b06f6c419f279d2c5edc2b85b199a869}
androidx/work: {androidx/work, 848504eb0f48cc198b235d49b8b90007}
f7: {f7, 9b3d41b2ab25b968404985b919f1a505}
android/text: {android/text, e308dbf06fd70e009e84aac9b7fa4863}
q: {q, a650656725e5c8b88e7c988234d54a56}
h1: {h1, 899030e8e3eda24c7ad257890770e51b}
n4: {n4, e5a17cf5952809e60f93c247574d6a6e}
android/widget: {android/widget, fc6f99f70236ce11eac0fb3d6aeb3b33}
y1: {y1, 51fda2a22b9d29c1ca28f388ad9cfea4}
o1: {o1, d92d4cf127302dd5385563b49f2fbd74}
i5: {i5, 13992b903d3d00aadd74c133e17ab2c3}
v5: {v5, 42281de93b9273fe87f6bc1540b58547}
a: {a, 082a3307111d460b3711819259dce99c}
l7: {l7, 848b7d51124ef9de574b64c8c4f25264}
t1: {t1, 447549e0793110f4c1683f9f95f81c0f}
com/amaze/fileutilities: {[com/amaze/fileutilities, com/amaze/trashbin, ], 2d0b13ed04d11deaf56396194814e9e0}
androidx/versionedparcelable: {androidx/versionedparcelable, 68ded5629f6d159311b8360d2f2f71a5}
com/bumptech/glide: {com/bumptech/glide, d6149ed01d250dd1acd66df11e440fe1}
o6: {o6, 55097fd0ee0fc1de38a3ee6e675fc38b}
m7: {m7, ad4c5be77c965aa3c66b970b9bef8490}
j4: {j4, 27d66bf3f0bc8ad58e84e69eb89435f3}
com/github/chrisbanes: {com/github/chrisbanes, e85f8132ae1e2cd49024ece7fafa0630}
w1: {w1, 859927e4352c13c3bf7283890e565617}
q5: {q5, bad612f58ab348eed2b8ab76132926eb}
androidx/recyclerview/widget: {androidx/recyclerview/widget, 64cf30adaa2cd4d3a32105fe8494129a}
e7: {e7, 83e826c680a9333f1be500fab4067ee9}
x: {x, 244d438a7abedff67d8fb01bb0844b8c}
u5: {u5, 235316a46b43687f44901eb8ba4790d6}
k6: {k6, 165b434a2d7343dca65ac4300fb9de8d}
r0: {r0, 96caa18f8173b746e90d283229e5f2e2}
