androidx/appcompat: {androidx/appcompat, 98f12530c2080d70039a93f6f7425c67}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 38519d74e9cf8cca947bfc4f03eb4c5c}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, b7709eb519ac970724449bb63c71177a}
androidx/collection: {androidx/collection, 6352c880c22a7f7c88f96cb67b36fd45}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 1b94a8a1bb313b7e779c92fb8abfd2c0}
androidx/transition: {androidx/transition, 634f695117d2867ad6b80452ef8f38f0}
coil/request: {coil/request, 7cbf517702a92471ab45155432bad7a4}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, 0520e84f7ceaa9763ff257c57077e11f}
androidx/arch/core: {androidx/arch/core, 4aedd1b836e501b0e82521ff6824fb7f}
androidx/cursoradapter: {androidx/cursoradapter, 383d520a11b62a6e28bfcf6810337e95}
androidx/slidingpanelayout: {androidx/slidingpanelayout, c300568cfeaecdf94ef7d4e029274b1a}
androidx/multidex: {androidx/multidex, 3442b1cfc4d62b6974d3243e9f207df9}
androidx/cardview: {androidx/cardview, abbb4dd720a5f30abc729582f79e186b}
com/airbnb/lottie: {com/airbnb/lottie, 6c1bf5c3d9ba264562f72ad2f61b3a37}
coil/intercept: {coil/intercept, 76cb4f64c41540a6451cec25e7ef84ef}
com/google/gson: {com/google/gson, e1a4c9ff07f70bfa745b83b0409aa0cc}
androidx/drawerlayout: {androidx/drawerlayout, fc4452db2e2cce4c3729517914b74645}
androidx/legacy/coreutils: {androidx/legacy/coreutils, da1c5c0e9e4d4de1ee6852a39fa1fee1}
androidx/legacy/coreui: {androidx/legacy/coreui, e97521e81a9f1d37da0597160bf5ab00}
androidx/media: {androidx/media, b50d78d9e4f5719109711a9c68a99760}
coil/map: {coil/map, ff428e365b671ce17ffbbb27a153d3d6}
androidx/exifinterface: {androidx/exifinterface, 4e006bae59bf49ae5abac6c4c4699e4b}
com/fasterxml/jackson: {com/fasterxml/jackson, 5b0396c8c1f93a76f9ad1a23696eecfc}
androidx/emoji2: {androidx/emoji2, 9186f26b74af0e043f9654e70bb03196}
coil/singleton: {coil/singleton, 3368c2b1abd592231e2cbfc4e07d03f1}
androidx/recyclerview: {androidx/recyclerview, d75e0ae0b2bc4fc68f166607b92768f2}
com/github/kittinunf: {com/github/kittinunf, a95bd01d7f2786647c8f5959c26e381b}
com/download/library: {com/download/library, 617f227fca90bb1dd07142e4b3892d2e}
coil/decode: {coil/decode, 239ca31d23cfebfb01a85906438dc067}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, dae5e37c2fe52b3f5ff094b61269d686}
coil/target: {coil/target, c3c0aa78132104d86eefcbcdbe89a190}
coil/memory: {coil/memory, 441726edc23817e72964333ce7d2762b}
androidx/resourceinspection/annotation: {androidx/resourceinspection/annotation, a4bd91c515d62e517c2896e81b40cc24}
androidx/viewpager2: {androidx/viewpager2, 68c53b8f6fdb57d7d39fc351d6940075}
androidx/legacy/app: {androidx/legacy/app, 062cdfa6acbd2876b4c02bb6b6404f04}
androidx/savedstate: {androidx/savedstate, 5e728bd2add31b53e4a8f6958878e0a9}
androidx/documentfile: {androidx/documentfile, 0abddce32fb23eaf16d5ba98aa268b58}
androidx/print: {androidx/print, 4012429ae246dabc2fb4ab300471c99c}
coil/network: {coil/network, 9e976652a339d4dea76c5ea45d2da468}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, c9f6c5a5eeebebdd01d507e37f23e7c9}
com/folioreader: {com/folioreader, a14533b5d5ee344a26e70a010a5d5c43}
androidx/legacy/content: {androidx/legacy/content, 6f17542208ee49d01c4f55a89a691e19}
androidx/legacy/widget: {androidx/legacy/widget, 82049910e9994fb88dab5c38292b7abd}
coil/transform: {coil/transform, 2a87761bf6b37e4b6fee99a8202eb786}
androidx/tracing: {androidx/tracing, 1691b9585cc135c6595781ab31216573}
coil/base: {coil/base, 3368c2b1abd592231e2cbfc4e07d03f1}
androidx/startup: {androidx/startup, 4439c1db038de1a36776e08b1388871c}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, 375a9cb174f483170d5cb09b8219a001}
coil/util: {coil/util, 21dab0ade0b13e7206684adf98153c58}
coil/bitmap: {coil/bitmap, c73352f480427ffdb4d3e31aaedb1480}
androidx/customview: {androidx/customview, 0f8c36d7857218ff5184d3ee7e029158}
androidx/window: {androidx/window, f1594d3fd369a25eb3ad066449ccef8d}
androidx/annotation: {androidx/annotation, 46e2f5a1d16153c1d9399ef5f5556de5}
com/google/common: {com/google/common, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/dynamicanimation: {androidx/dynamicanimation, 7d4eb1c60bfb8702e2e9e7d9e79c83dd}
