a6: {a6, 6015427ff94a38658e2e5ed6ae31006b}
f5: {f5, d5832673f6c6494cc8a8f76461ecb2be}
com/google/ads: {com/google/ads, ad47b424aea6de13e1f09cb50cabb978}
androidx/navigation/fragment: {androidx/navigation/fragment, 0eb76e8ba644036563c506705a8bc04a}
w3: {w3, 0b3a4890bd4611e9c67dbcfaa07e47d7}
z: {z, 5571a31ece385c77a11182b465b0ef60}
r6: {r6, e96e23b7828dc606064a8fa1f142ce6f}
s4: {s4, 049c2d5f7dbdf8ecb5b3e3dbe9ecf235}
c: {c, 8e84798628fad407db2b0964d7c6ded7}
androidx/core/os: {androidx/core/os, e14d577f991ca69ebdcf9b29d019fbb1}
k0: {k0, 8d503a577649f16c474472e69da5e62f}
dalvik/system: {dalvik/system, a8522f0bc8656146eeb074b655f45770}
androidx/databinding: {androidx/databinding, a1008461cbbac41cfb398508497b1547}
androidx/loader/app: {androidx/loader/app, dcc64d742194b217019ed0ee64378156}
g0: {g0, 16c85624328b68e4f1c407703e3de948}
androidx/viewpager2/adapter: {androidx/viewpager2/adapter, 1f096fe387b1126682e2026e785ddc5d}
x0: {x0, 7193cb49ecbee8eaa27018c209008ecf}
b3: {b3, 20a5cebc85fb34f9467bf282ebf52150}
androidx/room: {androidx/room, 36ac3bdf90cf2320a23cdf9ef7aedfd8}
w2: {w2, e1bf9470e952f24020905cb3d2ca7e16}
q2: {q2, 8a01a052dde7061850815e1004292246}
e4: {e4, b3cbaf492db0826cb6773872f474d361}
o2: {o2, 9ad081503a881be1a46df9d040e42a74}
m3: {m3, f7f2e87203b919c7a6422db1491d10ac}
i2: {i2, b7c2c76157d2006811e5c1a0c36fc380}
androidx/lifecycle: {androidx/lifecycle, ce9fb6f5c70d88abdcc30a612f9b203a}
androidx/appcompat/view: {androidx/appcompat/view, 7c0154583155f7fd5c477e7610695d30}
c3: {c3, a48721bb419fcf3569ed72c7398423ef}
a4: {a4, 83f2f162628c302301be98ae93c7a0af}
h4: {h4, bb6e4a542d62e3ffc5ee7fd37fcd42ed}
t: {t, 8d625115aa788a1faabcb3eb658c2506}
j8: {j8, 370bf2bb685ce2b7dde3989c21e7adea}
j3: {j3, 07c337472137d2f409ad47672ee133b8}
android/graphics: {android/graphics, ee622546b95e3cccaf04bcf134c2bb1c}
androidx/exifinterface/media: {androidx/exifinterface/media, 82b33efa707adf2eb7ab884016f5022d}
m4: {m4, b7d01939e4384b7c20c6b25bb662e44d}
t4: {t4, bcef05ab9b37151b666d9665a99209bb}
s: {s, ee917dff505c754667e8da58d528265a}
c8: {c8, efca0431d9772432a7b395cd8a93267a}
androidx/startup: {androidx/startup, 131abce5fc5ebe7e1684037bc13d5652}
h3: {h3, eef86b69e9cc9716a1dac754bd3fd925}
n2: {n2, 375557b80c620909069d92d29ba9fa46}
k3: {k3, 908b3ae3f053b839066f46f120464e3f}
android/content/pm: {android/content/pm, 3ef3d1823ac4c8a03c4402610a70d6de}
p4: {p4, b56c2773c1ee7c9229cc1a60b3c725f7}
r7: {r7, 0ae9aa46ff2c738a82dd57c16eb98daa}
y0: {y0, aaa5720063b0f1bb56cdb8e5a5a7889d}
f2: {f2, 2accc04b5b1c9f60fa838f933d19c496}
g8: {g8, 9e72fda738ebcd2b21caea4af05b7cd3}
v0: {v0, 8c7cb3be6a3c82f2bd5be6438bcad665}
s7: {s7, 83fa39f94cf3b73bf877c99df6103825}
q1: {q1, 801796a7cb70b801ad148665d8a1c386}
i: {i, f6fc6c3761445c86b92e47e1e072dd76}
x1: {x1, 6e0906f61a7176d475fb0390d6d777a9}
g3: {g3, da113216535c7ca9bce39be759185471}
r4: {r4, 02cdc7af522f1ed4b8c98477200dcd14}
y5: {y5, df9f85cb51c087c76647c8be9006ee5e}
a7: {a7, 2ce1a335a48be68ba3a209d4e78487f1}
b0: {b0, da7d7173ee8ac428c92ce085a5ff80ba}
m2: {m2, 8a3cf6322b0a5c80f43bd2d5f52c1c9a}
b8: {b8, 8db73e57f273ba281aa3d83b0d53130a}
o5: {o5, e1f40e0c557dd66895e979d1684dad05}
h5: {h5, 1e5588407ea144367c3f6d7c4e196b76}
n8: {n8, 0eec06cd1ddcbe544515084c41d2cb3f}
w5: {w5, 5373fccf6c725e90ac02af173261e20b}
c2: {c2, ecc8e85cda2a8a4a502f72a046b54e20}
a3: {a3, f61605a2e5f23733c9af1ffe44cef084}
z4: {z4, 351461bf2f41ed56e49a907657557fc0}
androidx/fragment/app: {androidx/fragment/app, be4527dd246700ad106d8465e2799a75}
t5: {t5, d2fc2105191a6d3aa585c8e02cee6562}
j0: {j0, d3d7baf579f7c4d4ffa7102b5c75a575}
com/google/firebase: {[com/google/firebase, com/google/android, ], ecc3d295106c11ecb760a32e3b40e1cd}
l3: {l3, de0bb68bfc51a92de584e780444cf61e}
n3: {n3, e6ef9c7dc649f488bffe4c22e4d5f87a}
u1: {u1, b40aeda45ca7200793cd1de1f0b91505}
e: {e, dc0d684c142b5710a88d864668a8de3f}
p5: {p5, ca2e108ec828496dbdc18b1327b9c5ad}
d3: {d3, 42b513a0afa18887f6a2ccf4718c2936}
z6: {z6, 150cfd6bd091d215927c8bf0f4d67a90}
f3: {f3, af62e85ae2ce7d2c24b32f2a45076a93}
k2: {k2, de5bb14f013cea58e13df103c12810fd}
m: {m, 0ca376bd8b02c953527164a085ba7f99}
android/icu/util: {android/icu/util, a4da3e04e6e7d40a41d7257971e75fd0}
e3: {e3, fd00f37c2e74d459854aaa89d9f6caa5}
v1: {v1, cbce31019f12050e9c8817639d1f6a30}
android/app: {android/app, 1163095bb11f212e678e52030464b687}
y4: {y4, 0d7c4d7f4b0c3245a934123994477baf}
q0: {q0, 50a86aaa89443c9b384c0db37c9ff531}
c5: {c5, c18fcdea20e11c791a293fdfcc19a8cc}
w4: {w4, 564b3dd6962d88b44ccef8897aa337a3}
r5: {r5, 701c5b29b56128e0633e9e32cfb2375d}
android/security: {android/security, fc6f99f70236ce11eac0fb3d6aeb3b33}
f8: {f8, 54d90433a846a4d4744fd28fe521d7e9}
z2: {z2, d4d67b1c52a6268d5c2c8bb4005557e3}
o4: {o4, 5259570625ec27ac4b4d9f25b604b16b}
m1: {m1, 582a28d351746210dc1793e593e50505}
androidx/emoji2/text: {androidx/emoji2/text, 0d152bd527ddc1e217592975a06f366c}
x2: {x2, 873ce9dd74e2fad3b42ac69503df1979}
g2: {g2, 36b773c330c85d4b665396c854f7a4fa}
a2: {a2, 1afbe065a5ae212d53e51a28285964ad}
h6: {h6, 4ba3b5071d27325143e161e4302efa2c}
android/view: {android/view, f4aa0440e603ac90e524ba8aeddbffd1}
androidx/core/app: {androidx/core/app, f0108c347706e9e946fad6eaf7049348}
n0: {n0, 739c42bfe492ca574771e3e6cf05d548}
u0: {u0, 24c47020d5528af195bc3e2394fc0ec6}
k5: {k5, 7eb0330a10645a38994d6435f83993c8}
z5: {z5, 7bb66d9e9d91ceb19b77034629946023}
i1: {i1, 68d67b8e04095c89eedf90276ede5b9d}
f: {f, 84331ae439a79f420c0564e905247b3a}
v6: {v6, c5e58219cf0871799981231709c610b4}
i5: {i5, 34afad232c5fbd961e5686535e6f42f2}
y6: {y6, 642d497cf9fdd93cb2e7aa39e606f3ec}
n: {n, 0cc5da55c35ec049561462e2fc3b0062}
p6: {p6, 89edf56d470bad4441bd0340b3fa960a}
d4: {d4, 550b760d96182ea329b184372536e0c6}
e2: {e2, f7d3f549c800cbefabf66a7d0f4d358d}
t6: {t6, d35088375224170371334ce96eb707fc}
j1: {j1, ee9968c4b3950e1121d0c50a9202ba50}
u: {u, 083083ff39b115ead21a4b4e3dd6a834}
q8: {q8, bb44191c378a83233e62e2d653c74fcc}
androidx/core/net: {androidx/core/net, 86cb9e4748cf4b5befbfed1135cbbf9d}
w7: {w7, 84facabc46d287e5bef1c235a7bc6646}
m8: {m8, b08e5edf95ed61783f2b1e4b4653940f}
y3: {y3, f39ffaa41501d50f6eb5d3c565ff893b}
c4: {c4, f11cf6ab9aa72218c24051c02d808ee1}
s6: {s6, 37daed96464cb22f243ed4cc00241321}
p7: {p7, ccc69431607e0c2fa4dd4cbb2c6747f6}
s1: {s1, 9c20c64e433a2ab38a44d500d12cf92c}
o: {o, 8ace4209da62cc324e7cc21737310e1e}
f1: {f1, 19c02a9bff8c7c80f1cc5841e0c19384}
z3: {z3, f5d3da8e5fc90152fa859b6583216526}
a1: {a1, 1e3993c39a5f13249f926c8bbab87f08}
h7: {h7, d13a93177b585b83eaf962519699de06}
d: {d, b963c5cdb0dc6826b21b608471b78408}
w: {w, d05044869252a5367cec539e202a046d}
i7: {i7, a1bdc14fc26c94041c8d2a2860c2869f}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, 703ab3edd868d0a529c28fd306ce9043}
androidx/core/text: {androidx/core/text, 3621ae97fdd754570ef3239be05875ce}
x3: {x3, 9da62cefad1a42ee94787a56993dfc73}
g5: {g5, 115d4bca33a1a8fc3ec7e7bd9ff319db}
k4: {k4, cd290b1eec832395949e8732b40f5f00}
n7: {n7, 1e027fdda9eec242e6bfbaed1031d8b7}
d0: {d0, 7032f146d4438f8d055fb8c954ca0f0d}
androidx/coordinatorlayout/widget: {androidx/coordinatorlayout/widget, 6136ce5fd3c3b00f38334f4ac70fa8f1}
g: {g, 51185575a440d6d9ae27d096fbaf3b94}
n1: {n1, 1b0320f6a411105ac969156a564a923c}
u7: {u7, 01251dbae59fffd11c6a6e3a1505c50f}
v7: {v7, 3c12fc6b8f55fab0318e6b22ba73f244}
androidx/core/util: {androidx/core/util, 2d2a61ba56d701fbd64468a794102196}
b1: {b1, fdfab4f96ba5a4be07564d972078a62b}
l5: {l5, 69cf8a2f26d2eb36c7adae7438cea321}
i0: {i0, 779068acab6a625f0d4880ba06d39404}
q7: {q7, 6e75ebb97f8c38ec9b536c54aa47f01e}
s0: {s0, 89bf33f95a80e4331700c00b07a898e8}
u4: {u4, 8418154dc6fc371e661a0e76ed2683ca}
i8: {i8, 661d3737f19756317a24af98b7a59c41}
v: {v, 45e5bc125dce68c197c812c1f4a055ef}
r2: {r2, bd694efcaab62da7e6fb7453c24eae79}
e1: {e1, e220cd95847134b0589e7bd7eb988966}
t7: {t7, cb52020295974defe63488a661d69751}
j6: {j6, 87e03aedc942c8e0bed288163f9f51e0}
androidx/appcompat/app: {androidx/appcompat/app, b59644ab7939410c699301cfcac5f624}
d7: {d7, ff33f8428df3d76fe453bfab20b82617}
b7: {b7, b90e985273743747beffbe0de43cdb52}
a0: {a0, 9f76bcdd91b82b73727a87e38a141275}
h: {h, 95ca078e57137ee32d9760a189bf8812}
s3: {s3, 895cf225d580f892334b111d579d3c10}
x4: {x4, 19f7fdd23a3289a52aba41d1c3188ca6}
androidx/core/view: {androidx/core/view, 116e7c47cc5d12ac91cf6c772b00233c}
c7: {c7, 84462fa26256f3e72e57ddbf44bdd62c}
a8: {a8, ebeed5b2bb1afc8524ae8a0c7f6e1632}
p0: {p0, 1de636bb9450dd3fc631ce2071957cc7}
p: {p, 29d5bd6039ea46e749b680b396a2f5e7}
androidx/core/provider: {androidx/core/provider, 64e7f982363015e5958602e40addb9aa}
z0: {z0, de9c63d3bb60aee72664e3decf591441}
kotlin: {kotlin, 8f460011ea59255f7b61d71fd382efdb}
h0: {h0, 7813162518e47190a4a0b70795f58dc9}
i6: {i6, 5c45b1581af4395d9c2d51d59aeb9175}
e8: {e8, 14913a10c53edf4bec783fc42da128ba}
g4: {g4, b1f2d731d33ab1ec2a5f117043504138}
android/webkit: {android/webkit, fc6f99f70236ce11eac0fb3d6aeb3b33}
androidx/core/content: {androidx/core/content, 20b286f6360d3940320cd4cf0c1fd79a}
s5: {s5, d22eee345396adf02f5f2666d140231e}
u6: {u6, fcf84ff7834921f3c433a9bfbf51177c}
k7: {k7, 461cad3a0994b0e9e5e2197ccbdc86b9}
p8: {p8, f959cb9bc18d421a6ddf2ca3d1b3c355}
o7: {o7, ece453cd10a632b60815bb3428d49695}
y2: {y2, 49f8b89bc662f0e17ed38ab283a6030b}
b6: {b6, bb9bc141c6b238b6ab2b9ecf90641a7d}
v4: {v4, 4ce1fe0c34242fdfa9ca2bd24ecc2b93}
l0: {l0, 625c61160d5c5348d21988936714eb79}
q6: {q6, 24518d64aaa4f6b994853662699c23a7}
w1: {w1, bf9bfc0d9b0e64d990dd6ec112b1cd96}
r3: {r3, 65df4f8a5cf3d4352a070cfde4ce789f}
androidx/viewpager2/widget: {androidx/viewpager2/widget, 3688f8d63538f89a9e8aca781435722e}
f6: {f6, acf7ef943fdeb3cbfed8dd0d8f584731}
j7: {j7, ccc72dc5fe9bcec3063eda808c7c964e}
c6: {c6, e7bd0ea4d9cfefebf97e4d756c25e8cf}
b2: {b2, 578ec7dc34aac09151c3f950adf79d81}
l6: {l6, 98bba64aca85e0bf2b75cad369ec5032}
x5: {x5, d71eaee236203941844a1ad445491011}
d5: {d5, d2c9239ce346abe3862db0d50db1ea0e}
l8: {l8, 880f05c3fd85c8639ff87c1bb52d7980}
p1: {p1, b526b50427e9ff686b29eae9d50eed45}
s2: {s2, 3260303f6e3d760c74c9ddc13ab01c0c}
androidx/work: {androidx/work, 0eef463ccda1f8afe84d805423a91616}
g7: {g7, a4ee93b97ff760329c68af2b89f4f23c}
android/text: {android/text, ea1be5e9adc911e85d1aa7c52f0af9be}
q: {q, 89b77da66e2392954fbae1e4321d9254}
h1: {h1, 06d90e31d4ce14a952406903870eadfb}
n4: {n4, a229664bcbc116dc7e95a8bb0d3069f2}
android/widget: {android/widget, fc6f99f70236ce11eac0fb3d6aeb3b33}
y1: {y1, ef307cfbe79fb5f9d3cdf78a29b23b64}
o1: {o1, 6cb6cbd8a1bd3a5a4e642c692c3ce736}
t0: {t0, 5b52a3c9c9a0a8553ad06481fb2e348f}
v5: {v5, d61a9618261d2c92c466db0e1a19c50b}
a: {a, 7a44508cff3a9488e6aa2edb95c88609}
l7: {l7, a946c8ee19c2cefc621540c47a87ed04}
t1: {t1, dc19182095f762819a886a0f5709d48e}
androidx/versionedparcelable: {androidx/versionedparcelable, a345a6ebff7d3e0a1c5619fabcb0180a}
com/bumptech/glide: {com/bumptech/glide, 00bc9f07f47ebbcd29e626e78cf4d7a7}
o6: {o6, 39a74c92630afd13b14aae174bb18c89}
m7: {m7, 1bc5faeac72d23d9acaaee0093b1c9a7}
j4: {j4, a6d17936cc7fbab7950383d0dca4ddc9}
n6: {n6, 8c83f7eaf05777b61ad2bba3ef357846}
q5: {q5, 543cdaaf7e7b936e61f8708a88151143}
androidx/recyclerview/widget: {androidx/recyclerview/widget, 24e3620f3ed8c2f315c3a5df05a850e2}
e7: {e7, 3d4b5a5e2ddb2b8ed993f2ba33f78db2}
x: {x, a31bbae766b140fcab716c1ec367e3a5}
u5: {u5, acf7ef943fdeb3cbfed8dd0d8f584731}
k6: {k6, b263a412f82c903cb38e33b9605ed784}
r0: {r0, 6fe7119b05b0aa5e41eff88cd2e28320}
h8: {h8, 035df86a1bfa587d976c9845eaa087f9}
