androidx/appcompat: {androidx/appcompat, a38077e42fbd9cd6feef2269c43e6caa}
coil/drawable: {coil/drawable, add29a3ff0bcdde3e72621c643d16193}
androidx/hilt/navigation: {androidx/hilt/navigation, ccf6a560fcce607d6a56dc31c70daf79}
okhttp3/internal: {okhttp3/internal, 429c0979e24143d3efdf899e2be15fa4}
okhttp3/internal/http: {[okhttp3/internal/http, okhttp3/internal/connection, okhttp3/internal/concurrent, ], 008711cb28a3a7c117d5dcb272ee54ec}
de/lukasneugebauer/nextcloudcookbook: {de/lukasneugebauer/nextcloudcookbook, d98f87954f24730aafb371df399ed8c1}
com/alorma/compose: {com/alorma/compose, 082bb941e8b6f38f8b1cb578ff176747}
coil/compose: {coil/compose, 417567747d6255925a28e80cba751ec4}
javax/annotation/meta: {javax/annotation/meta, 884ff7da4db2cf6ac60face45898d1d1}
androidx/lifecycle: {androidx/lifecycle, 34af640cde0de37332637d4b01521dac}
kotlin/enums: {kotlin/enums, 2ac729e1da645711b61b1777d929f82d}
androidx/navigation: {androidx/navigation, cbc90415c26d6867be47debf44944c9e}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, 934c8c60b16b2d1f443a36ba416ed33b}
kotlin/reflect: {kotlin/reflect, a8972dcaab48575b3082fef4c8ba0927}
kotlin/text: {kotlin/text, 672c72e92873f5f1f2c98c59c49c68e2}
android/graphics: {android/graphics, c4e9eeb25e17c46354752ac4239a9772}
androidx/exifinterface/media: {androidx/exifinterface/media, 1d2d21aaa2410fc357def2c9b3f74487}
androidx/versionedparcelable: {androidx/versionedparcelable, 4ddd13daf546f3dd1fe6b20e9c81f740}
okhttp3: {okhttp3, eac7338518ff1570da853f9fb88aa14a}
android/view: {android/view, e8d2bc513f3d23f259a9d7d777714e05}
androidx/core: {androidx/core, 79176a6ef8b9c886908e9407cdb5dc3a}
kotlinx/serialization: {kotlinx/serialization, ff0d6c9de5763dd3f219642816238b6b}
androidx/transition: {androidx/transition, ce742251de8f7cf0625bf8cc359d8b40}
coil/request: {coil/request, ea2b88dc2b09b67a211ce710a566e12a}
coil/key: {coil/key, fdec7c141703560d86df48660ec7814f}
androidx/legacy/widget: {androidx/legacy/widget, 58f44ea8b38f55cea801dd0fcd8e781f}
androidx/viewpager/widget: {androidx/viewpager/widget, d56aaffb2677fb7c9518718426796244}
androidx/compose/ui: {androidx/compose/ui, 4aec03dc8d26c7b1dff38baea937036a}
android/app: {android/app, e079f4fb8febf5b63effbb6583d13a90}
coil/target: {coil/target, 523432f76f50a8e18149ba4729b5aa67}
androidx/customview/view: {androidx/customview/view, 01724afdfe476a4865697d09a9063a85}
coil/network: {coil/network, ce0d39ba53003a2dbe523612177210d4}
com/dropbox/flow: {com/dropbox/flow, 7ae77d434799a7745aece07fc93961c8}
e: {e, b984f0444b87abdde12e5b016fff1f81}
androidx/recyclerview: {androidx/recyclerview, dff0e05f2d3b2ce6473c3c8fda09dc68}
kotlin/comparisons: {kotlin/comparisons, 64a4a48134f7b72869c507069e26c458}
com/google/accompanist: {com/google/accompanist, 9bc06d69b5bec7cc0059d0aa5b809e35}
androidx/slidingpanelayout/widget: {androidx/slidingpanelayout/widget, c51345198a2ada584451af0c37920d95}
kotlin/jvm: {kotlin/jvm, 59116b7fe2fa1158162b03c9a56659c6}
androidx/asynclayoutinflater/view: {androidx/asynclayoutinflater/view, a57e1aa47c93e1623aeba633e93ebd50}
coil/size: {coil/size, c42eeb5b2051aacb53fe5d2920a9cbda}
kotlin/io: {kotlin/io, 54169d2fa4d57075728aeb0336ba9adc}
com/google/errorprone: {com/google/errorprone, 1b3a8f31a0eb9a0b76b9cbe79be02d1e}
androidx/profileinstaller: {androidx/profileinstaller, 4970ac21c98131ac7767ebc0d6d449b5}
com/nytimes/android: {com/nytimes/android, e38cbfab8ae95ece5e520741d194c7c1}
com/dokar/chiptextfield: {com/dokar/chiptextfield, ac2d584a1028fadf660cf93f81aa2b88}
com/dropbox/android: {com/dropbox/android, 8c1d312547b478124abc1155a1eaf0ee}
androidx/emoji2/text: {androidx/emoji2/text, 040404486a2b0b3e7dcd423c7cc4e6fc}
org/checkerframework/framework: {org/checkerframework/framework, a9d2c4a309b25ddaa500f0b06b8f2a89}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 3ecb2b6524071aedd6b55d0576cf1f38}
com/google/j2objc: {com/google/j2objc, 907d596afd94c61067598d8fa680c36e}
okio: {okio, 832ecfe9766eaad8858f0a0f7517bfc9}
dagger/internal: {dagger/internal, c0366f96e549e04f0bbfc5e510365b82}
coil/memory: {coil/memory, bd85cca1b9dae0fc6f14808890a87b06}
kotlinx/collections/immutable: {kotlinx/collections/immutable, ff021fdde03496888b61d09e6f87503a}
androidx/loader/content: {androidx/loader/content, 2f59c881c9d6ca9bcc660fcd636f24c4}
androidx/compose/material: {androidx/compose/material, dcdb4f863ed42cb0cdb77bc08919b456}
com/ramcosta/composedestinations: {com/ramcosta/composedestinations, da6a3da4588dde085e3d75f0f69e2c9d}
coil/decode: {coil/decode, ec308e31f0b98c38fafc8d1a30b0802b}
androidx/customview/poolingcontainer: {androidx/customview/poolingcontainer, bcc1e626f2f39a9e8d5c814508cae7ad}
androidx/arch/core: {androidx/arch/core, a54e0c3028edaf0917f0b3ec633de4f7}
kotlin/properties: {kotlin/properties, 5e208ca993611020a1243b5117a21fc3}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, 7c45670b517842cbe3a1ad95917f00b3}
g: {g, 0cf3fc10de6f3bb1c0e5f742e05960d0}
okio/internal: {okio/internal, 8044fd66c78c5c39a2412063a7d14b88}
androidx/concurrent/futures: {androidx/concurrent/futures, 7a6b169f89fb4cc8545ab100dbed4321}
androidx/window/embedding: {androidx/window/embedding, 8ec4fd1d87b4f3aa0365ed300e98c7a0}
okhttp3/logging: {okhttp3/logging, 8774a6f8211156548db3db65dbc711e1}
retrofit2: {retrofit2, 37e9498656571177e11f36146318e469}
kotlin/collections: {kotlin/collections, 36d60eda9d1139d2f39e1c41570ef552}
com/google/auto: {[com/google/auto, com/google/common, ], 50203279593ab9365cdd347586193d20}
kotlin: {kotlin, 24df5f9b9260d09ef780eda14d1be9c6}
h: {h, ec12907cb83831c05baeb5fdd9a060f6}
kotlin/contracts: {kotlin/contracts, a4ea1717291cdbbe6bd8a5180623779e}
androidx/datastore: {androidx/datastore, c95e47f88e4c83b4b3779794660d9630}
androidx/customview/widget: {androidx/customview/widget, 9e9eac8a2c5d21d24b06a42a66c017d9}
androidx/fragment: {androidx/fragment, c0bba03bfd6c428ad323591860c86565}
com/mikepenz/aboutlibraries: {com/mikepenz/aboutlibraries, d7718c596612b68c2c53331f5d6bf5a8}
org/checkerframework/checker: {org/checkerframework/checker, db6ce95bffa52edb262a8ade1df1ff05}
kotlin/coroutines: {kotlin/coroutines, 6cda0c1afcc3f6f7b624e1ab60b9f249}
kotlin/concurrent: {kotlin/concurrent, e640939e0a6e1c3614b002cb0307a23b}
dagger/hilt: {dagger/hilt, 30554d5ab0022ce4feec84ccf3dae49d}
coil/transform: {coil/transform, 437ac70496d689d9a5bbf20ceb8f1af0}
androidx/compose/animation: {androidx/compose/animation, 4677e8fbadde2322998faff5f4093bc6}
androidx/interpolator/view: {androidx/interpolator/view, 7321339b15329c524bc27838b4c18270}
okhttp3/internal/http2: {[okhttp3/internal/concurrent, okhttp3/internal/http2, ], e15ed9265dee5b2ae5a3f4517515c764}
androidx/window/layout: {androidx/window/layout, ba1d65e743d392a2f4d6123c0bb0819d}
i: {i, 02a7062daabfd414c82880a285ed5b5e}
com/google/thirdparty: {com/google/thirdparty, 09b27e1c086a900ee5266eb90662272f}
androidx/emoji2/viewsintegration: {androidx/emoji2/viewsintegration, c50080e76ce20b68f940edbe4d2fa10e}
androidx/legacy/app: {androidx/legacy/app, 6a55ea1e481e8146b311f6b9cdddb610}
kotlin/time: {kotlin/time, 57e1286d685406bf7ae2492ee7398b9d}
_COROUTINE: {_COROUTINE, b208b774dad1c708f9053c13f69a0082}
retrofit2/converter/gson: {retrofit2/converter/gson, 243610cfab01619e9d56c1d31d188016}
javax/inject: {javax/inject, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/print: {androidx/print, b86396ca159b32e99a6c087d741c7b4c}
a: {a, e78a92383e3bee7c08de199d0c80ff3f}
coil/disk: {coil/disk, 6363475c90a881230164979b25abddde}
androidx/window/core: {androidx/window/core, 0c25fa0f942db585d31abe63eadb1479}
kotlin/ranges: {kotlin/ranges, 2aca8529fca8e52c2faaafa6d23e2627}
androidx/tracing: {androidx/tracing, 8f8e2cae1f0d2ac7cc7a6083d45b648a}
android/location: {android/location, e079f4fb8febf5b63effbb6583d13a90}
androidx/swiperefreshlayout/widget: {androidx/swiperefreshlayout/widget, 53140ac8b401bda3d0925d22d0a90cf9}
com/google/gson: {com/google/gson, 160e85fa0e1d2ec5229a3d944c5ecce3}
coil/util: {coil/util, 8d3edc9248fbbd9151f73458f9d76d35}
coil/transition: {coil/transition, cd8fefb2da7fa1cdeab440c0f268473c}
androidx/drawerlayout/widget: {androidx/drawerlayout/widget, 52c9723bc79dca1d51d1c3b39ac72bd6}
