a6: {a6, 861ca7d4f8ebd57dd5f3410b58b0650a}
x2: {x2, 8fdb6c1a5268af0c925a7b9d306ce043}
a2: {a2, 05a8efad760616f281c647e7b473408e}
n9: {n9, 09f84d0f594b996ce1f48da289a73ef3}
s9: {s9, a0f606021b7ea4fbf01242e3540df5cd}
n0: {n0, dcbf91d254309dc72ce18cd6cefba2f1}
k5: {k5, 9dcfa299279221a8f71ff44192897a16}
f: {f, d1e23a9264b7bd3029a0cf8ccb2f02ea}
x9: {x9, 3f5e9203f7a72ac3f95a18ca67f9d647}
i9: {i9, acf7ef943fdeb3cbfed8dd0d8f584731}
j1: {j1, 32e3c13f0c08155f45f959d632452925}
m8: {m8, 828f01b6858c293abc10e992971c1202}
a9: {a9, 5ef2fb9f67703ad9a86ff2c0c4fc0c21}
h7: {h7, 9c24d14aa3c5b7c54be29b65fc125231}
f9: {f9, 4737d0e59f3212ce06cbc462d4c4b6d5}
i7: {i7, 273517433165b3a1e6a72b881484e386}
g5: {g5, 498a70934a4e657c660e28e82d7432b9}
u7: {u7, a7344506390356fb01ab1fa0468f3287}
v7: {v7, 01028f85637520eda2a3854a5b78ef76}
l5: {l5, 6b97cdd59ae6cd0a906524a6b54eeff6}
s0: {s0, c27b33ca382ca9d99cfc879d21e403d0}
t7: {t7, d002080ddd316c9d3e2dcca3a418d971}
b7: {b7, fc27bbdff9b4b4be1be2f7a1b4df5f21}
c7: {c7, d006ffaebbe325fdfb80ebd468f969aa}
p: {p, 39467848e07a06b6a1ea50182e5cae49}
e8: {e8, 474cabe62cbe170dafde59b6bc099716}
x8: {x8, 16db915fcdc5d41c2acd3aee366faaab}
t0: {t0, 3c73383d753b6cbda05decca8d905214}
ca: {ca, 5e9202f27d1c5fc41cc59c39f1da62c4}
android/net/ssl: {android/net/ssl, fc6f99f70236ce11eac0fb3d6aeb3b33}
com/github/piasy: {com/github/piasy, 059c389a2ca9fdc7240a3369db9bc8d5}
i: {i, 04eb67e96730ae740d394475f1c54212}
p1: {p1, f1c8f44392256aa996f638dc05054b13}
d7: {d7, 65edd225b4d9695b8243386afc24721d}
q5: {q5, b65f89f03c7a991b918f124171dda238}
e7: {e7, c96bb008f52eea9beb936bb95964015c}
f7: {f7, f778cff971eee73b7571abce0c0ad932}
androidx/activity: {androidx/activity, ebd788b8d5a4d2e379323d0096d9d99b}
y0: {y0, 2db5a2e14581a28a1abd2ac72955e3c7}
y9: {y9, 933eb9cbd63b680637081e6b37c1a6af}
com/google/android: {com/google/android, 90b754c73c8b2af0692f1860665ae7bf}
android/os: {android/os, fc6f99f70236ce11eac0fb3d6aeb3b33}
z1: {z1, 19e396ccba1d35d1eb2f2cdbdd1a5bba}
com/afollestad/materialdialogs: {com/afollestad/materialdialogs, 8dd554fde2b9b61053fafc8ac1379d13}
ba: {ba, 8b7a39d3162e554423396e11e6b99457}
j5: {j5, 4812de2c871e527f2ee43f0fab5da809}
ia: {ia, 154ab8d6b28b247ffa9b30a1c36a49b0}
d0: {d0, 35a7e74b0d96a83d3dcf87f93718a71e}
b: {b, eb3317e7dca343ed73e1d8f8fce24e5e}
k1: {k1, 9443a3e91852746642505b12413947d4}
x7: {x7, 493dd71a770eca89f8425c5d2eb5832d}
a5: {a5, 4d805ab25ae5eafac7d143a7f4650b9b}
ca/allanwang/kau: {ca/allanwang/kau, 3bdefc0e38b8d9acb167761985afea42}
y7: {y7, 564e7f80c0f6397907af05c4b5d18115}
r3: {r3, 96f30d1f88dcba7f1dfed5c7593f1f84}
androidx/cardview/widget: {androidx/cardview/widget, 199f4b12311701edf5eedad1c4e3cb67}
l2: {l2, 4dc180424dfe1b9ebd909679092ea8d9}
i3: {i3, 109c055dd1c0f2d268ae56483297c33d}
androidx/savedstate: {androidx/savedstate, 0ef030f80dfe9d4473b1cef9df710d0a}
m5: {m5, bacbb73c850073f8b880fd86170532a2}
j2: {j2, b3db9b1c339bcd163f982ee5bb579d69}
v3: {v3, bcf9ce255e07f72141f81fcee747b02b}
n5: {n5, 929afb03f4850529a79c8dc7d6c9c9a1}
z2: {z2, 3acf7584c822d3ec5d1b1f94e06a4d5e}
o4: {o4, 7e4a90151f2c82023c3a06bb185b5407}
g0: {g0, cc913b3fe364a4eb175190ed938400b8}
androidx/viewpager2/adapter: {androidx/viewpager2/adapter, 0882bfe7904e328bfe66192e77050659}
o2: {o2, 4059255f3d81435a122c0bb772fcd562}
androidx/lifecycle: {androidx/lifecycle, 33eba88a66848cf9c0269fade2f94f07}
c3: {c3, 6f5668ac522b0d776041ab5c808bfbf4}
h4: {h4, d0b6109356b1dd04c099f9a8c0d69245}
ha: {ha, 9232af5990d4813665e22be0d40c27c4}
t4: {t4, 41accfa913b8e01b373e625d6c10efab}
u2: {u2, add6688dd94722c04bea3eae6e5c3eba}
c8: {c8, 5e1f1553784ac7291be04e751f6172b2}
h3: {h3, faffd2286e909de089c47c7351254ffa}
org/jsoup/nodes: {org/jsoup/nodes, 65ef4d42561e7b91f91117c62ed0f996}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, af5974aa384029dfb5a06fd9b4676f10}
r7: {r7, 0a2523a0cab8520495f308055fd81aa1}
s7: {s7, b8a0c5d533714a001b51f7a54a95ba8e}
q1: {q1, c1b8ad123a626424e4eee494e68be59a}
androidx/media: {androidx/media, 55b809396aeab5b56261d11f0a2b2171}
b0: {b0, 2f87fd4329ec4b7fdc58da2fb7a4a421}
u: {u, 2ae13d6dd0ae264232e23420920926a5}
f3: {f3, 799cc0a80b7c8ef9f052db0708fbd09a}
w4: {w4, 8c7ad74116252b0bea6bddd1484a29e0}
android/security: {android/security, 5e33364a2669dfb2168d90376923af80}
androidx/appcompat/view: {androidx/appcompat/view, 7c0154583155f7fd5c477e7610695d30}
androidx/core/text: {androidx/core/text, 3621ae97fdd754570ef3239be05875ce}
z5: {z5, e189e105c1787b279165a7b68afeb841}
n: {n, 4d78b5d2e2f375daf30eee6c0944772c}
p6: {p6, d2d937d3a14cb21bc54444e698c6d4c5}
d4: {d4, 80305d8f4feb2818ba61ceebbfc69029}
e2: {e2, 92475d670c719c58ce1d16f9e95c1502}
q8: {q8, 6497242f1cf152dac6579c68a779b8f1}
y3: {y3, e54ae270b76c19ac7c270e26f9108afb}
a1: {a1, 9ac4e8e4c8614a65da60f15cb63b1d8f}
n6: {n6, 73ed703cb536b7645e2afa4e41be4e29}
com/devbrackets/android: {com/devbrackets/android, 3b0a7564c0c42089004bad7363421198}
s8: {s8, acf7ef943fdeb3cbfed8dd0d8f584731}
x3: {x3, 19eab3cc7c8769fa82ac5512a732026f}
k4: {k4, 176a42ad0772c98aa17dded66cc0a304}
g: {g, 3aec4b6f84c61a767eba63cdb0201124}
n1: {n1, 5546712cbaa3e2e5c21ab5aeb054902a}
androidx/biometric: {androidx/biometric, 020ec32437a75d0a430b3329b3257a01}
i8: {i8, 1f7bfc1d1212b9ed51376d198c784e40}
j6: {j6, 2c4d02c0d606d85542af7bc03bc5e8a9}
okhttp3/internal/publicsuffix: {okhttp3/internal/publicsuffix, 2b2cb0d7a0c9abb2700508c14b8c7191}
s3: {s3, b1279e7f7ef92b5ee4cf3bb9f2951855}
x4: {x4, 1511d9786af9e61d4ee0349eeaa83648}
a8: {a8, 1ac85ea412c1a8b4e035c2e9254e8015}
h0: {h0, e93a2ed6f694da72a8fd9984dbf18c25}
i6: {i6, 3e9a5074d12ed71b37f20a7ce3fd3423}
g4: {g4, 34bd820d918c878e8b30e1030e64ffae}
androidx/core/content: {androidx/core/content, 80334606b3fee13e670dc6f93453bb21}
l6: {l6, 573e23a209d40a06198e7469bf0b8b25}
u6: {u6, 701fbee895b2c996244de4c19006d1d7}
m0: {m0, 0d71fb0eb8fd5136c81e6ef5835a6f39}
v4: {v4, 7d3435b1cff1cd025e0c1c5306b93157}
com/afollestad/viewpagerdots: {com/afollestad/viewpagerdots, 2ac619a9f5089fb2299e1801269ddbf4}
t8: {t8, 0e67054e2f5e6c6e949388fd2e5cfdd0}
c6: {c6, 12aa4e6e210d36e82306dd58ac7390cf}
l8: {l8, 38e3849d041d700be8b596a27c8d0c47}
q: {q, 2404a863359214b34f99f3ad674ba75a}
b4: {b4, 541428e7225f811519ab4a59df17b71d}
o1: {o1, c52241234b20c811f885a42df8b67e36}
fa: {fa, 5a7a89d0f57d6bfe627998a46787f7b5}
t1: {t1, 15e09ca37335b3b7ed9f8453059521df}
o6: {o6, ac79d69eda0b43f3df641cb9d7f011c8}
ga: {ga, 6efcdcc647520b36b06bdb87e175eb23}
x: {x, 1ef6ef3d72c19629a715851dabd3754d}
h8: {h8, 1e7bc6a3e0c4d43573730673f4f946a9}
r0: {r0, aeb954b6b82d97a5757b7a543c714906}
p2: {p2, fe32abede0e91f92cbf72b1bc174f1a7}
d8: {d8, e2adb936e9383b145c10db6e40458f74}
j: {j, 70a049bfc8a19c8ea431fff434f1acbe}
com/mikepenz/fastadapter: {com/mikepenz/fastadapter, 6b393ef2f99be95603769f8e6d4939d2}
q4: {q4, 24e728425cdc2532b920edb0f53b4149}
androidx/core/hardware: {androidx/core/hardware, c24758629a822120ec615be387faf202}
e6: {e6, 64048e6e17d2a26e109d9ce504d50f31}
f4: {f4, fe7d298a844c419e4b382694445da06d}
y8: {y8, 98074a7d46bd41ea2b18fb4e10b9c97a}
z6: {z6, ffbfbc64ebea334aeada3c023d0bd320}
androidx/startup: {androidx/startup, 131abce5fc5ebe7e1684037bc13d5652}
w3: {w3, 2a768969344bc81ab0f85977034849da}
d1: {d1, 115fd449c7a3d9389ba12f99fd308492}
c: {c, 05c63e7de6d4e8f5cf665b990ad93696}
ma: {ma, e0bfedb91971614641d7ba8f64f998aa}
x0: {x0, cf9d53a78e1d51c1f6c1577266445d59}
y6: {y6, e38ce239874df62fa5a7d36b96b7b0b3}
m3: {m3, a5dd4437329020952087552d6e4d0fd1}
i2: {i2, 461fb2b60eeb26cf0df8d3d57c3473fb}
a4: {a4, d49a0301b172181b96a61e4c437b045e}
j8: {j8, 94b3bc27677cc9b5624972ec71e167d4}
j3: {j3, 59685a5470d68feb86b0d6e6bad08ce4}
android/graphics: {android/graphics, 58d98e8fe7107964eaf2e01eb255f405}
m4: {m4, 3279a8895da94db89a253f5e00e00d77}
d: {d, f638402d469b9644b3c7f4e6222172d2}
androidx/swiperefreshlayout/widget: {androidx/swiperefreshlayout/widget, 3865d88a1568381733f30f593abdb5aa}
n2: {n2, 2b239168602603217ebc998feef13869}
v0: {v0, 60a6dac62a325c0010d26707acf3e661}
g3: {g3, 9069db5a35d491c34b6f3836a4f9605c}
r4: {r4, fdadabf60d1c3c4789fe0da9ba2d1568}
com/mikepenz/iconics: {com/mikepenz/iconics, 66949042cff310bdf341c7b50a3de905}
b8: {b8, b5c93eebb2a42f62020ae7558668b9c4}
o5: {o5, 7e9303fda8766077e6d56ca96478c884}
h5: {h5, a097c66ca74eafefb641db9984b5ab45}
c2: {c2, da7c7faca9cad5ea2f1525a114091f93}
androidx/core/app: {androidx/core/app, 664fc5ef1a3a06c58ac6f500449dd14a}
t5: {t5, e418b7a28c49ea127e3bf19dfb678244}
l3: {l3, b54d3a7b6f715e8e8a86d8b96ee59cdb}
u1: {u1, a19ab72b19761069c6e40e8fe2f83c72}
s6: {s6, c68a98b916868a638776668c4fa7747d}
android/hardware/biometrics: {android/hardware/biometrics, 659a6ef0cd0c2fd554492c5a21e14724}
la: {la, 76d340e964b1d2e1fb460b80be938255}
q0: {q0, 80f1b9c196adefe8efe954a40e5129ed}
f0: {f0, 071b3fb3f9702fe1495514ea2b7bdfbb}
c5: {c5, 7202f7d09d812fed54fe6e7182818cda}
ka: {ka, 6694781fcb39a9f564b3b45511e179fd}
v: {v, d4595129a9d87b0bb88e68d3ef470cfe}
android/icu/util: {android/icu/util, a4da3e04e6e7d40a41d7257971e75fd0}
androidx/appcompat/app: {androidx/appcompat/app, ee3b0efc9ba6658a735b8b5d788e6992}
w7: {w7, cce50964c890f229efff30a2ae787be9}
p7: {p7, 82937fa904b15853a1daee7b2d1dc725}
o: {o, 7144babc83d2c536488480a95ca0d405}
z3: {z3, 3746b14b884af8d2834db443d7686aa0}
s5: {s5, 9bf92835adb338ad4897b62d338e707f}
androidx/core/util: {androidx/core/util, 4a266484c9f55ba70e23c104b622fd16}
q7: {q7, 7ac5f692b2c8f49cee5a12fc93632e71}
d5: {d5, ae2a94999bd977212dc80ef4a151fcae}
e1: {e1, d2d46ae52b15cf2d10869c61e313cca1}
y2: {y2, 47cd7b23fb7566807abf045b398d4189}
ja: {ja, 5e6ff2fe7e642f68cd04541b4f19d653}
com/davemorrissey/labs: {com/davemorrissey/labs, 3f0a77730bd0762e510e35f8f0bc3dd0}
z8: {z8, 0d9fb56b5d384537ff943148cf456968}
a0: {a0, 21fab9d3ddcd67cc92095163a1818cda}
k7: {k7, 658e1a3b0c21b32d1fa957723ef4d3da}
p8: {p8, b2a2955061ced04cd62af131e6ebbdc0}
j7: {j7, b30ae378f4b13e431c736b8c7d475fb3}
a7: {a7, ac9a25b4610036d964039fc5ac72ac81}
r8: {r8, f4462fcec5f257ba0e7f86ad45816f58}
x5: {x5, fdb3ace5b27a6d09fff995d85a7a2be4}
s2: {s2, 7cff054110be7bb2e37b94a9eb8aa300}
g7: {g7, 6a0374901c63b2c76969b10ae9854a65}
l0: {l0, 7ed34b624c276f2781c20d46c3af804b}
h1: {h1, 8889775d8807adc9bc150b1582156cdd}
android/widget: {android/widget, fc6f99f70236ce11eac0fb3d6aeb3b33}
androidx/emoji2/text: {androidx/emoji2/text, 0d152bd527ddc1e217592975a06f366c}
i5: {i5, c1bd5257a2fc67784519cf64e6d08f0f}
v5: {v5, 431d81e21f777aa1687534c9bbeec42a}
l7: {l7, c5cca4f95f819f67e51733510fa96891}
w9: {w9, dda24d795b6ee29b1e505960ffed739d}
android/hardware/fingerprint: {android/hardware/fingerprint, ca492b472cfef67d7f0f637f44b6015b}
t9: {t9, 633f2d7a4005fec9c8f024cd23e7d9ac}
androidx/recyclerview/widget: {androidx/recyclerview/widget, e7d212609eaa0f81a26b283f71c5c6d0}
u5: {u5, d1f669b046a596689a83090c90226913}
androidx/drawerlayout/widget: {androidx/drawerlayout/widget, f3a18790fcd1b94015b685ab61191a26}
androidx/core/widget: {androidx/core/widget, 6ec50063199fe510c79753ffc8955b31}
c1: {c1, 65cef433f88998983134efce5d371680}
l9: {l9, da9172dd0e05eb6a6c53a0ff6fb722a5}
o0: {o0, d0786c6127afe28e32c17d3ce21bba13}
b5: {b5, ae0fcd71f01db1bd02080d461c5b9955}
o9: {o9, 8042e27065034c7d7a935f125b98963e}
t2: {t2, e4864d9f9aeb723b1589368ae6103125}
r1: {r1, 986d141277fe07c4517a8a43539b097b}
y: {y, fc40ce8d07f3009bb92ede1ff29132bb}
d9: {d9, f7506d490c02062ab2a18ab614f18d9f}
k: {k, 1c9f1187bea76f8f005a294475565564}
androidx/core/os: {androidx/core/os, dc7ae4ea7a9c5450a1af0776d070868a}
p3: {p3, 46a200d744966266fe28dd8ec78c9fd2}
android/telephony: {android/telephony, c4e9eeb25e17c46354752ac4239a9772}
e5: {e5, b3dd8a196602c3620ac9afe32182ee52}
b2: {b2, 1639cbf0ccaf9ff797822b938f496e4d}
q3: {q3, 2b2cfa6890f08f1eb56eb081232133e5}
android/icu/text: {android/icu/text, 0c248c7ad95169e1412945fd6b802162}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 455147b2d9f3805759a7ad408cc953cd}
kotlinx/coroutines: {kotlinx/coroutines, e5411eb7e14744677862c991c06a8aef}
r: {r, 92448d78403c8da009dc32a883ee46b9}
f5: {f5, 44dd147c78e9e01777d7f72882a11c97}
dagger/hilt/android: {dagger/hilt/android, 195fe256e53ed9274a0999616bdeb4e9}
androidx/loader/app: {androidx/loader/app, c974c1cbc4bd2d32a6deeef0272ec8ca}
v8: {v8, bd01ec3e3a9f4fe0e0cc8c33458b5976}
androidx/room: {androidx/room, c0eb80e93a8228380c9ea505c63da9bd}
w2: {w2, c83cbfa5bfe5ebbf03348ea5d53c67db}
aa: {aa, b28d3474669516e66edb6bbf3a2fda68}
z7: {z7, fd7f8cbae8ef25955c1b29d6a0627f8f}
k3: {k3, c1b88c60bdbe03cdb9b922779f0220cd}
p4: {p4, 3f9995f23583a5fd012a21cdf496c726}
l: {l, bea211657e8bd67d5ca292af865a0012}
d2: {d2, b2f494fbaab4033fb938ce763d8fde2c}
x1: {x1, 541e2686044e160104fde4cfb87abfe2}
androidx/viewpager/widget: {androidx/viewpager/widget, d94d5f034713b3e16e4c558e97559fa4}
y5: {y5, 091dc6fa0a93fa47fd3481a91738afc3}
m2: {m2, eb38390924699b6c7c318395cab30baf}
j9: {j9, a32a631ddd40273f3c7498f6bc68c69f}
android/app: {android/app, 6cd5456162674bcbc2ba8c7bb3ac7454}
com/pitchedapps/frost: {com/pitchedapps/frost, 2fb89589621798b66de72e5d774d8f86}
n8: {n8, 2a3f04e48d2a374ebc284e5df75dc760}
a3: {a3, 5b5a25e687bd1b80a6415df484cf2d06}
androidx/fragment/app: {androidx/fragment/app, 8f0392a37206cc53ed8acf564e4ba181}
j0: {j0, 25579a88aacd21a714f2277e56ed9daa}
n3: {n3, 2c8dca3c6370434c676d02a4f6a9be01}
e: {e, d6d863a9de00fc3dc7dd1088e5735b01}
u9: {u9, b1ad2279788bf92bd10bbc910fa62580}
pa: {pa, c931af66e3d924889e2665195d46dce4}
v1: {v1, ee9aa7f7a515d7a52f483c4979c9bad3}
m9: {m9, 703cfda6f9111c0d733a8f809172175d}
r5: {r5, 403edfdd253e7b4dbe8aac271b0ce2f7}
f8: {f8, 6c51399af7442fb0c7256029117092bd}
androidx/appcompat/widget: {androidx/appcompat/widget, f9a6aa26cb131274aef4902b1f1c6384}
g2: {g2, 0a5874176d0d3c3cda7e6e7610bd8f5a}
h6: {h6, 543cdaaf7e7b936e61f8708a88151143}
u0: {u0, e56cdae92e89a38d0ba00b427e8a5fe6}
i1: {i1, 6b8044b30663250fb2e278626844802e}
oa: {oa, 829646027000af9087729e94220f2ed3}
l4: {l4, c86f525de78e6474d52a19d6cfb099c6}
s1: {s1, 7b65df322699a175beb94b0af6995733}
t6: {t6, e7bd0ea4d9cfefebf97e4d756c25e8cf}
e9: {e9, 8086138030b63889d8c914926d6c6a46}
b6: {b6, 919ba2a5268538c6490f848304959bd2}
c4: {c4, af7f9f6fb3cb7d66088c451f1a3bad98}
f1: {f1, df47a531504f1a3feaacde227cf5e85c}
com/bumptech/glide: {com/bumptech/glide, 67f42415da3f167599357db8f2c2d2be}
w: {w, b2d7518b8781a01ede8922c59c8d5e5d}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, 703ab3edd868d0a529c28fd306ce9043}
b9: {b9, 243def5a10b753754d33bf91c604f98d}
r2: {r2, 67672a6de6bf6e67e8265317b33b6683}
w6: {w6, 0299ae78fdc4a375c22bb9eee66b80c4}
h: {h, 995777f34e8e2a0b0486a56f258e73b2}
d6: {d6, 6e242682fbc96bba22d3888db914ccf8}
androidx/core/view: {androidx/core/view, 259145cf5ffb292f0d15a1b9465dba6f}
p0: {p0, 4cccfb1eb383dcb1f24c1cd66c18e655}
z0: {z0, 12ec5a3b22416d1ee22bd0a1e6a24f04}
androidx/coordinatorlayout/widget: {androidx/coordinatorlayout/widget, 6136ce5fd3c3b00f38334f4ac70fa8f1}
q6: {q6, 876679e9ef7a3c67a36e89c2867a8c94}
e0: {e0, 1a5135bf360f9ad17b2ee406ba21d3c6}
f6: {f6, 6d6857cec6a54500a3590ac9a6193ff5}
z9: {z9, f8a37a50934dad9a5699404a282d98ec}
android/text: {android/text, ea1be5e9adc911e85d1aa7c52f0af9be}
n4: {n4, 5787fd59a0e158109552465b0cfae537}
k9: {k9, 639a7284950b5684c2711914426463e2}
y1: {y1, d492430e0f495928ff3a5d364c565350}
a: {a, c8814a9861fe5206c082e9bfa4d505a7}
p9: {p9, 81b23a2be5c0ab0fe3b5792b634d72b3}
j4: {j4, d02ebded661bcb9d7a99397f4ceb90ef}
w1: {w1, 349d9b89f737c38ac67a7e580f715258}
k6: {k6, d2fc2105191a6d3aa585c8e02cee6562}
