androidx/appcompat: {androidx/appcompat, af6be4e9a617f17fa20acb9a2e1d9e37}
androidx/emoji2: {androidx/emoji2, 1c7d3ce5da68fcb55d99f92f76b489ab}
androidx/work: {androidx/work, 1c5df84a6dd6a3139ba22c334281dca0}
kotlin/text: {kotlin/text, 7094313916e61d1d093ed5f6f779607f}
kotlinx/android/extensions: {kotlinx/android/extensions, 2259e96eef31781306c1729f2119919c}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 5638432b08d4e5e77dc0249ea77a9e46}
androidx/arch/core: {androidx/arch/core, 4aedd1b836e501b0e82521ff6824fb7f}
kotlin/time: {kotlin/time, 841fd6fdbddd7da1eddbd6221a2bcfe3}
androidx/resourceinspection/annotation: {androidx/resourceinspection/annotation, a4bd91c515d62e517c2896e81b40cc24}
kotlin/ranges: {kotlin/ranges, 3f2b1aa084c94c9c3dc4fa04b0b50d93}
androidx/viewpager2: {androidx/viewpager2, e2ef8ce83f267e7c6d623499c509fe1a}
androidx/legacy/content: {androidx/legacy/content, 6f17542208ee49d01c4f55a89a691e19}
androidx/savedstate: {androidx/savedstate, 9512e47111439ddac4eda70cef8ce183}
androidx/documentfile: {androidx/documentfile, e22976f96cd13bde836300f702c8fc60}
androidx/print: {androidx/print, 60bf5c11bd96ef5e4ddd65374fd1cb0c}
com/bumptech/glide: {com/bumptech/glide, b7f9cb02a75478127260c432aebb0072}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 19b9e0cf1da3b001bdce177e5f6b15d7}
ooo/akito/webmon: {ooo/akito/webmon, 9aefd011912ef381dcc693aeaa996220}
okhttp3/internal: {okhttp3/internal, 2412d34c91a1396af086cee3350b5b27}
kotlinx/coroutines: {kotlinx/coroutines, 843e34b6cd3ee6495650ac5084ae4442}
androidx/tracing: {androidx/tracing, 1691b9585cc135c6595781ab31216573}
kotlinx/android/parcel: {kotlinx/android/parcel, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/startup: {androidx/startup, 53d0e3d6f93384a3e10a3ad1f634fc94}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, acd475ca7ae9e8837911e7061c7da244}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 647ac94efd6effb15b0f18fbb4eea173}
androidx/customview: {androidx/customview, ee90bbac21b5d0cead2d93cc52a21fea}
okio: {okio, 9a4c254afeda95ba3e2772db342cb128}
androidx/annotation: {androidx/annotation, 46e2f5a1d16153c1d9399ef5f5556de5}
androidx/dynamicanimation: {androidx/dynamicanimation, 1f9a5d45e51b6a7477a6151da88f6e7b}
kotlin/jvm: {kotlin/jvm, 71ccac538903e0ce356cbf2d50c31a7c}
retrofit2: {retrofit2, fbaa75760bce4c819dab917843160030}
