a6: {a6, 3911f5c7874b992175e6b2d348a8ca8e}
b7: {b7, 24c1c6e80bb81cac60e5d5b8b4f71493}
v: {v, fceb2224f24bada1fc4b4a44491e18f2}
a2: {a2, a6af8488a13409e3d9474fc6e8f97d16}
h6: {h6, 43215d66ecad9620c071cddf0be70688}
androidx/core/app: {androidx/core/app, 42afaf6c8115ae078d1f7ceb290514be}
n0: {n0, e4d6be0c7f12002f35bb48b52ebf0418}
u0: {u0, a73e46cb64c89effacb0e91a35b9a7ae}
k5: {k5, 8e8aec0f0e56c2993b8f559b782465b6}
com/crazylegend/fragment: {com/crazylegend/fragment, d8fea6fb0a67797467eaadf9e96fe11e}
z5: {z5, a347f36cad230cee0628602b0acd5483}
i1: {i1, 44f207db10565d992d0eb67666f2d2cf}
f: {f, 7a2645ea606a660ac30dd2c6689287d4}
v6: {v6, c7df4480cf513e22fdf9e4b19abb1ef8}
l4: {l4, 765d852000cd35ebdfd2cf72d307287b}
y6: {y6, acf7ef943fdeb3cbfed8dd0d8f584731}
n: {n, 23bd1c8b2a67d906abc9ca84f5872297}
p6: {p6, 56dca967c5d756b12e929047168c850b}
d4: {d4, b2f17da20e0a8b7f55d94fac9b460fbe}
e2: {e2, b7ebe696f08b41bbd0306c0a2197800c}
t6: {t6, 3fbd271cbacf73c6bb5e8d7771338ef0}
j1: {j1, 95ec6d040a42bc64b395a95d671a0bf2}
u: {u, 5cde025f8f5680edcedb94a798c68700}
w7: {w7, 0af2f910e77a91d80a368eb6b3419c6c}
m8: {m8, 0f288918c868d7271727f6f5906d0124}
com/skydoves/colorpickerview: {com/skydoves/colorpickerview, f32cd4126aa42df091f34bbca36621c3}
y3: {y3, b2f17da20e0a8b7f55d94fac9b460fbe}
c4: {c4, d43de614f66dee52583be060b77b00e0}
s6: {s6, 14f61975f89a8e40357b641a6e8b40bd}
p7: {p7, acf7ef943fdeb3cbfed8dd0d8f584731}
s1: {s1, 803a455b2cfdf481494bdf414771b392}
o: {o, e3249488f7532dd8fc54fae3f63298d4}
f1: {f1, d92ffc38f66a28618371840bb6dd2c35}
z3: {z3, fe790798086f5b66b54e3bb9c70c02b6}
androidx/appcompat/app: {androidx/appcompat/app, d18e41c17c330f97354d520f6bce03d3}
h7: {h7, 437c0e7adef72ee1b8094a59ae4d419b}
n6: {n6, acf7ef943fdeb3cbfed8dd0d8f584731}
w: {w, 73a50d83f6a022c3964e78439d7f36d0}
s2: {s2, d915089ed378ae32e68fcf56cf727e77}
i7: {i7, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/savedstate: {androidx/savedstate, 82a3b905ef77777138a008fd95786b85}
x3: {x3, 7158f01fb107b1f3c8b6e5e7aa431b96}
g5: {g5, da7d05ee5d33ff30329209330a39e5ca}
k4: {k4, 655d26b1d0bc4ad8752ae32a3a1148c9}
n7: {n7, 85cfa166252fdd6624c2b635b49aae5a}
d0: {d0, edebf8d3ffb5e3a0f3f9060393934f61}
g: {g, 61c7c5ba34535c5009fedf54394a4f44}
n1: {n1, 9a6b1241130368c1f7b42365950f9c62}
u7: {u7, 6c3d3526d38aab4a5b18f24a194cbc99}
v7: {v7, accb537742543c79fbbc000525341f36}
b1: {b1, f44a458c8f07e3846e98d31518b85c38}
androidx/biometric: {androidx/biometric, 0066da84ae427bfda760ce7f520571b0}
l5: {l5, 93237b4c20d67784834ee9c8dca7788a}
androidx/sqlite/db: {androidx/sqlite/db, 89462288db72b8edb9bf934f37b2562f}
i0: {i0, 6157de64ab4761e5fbab201f5eac8d01}
com/crazylegend/lifecycle: {com/crazylegend/lifecycle, 5f4ee701187c38eb877f6e1772723854}
q7: {q7, acf7ef943fdeb3cbfed8dd0d8f584731}
s0: {s0, c8fb7c6897dace4fb49a6877681a83c7}
u4: {u4, 53a009bf7417eb447f4bd932a4fb6b0c}
i8: {i8, 6706d4c9602d24d0688f7a1d6afbd4e6}
e1: {e1, 88a4697ce44868fccb4ed5bf7e7d9b61}
t7: {t7, 8e10e26336c5c9dd9f58caadcf20c381}
j6: {j6, fe31083ecccc74c94f0420030026a8fe}
y2: {y2, ec9eff28fa18efafbb1a5d710e894497}
w6: {w6, 88cacbd6a8fb9d5bfba56a86582d2f70}
h: {h, 2cf6a600a42230df8da7bfc6e80fd451}
s3: {s3, f3e39b7776e70542a6947cfb128f7030}
x4: {x4, 94b6fe0ee5be047e254a29c6560dbe3e}
c7: {c7, ba667df1f37d12eb409c3970c1c77dd1}
a8: {a8, a7e1c6f2007e2387025668882246fdfd}
p0: {p0, 9a44cce52b580f6474696b105e12327f}
p: {p, c3a3ed030327b5f52c0b736356ec0743}
androidx/emoji2/text: {androidx/emoji2/text, a07f66706ccf915cff15fd572d01b564}
z0: {z0, 8ee01b174135e514e297ebc8ee61aa93}
a0: {a0, f79aa8e4defcbbcbd0c4b7ff51a6997a}
h0: {h0, 5d3b8b47b05cbb7f1c47e457d4ad1bd9}
i6: {i6, dbed50ad6fa992206e5689a0a8e4232c}
e8: {e8, 93d3d70c6030e4b529be913814514549}
g4: {g4, 9e686680314cebe7c436d8e5da417cca}
com/crazylegend/viewbinding: {com/crazylegend/viewbinding, 16c1aed965eeab421d9311e938e82c48}
androidx/coordinatorlayout/widget: {androidx/coordinatorlayout/widget, 42a8469e002d70aac32d4b9367dd2400}
s5: {s5, e890d1d7bc453853a9e4e992527fad93}
z7: {z7, cc57a2706afb40e05afc3807c3e80884}
u6: {u6, f380514e0110c3f87494cf6d5be938f4}
p8: {p8, 71bd8e27a795e2d16867631ee06a4483}
o7: {o7, 05879b8f759f743dfd12a0881cce8295}
m0: {m0, f5968589672251340aaa8c73ab58a5e2}
b6: {b6, 9c5c40f7d0faa2357d90e33bfc13db4e}
v4: {v4, 82cd2c655fb693f0b22cfb83e850c9df}
l0: {l0, 1bccc8eb3de750faab40f2eda2693124}
j8: {j8, acf7ef943fdeb3cbfed8dd0d8f584731}
q6: {q6, eeaf282734bad4cd75cbb7a987f111b6}
e0: {e0, 7c8ac5149921c86e870b7ff4b23f5b15}
r3: {r3, 5ff9167034ac2660e27d4ae3634cb3de}
com/google/crypto: {com/google/crypto, 1de49f4390bbb39dfef87e69b36f13f1}
f6: {f6, 9e31bd9ce33fd372956e39c0cc12e164}
c6: {c6, 3cd236a0e12afedbe0ab32c4013c165e}
b2: {b2, e3c0a425ec2c47b67599a8ff5554c565}
l6: {l6, 396d9d582d693076833e4bf1ea34ea4b}
x5: {x5, acf7ef943fdeb3cbfed8dd0d8f584731}
d5: {d5, 259a902424f0926dd3460bdbe82924d3}
l8: {l8, 6e4b8a855b3f73d5a6e870482d72eb6f}
p1: {p1, 458e5efde17e2bb7838338b74568c775}
d7: {d7, 33b158151a5c89e61a7fb7d24f6e4063}
androidx/work: {androidx/work, 5b2ee5ea4ff1ab8599371c2b1f056eb1}
g7: {g7, db90e7c875a12dfe9f29fbf087fb1d70}
q: {q, d3179922c3d8230ae20da923d817e898}
n4: {n4, c2747d86c06932b60f55c97775283d79}
y1: {y1, e68b06bcbd08d78dbc1544bc6123c57f}
o1: {o1, 4b2f6c5924c443d8130d0e5d4e759c88}
t0: {t0, 5ba6bef425c3990f6b0975415d221292}
v5: {v5, 5d836e1f254f2969c53a18548c7ad249}
a: {a, 6988128272f52f78b5f226ca999ae1d5}
l7: {l7, 30f9bc06f2b0074adf09befbe0792d6d}
t1: {t1, a0006a773426b8970b70ef794af7bc26}
androidx/versionedparcelable: {androidx/versionedparcelable, 17d11d0836635d2e0f25e383be8bd90a}
o6: {o6, 33fb6fa9fa54cda240d4a0ef0c833772}
androidx/camera/camera2: {androidx/camera/camera2, 50840f2094b4e1526823965ba7e3ed7a}
j4: {j4, 8b0a68f89273a695c15cd2dda9b53330}
w1: {w1, af52885d853282d278e29eeb228664f4}
com/crazylegend/sharedpreferences: {com/crazylegend/sharedpreferences, 4180f0173c70db0390e81c097e97606a}
q5: {q5, 4fbe7feefe93b2787122785a919e6050}
androidx/recyclerview/widget: {androidx/recyclerview/widget, d004e6133d31c44a4b63cd5b0a16f8c6}
e7: {e7, 9381b18691c8348fe5d6526727fa3ab4}
f7: {f7, 9c6c0b66d6c47154da14ad4cd741c190}
u5: {u5, db9bac77242c5093af0d3071ae785b22}
k6: {k6, 5133468d13da857cba3f859e6cf8fbb6}
androidx/camera/core: {androidx/camera/core, a8522f0bc8656146eeb074b655f45770}
r0: {r0, 855a901912a910b5d1a886889fb46998}
h8: {h8, d52206726ec63ebc292d6eaf2d490911}
