kotlin/collections: {kotlin/collections, 66ba83a71b94e32f6af06a1ec1e3c0fe}
kotlin/coroutines/experimental: {kotlin/coroutines/experimental, 352fdb0dca0f183f75cf399be28d7035}
io/fabric/sdk: {io/fabric/sdk, 0022de67fa58278983b362ab77c9bfad}
kotlin/properties: {kotlin/properties, 6f05a3b7faaa20c3d7bf792d927984e2}
kotlin/ranges: {kotlin/ranges, 70d71f4aaa795bcfdee033f4b6444521}
nectec/thai/widget: {[nectec/thai/address, nectec/thai/unit, nectec/thai/widget, nectec/thai/identity, ], e7f7a68bd1e3602fa5617a9058f55a2f}
kotlin/system: {kotlin/system, df2009cf378fcc5b9c10e4c3622086b6}
android/support/customtabs: {android/support/customtabs, 472cc3e457c1a4622ecb74e99b0dfc3d}
android/support/design: {android/support/design, 31697341ce93e07d6f692ca5fb0a8e49}
com/google/firebase: {[com/google/firebase, com/google/android, com/google/maps, ], 63b4c42542dc2ec24ab4315135524b96}
okhttp3/internal: {okhttp3/internal, 351156db4a5c59c42a9447791c0bfd7d}
android/arch/core: {android/arch/core, 44f120a51ee9b527dcc0f5edc8d3769d}
android/support/multidex: {android/support/multidex, ba3a017f8d0fdbf4b368cb791aa3bec5}
android/support/mediacompat: {android/support/mediacompat, f0c897d148a7bdd3648bed4c8604463d}
nectec/thai/date: {nectec/thai/date, 8f92500a127d7b14e37414692bc46beb}
android/arch/lifecycle: {android/arch/lifecycle, 7fd8ea19dc104b076f3a925c59bef86f}
nectec/util: {nectec/util, f91a9e82e7476afec378971b6a2fdffe}
okhttp3/logging: {okhttp3/logging, f82be609484c9442d520b309b644bd89}
com/bluelinelabs/logansquare: {com/bluelinelabs/logansquare, c21c0a57124be6f56337b0d696869a8d}
com/bartoszlipinski/recyclerviewheader: {com/bartoszlipinski/recyclerviewheader, 255f292095892dab527f1ea2d07a64aa}
kotlin/jvm: {kotlin/jvm, 533c462e197038a8da95c6d7f50fc929}
okhttp3/internal/cache: {[okhttp3/internal/io, okhttp3/internal/cache, ], de1db71c1a6f8e556efa97ba044b4bb7}
