androidx/appcompat: {androidx/appcompat, 5519de7761c082d764dfa803178fa914}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 3af32e239c2835ac2bd0c7386fe79949}
com/google/zxing: {com/google/zxing, ddaa79a2509d742e91439e18032d6f05}
androidx/slidingpanelayout: {androidx/slidingpanelayout, e426a15115aacceef132ef0dcda9641a}
androidx/drawerlayout: {androidx/drawerlayout, 6b14bc737854edd87f4885706f23fb5d}
androidx/legacy/coreui: {androidx/legacy/coreui, e97521e81a9f1d37da0597160bf5ab00}
androidx/viewpager: {androidx/viewpager, b1cdad61b6957c2eccbe6d86be2bcb56}
org/videolan/television: {org/videolan/television, 65b9af86fad56ee3de862947a45f95a2}
com/squareup/moshi: {com/squareup/moshi, 139dc3d1c6f2e605694749a1cb1a950e}
kotlinx/android/extensions: {kotlinx/android/extensions, 2259e96eef31781306c1729f2119919c}
androidx/arch/core: {androidx/arch/core, 4aedd1b836e501b0e82521ff6824fb7f}
androidx/legacy/content: {androidx/legacy/content, 6f17542208ee49d01c4f55a89a691e19}
androidx/concurrent/futures: {androidx/concurrent/futures, bd56f82a230b53cc4c9146583f47940d}
retrofit2: {retrofit2, 6c45b1553629531bd57ddbec572d2739}
kotlin/collections: {kotlin/collections, 293d59bd850e02219773817563ed1059}
videolan/org/commontools: {videolan/org/commontools, 992e89ca2602a8180baf26cdaa3127d2}
androidx/fragment: {androidx/fragment, 632dcf6b72e593f6f35a2d06666a1e5d}
kotlin: {kotlin, 63e5ca7735d40000483282d96b5cf19d}
org/videolan/vlc: {[org/videolan/vlc, org/videolan/medialibrary, org/videolan/libvlc, ], 74ae161173a07c22d5e0f1915bab7c8c}
kotlin/coroutines: {kotlin/coroutines, b7b610c62cec516244a36ec2b6776d11}
org/videolan/mobile: {[org/videolan/resources, org/videolan/mobile, ], de6c0a71d31ec21bb96bd7168446cd5b}
androidx/legacy/coreutils: {androidx/legacy/coreutils, da1c5c0e9e4d4de1ee6852a39fa1fee1}
okio: {okio, 4805eb2167340a4b644bde943bae4907}
androidx/paging: {androidx/paging, 00ca6fef6fe08ca6e587e9e1245e0cff}
nl/dionsegijn/konfetti: {nl/dionsegijn/konfetti, e39ddab69b34856146dfe890e8834ed8}
androidx/legacy/app: {androidx/legacy/app, 062cdfa6acbd2876b4c02bb6b6404f04}
kotlin/time: {kotlin/time, 841fd6fdbddd7da1eddbd6221a2bcfe3}
androidx/print: {androidx/print, 60bf5c11bd96ef5e4ddd65374fd1cb0c}
androidx/leanback: {androidx/leanback, 8e97d2d4359c3fb7672eeaae89ec4628}
androidx/legacy/v4: {androidx/legacy/v4, e97521e81a9f1d37da0597160bf5ab00}
kotlin/ranges: {kotlin/ranges, 3f2b1aa084c94c9c3dc4fa04b0b50d93}
androidx/tracing: {androidx/tracing, 1691b9585cc135c6595781ab31216573}
kotlinx/android/parcel: {kotlinx/android/parcel, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/customview: {androidx/customview, ee90bbac21b5d0cead2d93cc52a21fea}
okhttp3/logging: {okhttp3/logging, e0c85701795964ad37fff9e75944ab3c}
