androidx/appcompat: {androidx/appcompat, a224cfaf1e0edcbe12b8e70b943d7ad8}
androidx/drawerlayout: {androidx/drawerlayout, 3410d38d6cf46d20a1ea61543dab2de1}
androidx/legacy/coreutils: {androidx/legacy/coreutils, 73459e05781063da65dda8c716b44d0f}
androidx/legacy/coreui: {androidx/legacy/coreui, e0f7a4ed6dfc7d0e3cfaf295ba204dfb}
androidx/media: {androidx/media, 7da3d03beeb0ba23649d45cdc7faad62}
com/evgenii/jsevaluator: {com/evgenii/jsevaluator, a30a4103c6e904ae46e373220addda27}
androidx/exifinterface: {androidx/exifinterface, fcc934d0b5ab46831a0e153c973139aa}
androidx/legacy/view: {androidx/legacy/view, 542dd9699021b2a489ba6c7d8f6e4a23}
androidx/emoji2: {androidx/emoji2, dc5a5ac90d4295e1cbde18846c19b82f}
butterknife/runtime: {butterknife/runtime, 73459e05781063da65dda8c716b44d0f}
androidx/profileinstaller: {androidx/profileinstaller, 1aabf5759ea2d5ebaec48ca3de2e0cc6}
kotlin/text: {kotlin/text, 2660e1602d110a7faeeee65b6bb717de}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 3140565af93a2ca2bbada7bbffa2ef6d}
androidx/arch/core: {androidx/arch/core, c45109435860333e3fb9a1df7b9f72b4}
kotlin/time: {kotlin/time, 5947f361f79b4929985c77289b893a10}
_COROUTINE: {_COROUTINE, cda218f6ca68fa7c07a4065e0df7787b}
androidx/resourceinspection/annotation: {androidx/resourceinspection/annotation, a4bd91c515d62e517c2896e81b40cc24}
androidx/viewpager2: {androidx/viewpager2, ffcb38c9fb3276804a7793cf5e2b8c7f}
androidx/legacy/content: {androidx/legacy/content, 6aaaf26997950d8416bb1ce1ae77d7aa}
androidx/savedstate: {androidx/savedstate, bd8a3587efa642dd7cff6f9c0d4c9f6d}
androidx/documentfile: {androidx/documentfile, 16b1384202835cf81a742a79dab145c4}
androidx/print: {androidx/print, a901bc455e5d2451d493a2c1dcf782ce}
com/bumptech/glide: {com/bumptech/glide, 839eb6ad83dc44ef76c1fe796382072a}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 80289172d5225de2b9cb9772c5e15553}
androidx/legacy/app: {androidx/legacy/app, dd9dc9775d67e7fb3703c74e4156b5b6}
kotlinx/coroutines: {kotlinx/coroutines, d3a260cfea6c18e112c2c18d9d88702e}
androidx/tracing: {androidx/tracing, 3756e2f2b575b433d53180a7e63297c4}
androidx/startup: {androidx/startup, 86fcc9acd3be58c7de92432067895bf4}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, ac734e2207a6d4128600b66cd9d15d56}
androidx/concurrent/futures: {androidx/concurrent/futures, 77cd0518b07fcef1aa61b6ffd82e7d96}
androidx/customview: {androidx/customview, b29e885e43a9630d0256deca69447b56}
androidx/window: {androidx/window, bd98982d8656976737f1e5053cfdafca}
androidx/annotation: {androidx/annotation, c0fce04979ed66e39ebb3a3868016a75}
androidx/dynamicanimation: {androidx/dynamicanimation, 5c61a0963e02bea60d6bd70d2d777402}
androidx/databinding: {androidx/databinding, 08150376a11e37b320c8b55e3877780d}
