a6: {a6, 5f788ed802c9330857d0775e9ee1cacc}
android/webkit: {android/webkit, bcd1e092f17df46a7d2aca17234dcf08}
f: {f, 4251132b4d7d9e6a9c05d251f09eff11}
x9: {x9, f7506d490c02062ab2a18ab614f18d9f}
i9: {i9, caf7b75419d4891626cf946c5f5d6e7c}
j1: {j1, d8f44d380079fde92015d233947f644c}
m8: {m8, 299439dba28e8c70161ad7abe3740457}
a9: {a9, a7fc33cfa833916c9f80ea95ad41c1e8}
h7: {h7, f5906c0c1167c329e443b1243a86d713}
f9: {f9, 0255e6a3048b659734c9c36525d35f2a}
com/reactnativecommunity/netinfo: {com/reactnativecommunity/netinfo, a5efdc298d3431c537501c0b91b6fdd4}
i7: {i7, 9dc9ef86d53a5929bc803f438cbc5132}
g5: {g5, 3a55981281165d4b4ca7572001a174c1}
u7: {u7, 5a5535fa479d6c3746f4a4fa3a5641cf}
v7: {v7, 21dbe75c6aa205f018e499a285a93a9e}
l5: {l5, ca9d27b3766164a44c2a8fa9d7a6e1fe}
i0: {i0, b82e5d98e7290a289f22ace7bf1f1236}
s0: {s0, 93a2f8e1c05db2733330e87fabec7361}
com/brentvatne/react: {com/brentvatne/react, a685046ad90b3a726b03fe5da4930e5a}
t7: {t7, 3f57179d507df9477a926668035ecf95}
b7: {b7, ed7118b657c139faefa9c63e5536e2e1}
c7: {c7, 31eb6a028158f0e558a2646e76a2ce55}
p: {p, 5cab9620fa30767f734a68f40f8a8be8}
kotlin: {kotlin, 0a7217eacbc4b44c506ca9a1e329735d}
e8: {e8, 9c8f6e1672333dbe1a434100c6d6a09c}
x8: {x8, 974943d1613195047160b047c6f78c0c}
o7: {o7, a147b70de34b59d92be11daa6589002c}
t0: {t0, 6a240333bb38de4b6791f72304677db3}
org/wonday/orientation: {org/wonday/orientation, bea4f45ea2686eb47e2b34142cf34d5a}
ca: {ca, d393c3304845f202728e74e0f3e811d6}
r3: {r3, 47b5b4fdef269d94d1f8078f3cd90c52}
com/reactnativepagerview: {com/reactnativepagerview, ab4d774b6b0f3da2e3a55546e2493c28}
bolts: {bolts, 975f450cec42acf8ed31ab7e360a78b5}
com/fasterxml/jackson: {com/fasterxml/jackson, 1506bd15217b54d5cc25edf444e9609e}
i: {i, 09711b3dc58ec30b9fa281b077dc4cfe}
p1: {p1, 89f75134efc1450210c43e46d850d676}
d7: {d7, f230b588ff275b07b0cda4bcbc7337e3}
com/google/gson: {com/google/gson, ee13c7a6350f8a121ba15fb5c164db68}
q5: {q5, 23a194b28394ab86726d97c82571e70b}
e7: {e7, dea569823aff04745c266a862363cab8}
f7: {f7, 402a43e45c02e89803e10f1f2a972620}
androidx/activity: {androidx/activity, feb7a3d8bfc8db9b17ecf17ac377cdd2}
k8: {k8, 6c7d0acdcde3b423955599716a1961fb}
timber/log: {timber/log, facc0e343e6d9da033284580f77e4a33}
y0: {y0, afe5f7e25ee66445c950deae750e7f92}
y9: {y9, 99bc1326bc2722e74f394811d7d87c3e}
com/google/android: {com/google/android, 4289530e6b6ef7ac19d58e8da58e1bf2}
android/os: {android/os, d917d61ff9625f459a75a30ea14ab4d1}
z1: {z1, 21674fa5587a5dd04ebad8ca96537ec0}
w0: {w0, 00661cea233e19fba9d9fab2c8ef5521}
ba: {ba, d52206726ec63ebc292d6eaf2d490911}
j5: {j5, eb91a4b3351ac3a1bd900a52b7f48dd2}
ia: {ia, d7290e28bcca6f0b660f26cd815d0a6d}
d0: {d0, 73229703da425dae5dd9a20b2346a734}
b: {b, 0daed20ed39e61231d866cdfd09b4bb9}
k1: {k1, b08f48209eac4d17d7a6c3ccb056e221}
x7: {x7, 4f6efdcc3f16a754a17a3db11782d933}
com/horcrux/svg: {com/horcrux/svg, 0b82778fa5137bf6389d30bd5b11edd4}
a5: {a5, c51a09e93892dd0bdb0f466cbc36a5e3}
y7: {y7, 47dcfde056ffc634b799ea71c287c8f4}
com/swmansion/rnscreens: {com/swmansion/rnscreens, e9228df911db55f0dc963d47808943e3}
l2: {l2, b007b846640d978506ae33361eb233c6}
i3: {i3, 4010af92639755f7290b0a1f5fb2b883}
androidx/savedstate: {androidx/savedstate, 0ef030f80dfe9d4473b1cef9df710d0a}
m5: {m5, fce58890b093418ab98e9a1063a4b50d}
j2: {j2, 88fc2303cb27977ca7a872a5f4fa28ed}
v3: {v3, c2536a9f2f9baa4619d82ef63ff21668}
n5: {n5, e618fd7415308ec9a0d897e63fc7a25a}
z2: {z2, 59eb9071bb64369ae1191796c1db7dcb}
o4: {o4, fbadb0b3b68b20be253aa9c671ded481}
g0: {g0, 737252beb9b1b514d704cbcc8d708dee}
androidx/viewpager2/adapter: {androidx/viewpager2/adapter, f99161dad2cc32e1de3aa48f781b9bdd}
com/rnimmersivemode: {com/rnimmersivemode, 94870a5e3cae989f5ccf0b12fe906fe6}
o2: {o2, bdcae2b9f4e4874012295f8a99d3e7aa}
androidx/lifecycle: {androidx/lifecycle, 778739ed9380888dc141596a107eeba4}
c3: {c3, a0d19fca00ad9e07560542f6f5718620}
h4: {h4, 4af8044cca3361cd46e283c570cf254a}
ha: {ha, 202b98a585f710baf923d0ca024239a1}
t4: {t4, ebbd2ab0c4c6ae47b68a3fcc89dafad8}
u2: {u2, a09f8b9860ba7917f0afe00283f8e7a1}
c8: {c8, db9bac77242c5093af0d3071ae785b22}
h3: {h3, 39aa4355dcb7447cf58abc3cef856aa3}
r7: {r7, 8d0a0978da4183ea8b1f60ee1791933e}
s7: {s7, a9a4336885bbbcb591800bbff845cede}
q1: {q1, 47b09a1f3e55df902b04b19c8d4c0c85}
androidx/media: {androidx/media, cc41295a107c9e193044a598335a7791}
b0: {b0, 278dd434156ae7fb59c7cfa3fcfc0aa4}
u: {u, 37fa9821a511a0dd083f7be9bd5ea466}
f3: {f3, e4b66a3de39007318ae870e6bab08dcd}
w4: {w4, 10ed2fd65eaf446b9f41ae9d7e335323}
androidx/appcompat/view: {androidx/appcompat/view, a54d06d01eccd631b2452715af98ef8c}
com/zmxv/RNSound: {com/zmxv/RNSound, bfd9184bf2f2ad72e80b68f0eb02b2c8}
android/net: {android/net, 3ef3d1823ac4c8a03c4402610a70d6de}
androidx/core/text: {androidx/core/text, dedbfa302ace623520ae3f169b262ef9}
com/kevinresol/react_native_default_preference: {com/kevinresol/react_native_default_preference, 5d21a8f8c6667252ef737516fa9ff233}
z5: {z5, d5e85db8f8cf45c8bc63727d8540e7a0}
n: {n, 83ce904cf157ade1e5e76add897d312a}
p6: {p6, 01292f3fafd5505bd69950c966b5cfa6}
d4: {d4, 32581f958f4bded5b04ab454858aec64}
e2: {e2, df082dbf7182b125bcf25304c28960f9}
q8: {q8, f71f08d6b6d2dee2020d4da268df1d49}
org/devio/rn: {org/devio/rn, d3eef5d471c14757af96876ea217f5ff}
y3: {y3, 29ac8ee4bcbd3828c612c37f788f2390}
a1: {a1, f7079e0d98ca573644d41d920c27f8a3}
ga: {ga, 4cf610ddcfa33666fcb051145b290b0e}
s8: {s8, 2bb65ac060e33c85aaa824a1c6d5fe3e}
x3: {x3, e3c0a425ec2c47b67599a8ff5554c565}
k4: {k4, e04095d0cf96e452f9afbb850e8c2d8e}
g: {g, 27bd798e9c4d680c04228720d2dd55bb}
n1: {n1, a5bb2b36dea472ffff7e270eb06596b0}
i8: {i8, 428f91a19a1b8178748d21c40a0e5947}
j6: {j6, fc59ddf2edeb6349714fb14863dd4993}
s3: {s3, fc7c8a24d37da519296138072c2a2c65}
x4: {x4, 45c80cb9e02eb27cd2e039a3e00ff1b7}
a8: {a8, 3940062ccf9c9d9f8d7bc41d0f0523b2}
h0: {h0, fafde6625229ab8557e5277ea30e6f5b}
i6: {i6, 9d5778fa8c359ba30e554ccddef51388}
g4: {g4, 28fa0db979b7dd87ae836a5d268d102e}
androidx/core/content: {androidx/core/content, a7ffaefb2d2a03505408f1433174cc4f}
l6: {l6, e1a9798367b7618655e604ce68bcaf97}
u6: {u6, adb2ba7a9eef71916afd78940d9bcf75}
m0: {m0, a9296749fe94d164ba02af533954ae85}
v4: {v4, 3429176996fc75aa3eaf3232a7028655}
t8: {t8, e75e4519207e846735127b767dbac1c8}
com/facebook/hermes: {[com/facebook/hermes, com/facebook/jni, ], fced95e707628a5ab52ff98ba99656d3}
c6: {c6, c6ed5ded59e8cde18b9ac7d97a6001ca}
l8: {l8, da6955ba5d56764e598fb08be75bad31}
q: {q, 3ddd768213fcbde91a2fc4c0f34801ca}
b4: {b4, 2191ffb98bc339db62e4cdf388a5a47d}
o1: {o1, 4bdcb2a1d5e18c1cd94f3c68deac9083}
fa: {fa, 305265faa87c8ae67613ff5d8af75749}
t1: {t1, 99ba3cc4a30886bae707d1bb5a9ef111}
o6: {o6, 048d23d30c9d4c18a78c897d4ddabb89}
n6: {n6, c1958fd87c73c4e7c3373a29281cf343}
x: {x, 06bcbf2b1342192a50076b4ff6a0cad0}
r0: {r0, 5d0433ee8f9aed7d88f150538c612c00}
p2: {p2, 9683c423099fd05078f5573aaa838850}
d8: {d8, 91167c9907e79efe2c98560fc3d0e4be}
j: {j, 7da0adc4f3cf7561792a1a61865696bb}
q4: {q4, acf7ef943fdeb3cbfed8dd0d8f584731}
kotlin/jvm/internal: {kotlin/jvm/internal, 8124db12df5f1cc32782e0bf4b0c576f}
e6: {e6, 2dbb5b2c90dccd4b50cd673a0722eb0b}
f4: {f4, fedee8de63f6959783af2777cab8276f}
org/chromium/support_lib_boundary: {org/chromium/support_lib_boundary, dd2382835de694035f725a4bc11fb9b2}
com/dropbox/core: {com/dropbox/core, 84e4328a3b81cf912dac95155d185c19}
com/facebook/soloader: {com/facebook/soloader, 7abcd03738d29dc983d823c6385dc385}
y8: {y8, 8d7725669f572d7ce38da95270db51d6}
z6: {z6, afab5b09d82d02f002678f79a533b1a1}
androidx/startup: {androidx/startup, 7188c68aead394601e789e4b5a7534f3}
w3: {w3, 2955563c4d3a901b608191a7b5b51ee7}
d1: {d1, 2a51bdf2b124ebec437869def10fffbe}
c: {c, 9cc1fe6cee5fd99738125fc577028d37}
x0: {x0, ef8b1ad26ed5cca582985e1e39602a6f}
y6: {y6, 5e4aca97130883f4d7450779585ff6db}
m3: {m3, 89b925ae4b8a57427730b15456c4b13c}
i2: {i2, 8cd4d64d37642f1032202dc2fd1b8721}
a4: {a4, 777a5edb01cd7a015e2b170d9702f299}
j8: {j8, a40a57d3826bedc036aa410d10f5e62f}
android/graphics: {android/graphics, 11b87ff5a5fbcd2a32ade95637c85212}
m4: {m4, 7e4603b0ea8d569857e9318e0f41166a}
okhttp3: {okhttp3, 90d3babfdd507a71918dfd04e5400feb}
d: {d, 3868dae6d6abce6713e6f01e7b15978d}
androidx/swiperefreshlayout/widget: {androidx/swiperefreshlayout/widget, 8ba86febe75ac66c84ebd263cd072f31}
n2: {n2, c920d82181421059e1292a473b154c67}
v0: {v0, 46f5697ffe46846d53b7030fa3de8c16}
g3: {g3, ef371bcf61b760dab48225763a26c9f0}
r4: {r4, c15aa7c988509fd15afb86c0b6842a79}
b8: {b8, 6d6857cec6a54500a3590ac9a6193ff5}
o5: {o5, 613df4b881987581b0305425e19ee881}
h5: {h5, 2ad9e1820bbb6ed9cc6bea088f9f726c}
com/reactnativecommunity/clipboard: {com/reactnativecommunity/clipboard, b33b83daa97bcd4b422a9bd0f0833098}
c2: {c2, e21c49f45dd484d44db0cab34bc56a06}
androidx/core/app: {androidx/core/app, 9501b37ee0f406ed755691027886868f}
t5: {t5, 7d5368270324e1d1427e5bb3f2233e03}
l3: {l3, 6e8ad21e286a4d9a4c04a8b494826b87}
u1: {u1, 57d337bdc741b713e0c411ba010b9b4e}
s6: {s6, 5bc8045e2125159aafc6cb65bf5c6683}
la: {la, 26c01f6bcf0f01f5864d690d458e42c5}
b1: {b1, 7470d9e4f6ef2ad02fc565c05c18da38}
com/facebook/fresco: {com/facebook/fresco, f34391dd8ca5a8338c6e346ee3042054}
q0: {q0, 4f53d81c03abb797e4bf662d41dc9a55}
f0: {f0, 1325a35cc8cd7a93e42d29c7ffb44c86}
c5: {c5, 4eb99b1d8df08124ffbda6b919c6d5d6}
ka: {ka, 9e296cc161a53d2455a6927acd9d3def}
v: {v, 397a5ea6135c838bfdf6eba780a296c5}
com/oblador/performance: {com/oblador/performance, ab237c66b7f7fb5d20dc144363cf8355}
androidx/appcompat/app: {androidx/appcompat/app, dfa00c461a5eb93d9a3e1eb290596477}
w7: {w7, b7dbfb3729ca65e9b60b8c1784e60653}
p7: {p7, 3d98629dbadbc79483f9a48e22fbf2b0}
o: {o, e094f9a11462229f2870b894c6a3cde0}
z3: {z3, 2e522e2d9265508e8a7ef7cfb21906d1}
com/reactnativecommunity/slider: {com/reactnativecommunity/slider, 183b4cf438e8d18c8dcde142eb9556be}
androidx/core/util: {androidx/core/util, 808edce700e6386a5538a8611add8a2a}
okio/internal: {okio/internal, 907822405ad3f0357f440afe7c958719}
q7: {q7, 1e8b443cf83d3eff7c68d8c12df3b134}
d5: {d5, 4fc21df121b70c05548f0d894726f3be}
e1: {e1, a12a25c01aea7674a2a8b3c5d24fe016}
kotlin/collections: {kotlin/collections, b8eb7ede220a3a26381f00fb82b158c7}
y2: {y2, 15115a121a4248fb40841b8e7b26bd83}
ja: {ja, d7423ea096aeb60f41c8db1b679afd08}
z8: {z8, 45e500e043015ebc2e7d07b4941020fb}
n7: {n7, 81a49b5a0c5d24b8633020a882a9ddf1}
com/brentvatne/exoplayer: {com/brentvatne/exoplayer, 193de3bfe5165a825276b1bd01b3b53f}
k7: {k7, e68dd2c4a03f5d4f1d2e9b3eebf0ac88}
com/horcrux/rnsvg: {com/horcrux/rnsvg, 74849a2598c6d308c500b1612e10ccb2}
j7: {j7, 6bd31abbd288f06865651d43e02a21ec}
a7: {a7, b3a86a80e6487f5b4b8b58ef63796b38}
r8: {r8, 571978da33d8c3c251f54c135681695a}
x5: {x5, 7324ee425b34f9c5deb7c480eea6f762}
s2: {s2, 6570149e3d0cb39959623a796ea9c08f}
g7: {g7, 352358d16acc74a9ecc8d071d26c1bcc}
l0: {l0, a7c8d6995587012242c308500289a000}
h1: {h1, 5cd5f52ce33f7ee8f4ba432521344ded}
androidx/emoji2/text: {androidx/emoji2/text, 0c7d11b89adfbc2d5caf13c505377fb5}
i5: {i5, c1bbb916292a98008143263c820b2d36}
v5: {v5, ebbf7810cfed7a1cf56aa7f662460f0c}
l7: {l7, a293beb164d3b0caf8d89679a484e286}
w9: {w9, bf78859827d5a086e77cdc38f114fafe}
m7: {m7, 4165da7e692b8a540d37d7dae091bd7e}
t9: {t9, 23d69428f0096dd2bf14abb7945f92f0}
androidx/recyclerview/widget: {androidx/recyclerview/widget, 03991f07fc798e79df16ca44c444a358}
u5: {u5, d1dc71984cfcb5f1d2e623ebce081d3e}
h8: {h8, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/core/widget: {androidx/core/widget, 7c05d0353c834f6cc12a6af3d7933fc5}
com/squareup/duktape: {com/squareup/duktape, 262c825d1a6d94f4f818c5e0fb8d1f14}
c1: {c1, 06bcc3feba276ec56717db58f2da888f}
l9: {l9, a9b2872d98b75bcef2e32cb4aaae73d2}
o0: {o0, 70aa11b83688ab401bde84b91fd5179c}
b5: {b5, e3c0a425ec2c47b67599a8ff5554c565}
o9: {o9, 7fa9397f9920b6b3f7d70dab41e4c88d}
com/ocetnik/timer: {com/ocetnik/timer, b80c2526103338c9d2f5926758c3e971}
com/facebook/fbreact: {[com/facebook/fbreact, com/facebook/react, com/facebook/yoga, com/facebook/jni, ], ee89edf5b5cc3b00029ee51dc62b279c}
t2: {t2, 51317b8dd363a9c369313545d337b1e3}
r1: {r1, 67e9be086a50dcc9fdeae2f680b9623a}
y: {y, 6d17e1804a79593dcd0f04c2fd65d206}
d9: {d9, e9150122a68e107ed95782c6299c575a}
k: {k, d4c7fb4bfa1c5f60e9072d314644a7a8}
androidx/core/os: {androidx/core/os, 972c04048906109020dc1f64616536b5}
p3: {p3, e86f897f2ece1032d43ce724b75803d1}
android/telephony: {android/telephony, f3cab5e8757d223105e2f6e506491ffd}
e5: {e5, d382a4eb6d7d55c089e40254d9400bc5}
b2: {b2, 904926914b8a7386508f14f80ce562e9}
q3: {q3, db48f38037286ac6fce704380c5e7d9d}
com/facebook/drawee: {com/facebook/drawee, 8281a5889c6d0cf6f8e6cad27c24cb73}
org/jitsi/meet: {org/jitsi/meet, 70d22e562fe690a1863ce08007f60021}
okhttp3/internal: {okhttp3/internal, bd23c7479c804a7e58269c20b3d89f76}
r: {r, 9a7a8e8d0500b200ce8f13f0f494597f}
f5: {f5, d31c34afe0ea7a1ec777b843ad7a3a50}
g9: {g9, f7ac2f27bb9bae089254858c6c3a1c6c}
okhttp3/internal/http1: {[okhttp3/internal/ws, okhttp3/internal/http, okhttp3/internal/connection, okhttp3/internal/concurrent, okhttp3/internal/http1, ], 77b801fbf8359ade0e017b9ffade6f4d}
androidx/loader/app: {androidx/loader/app, bfe4abb618d1ad52d4335c63a1e57b22}
v8: {v8, 5449b603f14d4d1f37ad69948e22a6fd}
kotlinx/coroutines: {kotlinx/coroutines, 5cc61b0094bfa89d70a7373ba851356d}
w2: {w2, d65e13e8dd1173c24874305c31e1148d}
aa: {aa, 11e47df2564b2d02ff168ad1de1b77f9}
z7: {z7, 11b2d6053288cfc2ebbead458d7d1e7b}
k3: {k3, 4a69e2d08c445394da5bba84d713a9c6}
p4: {p4, af9ccae7609591f207f08c618b5cfae5}
l: {l, 0e39db6241ab23e45d89bb5388219fa9}
d2: {d2, f84ac33efaf1f7c4c6542bea4cc1262e}
x1: {x1, b151605fd89de113685f2a188102ef4b}
com/facebook/imageutils: {com/facebook/imageutils, fbecf63b8e44d3244c9ee796519ed780}
y5: {y5, 4756dc8173321d316ec60dfad3127b1e}
m2: {m2, 91f829a2f45d48a71f79b39ca7463eec}
j9: {j9, 21d8614e079aa9092765651c424d8f3b}
android/app: {android/app, 85d9744ac6d163faea00ba8dc5ccd266}
n8: {n8, 1307539b081789347f8fd8a4d0b6421a}
a3: {a3, e3ebbec170a3cc7aa4659007f888a8d4}
androidx/fragment/app: {androidx/fragment/app, f9931c6b0610c8a54b87f5629006a0fc}
j0: {j0, 9a42d55b132953f82e520241809d64d9}
n3: {n3, 55b147e11c214824f20d0ac9f15ae972}
com/corbt/keepawake: {com/corbt/keepawake, 1cb7e5a8406292106952e749f2b94064}
e: {e, 3be9fe5fc37aa881a363a1c9ee7af5be}
com/reactnativecommunity/webview: {com/reactnativecommunity/webview, 39880043bf9a702a6bd01db65f90b8ae}
u9: {u9, 9016fe7b313f8bfbfa4f09c3ca384112}
v1: {v1, 5c4913a2ad82f64c03a7929e564c6e73}
m9: {m9, 06dc83d0c33382d878f1f3d464d9b340}
r5: {r5, 02743b46a0f2266210ce66928d93cf46}
f8: {f8, 7749bb7bcec62435dbf173c790f63f0f}
androidx/appcompat/widget: {androidx/appcompat/widget, 24458dfd56e6270d8f6fa00639c25482}
g2: {g2, 93a7721ce5eb111d1a9ba6cd804a8c19}
h6: {h6, 7590a020b5a08e66820946dc2a0cc9ff}
u0: {u0, 0a690346d5b805835d70613f97346b01}
i1: {i1, b353190debb5407281e66e033cee7119}
v6: {v6, 5538d2f414529cbf647cf46891822557}
l4: {l4, 26d94897b0a64735f8b706d28cf36d4c}
s1: {s1, fdf851657b59c55fccbab70e1ed4a545}
t6: {t6, 2422f7e8f198b4256dd339a4136c378c}
e9: {e9, 2e5141715f59eef2d5e0756435c247d7}
b6: {b6, a37277752fe7498d22b8b3a847d1b413}
c4: {c4, f22cba2d9f33053a86fe1833282fcb3d}
f1: {f1, 31fcca9aa3c92bce76bce91959df076a}
w: {w, a35c9a0c6b73ef848e67f215309a8a2e}
b9: {b9, 4538be7d29664e5cebebeac953b8f32f}
r2: {r2, 840f97877252577b8aec9c153cf9a6fb}
com/learnium/RNDeviceInfo: {com/learnium/RNDeviceInfo, 8a2b2868a40316c9608b2e1148cbd02c}
com/facebook/animated: {com/facebook/animated, a5519f2caa962a2bb7da6207d89250f5}
w6: {w6, 4fe73cc079d45ae020ff48de4cab4b52}
h: {h, bc0aee9402640c0eb5ec92a55e6357c2}
d6: {d6, 9a0e0e2ea0fa6adb8b5de3399fe482ce}
androidx/core/view: {androidx/core/view, 62abe120111076210fe42619dc18b14c}
org/webrtc: {org/webrtc, da3689f7822a881e718db4857f612ee9}
p0: {p0, 98a6211b88c4387da283ba72a9ea01ae}
z0: {z0, 91218eacf6dcf10ce2dd67ee15d1bf4a}
androidx/coordinatorlayout/widget: {androidx/coordinatorlayout/widget, c8664654bcfbaba2154aa58c9a2cfe2e}
s5: {s5, cd9addebf8a625fbb309e37756b892d6}
q6: {q6, cacea75ee797589007b6e723ccd3ff45}
e0: {e0, b8984aef7b20cd887b15cd0a41999eb0}
okhttp3/internal/http2: {[okhttp3/internal/concurrent, okhttp3/internal/http2, ], a4cae1ec4305821e3f668919e0da3fdd}
androidx/viewpager2/widget: {androidx/viewpager2/widget, 28106b901b07be2d1c05d3be9cbc5e4c}
f6: {f6, 3a8e4b2d554957f1b40aab3458483014}
android/text: {android/text, 2733e2836e342a73565f1c4a6d88cd13}
n4: {n4, b40b53bf57cbb7cc79d0e3827847e8e9}
k9: {k9, e11d6f04827d2590983e241af7f4fd1b}
y1: {y1, 78ba10ad3c0aafe3de0ada61112f8ee2}
javax/inject: {javax/inject, acf7ef943fdeb3cbfed8dd0d8f584731}
a: {a, 73b9f5c98ba908a31904bf2fc2822d4c}
p9: {p9, bd01ec3e3a9f4fe0e0cc8c33458b5976}
j4: {j4, 9b1a70aee9fb8a166952cf26e7dcf849}
w1: {w1, f1575190427a96f81fb6d39a78cf8946}
okio: {okio, 5ce9a31b2253c2934ae0587751093431}
k6: {k6, 08dd98a55aa87009797a774e6e43a727}
