androidx/appcompat: {androidx/appcompat, deeaeadaa087785fd848a72a7b17d30b}
kotlin/coroutines: {kotlin/coroutines, 59143d5503204b821c8a03dda3edba58}
kotlin/math: {kotlin/math, 603d70413aeba34eac618d7d763b8009}
androidx/interpolator: {androidx/interpolator, 9520954530ce7215903ebf692e2215c5}
androidx/viewbinding: {androidx/viewbinding, 897736dda5796857485753f22d69e171}
androidx/versionedparcelable: {androidx/versionedparcelable, 2271646c79843cd2bb8612a7d013d075}
okhttp3: {okhttp3, 009f1b17dd23e471a79d97f1a8bb9ba7}
androidx/coordinatorlayout: {androidx/coordinatorlayout, aaa0a4967523d38072a3e647b19d424f}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 71074c63be84dd02a9d3abea4ca3cf23}
androidx/collection: {androidx/collection, 53545eaaf0308eddad921106f5b4eb14}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 8e59d2e3ac16c4c9bf1582eb1630d70b}
androidx/transition: {androidx/transition, 00086a3518fffac2aae2f9f759e372dc}
kotlin/random: {kotlin/random, 969b417d7aa43051d523f18377fda9ff}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, da87e1309ecf1a175c5c0a8df067da38}
androidx/cursoradapter: {androidx/cursoradapter, 383d520a11b62a6e28bfcf6810337e95}
androidx/slidingpanelayout: {androidx/slidingpanelayout, 8528ad3d434333164336d3f6f45bd5ec}
androidx/multidex: {androidx/multidex, 7a68c34f61e41ff8624bb49764f1953c}
androidx/cardview: {androidx/cardview, 74ebf48089f5668f00fd35daf374fb0a}
kotlin/reflect/full: {[kotlin/reflect/jvm, kotlin/reflect/full, ], ca342a3d96fde358cd1f224604e55743}
androidx/core: {androidx/core, 77c6bae486734a9f12dbfb60f8dc712e}
androidx/legacy/coreutils: {androidx/legacy/coreutils, da1c5c0e9e4d4de1ee6852a39fa1fee1}
androidx/legacy/coreui: {androidx/legacy/coreui, f5649c67bb0f45aebcffe7a7a3f8e869}
androidx/media: {androidx/media, 3bd539811c31aec46ba5d7c9b23fde14}
kotlinx/android/extensions: {kotlinx/android/extensions, 2ec2b35dac28c9fd1d745bad4621d6d5}
kotlinx/coroutines: {kotlinx/coroutines, f2d2ead326c4200bf8869a8650192960}
androidx/exifinterface: {androidx/exifinterface, 407941a2e99ef8db1090ed27b950dbd5}
androidx/legacy/widget: {androidx/legacy/widget, 82049910e9994fb88dab5c38292b7abd}
org/jetbrains/annotations: {org/jetbrains/annotations, be9e3a3102a00b0949ad46bd406aa5bf}
okhttp3/logging: {okhttp3/logging, cd447ee0ae908e3f851e14e2b8dc0263}
com/google/android: {com/google/android, eeb035ac2f427e409565c9436f86e7e3}
com/jakewharton/retrofit2: {com/jakewharton/retrofit2, b092f3bd68a4782e005f553aa8ef4dba}
com/squareup/moshi: {com/squareup/moshi, f8d594dd2f1bcf4804df00b4711d5dad}
kotlin/concurrent: {kotlin/concurrent, 42be1e0006526faee615dbc4e5d8f5ba}
kotlin/jdk7: {kotlin/jdk7, b6d7522126e7bebe2607a343d967bb6c}
kotlin/text: {kotlin/text, ac5c519195ddcccf888a5ea8bae5dcbc}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 647b11ca9522d12514bcdf9e7dab0835}
androidx/arch/core: {androidx/arch/core, 4aedd1b836e501b0e82521ff6824fb7f}
okhttp3/internal/cache: {[okhttp3/internal/io, okhttp3/internal/cache, ], 020eb29b524d7ba672d9d48bc72db455}
kotlin/time: {kotlin/time, e5c0fe62ef8d496d232169d47be57ab4}
kotlin/properties: {kotlin/properties, 6cf0597105a3243296f2642d40748732}
androidx/viewpager2: {androidx/viewpager2, df57d617c13fc20141608bf6e4528434}
androidx/legacy/content: {androidx/legacy/content, 6f17542208ee49d01c4f55a89a691e19}
androidx/savedstate: {androidx/savedstate, bbfada5c309eff177eef2306bbb78dd1}
androidx/documentfile: {androidx/documentfile, 40d9ee9b6be100fdd435620e6bd88193}
androidx/print: {androidx/print, 60bf5c11bd96ef5e4ddd65374fd1cb0c}
com/bumptech/glide: {com/bumptech/glide, e7cb16e4fdd00d277662faf43dda75fb}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, ed32d2822794f742aceb1ca05106b168}
com/rascarlo/aurdroid: {com/rascarlo/aurdroid, 7a3373b1c53e8db27cba9917ed8b6684}
androidx/constraintlayout/solver: {androidx/constraintlayout/solver, 5817feef792360d5df780053de9187fb}
androidx/legacy/app: {androidx/legacy/app, 062cdfa6acbd2876b4c02bb6b6404f04}
kotlin/ranges: {kotlin/ranges, 88b29bea8ccab2d9668de736e9f5288b}
okhttp3/internal/ws: {[okhttp3/internal/concurrent, okhttp3/internal/ws, ], 020eb29b524d7ba672d9d48bc72db455}
org/intellij/lang: {org/intellij/lang, 72031a0fa55a4d161f71e493a97c6296}
androidx/recyclerview: {androidx/recyclerview, c98d48ef80855f4d8e408f357f136b9b}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, be7b95b5e936d11ecd049cd3794356cb}
kotlin/jvm: {kotlin/jvm, 50c0d507af7df7ec7b0f2d822ce68966}
androidx/customview: {androidx/customview, 7d9913df13294a4bba97af3f27ef9dd3}
okio: {okio, f8f53eeda5c903b8824fc5a262bf4019}
androidx/annotation: {androidx/annotation, 177ada72ad798c39b1ada4b8e26d71b3}
kotlin/comparisons: {kotlin/comparisons, 8948db891972d3c404a8c8d9b528ef21}
androidx/databinding: {androidx/databinding, f2005918e4c39bf39077eb36113eec22}
retrofit2: {retrofit2, 5dc329280a774be5d343a609e99d95a4}
