android/support/v7: {android/support/v7, bbb34eb1bbcaf8affa3b03867348d4ca}
org/bouncycastle/util: {org/bouncycastle/util, ce5c60f178cdfe42765baf1f7995b6d5}
org/junit/runners: {org/junit/runners, fb8bc893f5269f715d3bb26fa5d65adf}
a/a/a: {a/a/a, 2c8c0897326b3a27d8bc637b5ad50e5e}
cat/ereza/customactivityoncrash: {cat/ereza/customactivityoncrash, edc7b6aa72430361fd1e904b6d965705}
org/bouncycastle/crypto: {org/bouncycastle/crypto, b63f742117a714401fb7d3453a98120f}
com/makeramen/roundedimageview: {com/makeramen/roundedimageview, 39ac90cc5232c7dc3ef40329fd327507}
com/a/a: {com/a/a, 17a0f132d7f76d3c98af35dd44a966c1}
com/github/a: {com/github/a, 51117c51f0fbe737d298bb3ec4a7c8f4}
org/a: {org/a, 7223a286b73bd39af9df09b4c81ab7bc}
com/vanniktech/emoji: {com/vanniktech/emoji, 4cb6f0055baf782d2cf75fec4526fe96}
com/squareup/picasso: {[com/squareup/picasso, com/squareup/a, ], 948aca7af42c25f57ff93ae74925042a}
com/google/common: {com/google/common, 26ac693fde528181f485279595d61c55}
io/ghyeok/stickyswitch: {io/ghyeok/stickyswitch, d665f052f4533a6fa4b3f99618d71130}
org/bouncycastle/x509: {org/bouncycastle/x509, d5558efa18aef8bdeabd262e3ee59f6b}
org/junit/runner: {org/junit/runner, 0db390eeeb150a4b7e83ec8056f6ee13}
retrofit2/converter/gson: {retrofit2/converter/gson, 8e4a8103d3b9f988d7fba78c302c89cf}
android/support/c: {android/support/c, abcb9e2dd227f2b39fe58fcff8d16633}
org/apache/commons: {org/apache/commons, 92499377ebbcb4cf2d716b63f03ab51a}
android/support/design: {android/support/design, 833f5eda1dd79d7e96a57f9566112356}
io/github/yavski: {io/github/yavski, 4382565dae1f7727dd54f1b3d46d0a03}
io/reactivex: {io/reactivex, 1f26d040d7152bfb40d7f3fbbc81da0f}
com/pedrogomez/renderers: {com/pedrogomez/renderers, 81e1eaa109e1d5c984abdc7c201bb890}
okhttp3/a: {okhttp3/a, d6bd4511d9edc8c4996819d25f81ae17}
okhttp3/internal: {okhttp3/internal, 384ebd02fb7ee6e3bdcac16d4f211936}
com/b/a: {com/b/a, 08d944a92de8d5dc52fc8f0c56458e6d}
com/crashlytics/android: {com/crashlytics/android, ddcbbe7b9c454df8392e61221b1870b1}
com/github/chrisbanes: {com/github/chrisbanes, f01a6adcc04697d929628fea2c651752}
com/google/gson: {com/google/gson, 7936eac6fda0d70d5ff418b40af0de1d}
android/arch/lifecycle: {android/arch/lifecycle, e43d435de9eedfc11f609a6868d4b6ed}
org/bouncycastle/ocsp: {org/bouncycastle/ocsp, d5558efa18aef8bdeabd262e3ee59f6b}
android/support/e: {android/support/e, 11bb5daba272a977150c112ba72e7110}
org/bouncycastle/asn1: {org/bouncycastle/asn1, 481728470a89e8ca1e6315f0a43fc98f}
retrofit2: {retrofit2, 44ba71a306d51fb280984e5361d6836e}
top/oply/opuslib: {top/oply/opuslib, e6ce3269961eb7a88950873aacbdc28c}
com/google/firebase: {[com/google/firebase, com/google/android, com/google/maps, ], 054e2dbfade2070c3f37feb811756ea6}
com/raddarapp: {com/raddarapp, 7b3c8628495108ae89b6de0c0a3ded4b}
