androidx/appcompat: {androidx/appcompat, 068e07674872b11eab01a81091d9ad68}
com/squareup/okhttp: {com/squareup/okhttp, d20c99fecea8bdb4404f8b0077d06033}
androidx/cardview: {androidx/cardview, 700b350d2d5e5633e66441fbe93b601c}
androidx/drawerlayout: {androidx/drawerlayout, 3c2f2d0cc745ebc71252399e956784bf}
org/bouncycastle/openssl: {[org/bouncycastle/asn1, org/bouncycastle/jcajce, org/bouncycastle/openssl, org/bouncycastle/math, ], 92c48d5aeb3792cf04a9ea36e4c3d3be}
android/database/sqlite: {android/database/sqlite, 5054a6829bdd26c41f4018e511aee422}
androidx/media: {androidx/media, 51b7512cd17154b7ab90f12a1b06563f}
androidx/customview/view: {androidx/customview/view, c3b3beb9393315adfa34bad026d4a89d}
androidx/compose/material: {androidx/compose/material, 73d52b20a9d01af1edf2afd35b6ab598}
androidx/compose/ui: {androidx/compose/ui, 61edc82d028226f7327bad1d68ac1036}
com/google/android: {com/google/android, e9fedf836367dd1823c90878499f0409}
androidx/emoji2/viewsintegration: {androidx/emoji2/viewsintegration, 4cf089de8b03f12cb9168ee563181073}
kotlin/sequences: {kotlin/sequences, fce02924937bca7ae1ec389c6ab53225}
androidx/customview/poolingcontainer: {androidx/customview/poolingcontainer, 16fc7f1667dfbfc582711d5a31829363}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 149750d9d8d9998cdfeb455df7a44a78}
androidx/arch/core: {androidx/arch/core, 68dcf51e871c09f1169203cde7e3f24b}
kotlin/time: {kotlin/time, bfd43f7d4310ae75c20909ee8c5484df}
_COROUTINE: {_COROUTINE, 15f74a532dd698f4205bbc712e428a0e}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, e2827a7e4da21e9e79b934c0323b11a9}
androidx/viewpager2: {androidx/viewpager2, 1cf7ad034830da61a729741c38e83260}
androidx/savedstate: {androidx/savedstate, 4a6191b29c08e7a3341d3981f1ab7ab6}
kotlinx/coroutines: {kotlinx/coroutines, 3fd873c2e94f8d292fc1c6596f9a5c2e}
org/apache/commons: {org/apache/commons, 6a0204bdba5e3161b82e15cbf1c6a1d6}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 4c2392267cea4025b6a14120c3c52fac}
io/reactivex: {io/reactivex, b46b5764169c43156e8f93d8d942f99c}
androidx/constraintlayout/solver: {androidx/constraintlayout/solver, b6ef666a9619ada5eaa1c29d93223540}
kotlin/ranges: {kotlin/ranges, 52eceb0bd582aa84e998f07ca0c01762}
androidx/tracing: {androidx/tracing, acff8b6406b400d7d9dd134708d5ae37}
androidx/documentfile/provider: {androidx/documentfile/provider, 451d5edb69592693e3b89932512d9e98}
androidx/startup: {androidx/startup, 45e16f8e2bbd8b4b308a07227dbc588f}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, 87a5475eda4fe24cc4c65e2293fe8d78}
androidx/concurrent/futures: {androidx/concurrent/futures, 1c767e0c0fc0ea5461587892e7b91172}
androidx/gridlayout: {androidx/gridlayout, dd0000e55c7d99dcf7b16c38937d3d4e}
okio: {okio, 35d08e38ac5fd191bb98fc6801043c06}
org/bouncycastle/cert: {[org/bouncycastle/asn1, org/bouncycastle/cert, org/bouncycastle/operator, org/bouncycastle/jcajce, org/bouncycastle/math, ], 6569818c5215a53cd22640411ede9d4c}
androidx/recyclerview: {androidx/recyclerview, 769c1ff92f486ac74b841bfe02f2f272}
kotlin/comparisons: {kotlin/comparisons, 1b56803fb705db02974dd23c4d8d6362}
kotlin/jvm: {kotlin/jvm, 09470455ee9831db1efee9f291578468}
org/kde/kdeconnect: {org/kde/kdeconnect, 1c4d3c2a25e7bd783451747145680f85}
