androidx/appcompat: {androidx/appcompat, c4ba349af496dea7a8ad7a11a2d09a0e}
androidx/versionedparcelable: {androidx/versionedparcelable, d7eaf16e90ce43d20661c628df1d73f0}
org/intellij/lang: {org/intellij/lang, 72031a0fa55a4d161f71e493a97c6296}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 2251b547a376504adbf43fe57d3315d4}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 70a91297b482a5fd4b8c87c45d991c88}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 64ea679c94605e95cd7630095c5d766b}
androidx/collection: {androidx/collection, 4356a2125b31b4f394a793e59643687e}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, a7fd8575741cee52e78697e7ec64736a}
androidx/sqlite/util: {androidx/sqlite/util, 3e6119397cc758ad6a0cf1a3077e021d}
androidx/transition: {androidx/transition, 5ad94356f37b37efbc281d095086f88b}
app/crossword/yourealwaysbe: {app/crossword/yourealwaysbe, 262d98dad62de997436bec712fe0aee9}
androidx/cursoradapter: {androidx/cursoradapter, e4b6904182097e12ad2b34a05994d750}
javax/annotation: {javax/annotation, 1980de4060fac00cb413ef2f0b6db7df}
androidx/slidingpanelayout: {androidx/slidingpanelayout, 923d610ea4920f9827c2a447737b0dd5}
androidx/multidex: {androidx/multidex, 4f3506aa777bdcc3b4558c4facb4b13f}
dagger: {dagger, affdd4630dc5dd202a3c86fbbfaab2c3}
androidx/drawerlayout: {androidx/drawerlayout, 2ef9ae3b829f28b2c85f268daa45b12a}
androidx/legacy/coreutils: {androidx/legacy/coreutils, 73459e05781063da65dda8c716b44d0f}
androidx/viewpager: {androidx/viewpager, 83c320dbd124d3b74079f1e004f7b41f}
javax/inject: {javax/inject, acf7ef943fdeb3cbfed8dd0d8f584731}
org/jetbrains/annotations: {org/jetbrains/annotations, b7296e3ac2cd29aea17c5745fa1b4187}
androidx/emoji2: {androidx/emoji2, 6eafad2b694f4e8f808a67779212ff00}
androidx/work: {androidx/work, a376b44edfa587be7f8ab6c27c8394f3}
dagger/internal: {dagger/internal, 99bc1326bc2722e74f394811d7d87c3e}
android/system: {android/system, c4e9eeb25e17c46354752ac4239a9772}
kotlin/text: {kotlin/text, 7874c4562232ce66a394223ab734c4ab}
android/app: {android/app, e079f4fb8febf5b63effbb6583d13a90}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 8d6348cc3a2f32ab6656d2ce5052cdb3}
kotlin/coroutines/jvm: {kotlin/coroutines/jvm, 8f460011ea59255f7b61d71fd382efdb}
androidx/hilt/work: {androidx/hilt/work, 979e25e22db9f8402b18783ce3d3687e}
kotlin/time: {kotlin/time, d978c38f22a59fe7e8a0ef273202799b}
_COROUTINE: {_COROUTINE, 969e426354e9bf7a21a6f4cc2ba3b6be}
androidx/resourceinspection/annotation: {androidx/resourceinspection/annotation, a4bd91c515d62e517c2896e81b40cc24}
kotlin/ranges: {kotlin/ranges, 92fafb8948f2af96b5202a850d22e244}
androidx/viewpager2: {androidx/viewpager2, a0df9d7f5c42ccd682dc20700df88ea8}
androidx/legacy/content: {androidx/legacy/content, 07faabcafda309b615198d4b582b9cb3}
androidx/savedstate: {androidx/savedstate, 1600335fabd41c70805ec0962a283164}
androidx/documentfile: {androidx/documentfile, 8fd4c43e381f36b515f7735fd4d2735d}
androidx/print: {androidx/print, 2a1b0a4c79b258cbc3c2ef2dd35f700b}
j$/time/format: {[j$/time/format, j$/time/temporal, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, d228a29d495e37b33220425d72305333}
kotlin/sequences: {kotlin/sequences, f26446161059cf0cc09fba826f6b208c}
dagger/multibindings: {dagger/multibindings, 3c12fc6b8f55fab0318e6b22ba73f244}
kotlinx/coroutines: {kotlinx/coroutines, 82537e293f63a0e1765f4239acde2c36}
androidx/core: {androidx/core, 625ebdc28b0e4fcbda10f6eb26138e58}
androidx/cardview: {androidx/cardview, b292a17e37cfcd3237469e93cd508b25}
androidx/startup: {androidx/startup, 53d0e3d6f93384a3e10a3ad1f634fc94}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, 157c2d308105be18034d89cc38628491}
kotlin/jvm: {kotlin/jvm, 87963a58fa8f8d939782ec761c9debd0}
androidx/customview: {androidx/customview, 03e39375a9b3cea7fbee8294dca12f59}
androidx/window: {androidx/window, 45ad3a775fb4a990f57bd7e74f490232}
androidx/annotation: {androidx/annotation, 89bbdc285a7755ef31c2bd010e40f482}
androidx/dynamicanimation: {androidx/dynamicanimation, 0557d226e6e3fa994221987cf9b5fbbc}
androidx/databinding: {androidx/databinding, 228ea254f634c8f131cc5399bf55179d}
