a6: {a6, 17e547728c4592146eb44a9eab2aad49}
u6: {u6, 5a1673bd74f8b9709324e323de9ff858}
m0: {m0, 537bbe1bb6e70ba1937f83853c34c299}
v4: {v4, a8daf9418ba59981f47a635778a06035}
t8: {t8, acf7ef943fdeb3cbfed8dd0d8f584731}
c6: {c6, a15bdfd6e2fcd4262614ade29155cd5c}
kb: {kb, bca448de27cd720ded1c011e029403de}
l8: {l8, 0750deb4764f34ed93e91e08ed878d88}
q: {q, 509c9753575842a2ecc3a5256ffdd742}
b4: {b4, 56b5de99b24ea8a2d20fb5b3a695b01e}
o1: {o1, 5aad3d966e6b46e7921d11f9fb29cf83}
fa: {fa, 105125afa3f6bb74c2107bf7766833b2}
t1: {t1, 4aa3f3eca9ef4518e159c2b1d8fe2356}
o6: {o6, 2aa1f4ecad891ef5167bec7c6403763d}
x: {x, 3ff35c79367e6dbbce8a276c4de6d937}
r0: {r0, 31ca6dd3059fa21d4cfac323d1549db5}
p2: {p2, f2b8ae0994becad2980ca8bc60c4013e}
d8: {d8, cc762d618aa3e99dd1afad7cbc1c971b}
j: {j, 08c9dd6a1e39bfd523a294b41ee6c6a1}
q4: {q4, 93eff9e13cff301c05c791ff95a0826d}
kotlin/jvm/internal: {kotlin/jvm/internal, 542dd9699021b2a489ba6c7d8f6e4a23}
e6: {e6, 8eb4f5e530c31a77c1b055192bc81d80}
qb: {qb, a27a1c78639056eef6ac795b8398b690}
f4: {f4, 725f7abb7b85064c3caa507014cb8e4d}
y8: {y8, 8bd2209b1d73059181f4a8beed982d36}
ab: {ab, 45d316274bb4d768be86f1f4314288e2}
z6: {z6, abde091e95588ddd186a90fe45e71a45}
androidx/startup: {androidx/startup, ab7b5895b63662620d00320e4ad49ed8}
w3: {w3, 4a9941ee3d18bf48e19ab7bfc7a279bf}
androidx/compose/ui: {androidx/compose/ui, 5360755f3b0666eaa4e0298e1a874b03}
d1: {d1, 0a356a3a282ac3c96b4b514ee015fc67}
c: {c, ce54d0063b685406ed9d5346573e1843}
k0: {k0, 90473e5974d9ecfa1f1c629a8cf8ec7e}
ma: {ma, 30fca3c14c02be01bee2c6c9c0108bda}
x0: {x0, 03c040b2fde844ccd60a52107365b2c1}
y6: {y6, 35c11e162cd0b24dfa814b9836d4b3fa}
m3: {m3, 3071f1151afe735055f96ee810ff588e}
i2: {i2, bfef0fcb6784ceaf1a445283510bc439}
a4: {a4, 84726dc26c423030153d9228d48782d8}
j8: {j8, 7efb5a50c5a40b9e150687604fe83466}
j3: {j3, 049ed6b40b8d38e8e0dc09006b3110ed}
m4: {m4, c4126f3c9f2a73ba60a68c89c9e362d5}
d: {d, 6370120c19d907d4d76fd9365d696433}
n2: {n2, 34ff1839a2362051bc9a8e684955d509}
ya: {ya, a0fd1ba9b5b1e9a9c3e3205ddc35c7da}
v0: {v0, f3447b881beb900bca6ff4d1a568bd7f}
g3: {g3, 67884ba496a3111523e706f902eada11}
r4: {r4, ba46d249b05c114cf4bfefb090afed19}
b8: {b8, be2514183509d64da8ca4b5c8eb462e0}
o5: {o5, 4e2c6ca91e3a193b375b3a5debe19e09}
h5: {h5, 628591ebc5b2b33bd7f21170f4fbb688}
c2: {c2, 48e6e8380422d12fd9e2d860aa9a302a}
androidx/core/app: {androidx/core/app, 991e6eac40c253af285ea5234cb1ef62}
t5: {t5, cde204a9416596df6b0bda0f987393b9}
l3: {l3, 54dc1bf6f8359878a73caffdc2405696}
u1: {u1, ad008dbf1dc04194b276f97f7da835a9}
s6: {s6, 4971f375e6cd25b4d04d467d55a2a2fa}
hb: {hb, 32304f23406a152bac6d7d6be0112058}
la: {la, 7874fd0082ec0056c7ce0ba2f68905f3}
b1: {b1, 8a28fb7a34b8095bd48d15c3d4d34290}
q0: {q0, 0917d4a4e1903d7397e1d4624461da74}
fb: {fb, 325136428f02abd3e8162f575118bf9a}
f0: {f0, ef220589bf2853ecb6f04088ae6b7e34}
c5: {c5, 32aae38d421dc84984619722037eedc8}
androidx/profileinstaller: {androidx/profileinstaller, a52babd56306dac70d21cd1c96047bd6}
ka: {ka, d52206726ec63ebc292d6eaf2d490911}
v: {v, b422c7ee3a65d025fd60b22f364a3bab}
androidx/appcompat/app: {androidx/appcompat/app, 73615e9279a279b96102febd14f0e464}
w7: {w7, 9ae1cefea17f84e50d8779327d23cedc}
va: {va, 8a6d8079e7c3ad1b6ce6365f6f80a8ed}
p7: {p7, 0066a37cf97e0217dd1211b00aad24fa}
o: {o, 47f10f357f902c40d0fcbc05341a83a9}
z3: {z3, 4675be13a1bd34791de07a98460a331b}
za: {za, c41d14c3177155d36d554a0fd2bdd3bf}
s5: {s5, ac67bfd0b32817f5857b7501fda05641}
q7: {q7, b3dd4f74546bf56c52ab9a4193b623f1}
d5: {d5, f4bbf0ae582140919b12459d749e8110}
e1: {e1, 225fabb5b4924537b14ae3a5c126ff17}
y2: {y2, 148fa26aaec355434c6152cb7f9ec4eb}
ja: {ja, cf49f8304ee81460e37b2c93631531b0}
z8: {z8, 606eb9fae4f453eb0621689eb4bf36c9}
n7: {n7, 7c905284164cf3378a314c988baa1020}
a0: {a0, ef750a905b0823b2f3ff22da1c3b747b}
k7: {k7, c7779c1228f992327bc9833c38439d26}
p8: {p8, 933fc3478f2b73524682b14816a99ba4}
j7: {j7, c447131b0f436b4b0add70ccb55b5916}
com/funkymuse/aurora: {com/funkymuse/aurora, 8240f914a9ad2d83cf01a62472caa3c7}
a7: {a7, 8b793faaf37eb15d58944a93e73f4db0}
r8: {r8, 7749bb7bcec62435dbf173c790f63f0f}
x5: {x5, 282c0449ee24703df7764a3649ffd55f}
s2: {s2, 8d1834f89e649a83d24b36c0c253ac9b}
androidx/work: {androidx/work, 964e79ed5fcfccd1aef6883629c447f9}
g7: {g7, 7cd78876508d55bc86dda9f5ab49fc8b}
l0: {l0, 6710037c518cc7c27f10043e26cea442}
h1: {h1, 3d31e3e52f421bb8175d01b41cf0e709}
ub: {ub, cf5c03d09260063ef49c0fbdc2c0f03d}
i5: {i5, d8a1e9b3a56adb27c2b5e4748cd051f4}
ob: {ob, 11707961af6291fd2c2ae526bbfe5355}
l7: {l7, 38fb7495c0ebc9e7244de4b487e3bc4e}
w9: {w9, 925feb104ceb0e1c67c7a910bae06b45}
m7: {m7, a0609bf1a6a743ebf34e9e7936be3dac}
t9: {t9, dccfc630a787ebc4cfc15332b6b88842}
androidx/recyclerview/widget: {androidx/recyclerview/widget, 0858b464dff4fb791d894b6f23342451}
u5: {u5, f30440e30949301ca3e880611a99f3bc}
h8: {h8, e4d95e6861affe70be76fd78168c8417}
androidx/core/widget: {androidx/core/widget, 3176c89d2fcbe826fec5074f9b316854}
c1: {c1, 0a117eff04233879c5455857aeeef97a}
eb: {eb, e70eaa321a5ee0654017b08cefcd39eb}
ra: {ra, ce67f7d0f2e832633abbba5be3c6f22b}
androidx/preference: {androidx/preference, 1d3dce2bde29efe1edd5dabc784df066}
o0: {o0, bde4aa561cb161b70b2eb335e14ef014}
b5: {b5, 0b78d1b08c618e6058c4cde621e6321b}
o9: {o9, 7322f1161539b0feac78cffec3cc561d}
t2: {t2, 1bb3bb3b6ebaf81896936c4bf387fd71}
r1: {r1, 238d773fabc8c6b1c237c52a6c22ee65}
y: {y, 744b80f808782eb8e4375c46d2fd2d86}
d9: {d9, 5133468d13da857cba3f859e6cf8fbb6}
k: {k, ee14f12e95b2ad1c48fef9c2a1f136fc}
p3: {p3, 9c9baedfd1e8b1036bbf0981a33a1cce}
e5: {e5, d9c58191dcddf3586e292c8d653ccb56}
b2: {b2, 916de5aac4c638db39ed737abffb500a}
q3: {q3, 58014ce101d6ec7e06ee95e8ef9c31ab}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 2f0a5f25d94d4b4cf66cc835c57684bd}
kotlinx/coroutines: {kotlinx/coroutines, 921850b042ac69e2becce7ed1c49d796}
r: {r, 16747db4b025dee3612f92da562671d2}
qa: {qa, 57243ece3897a7ef0a55d2b921b676be}
f5: {f5, 52a1d0bda5f523ca44d1beacac1eca71}
g9: {g9, acf7ef943fdeb3cbfed8dd0d8f584731}
n5: {n5, e3c0a425ec2c47b67599a8ff5554c565}
v8: {v8, 8e89d6cf80515c35d2fe8055d57737aa}
androidx/room: {androidx/room, 81dbd50610ad5a3d8b670745ffdea09b}
w2: {w2, f6a7e5f1459b7156f878e77926652136}
aa: {aa, 2178ec163e30aaf5259d75c1b23ca199}
z7: {z7, da2baf77e06dcafe19084dae9d2febeb}
k3: {k3, 6b91784017cd1a9f06e4a40b4ad23d15}
p4: {p4, c61a36d7d8a2f549521b483c65c66811}
l: {l, b4ed5b3a0e17833be7bd3b83ab5ebc1e}
d2: {d2, f5a1a6af7e6a6f7d60ef3ddd145e33df}
x1: {x1, a75f83f8cd2fd3e8c49b79dca22df406}
y5: {y5, 5ff0d0097cffcc0392b42385fef48a19}
m2: {m2, 98190371f60ef5f176ea614f7e2642b0}
j9: {j9, acf7ef943fdeb3cbfed8dd0d8f584731}
n8: {n8, 56dd0d41796b488c7bb6eed1626984fb}
a3: {a3, fd214f88ad629e33d5f81753396effae}
androidx/fragment/app: {androidx/fragment/app, 93caca34eed90f3d8b6693a0409ca43b}
j0: {j0, 9809221ccc319aaf3aa26ae435815a84}
n3: {n3, 7d1f6a07984405bbbc0e3cc8499f0433}
e: {e, 95b51d235cbc69ee9a8c59bdf4417221}
jb: {jb, 1019d2b5344ad26cc0447c40631e27e5}
u9: {u9, b994e1e9c6a4d1a09ec3816d333cfdd2}
pa: {pa, e47c0c72f555b087e9c3c95d77a58cf6}
v1: {v1, be1d9b1093566e9229cdab13510bca2b}
dagger/hilt/android: {dagger/hilt/android, caac567a1ff7949667ac7f11f01530a6}
m9: {m9, 0b77fb77be001ff4b4d8110f85665bd6}
r5: {r5, 07970037aac5bd8b8eea3cf6aa863a28}
f8: {f8, d4be8ab838ec47f64e3fa8f75166ab42}
o4: {o4, b96085de79e6c1f4914919c8fa110305}
g2: {g2, 60f5cc9923a5cf22b7b397ac285b0ed5}
h6: {h6, 60ff4072f5744e04a6d54bd44a6f7c5b}
u0: {u0, eb8bac198bf5d49ffdd5814a82b49745}
pb: {pb, f288e11a8f98fcbf984e95a600867673}
i1: {i1, 6a1ff05615943bd33f75f65b3d4311fd}
oa: {oa, ae6176530b7e8f52d4803c2eecd5d008}
l4: {l4, 17682d27c7124a5690451d8dbe95f6bc}
s1: {s1, 09ed37d223a66d3bec8a1703ed11f971}
t6: {t6, 6a67bd51cce58e4931e7c2b1f77505cc}
coil/memory: {coil/memory, d9b518d5ceb3f3014b54019485cbd9d5}
e9: {e9, 305cb793cc4be061db8729e99b54a290}
b6: {b6, b18695b520d778d884cf1ecc24ff5dc3}
c4: {c4, 2a700256721f5005d47ec4bd6ed9db3b}
f1: {f1, c127af8c97c520f2616c187e3c883182}
w: {w, 2ad0e752ea0bff15e55c4d6f7087fdf2}
p9: {p9, acf7ef943fdeb3cbfed8dd0d8f584731}
com/funkymuse/bookdetails: {com/funkymuse/bookdetails, 65810f8a4470c5d84b5358ea729ee122}
b9: {b9, c664143a1d8228284772d70fe8cd7967}
r2: {r2, 096e424efae898ce6dfc93f5aeaf35bf}
w6: {w6, 93ba64ec590a6750ee3397478eb9c353}
h: {h, 398b596f4cb1bd471db9a79c2e32c5dd}
d6: {d6, 313b8ecdbe076172dbb28009d3d38b5f}
p0: {p0, 1994834ecf9adbbb0463a6e6cd93a608}
z0: {z0, 7b7dabca79a2862ccd3f358f33d603a5}
androidx/coordinatorlayout/widget: {androidx/coordinatorlayout/widget, 5ac115e2e40ef1b04d30d221482fae63}
q6: {q6, 2036f9981e954ed2b12d17c6e0ac4c4f}
e0: {e0, 0fc32514143d85a4d30d44b36a246b78}
f6: {f6, c72367a076af1d3f81888409744ea679}
z9: {z9, ae54927bb6239c55335dd288456b631a}
com/crazylegend/sharedpreferences: {com/crazylegend/sharedpreferences, 4180f0173c70db0390e81c097e97606a}
n4: {n4, 058f671457468e7d789d8d00cbe733b3}
y1: {y1, e5e99d2dd6aa72dc0dd3d65a77ee179a}
a: {a, 010e4c4f5739c47e2b0ec0f9856605d1}
ib: {ib, 3247c7440eaf439a5acce0e169384f42}
j4: {j4, 075106d5b33dfb0dbfe64e9c402806ef}
w1: {w1, 83e52089b63c30791d12a2e209ce3c67}
coil/util: {coil/util, f3be7fd4f2e7a83cc37481317b0ee683}
k6: {k6, 205e1dde7eec8a05635ece16a0f6a285}
