androidx/appcompat: {androidx/appcompat, 0dc5a39ca7ac1f125cfb361fcfe8b043}
org/jf/util: {org/jf/util, a832f9ece2fd3382bc94e09cb6080076}
com/journeyapps/barcodescanner: {com/journeyapps/barcodescanner, 938f3b76ce07ba54fe015e04f468def6}
androidx/loader/app: {androidx/loader/app, a533eb33b3f3b6420cd6b39b3c7a30ab}
dev/matrix/roomigrant: {dev/matrix/roomigrant, ef3ac058fb7c0e33f29f99720a661c49}
androidx/room: {androidx/room, 5e904dddaa52561e7f1f690289b8f64c}
okhttp3/internal/http: {[okhttp3/internal/http, okhttp3/internal/connection, okhttp3/internal/concurrent, ], 6f8ffb84e4d27ee69ebbe1a51945e264}
androidx/sqlite/db: {androidx/sqlite/db, 04864b3e0bfaf7d79e69b7ccc9c6db42}
androidx/lifecycle: {androidx/lifecycle, 24653c20b6760c061c9d755dc257071a}
androidx/navigation: {androidx/navigation, 12bc7831126750b15561d374b8cfb848}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, ef778d292ce95a88e6e86a86b999b7fd}
com/takisoft/colorpicker: {com/takisoft/colorpicker, b4a3b5771966657a69854fdd92b31a81}
kotlin/reflect: {kotlin/reflect, af4b8935151b97722e4c9d7393c2ea11}
org/conscrypt: {org/conscrypt, 542111653c1edd487e2d57d289d1aad0}
kotlin/text: {kotlin/text, 2c911c51cbbb056ab8f9b7cf869036a8}
androidx/versionedparcelable: {androidx/versionedparcelable, 1273ffffaed752a7753b4e47d5ab1a72}
okhttp3: {okhttp3, 8c1027e28b7c94f86c7782c3cc5631c3}
net/yslibrary/android: {net/yslibrary/android, 20f4f0592c671c9b453ef46aaccb18fb}
com/mikepenz/fastadapter: {com/mikepenz/fastadapter, b6a2fb547efb1ac81efeb49edd5b08ff}
androidx/core: {androidx/core, 560f586c3f61bfb783a905aa3178ee82}
androidx/collection: {androidx/collection, f602777e85fbdbbd3e626a567afb56f9}
androidx/transition: {androidx/transition, 858a8a2c1c4625cb3b9c2e3869f0b894}
androidx/media: {androidx/media, 3c4041b7ab7bef6b99c899285c185787}
androidx/viewpager/widget: {androidx/viewpager/widget, a2b42d9147fd3de267a3bd0b985e1979}
go: {go, e221ca56f046f5a256ff254e476445b4}
androidx/viewpager2: {androidx/viewpager2, c2c5bb88121ce50d17a7b949c84915b7}
androidx/customview/view: {androidx/customview/view, 4854193c4495eb9785ef4129206c9a54}
androidx/recyclerview: {androidx/recyclerview, 6675db523a6bd6bd069bbe98de8eeb93}
kotlin/comparisons: {kotlin/comparisons, b1601f61de8a4e492d168691cb57a36a}
kotlin/jvm: {kotlin/jvm, 649c45b46ed9da33c0cc6e004646bf54}
org/yaml/snakeyaml: {org/yaml/snakeyaml, 70048eb22fc76fe8b9f94698178cb097}
kotlin/io: {kotlin/io, 3fcaa90203972f39aa993c248417e616}
com/termux/view: {[com/termux/view, com/termux/terminal, ], 0f13104f61964652bcc77311a57e7621}
com/github/shadowsocks: {com/github/shadowsocks, 6b44e5823857cc9e5d5bf8fcc62e95fa}
com/takisoft/preferencex: {com/takisoft/preferencex, 895a397a17f8d286ad92729a5dd4b2af}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 5362d44abda7df619317c9a760ea5a08}
com/google/zxing: {com/google/zxing, bb02969cdbdc46c70b45fde621b57052}
com/wireguard/crypto: {com/wireguard/crypto, f236b23ae11c8d8efe7daab63c3a3b7e}
androidx/drawerlayout: {androidx/drawerlayout, ff59e87f673ba6fc78e5c9f2e3b60b7f}
j$/util/stream: {[j$/util/function, j$/util/stream, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/arch/core: {androidx/arch/core, b0d154fcc5893b8aa3a3ec856661e074}
kotlin/properties: {kotlin/properties, 542dd9699021b2a489ba6c7d8f6e4a23}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, 7a3281b371572f1352819de9d3ee1ff9}
org/ini4j: {org/ini4j, 75b9212a5538a810cd839c965e74f770}
okio/internal: {okio/internal, e0f2149cf9e22047ea4b35e52c195c3d}
com/danielstone/materialaboutlibrary: {com/danielstone/materialaboutlibrary, ec60e494073e1a391d56ad7cfe271eef}
com/jakewharton/processphoenix: {com/jakewharton/processphoenix, 8e1587b46db6f2fc1aa18934b9ed3cfc}
okhttp3/dnsoverhttps: {okhttp3/dnsoverhttps, ce02d001f38db16fd166d292aeba7e46}
kotlin/collections: {kotlin/collections, eb9100857d9489ef48ae44ff62c9f4bf}
androidx/fragment: {androidx/fragment, da778f76b6f21e2d6faa165b35d56093}
androidx/customview/widget: {androidx/customview/widget, 48221359dac05c39ee998796a9bd6103}
kotlin: {kotlin, 4b5012fc9dbbf6acf3daac9737079bf3}
com/mikepenz/aboutlibraries: {com/mikepenz/aboutlibraries, bb724d91cb5eeca4deadbe3f5943de5f}
kotlin/coroutines: {kotlin/coroutines, 1303c14b1c7639e49d6f72b140348534}
cn/hutool/cache: {cn/hutool/cache, 2b1179c98769af45ed534b71d706a5f5}
com/afollestad/viewpagerdots: {com/afollestad/viewpagerdots, b243b7b269ed2c457692fb825433014d}
androidx/interpolator/view: {androidx/interpolator/view, 4243a4e08e7144b988fa3574abdaa7e8}
okhttp3/internal/http2: {[okhttp3/internal/concurrent, okhttp3/internal/http2, ], c7fa3871e7e296163c30303ca69aa98c}
cn/hutool/json: {[cn/hutool/json, cn/hutool/core, ], a7f7c30ab551e4dedf01c30994663e6a}
androidx/work: {androidx/work, 1ca01b057c20ca3b1df5dafd39aacdda}
go/libcore/gojni: {go/libcore/gojni, 542dd9699021b2a489ba6c7d8f6e4a23}
kotlin/ranges: {kotlin/ranges, b41666237e62d675359e4ffa9e29016e}
androidx/tracing: {androidx/tracing, 11829a49f8f3e9933340b88ae56b7946}
com/google/gson: {com/google/gson, 5d58cc1c348f13a41d6502ebcb065d2e}
okio: {okio, 3e3b52a497d2672a8747e2fa12f15de6}
