p2: {p2, 83ed8ad2285691517bf3b76321fc199a}
r: {r, 0ee830896c88e8fd83a8451cf41d95b1}
f5: {f5, b1c9ef4da540d796fb8688038071fb25}
androidx/appcompat/view: {androidx/appcompat/view, f3e3292c0463d0ab827c5fcd52abbdc5}
androidx/navigation/fragment: {androidx/navigation/fragment, fc26a6199ee087f51194681b3648db8b}
w3: {w3, acf7ef943fdeb3cbfed8dd0d8f584731}
z: {z, e5befa32fe696a8626704f73bc59557e}
s4: {s4, 8ceb000a0ee715a679e7cb63f9438b72}
c: {c, 0c7574bed0be849a4dde34c3c6377323}
k0: {k0, 532a1a09400ab6c0218c9841712caf42}
g0: {g0, 9f4ec3c0c11d343a68909c28caf710b0}
androidx/viewpager2/adapter: {androidx/viewpager2/adapter, 359d35646220e525dde5ce0f5407d17c}
x0: {x0, 6f9a0e01895b11919a7b3c7a8b659dce}
b3: {b3, eb4b8027ba645317fe63dba7d133c1c9}
androidx/room: {androidx/room, a24c4da1cab34ace727586b7634548a2}
w2: {w2, c8886587c7d9c6d0369fa862f74878fe}
q2: {q2, 1f232377a6fbe69f82d6bec817f9ff54}
e4: {e4, cb7977dfab71a3f52d04255bec7716cf}
o2: {o2, 1536e32ccaf575ac608d1f69b27742ee}
m3: {m3, 90cfb3359edc4ed226794413d893fff2}
i2: {i2, 517695fba4b40e2ef3db126f743c2e64}
androidx/lifecycle: {androidx/lifecycle, 0db09d7b3beee27503b0e48a4700175b}
c3: {c3, 81e45da5ab85025569f4110b092e3ab5}
a4: {a4, ab866bd87db22fc071a28752f1ab690a}
h4: {h4, 44ba60996bf0fc639dcba65fa5d71868}
t: {t, aa3aed32d9b4398ab01cf9cb833788c6}
g2: {g2, f9a96ceb5dcffbe29f8c0f3e64034696}
androidx/media: {androidx/media, c59ce7021151e33a1b7bb2eba04a6ea4}
j3: {j3, 9c5c40f7d0faa2357d90e33bfc13db4e}
m4: {m4, c883a5458cc50d347e6dab66e4d9a8ad}
t4: {t4, 1294e6f5b612a85f2507ee142f1a61e7}
u2: {u2, 21db06f3bb83f224597bd9ed64f0404e}
s: {s, a8f878a23509ac46e15f80a95ad0e0a2}
d: {d, eb248deb827b8b9a09c242484d6ddb6b}
androidx/startup: {androidx/startup, 47cd419821c46faf19760057a391cc0e}
h3: {h3, 446d7bb2b41f1aa5ea9b05ac4acafb94}
n2: {n2, 09f0d5f67eba23bbd73f5410d73f5761}
k3: {k3, f3d610efd90d18e24197cfdb7a8823f6}
p4: {p4, 2b48b8fb42d4abd9daaf3a943d7c1006}
l: {l, 1486ef37a9f70fabf1a75bfe3eaf69bb}
f2: {f2, 470662655aff5cd3528c02d32f9ef189}
v0: {v0, fd35356e7d20e5c8a46f222232ac4591}
d2: {d2, abddf522f22563624955c984ffdfde0e}
q1: {q1, 6f127c1c7699e703d3e4a16968e36381}
x1: {x1, 270c0fa641a6bc4447454c18f5f2ad7b}
g3: {g3, 81f3659850cffe396c84f289614e3936}
androidx/viewpager/widget: {androidx/viewpager/widget, e9a0b0125f7ecf4e48d42d9f650b9cae}
b0: {b0, 837f578e7e4743dddcfcebc06660772b}
y5: {y5, c3597ef84961d5d0521aa3b0c17c954f}
m2: {m2, 83600f169a6033b019f6958234ebbfa8}
d1: {d1, 220511b6db0f2541c39236899d439b55}
android/app: {android/app, e079f4fb8febf5b63effbb6583d13a90}
o5: {o5, e36fe7455281fc025fe0321d8c0856e5}
h5: {h5, 99bc1326bc2722e74f394811d7d87c3e}
c2: {c2, 85beb178313b5f7fec780f2c81af288a}
a3: {a3, 977475b36e49329dad7fe2a1f58417e4}
z4: {z4, 0a0f0d55c14d295c5f8d044eef6d675b}
androidx/fragment/app: {androidx/fragment/app, 50e51ef1c35619e966cfa80a57e80980}
j0: {j0, 03bc4ba110b6d0bbd1d65160c9edf4cf}
l3: {l3, f2c609d1f924a20dd21a9f882e2470a3}
n3: {n3, bfdbe5f2021576848de3580bef13d6be}
u1: {u1, 06b998687712f1b7e9dbfe80bd30bd97}
p5: {p5, 8b41be03cd054a69dfef01ae7a244472}
d3: {d3, d70784d49658d35ed29a712f0eeecf59}
l0: {l0, bdb7ae360d0ed88665aa1fd97f9b35f5}
f3: {f3, 4b97e4dac01793c0b1c6b8caa456b722}
k2: {k2, cd2804326fe9cf4483facc8075ffca64}
m: {m, aa19b05603623e0fe2ebdc6b6fe20d68}
e3: {e3, 9bd7a5a4437885cfe0a58b988cf66dd5}
com/minar/tasticalendar: {com/minar/tasticalendar, 0a0f4b8ebcdd315432f39f44c5bfa127}
y4: {y4, 34707d1123920a04293bc07cbad13a53}
q0: {q0, 962507d8fa6c1ea091222bfc4e6111c9}
com/github/appintro: {com/github/appintro, 0760b083c80d1b6939845b7e76850c40}
f0: {f0, b213d0dfd3dfbf295f0a05d3c532fd50}
c5: {c5, b7ad05d8b4d77c3640cde7fe21204b12}
w4: {w4, 474f782f8cab1ab4d253c77ada1dfb23}
androidx/profileinstaller: {androidx/profileinstaller, 226ccb38ab9ed25fd631bb51f92cb869}
r5: {r5, fb737554f4e617066200eabcceedeb43}
z2: {z2, 2ac5ea1bfaa7922ba1a51a44e8794eae}
o4: {o4, 9f8ace0e23bcfe7fea166f00bea062b3}
m1: {m1, 6ff569780908932fcb6e026b0516a044}
b4: {b4, 7b183196dff17d0f6ffe0f9046279fdf}
x2: {x2, 310e7284b5cfebf513915601717e3a1d}
v: {v, ec1ef2542325fd874f689d69dcd8f573}
a2: {a2, bc61f93f0729ab8e39a4079406e1afa2}
n0: {n0, eeb6c4fe19aff57944eb60027d1addc6}
u0: {u0, 272215fcefd147c237dcc9dbe9adf681}
k5: {k5, e22ca37763cd61766c8cf13228504719}
f: {f, efca39c2c6545ab5a5ee934b92a17cf0}
l4: {l4, b8fa726d649342c2ff0b798da2d87948}
n: {n, 1e53894b9610ade35505338439a5e3e5}
d4: {d4, 65829eebadfd65e2996aa30e6e9c71d2}
e2: {e2, 548755105f058bafe4df84d4b568ff1f}
j1: {j1, d310a602a9908131d1da266182d4e2f4}
u: {u, d3c1e2280aa6022654316e6c8171107a}
y3: {y3, 8dd175675a23269098907311815de3a2}
c4: {c4, 046c84b9baffdc8814fcfc3e18c56408}
s1: {s1, 7c13855e761928f38c91faf923e0511f}
androidx/core/app: {androidx/core/app, 42afaf6c8115ae078d1f7ceb290514be}
f1: {f1, 1874acc7589d7d99af25e167065d1de9}
z3: {z3, 16513bda31b2c112e9aec498db84529e}
a1: {a1, e023329356fe95f625057154feb9b644}
w: {w, 1b37c52d7a25f62f99e165da7b203adf}
x3: {x3, 30226a6a775272cdf1feb9a226daba0e}
g5: {g5, b33292324d46508090702bcc8afba4cf}
k4: {k4, 97bf4f2229dd0f2033d5f52d0c43b4da}
s5: {s5, e7fac0efd6eb5db51e038f8d7c2830c0}
g: {g, 6162d25e98238694b36c1393beba9bd3}
n1: {n1, b1b43deb37673df7e679b6925015844b}
androidx/appcompat/widget: {androidx/appcompat/widget, faa98f40fb59670ff2299854f7e88f90}
l5: {l5, e6bacef91d54071639e997f2e6e1ae7c}
i0: {i0, 825144a671168ebb6421d729933f8614}
s0: {s0, 6ce32bea9163a4c92b95ef6454b535de}
u4: {u4, d41b8b0a6e5595147342e764a5dca69a}
r2: {r2, 2d05eb0875da46dd108e2111e954d16b}
androidx/appcompat/app: {androidx/appcompat/app, bad7841e1310969857f6e4287acf6a1d}
y2: {y2, db9bac77242c5093af0d3071ae785b22}
h: {h, 8ea0be813cf864ac4f5f0b5c3a11b484}
s3: {s3, adde16b45e9eee3685d7075bf8b428cf}
x4: {x4, f91eb9696f65bcb28783c1494448d0a9}
p0: {p0, e70d7066af39cb0cca7ec93a4ed2144c}
p: {p, fb9fdd58fb89322ba230d60585fe8e04}
androidx/emoji2/text: {androidx/emoji2/text, e5a188d8786bf13b652f4a87d4d93f6f}
z0: {z0, a1d670220315e3eb4ad94febf9401599}
a0: {a0, 21fa00dd2c431ec6bf79577234540f09}
h0: {h0, 2d9a2c2c30004f3c90ecb838ebcf9a61}
g4: {g4, d30845222ac4a624d67e81a9131f082a}
androidx/coordinatorlayout/widget: {androidx/coordinatorlayout/widget, 603a76945f3de96eb2470ce243c993f4}
m0: {m0, dbd52608ea9b26b08828480c9ed9f359}
t0: {t0, 5ff62cf777028cdafa769cadbbee0236}
v4: {v4, e96b56ad40d2a21f422ebc41a5e807c5}
e0: {e0, 168c5d7240e8af8dd852467c5829f5aa}
r3: {r3, d4a915df8785a064067c9a2b75b59ca4}
androidx/core/content: {androidx/core/content, 7eda1a1781d89effaca9338eeb17c838}
com/minar/birday: {com/minar/birday, fae99ed56560d1c609da8e7875623ad2}
x5: {x5, b9ddc4e51208b9ff7d41c033b8386a9a}
d5: {d5, cc57a2706afb40e05afc3807c3e80884}
i: {i, 45ee6d0039c6562a526304eb8349ceea}
p1: {p1, ae36d459df95c9763d65f45fe1a5f732}
nl/dionsegijn/konfetti: {nl/dionsegijn/konfetti, 11e7e5a6db01974009de20c45e29131e}
s2: {s2, b987059b82fb411d7ea468fdc676c4d4}
androidx/work: {androidx/work, 0239fd9cfdcdcd029cfa1a3e0b94e9ce}
q: {q, a448ca3b840559ac48074a3f6ccda6f2}
h1: {h1, 93afc1f680e4f01a0500ea4d8cd56c50}
n4: {n4, 02515e9cd77a5c177f8fa7eac260576a}
y1: {y1, b202bc92ca92073915c77047ba494fda}
o1: {o1, 02deaed87d1d9664865e6f650e158eed}
i5: {i5, 64a62c0bf91053d4471308f413ce8613}
kotlinx/coroutines/internal: {[kotlinx/coroutines/internal, kotlinx/coroutines/scheduling, ], c558a8265a955883ef1ab9a026972729}
v5: {v5, d08fe592d4c750fc9d551b83de7be794}
a: {a, 52c0f461fd08ec6bbd4aed5bb1d99df2}
t1: {t1, 75af207b1b19fb0fa9c6c04abd053dfa}
androidx/versionedparcelable: {androidx/versionedparcelable, 17d11d0836635d2e0f25e383be8bd90a}
j4: {j4, cf171e846e11689cad4fcdd0873efd65}
w1: {w1, 624800219fdd1b18e370c8f7704247dd}
q5: {q5, 540d3edb85f5e7e6f833285aa481f986}
androidx/recyclerview/widget: {androidx/recyclerview/widget, 3fb408708b133c9369f9db3ecd411f54}
x: {x, 4c5f5c10045a926e944abdadd32d1307}
u5: {u5, 8ef6b1b2888fcc102515b53cc8b4683f}
r0: {r0, 69de980fa8a524c28d2875af81d8de01}
