p2: {p2, 63f5be8dd2d2840da89e84fc43ce9bef}
I2: {I2, b69a59bbc2c5a478cb4b9ca41987521e}
d0: {d0, dabef80ff07a140cab2b1b1d59ce8f10}
b: {b, 234da202674bb5eaa4a24923a4bdc196}
k1: {k1, 7ca308b14c1d2ee214655d4ef4769ff1}
k: {k, 5ea9732f07e1c6264d5753f021e70255}
g1: {g1, d4d5fd0c642da4d386cb1b52481dc032}
c0: {c0, 5ae5d45e7618d8648ad46a4dbcca89e3}
androidx/core/os: {androidx/core/os, c50d85415e98ce61fb372f04e4531e0d}
p3: {p3, 959fc1d350032baeb7250257c54b8ad1}
U2: {U2, 21ee1c64fb052efd0069c6ef5b3bc47d}
Z1: {Z1, f24fcea047cff1e5316e3de2d6fab81b}
b2: {b2, dba435bceb91f67f7a2c078328224c5e}
q3: {q3, d3cf92c8f2e7b3b168b70ef53d4c7b0a}
com/getkeepsafe/taptargetview: {com/getkeepsafe/taptargetview, 91cca1290bbe9537ef3fee6dbe32c0a5}
R1: {R1, 2350ebb44a19aae20089a2c90aade752}
androidx/cardview/widget: {androidx/cardview/widget, 2f4f061044cc283579d4c0946bdf48e0}
l2: {l2, da949ba363764c90401a3153d99b1366}
i3: {i3, 2ce9654d16178e203afab338833ea5bc}
V0: {V0, 4316851e68f8d35a1a735735888c8566}
D0: {D0, 456e29ae88dd204ce6b780182fd35272}
o3: {o3, a04d16e5bff3947fa5cbe2d67a78a65e}
B: {B, 9d917d825f2b7ba96e108899218b3475}
androidx/savedstate: {androidx/savedstate, 186e4a31c326b7f781a65847a1ea46a4}
androidx/compose/foundation: {androidx/compose/foundation, 3092918a7c542c736ffec996bdd556c1}
t3: {t3, 102abaeea6de83c5dccd585ca0e94761}
j2: {j2, 4ab8db0611b50c58a77b5cc85f85b4ea}
v3: {v3, 198907074068b195d04a1f8be45ad4b3}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, d1aed5121b360f5e6b3a654950296beb}
h2: {h2, da98e37287d127dac10ea5d9b1ecc846}
u3: {u3, 516674f75c370ace1c64deacc9878eed}
r: {r, 1acc9d78ce044cce9b85f697011be689}
androidx/startup: {androidx/startup, dfc77c869f6cbafe0176e365c6f2949b}
Q: {Q, 0f1429a7ead2bdeca618f0c2485181e9}
w3: {w3, 7e0db42351d8545de96237035824a572}
z: {z, 36e49ea9e384437cc9b609feda57a857}
androidx/compose/ui: {androidx/compose/ui, 0e5290102b4b0bd4959141f134415aab}
d1: {d1, 3851c498ba4007d6e91686840d615fd5}
Y1: {Y1, 482273486192488ef733af7d55f84bf5}
k0: {k0, 673e470022c0889f476a86698f332c34}
androidx/databinding: {androidx/databinding, 1ec2aa88b5f7f35a245d57af55dfbc88}
V: {V, 1d4870d6bd829d1bded77bc869f7b512}
g0: {g0, af1aeb65ddb60ec629fbc53e4bd32768}
androidx/viewpager2/adapter: {androidx/viewpager2/adapter, 0882bfe7904e328bfe66192e77050659}
I: {I, e6f3551451d7a694d065125ab3f645f8}
J0: {J0, ac49cae32c72a835a46bfaaf914e57d5}
x0: {x0, 5b17be694382901abca09ef29fadf733}
b3: {b3, 11b94403693c50151fa67e48b5a3909d}
androidx/room: {androidx/room, f59ff4dd0f3e5f8df8dff8892712ae83}
w2: {w2, d11947ca673b3b606dd70b850bc8145d}
q2: {q2, 6fcdfef6f523123070f09f8ad0c29814}
U1: {U1, 1bda21d99f1ba09ef2c70d5d72aa338d}
R: {R, 66b38ddc787eeeef54db97cb1fab863e}
androidx/core/widget: {androidx/core/widget, 4c68e68811ab2ac008d745e364a01adf}
X: {X, c0629c37e0f307b8b41deff53b11f5bf}
o2: {o2, 46b26f228d32014543b0714e001ab6bb}
m3: {m3, 71f056ce6443737c963ddbd1b55f98c8}
i2: {i2, 6323ffaef5bccf26d9ce1a674c0ee30e}
S2: {S2, a685c3bb4e57e3c267995003c270be5a}
K2: {K2, eb3934815f811088dea7bcb490a07d08}
D1: {D1, 9806c2a5e8cf7f172b09bdd9803747bb}
C: {C, 1738e4e3536e4025f15f9801ec772dab}
androidx/loader/app: {androidx/loader/app, 3e9008fad44256d3d9122ac8c59939db}
t: {t, ca4407e9016cf8029e97f749c36852a2}
v: {v, 6b414f75723d7ed933b4aabf8aed304a}
V1: {V1, 48172f526e312b3a3763a8f918da8bf9}
j3: {j3, e45eed3a25e9e3e61db4d40f0da96bb1}
J: {J, f394943e9fdede311b1a6639e43c0424}
C1: {C1, e4826010043a411632624db334651742}
u2: {u2, 6d7411c8cb1b31b8ff0e54c44c344472}
s: {s, f90ad3d8397f6717c1ef920b6afe6f0b}
W2: {W2, 14445e0b736a631352f454472dad041c}
androidx/viewpager/widget: {androidx/viewpager/widget, c6a843dbe11d37dbee13c801420c5b24}
Q2: {Q2, 0d900719e8ea86d2988c68bcb03a9440}
h3: {h3, adbe94b7ff3a2747dae0b92ea4f1211b}
n2: {n2, e9cfdfc18a4a61b9211b3951c4fa10b9}
L1: {L1, 50c203033983076f434d77da2334443d}
k3: {k3, 669b7401a2ff64f9e1efe1bdaf0735dc}
O2: {O2, cd624333ff0f324c7dfa390a5afe13db}
L0: {L0, c254c494baa6fcb9b3c8c2a60674cff3}
l: {l, 5074a1131a1635580cc1162a80302d1a}
io/timelimit/android: {io/timelimit/android, 82476659a81a1f2d4616e533c8963cc0}
S: {S, 63628ea913821c8ae476d2ba8a425335}
v0: {v0, a4a96ce947d0432638cdd6bbb4be5938}
androidx/appcompat/view: {androidx/appcompat/view, a94740862f315da764ed9f9ee527510a}
d2: {d2, ff8d305c08449087573ab3b355cf98f2}
Y0: {Y0, a70d1dd3437e62fc418dcad4202d1cba}
q1: {q1, a3b26255289461df15726db0a558e374}
U0: {U0, 67d01271d04f39cac1c292eecc1cc11d}
g3: {g3, 5058df4256a8b3b2b6db68db79cda4cc}
n0: {n0, 96a0cc1cc11b773a4ca1d9bf3bec4670}
I1: {I1, 440d023585ad404ded4c296a0de77e01}
D: {D, 8927e145e8d0ec305ed5e0cba93662d6}
b0: {b0, 54befc61a4b070f73640cd1cf32cb58a}
N2: {N2, 05efdec8d0e40695f40c52f0cb32c110}
m2: {m2, d1bc9612e8732294013c222254305ae9}
L: {L, e30759036ba3b2ed1a8071a5a4867f6b}
android/app: {android/app, e079f4fb8febf5b63effbb6583d13a90}
F2: {F2, deada99464a920fac2c2eea17e700f8c}
androidx/emoji2/text: {androidx/emoji2/text, e02411800c105d71fc1340b30a6c2bd3}
J1: {J1, 68de0cbdbf6d07bae90315ef424fbe34}
K: {K, 853613b7a54c582b59cc849faabbf3b6}
D2: {D2, a135d920cf2801f86aa84312eee018b8}
c2: {c2, 297f5e629ea187fe68688def58b6e9c7}
a3: {a3, 30efa4b11837318a6352f160e1e27e22}
Q1: {Q1, 2187b05d15bf3c5120de0de047d6b7bb}
androidx/fragment/app: {androidx/fragment/app, f2be0e63b4dfbfa1758d5aeb5d5fa337}
G1: {G1, f60a471f2a8d64d63fb3f1be39e87688}
C0: {C0, d9a335c1dcd63aee0a1d9a364066d252}
j0: {j0, 7731fe5d9cba295c4b26276dcbdd56a7}
l3: {l3, c28b8f116aac89967b8212004295d144}
B2: {B2, e8f347255f0e82a7f6c1f1b5e3aee9ec}
n3: {n3, 08d56003238c91cdea01ca7941afbea7}
u1: {u1, 9c6ad2d4128d78fbdc6db1ccd2f3e359}
d3: {d3, 132a333c75026904503c35700be1441f}
l0: {l0, 175586866e352c8227766c3b3bcf34b0}
f3: {f3, dde748897c255f8e7191a67775732a14}
L2: {L2, ec0ecaea51f784c3bda0208ce05369fd}
k2: {k2, 69f6d1cf27695b80dec23486a91c43ea}
m: {m, 1d656cba524509cd76a57a0c836421ad}
e3: {e3, 809ad058789d36eee1455814e1fba6d6}
f2: {f2, 08214232974f8e3d748f82e33526cc93}
v1: {v1, 2d14f7077680c3a705f5abbf4b8004fa}
b1: {b1, e7f3e7b89733f1cb693bc8d35e8cf7b9}
q0: {q0, e4d13bf92f0896e73f61b22fe19fa140}
f0: {f0, e6e7b7ff1136de7b53dd3ffebf9b98c3}
androidx/core/app: {androidx/core/app, 44952fc3edf876fcf0e607629ea9f77c}
androidx/profileinstaller: {androidx/profileinstaller, 79b48af4852b5f3f484ed7634a7fade5}
I0: {I0, b7f61e74a659b0a002ab782f5e0568be}
E: {E, d97940684b0d85fb6e8bac209264af84}
z2: {z2, afcc17ca4c8806ce2ecfd0c0d21f76bc}
androidx/appcompat/widget: {androidx/appcompat/widget, 15330668cd451257e5779de886d98842}
m1: {m1, 8d35fb189304666a689aef5a8b65c7ba}
M: {M, 80b24e5284165dcde7f1739b75fe05dd}
x2: {x2, 402cd4b8ca870d96ff10a5cb1e615f32}
g2: {g2, a819773da38b112a36b828a06f7542bd}
a2: {a2, 5169a938aec92d63a77b6524e2f419fe}
androidx/core/text: {androidx/core/text, 47a56cc05e8cce61eaaa2bf4e06dd967}
G: {G, 70ca44155e9b6f2e7a89e4350e5107bf}
G0: {G0, 26770e8741deb522ae75f6f239002871}
w0: {w0, bccf2641e0f511300792f57ff74eef24}
u0: {u0, e10ac1c98ab89177b08acd4645a83cfe}
Q0: {Q0, efeb59b257e17977f65592e883d84813}
X0: {X0, a5e09a509466eba87db5419cc9a103e4}
f: {f, 4e9f72732565321252b0df454f1d66cd}
T1: {T1, 929272c54409b8b13ce6d07b96c06c98}
n: {n, 525d5c17018be39eb20a0ac67e7de46f}
androidx/core/net: {androidx/core/net, 86cb9e4748cf4b5befbfed1135cbbf9d}
s1: {s1, e31b2a0b8393a713a3a614023400f240}
e2: {e2, ce3c93070d336e3afdd2bd0f3ac136ba}
j1: {j1, 564fd379da15469542044db950a644c9}
u: {u, 12097f1c6f67db07ee4cf5932dfa181a}
T: {T, 7a2a6b19c84845825bb43f8a3262240d}
N0: {N0, cf3a3dbee51d1cd7ee37d7fc86e8f114}
y3: {y3, 89429d418e27ccbfcfbe45512a51ad5e}
F: {F, 7427d862795f795ab3a165dc977b8c77}
T0: {T0, c9fe2d779618a391f106e64eb04ef07f}
o: {o, 82d390b73a5234f1d5f45b6b52640fdb}
f1: {f1, a2e92a43f212c2ac2eb097256d9a10b3}
z3: {z3, 865de74ac8a059b7d0bc899fcaed3600}
androidx/appcompat/app: {androidx/appcompat/app, a47de396fc1c0dbf8c314dcdff93f9cb}
N: {N, 5a1ef6d731de9fad94e15f8653e5c185}
d: {d, b8add743db300271a4308cdc985b9f4b}
w: {w, a69b4abb4c36244ec3cd5f2a24036a7e}
S1: {S1, c693ef53ef2e839e2a9faf3f7339ab1a}
E2: {E2, dae8776d3eb73d9fb737717bb75c9d5e}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, e43655dc4ff9d2d4a0acc30dafa0685c}
x3: {x3, 1fab1f03a6f9a1469f9cb9492536d6b9}
y: {y, c1beafd4b5438cf9caca2a7265d144b0}
X1: {X1, 1a92d937585319de4dde190523a944c1}
g: {g, 0a31f8ee5bcca824ffbb1381241b57fa}
n1: {n1, 4a0e729a07620024abc6d40f8e54c8b1}
androidx/core/util: {androidx/core/util, 202c577641d1dd4532c94985d00a2320}
B0: {B0, b0416ba624a9b96b32fd84e27c8fcfc9}
i0: {i0, ca0781230e041aead1f50883aaf72ff0}
M2: {M2, af10138926a14f3d8bce2981a6a982bb}
s0: {s0, 2a454b90651d85ebdf86dd1ddf9ac8e9}
androidx/concurrent/futures: {androidx/concurrent/futures, 2b9ebe7f5873a4a9f6eee888868a833f}
androidx/compose/animation: {androidx/compose/animation, 391e691b50a88b6c071801e7df818c5c}
r2: {r2, 9cf339783091e0426d527ef8dc0c9549}
e1: {e1, 9ab8b90d4bcaeac15f5a3d3dd74f57f8}
C2: {C2, 3662748332a81506a86d7c9aaeb41c8e}
U: {U, 9f49d450b68e52795284d6df903f4e98}
y2: {y2, e899f28b67da143bbaab1cdd0b73ff99}
Z: {Z, 6827facbe455cb73f96ba7498d39a6e4}
N1: {N1, 9d1e4f915552135b389cfd2d59d2b0e7}
h: {h, 1107abe13084d72cf7a91d822aaaa692}
s3: {s3, cffdd40deaaa13ba6e211962e50c8d2f}
androidx/core/view: {androidx/core/view, 84fe366a8d972ef93ba757a76f198e01}
p0: {p0, eb407724888a44521ea7a91f1a116f05}
p: {p, 330f114e0707ab54b9153eb015453826}
W1: {W1, 53b9783fdfd6eae6964334b705f7b256}
S0: {S0, 3fdaa10c7b3d472210e19fd6653adb72}
z0: {z0, 42d052e0bf1198b7d968c47ae490b189}
a0: {a0, 20404f0aed59412a8366d86035bed33d}
h0: {h0, 3a1826056d3457f97793ff9b2f2b3bfb}
R2: {R2, 9c9b3d5ea71138898ad375c6c6ff2da5}
E1: {E1, 2d41a74cd47d4ccd030dbe55535b4976}
androidx/coordinatorlayout/widget: {androidx/coordinatorlayout/widget, 61ab1696c39c97c4ce059cf8221266c0}
B1: {B1, 0c4516b75b6475a789be9fa358fafbd1}
F0: {F0, 38f4f48b89543e23dcaef7846ac1dfcb}
m0: {m0, 2ec4876bd5463b2dd65fc0cd5daae25c}
t0: {t0, 1946e669b4b3273720d2a92fb937f564}
P0: {P0, a9d190ad4d2a2299d7b6e365eea1a10c}
e0: {e0, 6b8f9520bbb141ff362093d9cbc37aba}
Z2: {Z2, c0b6c317f343b5564eac822e479aa1e7}
M1: {M1, b39b8e7268a47eeb984a655521f476ca}
H0: {H0, 05a89428593e3f8309619a500d77310f}
r3: {r3, 6aa62de9d78317ef90e1b7655d3b9e44}
X2: {X2, bf597305fb0828a5953245352d1028c2}
G2: {G2, df45510a8e4a72b7a29bcc394ff0c509}
androidx/core/content: {androidx/core/content, d2a1352713c8fe333552590faa1782b8}
A2: {A2, f00c065131ca3a3478094bbf3a5fd72c}
androidx/compose/material: {androidx/compose/material, 26478ec269df0ef3c440d9876e9d4f8a}
V2: {V2, 8ced96fc209ec8502e4cc32b1c06af15}
M0: {M0, e0940886b42590e0145def588188ebd0}
i: {i, 9ecddb6d61b0a473dcb7dd9201626d8d}
p1: {p1, 98299dbf19b229e16a7d199c31e1fada}
T2: {T2, 5cd8b246778b46981e4c3600a52037c3}
s2: {s2, e8ff5832ebcd176527270e2b1ab5558c}
androidx/work: {androidx/work, 90650ad471d632f0f26d1b3258fedc3b}
W0: {W0, 7d96f0cf40361d0193447e7eb17055ee}
E0: {E0, 5213bb63037c9cd0b00e5e04d2bbb5dd}
q: {q, 24ffde2549ee5bd6469111d3c313a594}
c: {c, b38691ac617248039a1befa069603f5e}
y1: {y1, 9f7c45126a93039c345a7a8c46e7db2b}
o1: {o1, e4804fb57baeea1e110be96e3c5f5be5}
K1: {K1, ebbdb2e36cc989f06d15231f6ab60301}
a: {a, 8a0c3e673e918bb9425bb9b37cdda7d4}
t1: {t1, 6d1642377e89fd54b0e9a10d2c274416}
androidx/versionedparcelable: {androidx/versionedparcelable, 3d03a7f562052deb572b09f5d51f72a0}
P1: {P1, ad6e3504fcf2c8d5da3ea77723cb2d4f}
O: {O, ab4e9dc148ecfe88fe3512fcfa2637be}
F1: {F1, 72c0dad4c7fc920f090918273eb0c6f6}
A1: {A1, 58e3ba03ac7e5e0e873cd8e6802b707c}
w1: {w1, f649c7dc358a77688e799f775bbc3f23}
H1: {H1, b7df45a4dae9c99be166026042829c8f}
W: {W, 5a85d6cd67f1efc00fc393243cab68a5}
androidx/recyclerview/widget: {androidx/recyclerview/widget, ed3aac83a18be1a546f3b630b374af57}
x: {x, 39f7ffa11bc6aa55ff1d9bf8785079a3}
O1: {O1, 5e3291d82cd7fa8f9ac477cf3b72388b}
r0: {r0, fce9d98e611cec8c7e2133a738321770}
