androidx/appcompat: {androidx/appcompat, d24a431e884321dd00f9495c290c458f}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, e5b69642bcff3ab99fcec94fdd440f19}
androidx/arch/core: {androidx/arch/core, a59cadfb1f89c065a19cfef41c8e88ed}
_COROUTINE: {_COROUTINE, 969e426354e9bf7a21a6f4cc2ba3b6be}
kotlin/annotation: {kotlin/annotation, 34c21cedf71d54206f73f583adbced80}
androidx/viewpager2: {androidx/viewpager2, 10495060e6a8e7fe95535294a66f7926}
androidx/legacy/content: {androidx/legacy/content, 07faabcafda309b615198d4b582b9cb3}
androidx/savedstate: {androidx/savedstate, 6214e7a274842c80e8ebe1dd271c9a19}
androidx/documentfile: {androidx/documentfile, 405e864284a52aa0ff49fac74ee2910d}
androidx/print: {androidx/print, f1e3706763f8eb7a7311b229b6d69a41}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, bd33781d65ab8eb654e3b6f3893eb237}
androidx/legacy/app: {androidx/legacy/app, 181e1722064f84032cda2c6fa939f581}
androidx/tracing: {androidx/tracing, 7ce374e1b5653bea976a124eaff126f2}
junit/runner: {junit/runner, 8c97fa2eb5070b43e8380512424fca58}
androidx/legacy/coreutils: {androidx/legacy/coreutils, 73459e05781063da65dda8c716b44d0f}
androidx/startup: {androidx/startup, 86fcc9acd3be58c7de92432067895bf4}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, e0942df141e5bf9d1064732b009b82e0}
com/squareup/picasso: {com/squareup/picasso, 9c482a5ebb73c5b7b83a84166027e3e3}
androidx/concurrent/futures: {androidx/concurrent/futures, a747627292a6de1bb8fd3e1d71f7ae31}
androidx/customview: {androidx/customview, c3313a6cd31e75c8b0fc8b12407c1dab}
kotlin/comparisons: {kotlin/comparisons, 78f920e8c07f66ab369acbb86290a996}
androidx/window: {androidx/window, 9aee098405bee5e909a6cab51db97288}
androidx/annotation: {androidx/annotation, ce1e62409ea897c18535670dc8e2d6ad}
androidx/test: {androidx/test, c52c3a3b38854f8d2569943a4c5995dd}
androidx/dynamicanimation: {androidx/dynamicanimation, c088dee57aaa297b903272698d7ed6ca}
com/google/common: {com/google/common, acf7ef943fdeb3cbfed8dd0d8f584731}
kotlin/jvm: {kotlin/jvm, 69e94cc470952e40bd3dd1bb65b4dc61}
