kotlin/collections: {kotlin/collections, 395d29423a01dd49632fcf17fbd2be41}
org/jsoup: {org/jsoup, 54a55313bafec94ecdd3db0afdef5d3b}
org/commonmark: {org/commonmark, e783a7e65f322fc7c429eadf63afe395}
com/grack/nanojson: {com/grack/nanojson, 5f11ad1567d3aebbe6115e8d6a26e5a4}
kotlin/ranges: {kotlin/ranges, 6c02caca6622f9c75e05d681a805d8fe}
androidx/tracing: {androidx/tracing, 374de4f681a359c89397f5040835f60a}
androidx/documentfile/provider: {androidx/documentfile/provider, ce6ca2175edb89c0cc20fe6f05768476}
org/apache/commons: {org/apache/commons, 6b885e02d84f39982d2ac5d6c0e0165e}
okio/internal: {okio/internal, 67885acc754ef0201facadfe82004b32}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, c5e0ffddd0a74e918786c326629c45fb}
com/squareup/picasso: {com/squareup/picasso, e65d7a72585cf12a1f9879c4678cdb76}
okhttp3/internal/http1: {[okhttp3/internal/http, okhttp3/internal/connection, okhttp3/internal/concurrent, okhttp3/internal/http1, ], fa28fbeaeb50e3b18a7c98cb699e4abe}
com/jakewharton/processphoenix: {com/jakewharton/processphoenix, add4b0cc3b3a418542c287d0274b6d88}
okio: {okio, f6c1175c07ce4f94c2a0acf28e230b01}
androidx/recyclerview: {androidx/recyclerview, b4d19e9a03c90a865337b131e7b93d82}
kotlin/comparisons: {kotlin/comparisons, 17e1c78e995528b930058164eed73d30}
io/noties/markwon: {io/noties/markwon, 8c4d71e954c157603e82a4bc0569884d}
kotlin/jvm: {kotlin/jvm, 97255718d27c6dc101817d2303536e60}
androidx/loader/app: {androidx/loader/app, 4f6eabb0d2b898e61c3319df8d9c37d8}
