androidx/appcompat: {androidx/appcompat, 4c6709de82fb090654694956976853aa}
okhttp3/internal/http2: {[okhttp3/internal/concurrent, okhttp3/internal/http2, ], 95ac6d22077db69787a1cd6498d1b4ee}
androidx/window/layout: {androidx/window/layout, 36afc2baf8ca93b8dccc9c55a0ddcb0f}
okio: {okio, 1a0be4ceabf8a25618267e2b1408740c}
androidx/emoji2/viewsintegration: {androidx/emoji2/viewsintegration, 6f69a36d4542cc54f54decff702db5bf}
androidx/emoji2/text: {androidx/emoji2/text, e4c21d55a4759f235662a5ce05d877e8}
_COROUTINE: {_COROUTINE, 15f74a532dd698f4205bbc712e428a0e}
androidx/exifinterface/media: {androidx/exifinterface/media, 26d6e6737278b94a4a460bd67fd4fa56}
coil/disk: {coil/disk, 0ea635b5ff01fb25f3c94ec919dbc606}
androidx/window/core: {androidx/window/core, 653cb805d98a5b5ab3046f6465e44046}
kotlin/ranges: {kotlin/ranges, cdc113187e24a0b84c1397a0329214a7}
androidx/tracing: {androidx/tracing, acff8b6406b400d7d9dd134708d5ae37}
coil/util: {coil/util, fc5a7855a58f2b7c94b60db6afedcdd2}
coil/transition: {coil/transition, 964385e37f05f3d0e7c9585c2aba433f}
