androidx/appcompat: {androidx/appcompat, e35813db56f5a7d1e30d220e36a812b1}
androidx/cardview: {androidx/cardview, 21edef9f55c8bb7c347b50fb17b40db8}
androidx/drawerlayout: {androidx/drawerlayout, f73965334893c08bd1be266f0147784a}
org/ligi/tracedroid: {org/ligi/tracedroid, 60f7883ae22faffe260821306b8d1fcb}
androidx/dynamicanimation/animation: {androidx/dynamicanimation/animation, 64ba2d2e45c715846acb77324b5e4db0}
androidx/slidingpanelayout/widget: {androidx/slidingpanelayout/widget, 3df0bf49fe0f42dc2f69b7c484693258}
de/cketti/mailto: {de/cketti/mailto, e82cde343a2505d35221f3ff1cffade6}
kotlinx/coroutines: {kotlinx/coroutines, f855106d6c6c4034886e8556fa35c72a}
info/metadude/kotlin: {info/metadude/kotlin, 2beb0aab8af696c146afc2e11a323cc5}
androidx/viewpager/widget: {androidx/viewpager/widget, 4768a4b829cc9ac33ae06843cba65733}
androidx/customview/view: {androidx/customview/view, b5cdfa065e3a3b75a289919ef247c136}
com/squareup/moshi: {com/squareup/moshi, 9642f24ab555965e948b175d1c114b89}
com/google/android: {com/google/android, 187524e7d548722d0a17380f8bc136f3}
androidx/emoji2/viewsintegration: {androidx/emoji2/viewsintegration, e56feb7d90935ceb54bf30b5f27b79b8}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 37bf0f7164ad38b4934dcb1683370ebc}
androidx/arch/core: {androidx/arch/core, 92a5852557253faa19935df987144914}
androidx/emoji2/text: {androidx/emoji2/text, 1aa1319d97704b0f3244c7cf7e98e954}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, ad50552557420ab8fb5bcbac0aafd87d}
androidx/viewpager2: {androidx/viewpager2, aeb4c4c2bb0e5c3685d85ded19c8a9d5}
androidx/legacy/content: {androidx/legacy/content, afc26ca326b4075d07bfd31afbca758d}
androidx/savedstate: {androidx/savedstate, b514f181a8627d046c247a1209cb2e98}
okhttp3/internal: {okhttp3/internal, 303751c850e9dd6afdee293c6d84754f}
androidx/window/core: {androidx/window/core, fc7b92df1156b73de02a1c51b5cdc340}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 45b0310f726e0ccf0ecd5c7d05a23403}
org/commonmark: {org/commonmark, d6c998069b4720e4bd86d26d8983a01b}
retrofit2/converter/moshi: {retrofit2/converter/moshi, daba03d7283fdda07ec62beb164ec911}
kotlin/ranges: {kotlin/ranges, d94a4a0492fd6d8bbe0744505401c42b}
androidx/tracing: {androidx/tracing, 51ae78ed779db0d7975c162bad136cbf}
org/threeten/bp: {org/threeten/bp, 09966b252caf72cbc10562d133a4cc8f}
okio/internal: {okio/internal, d8364b60bf95df63fdc8e852911cdfc0}
kotlin/comparisons: {kotlin/comparisons, 6839ce50b25edcf0eb43344c1137f45c}
okio: {okio, 54ca82a1ea4d3d6452f34df92efc0337}
androidx/recyclerview: {androidx/recyclerview, 901d5758744e4e461f25013fbd5ff001}
androidx/loader/app: {androidx/loader/app, 3d54e00d2f51c28a85b6bd60ed677889}
info/metadude/android: {info/metadude/android, 320bb6fee672f50499aae03959bac18b}
io/noties/markwon: {io/noties/markwon, 749a2447b0d1cdae2c4e39b2f95371a1}
kotlin/jvm: {kotlin/jvm, a543559c04a803a9acc0902ff95fb9a1}
retrofit2: {retrofit2, 442c4bb9439f123fd09c3bb8d4a709c6}
