a6: {a6, 26739d18dc41712e727c63016afc8fa4}
d1: {d1, 9abe413d38204765c949d64aa9262950}
c: {c, 4b0d9be3a60c1c541d13ab24d5766702}
k0: {k0, 9ed8c58d60c20bf7ae828e016c138cc3}
g0: {g0, 7a88eadc05edb24d44f0a6d2bce3f733}
x0: {x0, 8967b77556ea9e50318df8fc79bc5996}
b3: {b3, 8e80037bddf724395b0cb19facc1b667}
androidx/room: {androidx/room, 069cdb710880d9bf5d0584e1f0bc49a5}
q2: {q2, 77e7d110704d89dbc57823ce095034db}
com/budiyev/android: {com/budiyev/android, 79b5a39ee82224c8b4733eb5b25cdc47}
e4: {e4, 8e48ff5a228bc150cd87caea0fb9c9b7}
app/suhasdissa/foode: {app/suhasdissa/foode, 1a770ee6811f7d5513c16267d2644154}
o2: {o2, c5d8cbfd37cb7a8e66fbffb3ec76d568}
m3: {m3, b75ef18a2ce0a1c5388cfa07d37db8d9}
i2: {i2, 433ea0705c4981dcf73959cbbcd9a688}
androidx/lifecycle: {androidx/lifecycle, ddc3c01a439a9fa2f34777f491bea6dc}
c3: {c3, cd783104c45968b553fd566fa0cfaecd}
a4: {a4, e20cfcf7eca5e720a01f6b4d8e125b26}
h4: {h4, 7d58efe777e47eff944a5491b4a09c77}
t: {t, d3329384e4f48b638c66e4589ed673a3}
g2: {g2, e8c13d150ca08c8090bcd83d38aea208}
j3: {j3, b044df9b9701b00df439074599742d11}
m4: {m4, db2e3e55fac786481033925062874a7a}
t4: {t4, a9dd6acb1ab346edf09cc5c30b46b8c1}
s: {s, 8de2ea51e6d1a03b648cf2135cd37cca}
z7: {z7, 93ff435ebf3f682f913e940375b7ea20}
androidx/startup: {androidx/startup, 08c5775df7901f348750f14f4def3be5}
h3: {h3, 27ee0a7a3e49f40bc9c35ccad3b7c01a}
n2: {n2, f19ee39a3d74297ad856969a116413fa}
k3: {k3, 3edda81bb0a9f41db6101a5a5b0ee0d7}
p4: {p4, 1f36e7d225714df1e2696ebffc987a22}
r7: {r7, 9db6dba435189bc98b912fa381254487}
y0: {y0, dc32544fe2f8c83bf691a808b485ee52}
androidx/compose/material3: {androidx/compose/material3, b903206ade31f9e6b81c9a7621e8d544}
f2: {f2, 4cadeb5a0185675aa6a54a0d728230b6}
v0: {v0, cde36000aa7b45ed9e871f73de46483e}
d2: {d2, 35fafaa1e26bf32e936baf5e1ad6c422}
q1: {q1, 8c033ae8adb6a68cdc090561031ed7f9}
x1: {x1, 2e338b218c340ebd4c9ffc8d15d29f3d}
g3: {g3, 02aaa5242909e1371b837e49ace59b57}
r4: {r4, 10dc04f43c5084bfc80145f126885b0d}
b0: {b0, 56645a9e78f467995405f4900aed407b}
a7: {a7, 83a7c9c69e33407ecbae83509a7e9bc3}
w5: {w5, d6faa4d534c0a4b7e75d8188df0ec177}
m2: {m2, dca063727039f43475462bc8e3b634d3}
s4: {s4, d256a857fe24a51ecb8005852054defc}
d7: {d7, 60bdddb6a76c4d7c5450cf8cf614834a}
o5: {o5, 251e68922d50b92147de1656be72804a}
h5: {h5, c2155e7064c673f53ac2c284afba25d7}
androidx/navigation/compose: {androidx/navigation/compose, 586c45eded63c3a24f4115cc0d145126}
c2: {c2, b59d0b066cc701e74f37c6a58940c86c}
a3: {a3, 19e575aedbdd6e10d3d07eb88fa3fe23}
z4: {z4, e02437457fa8ce571522f4a13b6fcf2e}
androidx/fragment/app: {androidx/fragment/app, 9aca2df50c176fc8443cfa92f639cde0}
t5: {t5, 4ee8623c7c242b483eeb14ec90ba95be}
j0: {j0, f89c4139e18fbde7b537edb54af844f8}
l3: {l3, ca999c38ac9ff062b05a0542981c8f25}
n3: {n3, 8fd92c30b0487345077071f0df554135}
u1: {u1, 135861d51ca66063c3200952f1fa37de}
e: {e, 43381d4befd41ec705c367f8aabdf921}
p5: {p5, 4efac6aeb80c7fbe58dd21e7956f59a5}
d3: {d3, d48943494f6d486087561019ecc89fc5}
z6: {z6, 95cd2c1ad7292fdb7c98b9aa8eceac1e}
f3: {f3, 95768fae397238835256528b75b086d2}
k2: {k2, d74fec567be8ce8e746df309bf73c440}
m: {m, cd9525dd6aa6514b1717efa8d5115792}
e3: {e3, 46a23195b0925fd17395955321ef7ac7}
v1: {v1, 0b07fd19d0d1256a3a2b61b49b78f0b0}
kotlinx/coroutines/sync: {kotlinx/coroutines/sync, 00ba8e5d6ef2ffd557ca33cf408386ba}
y4: {y4, d458b8d24f982860b9e21ffd290aa8d9}
q0: {q0, 1b3296516a2c77c6d31695d74a45efcc}
f0: {f0, da888541ce618514f1fe6af2c0d8da1f}
c5: {c5, 06a1fb54a59418120fd72c72532819ac}
w4: {w4, 2f86489b91a86d588b26bde8ee717acc}
androidx/profileinstaller: {androidx/profileinstaller, 50da9092b4cbe0fd65acf9b70c0455af}
r5: {r5, fe7bb0f83ab704b60470cd8360d1c1fe}
z2: {z2, ef60c87f039259f91937fcfa87021ef8}
o4: {o4, c99b773d18576d88af79d0902c399d0c}
m1: {m1, e74d3dccaa4580aba49b4fc0c0e6d3a2}
y1: {y1, 1f073e10b5a3ee53e3ff9839e6f243bb}
x2: {x2, 6ad6c5517ff293cf00c21cfe2a80c2ce}
v: {v, 3230ffd919d9afd5c182f919f0a6eab6}
a2: {a2, 015bacf2c6c2c751645aa7dddc7b5253}
h6: {h6, 7c9936848b099c0832119758e19575c1}
androidx/core/app: {androidx/core/app, ce84b6a9787c9e0e8c1c6ba8fe27bc1c}
n0: {n0, 5ada7566284bc1b158a8e98ebdf81031}
u0: {u0, 960797893ed4e6377b02e27f96bc880a}
k5: {k5, 3c068a3d8727cef41ddd5f659bc5ec86}
okhttp3/internal/publicsuffix: {okhttp3/internal/publicsuffix, 515dc1230ecc839fd2fd0e84a33f53c4}
z5: {z5, dbef6105086c86a03c85d72785bb9b5e}
i1: {i1, 8c159ca08e35f3c8084e3caf1c541449}
f: {f, cb01c900f8bdfeed5f2abebb68aaf92b}
l4: {l4, 9e96100fd8e4cb16d00cdec8ec3b091f}
y6: {y6, 9727c3bc2139b2bc78d3921857b3a645}
n: {n, 764ddcdc58a538f0890207cae20f1fdc}
p6: {p6, 6bd08397598ec18d3515265ef75719aa}
s1: {s1, db5ecc26aa3a158a4a79f6d9196fd256}
e2: {e2, 2e849b2de149065973e84026538cbd60}
t6: {t6, d52206726ec63ebc292d6eaf2d490911}
j1: {j1, bba19f9c3658f2fbc4ff084707aacb46}
u: {u, 5a739d6a4b762799a3e5fbbb24ecbd5a}
com/google/zxing: {com/google/zxing, a5e0e43920211efd7237f912b0f0843a}
w7: {w7, daaf955f5a6dcdc44db2c1a0018b68d4}
kotlinx/coroutines/flow: {kotlinx/coroutines/flow, 02f70a0347bd56d2273176536504d571}
y3: {y3, 6584b1db88a8c49f3404bcb4a34a47a0}
c4: {c4, d532e6855297a8dccf386c41da54db09}
s6: {s6, 4503c621b1c5f4ea48daa7adfa61cc7d}
p7: {p7, 763b995f2da4af8bdf30d73a6c127016}
d4: {d4, 5ba0ba0a8ec50230acd00c39bc0ff90b}
o: {o, c2cf79ce889cdce5647fe189404b7483}
f1: {f1, 47328c1f96be3459c0bb881364415d96}
z3: {z3, 8fe5ce1850609b0964cd45a8c2c019f8}
a1: {a1, f893e0fa347e4caadec49f7d10cf3e0c}
h7: {h7, 73393e297edb982fab7c184a96676fcc}
n6: {n6, f415ff3b2359297eedfb9618d2501632}
w: {w, 1a1d8ccc4df03bf1a6348a8fee8565bc}
i7: {i7, 6f720b63ec7f8557b3841492353c80bb}
coil/target: {coil/target, 5ac5ea8b5a0decc279f49a612f8e49ad}
x3: {x3, 4e5d594e5f86b2cc53e29a99850da7c3}
g5: {g5, 5a05e102c13e66345ecc9b1a1aa9a252}
k4: {k4, c386b8aaa471b21b1c16defa7dfcda72}
n7: {n7, 5c6d71a4151a96d6154daeb288505533}
y: {y, 82ebd36d001ccb2d4735b3c8c5204e2f}
g: {g, 09673ab385f710d0dcec268caf2b09a6}
n1: {n1, b9867765fb28de0390d9efc4a1691f1e}
u7: {u7, 3247c7440eaf439a5acce0e169384f42}
v7: {v7, 04b5fe3e7fd02cfcc0f42e0f410cea4d}
b1: {b1, c1098c7986df4ad9261878ce8efa21e0}
l5: {l5, e63da231efa66af93dceffd91fcae189}
i0: {i0, 923ab3c459504e84dc0ae2094a5f4dd0}
q7: {q7, 1d9a02cda0a15984496e8f6130f871e8}
s0: {s0, fc35521b6de93730f3fcac8faa9f780a}
u4: {u4, e8b76f575626cc82e661a1b0b3a6748d}
r2: {r2, e4655cc1a2d4816bf438d2b1b3d2aea5}
e1: {e1, 452f24e9d9fae0b141344672dba1bde4}
t7: {t7, e278bfe4e86d79b9e8dc9b1489e22711}
j6: {j6, 836f288ef91dc2656d5acfe6b39593cb}
androidx/appcompat/app: {androidx/appcompat/app, 032206a4a6147504f1be2203dd3c9fcc}
b7: {b7, f9d1cb8273b4c699a6057d953c170eaf}
w6: {w6, e50afd4e73b60322e0289b52de28f79e}
h: {h, c80cd9e8a426aae3187a7eb706126869}
s3: {s3, 58563192897a93b3646afe4ed06f8567}
x4: {x4, b9598f125351729e4fbca555401208e3}
c7: {c7, 37f04797d41d8de8ea64d2ef57f2d007}
p0: {p0, 4c079595c53cba56c83e857e7f7d9209}
p: {p, f169d701861bf0ae1737b398427ecaa1}
androidx/emoji2/text: {androidx/emoji2/text, ee1e95feebb866698bbdd3c1b8ab3669}
z0: {z0, f4ddc03edf61686fb92f41ecaaeb8ad6}
a0: {a0, 3d9295c3b189e9906d731f3c751537ce}
h0: {h0, 1a8ac5a1e04669033250c010f733f6ee}
i6: {i6, 6c4efd15f1dbf4e578fa5eab63e1146f}
g4: {g4, 4012fe7c6e1e50998fc7d22cdf4c0c9e}
l6: {l6, 3c2e24e85f01428a0950f7eb3a3d9465}
u6: {u6, 32216cf3fea9ffc007e1ed9d40465197}
k7: {k7, 98d6e545f7eb7be3a89baa6d62feb13f}
o7: {o7, 54040087de31d23e8ae4bc06085f05c8}
m0: {m0, 3b44864873ebe64be79ad160fbbad293}
b6: {b6, dadd211f55e4957f091065c35c729a38}
v4: {v4, f468a8b6d8e51c0e98a70bbf8dd7d96c}
f6: {f6, 28c0c7041000df788474b1265bac8e21}
j7: {j7, aeb834fb627f841fd4233a70c6e3f838}
c6: {c6, 9fcaa96c76a5b08074b929f7ad5e045f}
b2: {b2, c938b7df47605f58a8b3a41d454ed434}
y2: {y2, 73743860e2ae5b28b52f017d3effc5b1}
x5: {x5, 25c52ecf4a117e1ad70e408b0d61d2d8}
d5: {d5, c3b8f77f1b70de2941be57e2be4b142c}
i: {i, a683485e50ab404863d85b2f66c9fbc3}
p1: {p1, 609b36d7726b09d75d5f90b331618de2}
s2: {s2, 93da465b7d9c5cd46383c38476abd09c}
g7: {g7, 6cc8d39ea61f86e1c89f5e838ccca75f}
l0: {l0, cd720301c884853e19673fa03f84dd0f}
h1: {h1, 99ea3528a2e4e37461c3be18b0887209}
n4: {n4, 2950997e1e765b30a76b11df00d26703}
b4: {b4, cb87b197b9af55b6b4952f1ffae58d9d}
o1: {o1, feab8771758c97482125bd46f60d63d7}
i5: {i5, 473e1ae7c31eee4394696d564c5f6584}
kotlinx/coroutines/internal: {[kotlinx/coroutines/internal, kotlinx/coroutines/scheduling, ], 78846cd525927db09d13fcad621c4ef8}
v5: {v5, 542dd9699021b2a489ba6c7d8f6e4a23}
a: {a, 34ef9e1607c57420e235a1605016640f}
q: {q, 982d046c29e8a856ec166c6ddc6fefaf}
l7: {l7, 1ab584ceb6958f047eaac1bca64fb5b4}
t1: {t1, be61d3014a5c1f87740edb2697816514}
androidx/versionedparcelable: {androidx/versionedparcelable, 9d566c8bb72bf85d0f4cf8e4e857ebc9}
o6: {o6, 40b355d1a8a50b1a2eb6e130b393cb2e}
m7: {m7, 970334a8c9cbf9ad83cf26ab0a42857c}
j4: {j4, 2ca95f6970b6ef54fa56ce5f785e4e64}
w1: {w1, 380f44de52f35b5e90b4a40b08398638}
coil/util: {coil/util, ab8d94f678b192bdbb3a16c066b0ebbc}
e7: {e7, 0e4df4f296321d338171cc532d45c164}
x: {x, a21ec105fabef0df7d8b5efad948fb61}
u5: {u5, fe4c44eb6562a81043f09636ccdd6757}
k6: {k6, 23ad80e93758d7ca540009075fd28d70}
r0: {r0, f3fe5ba735ed3e69bff4f52051784c68}
