androidx/appcompat: {androidx/appcompat, d6455f2d060022b953b6db8ec80a4c3c}
okio: {okio, 566f1825d343fe11200a34b7374788a7}
dagger/internal: {dagger/internal, 64d8a311a77928783a58b37c3437e0d2}
androidx/slidingpanelayout: {androidx/slidingpanelayout, e426a15115aacceef132ef0dcda9641a}
androidx/drawerlayout: {androidx/drawerlayout, 6b14bc737854edd87f4885706f23fb5d}
androidx/legacy/coreui: {androidx/legacy/coreui, e97521e81a9f1d37da0597160bf5ab00}
androidx/viewpager: {androidx/viewpager, 5c6a428df6532f6761d17e9f5809e324}
androidx/webkit: {androidx/webkit, e99ce27ec4d7adadeb6881ffdc3e3e4f}
androidx/arch/core: {androidx/arch/core, 4aedd1b836e501b0e82521ff6824fb7f}
androidx/legacy/content: {androidx/legacy/content, 6f17542208ee49d01c4f55a89a691e19}
androidx/cardview: {androidx/cardview, 74ebf48089f5668f00fd35daf374fb0a}
androidx/concurrent/futures: {androidx/concurrent/futures, cf37114e4cb9a198887d55ffd44c9e64}
retrofit2: {retrofit2, 753e45fc05c5a8ccad5ce97b98a951c8}
kotlin/collections: {kotlin/collections, 28570cc7081015bf2324cceddc5dc961}
pl/pola_app: {pl/pola_app, de2d1f2cfa8d1ab39db6768d492c99b2}
androidx/fragment: {androidx/fragment, 72ab2001e4e0382f3d945f66a570b2f3}
butterknife: {butterknife, 955be3792647357cf68b0c1b2f0c92e8}
kotlin: {kotlin, f3ec5ecc89fee0933a1a824e2a39cc27}
androidx/legacy/coreutils: {androidx/legacy/coreutils, da1c5c0e9e4d4de1ee6852a39fa1fee1}
okhttp3/logging: {okhttp3/logging, 7981fc6d31c55d46698ca7d896409ea8}
com/google/firebase: {[com/google/firebase, com/google/android, ], ee05d8292ceb7642815d969c4d12dd03}
androidx/legacy/app: {androidx/legacy/app, 062cdfa6acbd2876b4c02bb6b6404f04}
kotlin/time: {kotlin/time, 858c9ffcf2e784c497f5cefffbb0ceb9}
retrofit2/converter/gson: {retrofit2/converter/gson, 7ce0e00c63c4a73aa9789c1610baefd1}
javax/inject: {javax/inject, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/print: {androidx/print, 60bf5c11bd96ef5e4ddd65374fd1cb0c}
androidx/legacy/v4: {androidx/legacy/v4, e97521e81a9f1d37da0597160bf5ab00}
kotlin/ranges: {kotlin/ranges, 798addff274e0bf40c490a7ca7d3d93a}
androidx/tracing: {androidx/tracing, 1691b9585cc135c6595781ab31216573}
com/google/gson: {com/google/gson, 2c703ada23bf207c89b589dab4468f9b}
androidx/customview: {androidx/customview, ee90bbac21b5d0cead2d93cc52a21fea}
org/intellij/lang: {org/intellij/lang, 72031a0fa55a4d161f71e493a97c6296}
