androidx/appcompat: {androidx/appcompat, 88f8cc258fd195abe0a59cb67eda9bf4}
androidx/legacy/content: {androidx/legacy/content, afc26ca326b4075d07bfd31afbca758d}
androidx/savedstate: {androidx/savedstate, b514f181a8627d046c247a1209cb2e98}
okhttp3/internal: {okhttp3/internal, 849dcff1c0c69afe3ff99c7953815af3}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 7c24dee5a6343a68641ddaf9baa90bad}
org/commonmark: {org/commonmark, d6c998069b4720e4bd86d26d8983a01b}
androidx/window/core: {androidx/window/core, fc7b92df1156b73de02a1c51b5cdc340}
kotlin/ranges: {kotlin/ranges, d19be04866c0351a05b4faab5c87b664}
androidx/tracing: {androidx/tracing, 51ae78ed779db0d7975c162bad136cbf}
org/threeten/bp: {org/threeten/bp, a341f56539f9068065da7b31f10de82c}
androidx/startup: {androidx/startup, 2b8a96a2970587a91d9bd3483c5d5582}
kotlin/comparisons: {kotlin/comparisons, 6839ce50b25edcf0eb43344c1137f45c}
okio: {okio, ccd7c7a3e92789c88e8788b855f81a65}
androidx/recyclerview: {androidx/recyclerview, 3d947a09e263835f66517ffb8a481e1e}
androidx/customview/view: {androidx/customview/view, b5cdfa065e3a3b75a289919ef247c136}
info/metadude/android: {info/metadude/android, ca5f2844407af6aec5349dff06fd96ac}
io/noties/markwon: {io/noties/markwon, 749a2447b0d1cdae2c4e39b2f95371a1}
kotlin/jvm: {kotlin/jvm, 31fcf6b681e67403674daf4c791cf7a7}
androidx/loader/app: {androidx/loader/app, 658bab1d07315dbbc3d60d0efe14b3da}
