androidx/appcompat: {androidx/appcompat, 003f860574b60f393ebfb1b6f13ed7a1}
kotlin/coroutines: {kotlin/coroutines, fe5377e8f34cc41a94d36cfc42aaec7a}
kotlin/math: {kotlin/math, e2a44a7518ebb855cc8ed64ec851eb86}
kotlin/text: {kotlin/text, c4281b7c3c8aa0c8496854a850ca13d4}
jp/tomorrowkey/android: {jp/tomorrowkey/android, 37d6c5e571dcba09958323f8e7c4791a}
androidx/exifinterface/media: {androidx/exifinterface/media, 246267235cd787e5931b8b801a95e086}
androidx/versionedparcelable: {androidx/versionedparcelable, 78c9ddac58f2cd0aeae9b7f5937fe8de}
okhttp3: {okhttp3, e5dda2c350e44a0ad3fe67ece3e49f0c}
androidx/startup: {androidx/startup, ccdecd737a40acb33d0741302e8f068b}
androidx/constraintlayout/core: {androidx/constraintlayout/core, a7adf4a3f2e317a02010a024b3d8127d}
androidx/core: {androidx/core, 69f93e01e2e478ab9949c2765ebc9bf8}
androidx/collection: {androidx/collection, 47f8f9e45a8a3359c40ad3a4868f05ff}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, b7f118564f94ea24f2a5e2528a439b71}
androidx/transition: {androidx/transition, 4f737c1be934d0fddd73b05783672457}
kotlin/random: {kotlin/random, 0835c3c998aa09b125b38bd0cf4d7453}
androidx/interpolator/view: {androidx/interpolator/view, b0482865db2a37e680b6daf0f168ea94}
okhttp3/internal/http2: {[okhttp3/internal/concurrent, okhttp3/internal/http1, okhttp3/internal/http2, ], 98b3111a72f085e1f818e1df2c175688}
androidx/customview/view: {androidx/customview/view, 3519a534826bdd9a48bb916cd42dda1c}
kotlinx/serialization: {kotlinx/serialization, c07673e092380d51c264202939938098}
androidx/cardview: {androidx/cardview, 070eba0b4092ac790ca8e250759da0db}
androidx/compose/animation: {androidx/compose/animation, 2429198e06e29a5a4e3116951ff2d6e3}
androidx/arch/core: {androidx/arch/core, a828cceff0018263fd6386548cfd77c8}
androidx/media: {androidx/media, 055060f02931a9ae16de0aeea4e5bdc4}
okhttp3/internal/http: {[okhttp3/internal/http, okhttp3/internal/connection, ], e8bfe9a651120a3332279532f92a44e7}
kotlinx/coroutines: {kotlinx/coroutines, fa6d97c726d501e452239fcb3c2a3a64}
com/fasterxml/jackson: {com/fasterxml/jackson, 43cdff08b6c6af4352a8655984b36b32}
androidx/compose/ui: {androidx/compose/ui, f7394a41276c4648efc6c8b3cb16b574}
kotlinx/datetime: {kotlinx/datetime, 8704f253e9e45d2d3cefb95734495c7d}
com/google/android: {com/google/android, eba05564fb798251c0243719c0120604}
androidx/emoji2/viewsintegration: {androidx/emoji2/viewsintegration, f81020723599dcd3a07fc2ecde75ef3b}
kotlin/sequences: {kotlin/sequences, 1b62d036e107f03139827c17120bd7f2}
com/github/lzyzsd: {com/github/lzyzsd, 53fd10435c8a1b6a22107ccbf3786a45}
org/quantumbadger/redreader: {org/quantumbadger/redreader, 55c8fed5adffbaa5e4b6a2e4d55da324}
androidx/constraintlayout/compose: {androidx/constraintlayout/compose, 2d3968450d3237a99438c138bd2a037b}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, 5eb9be0a9c6fc32a21c209ab4e1f9876}
androidx/compose/runtime: {androidx/compose/runtime, a67efedb7f9c466164a9065a79aa03ae}
android/media: {android/media, c4e9eeb25e17c46354752ac4239a9772}
kotlin/time: {kotlin/time, 633b6211b96b0befd80ecc7e8a078cb8}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, 1f500759e80213233dafeeec51a987f3}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, d3ae1ddcfedcd16c5a2166c549d3b47e}
androidx/savedstate: {androidx/savedstate, b265d9364bc913fece8acead83918f1d}
okhttp3/internal: {okhttp3/internal, be58e4d062dd765656b5b018e5489d89}
org/apache/commons: {org/apache/commons, 2e14ca8b515ff244c20a2134d19e8722}
androidx/media3/ui: {androidx/media3/ui, c74bd324957a47171c0d219b944f3c71}
androidx/media3/decoder: {androidx/media3/decoder, 5e76b2b4fa02f78460bf19e97e7ee034}
kotlin/ranges: {kotlin/ranges, 570ab29a0151c5f2385fd19468df69fe}
androidx/tracing: {androidx/tracing, 75ecbb23183eea18aa18b0132be9d090}
okio/internal: {okio/internal, b3b08b4226b4d28938bb02ff214f85d6}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, 5f9ffe7db82d97105ede992e039bb48e}
androidx/concurrent/futures: {androidx/concurrent/futures, bad41213eb643544533eb2c7e9c36d58}
okio: {okio, 9792783847948c77b22876fe97a3949f}
androidx/recyclerview: {androidx/recyclerview, 472019009e5c027de96ce22caea34d5d}
com/google/common: {com/google/common, d42c52e564af2dc4d89d7578f0e16c5b}
kotlin/comparisons: {kotlin/comparisons, 2dd61fd40fc02f0dba487abd90ba64bc}
kotlin/jvm: {kotlin/jvm, a17a51b224e892a3b566af48568637ad}
androidx/customview/poolingcontainer: {androidx/customview/poolingcontainer, dfeb8c23a20731e9fbcfbf28b235fe78}
