androidx/appcompat: {androidx/appcompat, 595a06dbdd28499c541baf76127467fd}
kotlin/enums: {kotlin/enums, e8b71a8f70199176e3ae15afadeec0fb}
androidx/navigation: {androidx/navigation, 6dcd7326ba7b53f6d474449735f1580f}
kotlin/reflect: {kotlin/reflect, 784e994dcd5f7df59c99ddf92cc37916}
kotlin/text: {kotlin/text, 563496412802d3cf4b8d32585c31accd}
androidx/viewbinding: {androidx/viewbinding, 320e4a218483379fe56d033b368fe113}
androidx/versionedparcelable: {androidx/versionedparcelable, aa7df110c36807aad97defa2e4f3a21b}
coil/transition: {coil/transition, 995ae8e987f03fea3cadab916293ad41}
androidx/core: {androidx/core, b2a68d23f069dd6732584b1ce2faf300}
androidx/collection: {androidx/collection, d2e18ff290f7f61bbc4bba4732f876a0}
androidx/transition: {androidx/transition, f76eb8c5a5d4f6e8bf33a75e49213eda}
coil/request: {coil/request, a508441dff266a61d50f7a567ec4cdc8}
androidx/cursoradapter: {androidx/cursoradapter, 2685669d4dbcc65daaa9d3f10680d61e}
androidx/multidex: {androidx/multidex, e0f61341380fbf55ae675c933e6da040}
coil/base: {coil/base, a22bed6f5e073d23c03afac473510171}
coil/key: {coil/key, a5c82d3bf9db979000351080d8e167c0}
com/google/android: {com/google/android, b875b503e4e84066755a29c87ee904f4}
kotlin/jdk7: {kotlin/jdk7, 1f3424d22bf7081b247818c1fb2eebaf}
coil/target: {coil/target, 0d9b02654caaa051b418c2c55d4a116e}
androidx/viewpager2: {androidx/viewpager2, 817a8032f2eebb234f7425059fd18fbd}
androidx/documentfile: {androidx/documentfile, def8d3435fbdc1b1047e4c1d31b1ebad}
coil/singleton: {coil/singleton, 542dd9699021b2a489ba6c7d8f6e4a23}
coil/network: {coil/network, 022c8c1fb8176e7b720d44df302512d7}
androidx/recyclerview: {androidx/recyclerview, d476a48884484f8efca7ac2997f927c6}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, 711c66226de69911aa29f061c9b53a68}
androidx/dynamicanimation: {androidx/dynamicanimation, f8c92b08d7512f022f9cb76a17fbf0a6}
kotlin/jvm: {kotlin/jvm, 1f556b40755110bd6773e163c336858b}
coil/size: {coil/size, 68b36705963f052961eac03f176941a3}
kotlin/io: {kotlin/io, 8b2aaa78e9b82ae44985412bc7613a0e}
com/google/errorprone: {com/google/errorprone, 490aec19a7c612fd9bfafffb9dacde26}
androidx/profileinstaller: {androidx/profileinstaller, c4ac4edcd86d7bc60c2765dc95917a55}
androidx/loader: {androidx/loader, 82fc2e03714d644ae8ca6e697b638374}
androidx/interpolator: {androidx/interpolator, e32effd5aad27dabdd49bfe10025a181}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 26c1c81ebcfa607e14f5e7372582f16b}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 68b6b7cd9f7794226a85814ec4dd01c2}
androidx/slidingpanelayout: {androidx/slidingpanelayout, aceb0cb4e1684c38a34270af8e8d745c}
com/mikepenz/itemanimators: {com/mikepenz/itemanimators, d5d1cbc2d2bb0713cf3df26483e339fe}
coil/memory: {coil/memory, 8865fade98bf67238f724e82a761b94f}
androidx/drawerlayout: {androidx/drawerlayout, 987e4ee6a3ff40904c8285b1897fbb51}
androidx/viewpager: {androidx/viewpager, 18854554af5149ba6a9b2b68d9b5be5f}
androidx/exifinterface: {androidx/exifinterface, 50d37de5784685ea26c3ddc1e5519fc4}
coil/decode: {coil/decode, 85acced018e048cd239d654727777769}
androidx/arch/core: {androidx/arch/core, a59cadfb1f89c065a19cfef41c8e88ed}
kotlin/properties: {kotlin/properties, f99e453ff98a18eb9b59da2e80e1f42c}
kotlin/system: {kotlin/system, 1611ffd7b3fe1a7d724238ba58f76ecb}
androidx/legacy/content: {androidx/legacy/content, 07faabcafda309b615198d4b582b9cb3}
androidx/concurrent/futures: {androidx/concurrent/futures, 47c87048a950bec7c2721d6d8bff5ad1}
kotlin/collections: {kotlin/collections, 1274634fce07c270b133816f4ebd9f10}
androidx/fragment: {androidx/fragment, 61eb6bf7921df0af44297dd5f655b532}
kotlin/contracts: {kotlin/contracts, 22b9d8be7f5f1239cdf7ff3c6a091a13}
kotlin: {kotlin, bfc013fc08294cba6d45538712243081}
com/mikepenz/aboutlibraries: {[com/mikepenz/aboutlibraries, com/mikepenz/fastadapter, ], 996563e56b01d73681d4bc509be3775b}
kotlin/coroutines: {kotlin/coroutines, 23466e106d7a76d5ee7bf58312127598}
kotlin/concurrent: {kotlin/concurrent, f13b9a5c71424b486e3bd01a5ab52304}
coil/transform: {coil/transform, a978f4d8010f61dd4277088d1f3db37e}
kotlin/comparisons: {kotlin/comparisons, 61434e7dbd45b22a88ae8b98d07f5663}
androidx/legacy/coreutils: {androidx/legacy/coreutils, da1c5c0e9e4d4de1ee6852a39fa1fee1}
_COROUTINE: {_COROUTINE, 969e426354e9bf7a21a6f4cc2ba3b6be}
androidx/resourceinspection/annotation: {androidx/resourceinspection/annotation, a4bd91c515d62e517c2896e81b40cc24}
androidx/print: {androidx/print, e261ca456bbbb6e99177e5d4f1599fe4}
coil/disk: {coil/disk, c56969040ed582a9b10801ca64eead4c}
kotlin/ranges: {kotlin/ranges, d542efa9ea89cf7b967b78d568625237}
androidx/tracing: {androidx/tracing, 622e904ecb4466f446ce74c637c971ca}
coil/util: {coil/util, 8ec08236fa665b6ec200de259630c937}
androidx/customview: {androidx/customview, fc1a85f96c6f6d753fd0413ae4caf004}
