coil: {coil, f7be1fead21d6c199b27989c76ffb484}
androidx/window/embedding: {androidx/window/embedding, 5dfbcd641a4f97cdc1d0936df97ccfa7}
androidx/lifecycle: {androidx/lifecycle, a39d88c1981edd3a8c80ea1137b8b6c4}
androidx/navigation: {androidx/navigation, 2406b645ff6812797788df63c4b0873e}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, f5f057703a9d5a4cee04be8f5cb1a9e5}
androidx/core/accessibilityservice: {androidx/core/accessibilityservice, a52ede710c2863e50277fce2626a1682}
androidx/legacy/app: {androidx/legacy/app, 2833c452a376dd1d3978444220744f34}
androidx/exifinterface/media: {androidx/exifinterface/media, 41e758f10ce739c4382762267ed9518a}
androidx/versionedparcelable: {androidx/versionedparcelable, 5c9a75c5c91a079eeccbd488d144e9b6}
coil/transition: {coil/transition, 3c89777d50ee0245d8abeca64bbc3cee}
androidx/swiperefreshlayout/widget: {androidx/swiperefreshlayout/widget, 08316415c7e0f43fc42fb5369498eae1}
androidx/collection: {androidx/collection, 720e7ec426ad3c4f5b80e4a39a6745f6}
androidx/transition: {androidx/transition, 15c5886dcd70850a8fe9c78934c53a2a}
coil/request: {coil/request, 7ed18030b3ffa7f973f5d439af55a75c}
androidx/multidex: {androidx/multidex, e2a477a01399a0e4ea41a61812b3bcbf}
coil/key: {coil/key, ae9b240750b2c53f59679e8016767c89}
androidx/legacy/widget: {androidx/legacy/widget, 38cdac4bc8f6840fd8390f4f8dd7c177}
androidx/viewpager/widget: {androidx/viewpager/widget, de62f03397d6bb9a02e2f871c25ac9fe}
androidx/asynclayoutinflater/view: {androidx/asynclayoutinflater/view, e0b974f6744b8c57613f2d8519d45f96}
coil/target: {coil/target, c037e5dbb854bb629ded72b1da365dcd}
androidx/core/database: {androidx/core/database, 8a8923b91c9dd30eadb7c8cbb816096c}
androidx/core/app: {androidx/core/app, 50597fca3360e7e6bc223855958d9999}
androidx/fragment/app: {androidx/fragment/app, f0e62ca3eaaffc5ce9b910a0b229d9c5}
coil/network: {coil/network, 8038083454393f087fd8aa4dec737e71}
com/turingtechnologies/materialscrollbar: {com/turingtechnologies/materialscrollbar, d7d0cba0f680ecf913ea325a10649a99}
androidx/core/transition: {androidx/core/transition, 21535385a5db1330666bf2eac21c0989}
androidx/slidingpanelayout/widget: {androidx/slidingpanelayout/widget, 7cc11225285203bffa92ea5f34f9536b}
coil/size: {coil/size, 0ca5d5d9486832eedee15c5b26d17ae0}
androidx/viewpager2/adapter: {androidx/viewpager2/adapter, c9ffa668a563a5dcfc6bb6a111f86703}
androidx/appcompat/view: {androidx/appcompat/view, 65dc82a68e15e5d673322eb827525392}
androidx/appcompat/widget: {androidx/appcompat/widget, 366ddb435deef212a2ddca5d97b870ba}
androidx/core/text: {androidx/core/text, bcedb343676b18f51d0861af0949a7a6}
com/timehop/stickyheadersrecyclerview: {com/timehop/stickyheadersrecyclerview, 73ff27137a1ac72c669763b69d11759b}
androidx/core/math: {androidx/core/math, a01bb84adf7ac3f6922e479752bcc8e8}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, dafecac7fdb697acec7998566b9657e5}
androidx/core/net: {androidx/core/net, 0dc2b419cf56172835b647582d89dfe2}
androidx/appcompat/app: {androidx/appcompat/app, 8f4f25f3291b792b45dc19dcf3998a9d}
com/mikepenz/itemanimators: {com/mikepenz/itemanimators, 68143893c970a59964b4332e4e8128b7}
coil/memory: {coil/memory, c600513c039a44c41a2b258d3503b808}
androidx/customview/view: {androidx/customview/view, c0ffd29892542c28700ce6d54296a0b4}
androidx/loader/content: {androidx/loader/content, a1392040d3868d8712527bff628f5063}
coil/decode: {coil/decode, d68e48ef2bfde8d59febbd49b7e1f7c8}
androidx/arch/core: {androidx/arch/core, cee5cb5e8bde2b02235b00dc02689e14}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, 39677ebbf0366d18a79358958f54ed91}
androidx/legacy/content: {androidx/legacy/content, b5a4914c86492c50f740069cad1034d1}
io/reactivex: {io/reactivex, eb23ee63dbfe19392513b267aaddd6e4}
androidx/core/util: {androidx/core/util, 753b567cf1d539bf6a49215e3cd061fd}
androidx/core/location: {androidx/core/location, 9c67ecc29592578cc816cf3adc308387}
com/mikepenz/materialdrawer: {[com/mikepenz/materialdrawer, com/mikepenz/iconics, com/mikepenz/fastadapter, ], c99fe4b3aed8687ef32792a60da3d7e9}
androidx/appcompat/text: {androidx/appcompat/text, d093f3325b115a8e86fe7e7c550024aa}
androidx/concurrent/futures: {androidx/concurrent/futures, 61976e749279307938c63cd88a1d6001}
androidx/core/view: {androidx/core/view, 249adda071f0b9a4fa6270d18a0fb1ac}
androidx/tracing: {androidx/tracing, 7e11e62253d6490e6bdea39efe739b5a}
androidx/customview/widget: {androidx/customview/widget, 7772c164e0ef83b6845bba44d44bf7ab}
androidx/appcompat/resources: {androidx/appcompat/resources, 20db3dcd7a7353b3d3793a4960d8a933}
com/mikepenz/aboutlibraries: {[com/mikepenz/aboutlibraries, com/mikepenz/fastadapter, ], a9dd2523a391ec2b8f4b123a32ae377b}
androidx/core/content: {androidx/core/content, 4f5f8e65eec18a03729dc9e6aef7e550}
com/michaelflisar/dragselectrecyclerview: {com/michaelflisar/dragselectrecyclerview, 51be58f3ad5ca7a34b7e890cad162cc8}
coil/transform: {coil/transform, c639553aa42ac4f23808f650c282e8ab}
androidx/core/telephony: {androidx/core/telephony, 05cdf0e9510eeacab69cb1906b94dafc}
androidx/interpolator/view: {androidx/interpolator/view, 26aa6343424125775f70c0b829773b62}
androidx/viewpager2/widget: {androidx/viewpager2/widget, e78a281935df2aaa15f25583ee5e8d35}
androidx/coordinatorlayout/widget: {androidx/coordinatorlayout/widget, eaba593fe97de7532b3f058c72f3da41}
androidx/window/layout: {androidx/window/layout, 216c42d32de713b14077f22633abf184}
androidx/paging: {androidx/paging, 0fb01a1f29f3bf4a67f2dbab7d615822}
androidx/emoji2/viewsintegration: {androidx/emoji2/viewsintegration, aaa8af1d376a8b925d125c7c71010ee1}
androidx/appcompat/graphics: {androidx/appcompat/graphics, b80acfb69548d0840628d20afa0d76ae}
androidx/emoji2/text: {androidx/emoji2/text, ad0b616b6a56ef3c4a005e19866c5c70}
androidx/viewbinding: {androidx/viewbinding, 36f70c67e15390e860ca3c71aa495d15}
androidx/print: {androidx/print, 496539b8779b7a288d47a7ba76aae234}
coil/disk: {coil/disk, 94cd2aaf0edf1c74903e6e6e82aae3cc}
androidx/window/core: {androidx/window/core, 70cbaf779d434a63a18150b83cc25c03}
androidx/core/animation: {androidx/core/animation, de29aecd76e334c154fc738164194abd}
coil/util: {coil/util, fce3b7c68a91543f2d08902e0275f1b9}
androidx/recyclerview/widget: {androidx/recyclerview/widget, 672f15b0c0f13ddf55cbb3c3f403581a}
androidx/drawerlayout/widget: {androidx/drawerlayout/widget, 168b246537f718dd682b9954a9cf7cd4}
