p2: {p2, 76919487bdafa38921ce24cb19aef178}
androidx/media: {androidx/media, 8ee57d7681fa7ae537c8848e11ab421f}
j3: {j3, 22cd3f6994b3aff34c3bb8a1a05ea32f}
J: {J, 24f901c7086b2797a62e3b2b27a2bea1}
C1: {C1, d1c506974482f8fc21029deb452d45d4}
u2: {u2, 1ed73904918b12f60736d12036feae9d}
W2: {W2, 7fa152e447a3650d0db57264fdce4e3a}
androidx/viewpager/widget: {androidx/viewpager/widget, b1b787210bae363e6ecd2425edc8b55d}
d: {d, 5d51ab8a6a891f733a13de2264069d57}
h3: {h3, 677c11d9c40c002d6dedafee9c3c4be7}
n2: {n2, 337d07c4779a76c93e1b8d20239f65a4}
L1: {L1, b8e53056dce344f97570be5a7744cf0a}
k3: {k3, a66dd02f53b92869f974a256e4b5316b}
O2: {O2, b89042f2bf940f1ebde4fae27a12e038}
L0: {L0, 910bb45dd1704fa080b783f26a5b65cd}
l: {l, 60179cd3a615b3efe57388fc9e73962a}
S: {S, 5f35fc8aa2c3c0fe6218af449081460c}
v0: {v0, d00251ea5022303394ae0d43677466f6}
androidx/appcompat/view: {androidx/appcompat/view, e2dfa49cf42ac45fb3ce68b9bf0925af}
d2: {d2, f67b8726d99705a4a2ca77248367101a}
Y0: {Y0, 66aa2e4a3c86c5e14138b5907adb2d31}
net/tjado/passwdsafe: {[net/tjado/authorizer, net/tjado/passwdsafe, ], 215b643be2d67155db5aea4d633c094c}
q1: {q1, fb0eb26ecdfb3beb012c859877638f9f}
U0: {U0, 9750ee018c79f3494ee686fb3fde4610}
g3: {g3, 03686bf952b2f858485043604c85afef}
n0: {n0, b1d99593da555f47cb1e499fe3c60d4b}
I1: {I1, bc91f5e9e7b5b13c2755837e75dc9bb3}
D: {D, d121efcd72e3190f5f9d593e308fd49a}
b0: {b0, 4dfe44c9527f6a86a64e0f9234f9fe5e}
N2: {N2, 1dc432b193b4ce3f9f96764e53d8bb14}
m2: {m2, 384d177fda920093ab00b38fa530f005}
com/mikepenz/iconics: {com/mikepenz/iconics, ff48ffe04374c1027d79d5aad7f94d65}
L: {L, f7b504c96724aa75f99bda66f34e38be}
io/fotoapparat/view: {io/fotoapparat/view, 347a5c70c130c979ebe5093dc55ea197}
F2: {F2, 22c2413bbebb67e12c7fd00e80cb1f91}
androidx/emoji2/text: {androidx/emoji2/text, 75e24fa3d45abbc5fdc65265d5842b74}
J1: {J1, 6d5515b1a26ae7ef875c93ee2f6994a9}
K: {K, f15d177468f7085e48f7791af037a146}
D2: {D2, 3e5b916e9497655b0a5e864a98ba4d0a}
c2: {c2, 8ed0e75100490b1991a8959cd660b392}
u: {u, 50d840173b4e9a66fdb9948610095a0f}
Q1: {Q1, f9d38dc3369379d31f75aca02dd54555}
androidx/fragment/app: {androidx/fragment/app, 775ea5197283ec947aed7b1197967987}
G1: {G1, c795d76f75bea88fc66c368a1d1c5eab}
C0: {C0, 8498e013bd0552b4bccaaafd1f02df31}
j0: {j0, c48d5cdc6ac2e6fd176e9ac113921afb}
l3: {l3, 2b0f3a2b0869f887dead257140007e9a}
B2: {B2, c65754e2541a63502f215a73347b99b5}
n3: {n3, 98f8b4cdddcc3dbaa1c21ee5d8498667}
u1: {u1, 17a0492a664916f9a2db94a91df948ca}
d3: {d3, 735c84250512baeabe821ae38100ae15}
l0: {l0, 5d836e1f254f2969c53a18548c7ad249}
f3: {f3, 6ebbfc9d52f6a4e00e8eb98f66f32279}
L2: {L2, 642b2e4bbde2393ac34088f6ebfcf0ac}
k2: {k2, 7f15dc89e62e13d2321fe51e29f35ea3}
m: {m, 802474cb58c299a0d8bac23493e119d3}
e3: {e3, a3a52d347eae3f296fde5a0b44b6b1e3}
f2: {f2, b6fe301cb69540ec98ebaeff58539913}
v1: {v1, baa3aec005618fb4ab30abd08e2785a7}
b1: {b1, c71713747782db50e35f1c3e76ba2047}
q0: {q0, 1cc7706d30e51079e2a9001a1fae2a4d}
com/mikepenz/materialize: {com/mikepenz/materialize, af7fbf699fd5c858252df9b263d8c8e0}
f0: {f0, cca36798698e41728c5f10bee474cb8a}
androidx/core/app: {androidx/core/app, cedb268ccb2771f110741d2865f601bf}
I0: {I0, 6e3c991fc5ae646a786ad40c9f3fa8f5}
E: {E, 40e758839ce0f828e52f31e4c29f7fa4}
z2: {z2, f33d41a936e6f522f5de50c50931682b}
androidx/appcompat/widget: {androidx/appcompat/widget, ba34e01a993b9afe58f5c0faa7b8b10e}
m1: {m1, 0d49cab101aab3422bcbd5e23edf3c49}
M: {M, f2bf5ef9cddd1029c3ff41298090c1d5}
x2: {x2, e93b7537e5545c4971e312ea1f4843c6}
v: {v, b162da0c9227aa4d767a9a7eb40bebe8}
a2: {a2, c8eb12686477dac111426775a377c10e}
androidx/core/text: {androidx/core/text, dee1f38cab8c83d957e91ce17771e4c3}
G: {G, 94c42c1bc49fe0d4af26b04ea81dc7b2}
G0: {G0, f725f1db56774d6b9b4a73e735a51981}
w0: {w0, ca8d0e8abf90f20ddfe37774e5e984c4}
u0: {u0, 6603d7e2e500bc8f45bb1ef64ddfc7e8}
Q0: {Q0, dd5cc9263a45632bf20c88a94c498ed1}
X0: {X0, 93f99be332955a9a93697e083d81a8e3}
i1: {i1, 14e1078f9a28af25872f903c23d7d67c}
f: {f, 6e61ae61104a75ff6e914a6c0e77bb5c}
kotlinx/coroutines/android: {kotlinx/coroutines/android, 6d9ae0d76337b67dbca27ee66e98abac}
kotlinx/coroutines/scheduling: {kotlinx/coroutines/scheduling, 1598586608c46df7895c4c15b65f3b65}
T1: {T1, 29425b8852525072f8a01504a83b76a9}
n: {n, 154e491e29fdb4bad63400304896bd57}
s1: {s1, e381f6991873210ea6cc1b6be99b5314}
e2: {e2, 45bbf0f2e1b0a43500ee8c053b0ed697}
j1: {j1, 13322a8f6bb467ae1953a09835f7f1a1}
a3: {a3, ab786c3b220596a7caeae560a31fa736}
T: {T, 0ceb5f1226c5fdfe051d040ab8649f2b}
com/mikepenz/material_design_iconic_typeface_library: {com/mikepenz/material_design_iconic_typeface_library, 07e5439edc7b7aec3bbb68daa5e04ffe}
N0: {N0, f34a499b30d313a34bd64f694a1f194c}
y3: {y3, 80b6e5e8058bfb0f9793cb82ef7e2165}
F: {F, 45a7c7d070a9e7de34a2c44e2c9bf39a}
o: {o, a9284461011416c06f47f0f6e19202ca}
f1: {f1, 2784be3359a4f02f59cc698932d10b67}
a1: {a1, 957df92931b2aeea8f5626924ca07d81}
N: {N, c59c0b8fa4fa865f67fd88ddcc976922}
w: {w, 047fd4528a2f5981f445a7c91122a2fd}
S1: {S1, 73cba8742053a3074e7191846636dc29}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, 4b1041b33c862b737f2c9906e96ced4e}
x3: {x3, 90988274dc6d9229bc29b40a2efc75d0}
y: {y, 6d8a56bd75a6dcd8388aa987d8fad84b}
X1: {X1, 682b84e7ba7a4d712ab5e46fec6394d4}
g: {g, cb9224de3fd225dc3d495e464f103e30}
n1: {n1, 4c56c287fa0c97fa66d92cc27678fd60}
androidx/core/util: {androidx/core/util, dfafc31993488ff7bcd752717afb2601}
androidx/biometric: {androidx/biometric, 57c0abf1c4a7d6712bf5136c89f4d38f}
B0: {B0, 7ad7ef2971cc964a4391d005765a2d1d}
i0: {i0, edd08186665027774576a3440262a663}
M2: {M2, dbc55c864f557460aac5cbce6e83cc3d}
androidx/appcompat/app: {androidx/appcompat/app, 92a16baab653f879cf08765a094150fd}
s0: {s0, 46ce6a365c4563f441244cf65569a98e}
r2: {r2, 6cde39e6d5736df1a35764da624bdfc3}
e1: {e1, 9128eb2e6173523706cc3aacab17001d}
C2: {C2, 4875049586de8195cdfd26111cd8672b}
androidx/lifecycle: {androidx/lifecycle, 21f42a1ccd8856ba52b884a7a543ec15}
y2: {y2, 21aa1776efce349acf09447acb2578fa}
Z: {Z, 5233307f66db906e70e1c57d5b294ce0}
N1: {N1, bbcd4834deb1228262c120fba0b61fe5}
h: {h, 46ed2a85040b470c20bd28e171dd1914}
s3: {s3, 37f0e01e57d2ce9c8d6b5eef16db7201}
androidx/core/view: {androidx/core/view, b5ab6f9efecfeeeffa6d883177cd9198}
G2: {G2, 97f37d4ca723547d0ec93d3f95b113a9}
p: {p, 362afe8aacd5967da0b4c3f83fee7c46}
W1: {W1, 128a9c62e8b3ddacb9227e4602b0b6be}
S0: {S0, 1b9725086883af125a5779aa835b1c78}
z0: {z0, dddfb36c0ebaf1e9666db678566c8e98}
a0: {a0, c3daf23478740875d9154389dc95c7ec}
h0: {h0, ac45bb5415c0b2f9e0daece739472ad2}
R2: {R2, 903c915eb34a20b8f517db60923a7560}
E1: {E1, 5b3be554138546e514ef2c32202fd948}
androidx/coordinatorlayout/widget: {androidx/coordinatorlayout/widget, 48fa583d546bf483eb44157dd8cb0995}
B1: {B1, 4beb8e30621051a079f824b191142e50}
F0: {F0, 32fe8dbf4608cc5d956f6d30498680ca}
t0: {t0, 0e39b3d2c07f8afea168ee382881e66f}
P0: {P0, 0f8f7c7a078d759b24b09d6263e42100}
e0: {e0, 85d02aeaa0ae685bd01343f3acf449ef}
Z2: {Z2, 73b46992fb63814e09a56493ec760030}
M1: {M1, ba5bf7dae77466ef1a5c8d82ea859f55}
H0: {H0, 8f9264c3e1672b26cf3b47fd41220648}
r3: {r3, 3adee8687ce614f7a68b88a4f952106c}
X2: {X2, 0ef3724f44f2cfeec4be6ad74705f93b}
V: {V, 4d6fb3ee1defcaa981c0e11c495db67a}
androidx/core/content: {androidx/core/content, 41a9b2f0cd0b54c15fa152df127737fd}
A2: {A2, 899ac6c4015b09bcfbc2fa0132d03f3c}
V2: {V2, e6e9ae812c5bbb56f276e9135bb54d09}
M0: {M0, 12f7ed3e14a7b5e6766d6ff65cca3f82}
i: {i, 9c7960a58f7e37bdaaf138f5fd3c9641}
p1: {p1, 96335e3d5e50f008eafedcbcb6c17f11}
T2: {T2, b2d66c53916619f0a548b7ec5d68797a}
s2: {s2, a9b8e597031c557764db1e82fe034a9a}
W0: {W0, ae245c5d09c01835b87c95c0f40e6fb5}
E0: {E0, f29665ef07c33970508be80fa901a3ac}
q: {q, 5652b1d319ea6b25c4b33cf76789c159}
h1: {h1, deddc1cde5cda1d124c8afd9b7254d5e}
c: {c, 1e41270b032cd2b86e4e63bc6ff8ffeb}
y1: {y1, bc6c282421304d3886cbfa0dcf0c2f60}
o1: {o1, f8f596a0152268c8bc294d30c8ccdabd}
K1: {K1, 7072c9e1ea82fdf92c0fdef6017ad685}
a: {a, 01f56030aa07bf226a67d699d97f0e45}
t1: {t1, c88d1954ec92f3aaeb6f9f2d36ddf42b}
androidx/versionedparcelable: {androidx/versionedparcelable, b0b5180b07323a081fb44f977f67ec42}
P1: {P1, a65aacefecc5d79f38de43e68033e8be}
O: {O, cd7915fca0524b9b4f4d3f61f882952b}
F1: {F1, 3e4224e593c574893d0ceb979840afd1}
A1: {A1, 6ebddfcf7f28c8278d67c00d0c326689}
w1: {w1, d1010d25939825f6dffa71d8ae996503}
H1: {H1, 9d21ee995c1fbcde78db673e6d6391ca}
androidx/recyclerview/widget: {androidx/recyclerview/widget, df095a85d520071bb5fcf5714747cbbc}
x: {x, 06128056a003a6532c8e6bfbe09737d9}
O1: {O1, 31446aee0162bfbc76fb031d34832836}
r0: {r0, 7e92cc07162ebd8749960c16f97f25fa}
androidx/drawerlayout/widget: {androidx/drawerlayout/widget, d5747df6278ee233bbe472168d1d3524}
