androidx/appcompat: {androidx/appcompat, 0123417a012c7f6fd14217b777ece8c1}
com/facebook/drawee: {[com/facebook/common, com/facebook/cache, com/facebook/imageformat, com/facebook/imageutils, com/facebook/datasource, com/facebook/drawee, com/facebook/binaryresource, com/facebook/imagepipeline, ], 06e45df2df4a9d94311ee7f59179792b}
com/facebook/soloader: {com/facebook/soloader, d899e1e29328d1f8f59d6469c4bc4f4b}
androidx/savedstate: {androidx/savedstate, c24d55b6d5f0586c46d6d0ad700bb440}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 361f390c6abf2d8bd9017279871b7978}
com/esotericsoftware/reflectasm: {com/esotericsoftware/reflectasm, 5fed7364891d80c43e5db0954a53fed6}
com/facebook/nativefilters: {com/facebook/nativefilters, 0db390eeeb150a4b7e83ec8056f6ee13}
pub/devrel/easypermissions: {pub/devrel/easypermissions, acf7ef943fdeb3cbfed8dd0d8f584731}
okhttp3/internal: {okhttp3/internal, dcf52aeae4c76ae449a3fa1f1e503308}
androidx/startup: {androidx/startup, 914797f3e24a11526a9bd3440847489e}
retrofit2: {retrofit2, 5c1ede06a3cde2efc9e0d73c0e7bcbc5}
com/maksim88/passwordedittext: {com/maksim88/passwordedittext, 84ab0890cb5908396b8ca12b17a4cc65}
androidx/annotation: {androidx/annotation, 46e2f5a1d16153c1d9399ef5f5556de5}
androidx/room: {androidx/room, 28ab69d88712304eee82452a63e07683}
com/klinker/android: {com/klinker/android, 19687faf8d277fee9449c7a36298b30d}
androidx/sqlite/db: {androidx/sqlite/db, 68efa6772dff081abfbb29d56b231154}
androidx/lifecycle: {androidx/lifecycle, 4dd7f1f34cc60b924da9066f984fd78c}
org/jsoup: {org/jsoup, 90814623f91c0ccde988cba5b4ab2dcf}
androidx/legacy/app: {androidx/legacy/app, 062cdfa6acbd2876b4c02bb6b6404f04}
androidx/versionedparcelable: {androidx/versionedparcelable, 8f35a69caa7c8771cf3096494e80f2b1}
okhttp3: {okhttp3, 53a8687cac042a90fb13a7912ca6d2da}
androidx/core: {androidx/core, ca8f78189959e1402eba3d205dcf487e}
androidx/collection: {androidx/collection, 53545eaaf0308eddad921106f5b4eb14}
androidx/transition: {androidx/transition, e135636bdd0895dc9cf88aa8aed072cc}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, da87e1309ecf1a175c5c0a8df067da38}
androidx/cursoradapter: {androidx/cursoradapter, 383d520a11b62a6e28bfcf6810337e95}
androidx/multidex: {androidx/multidex, 7a68c34f61e41ff8624bb49764f1953c}
androidx/legacy/widget: {androidx/legacy/widget, 82049910e9994fb88dab5c38292b7abd}
androidx/media: {androidx/media, 9d6920bd7efdac108bf58630d34d9f53}
androidx/legacy/preference: {androidx/legacy/preference, fb43adbfb1fccba97e064cab83058ba9}
com/zfdang: {com/zfdang, d387f2bac0639f0a374148e35f2d34fb}
com/mikepenz/iconics: {com/mikepenz/iconics, 109e6345286334e5c9b90b81db46ba02}
retrofit2/adapter/rxjava2: {retrofit2/adapter/rxjava2, 95f231c5bce75e55ad7875c5de8c59eb}
androidx/viewpager2: {androidx/viewpager2, df57d617c13fc20141608bf6e4528434}
androidx/documentfile: {androidx/documentfile, 40d9ee9b6be100fdd435620e6bd88193}
androidx/recyclerview: {androidx/recyclerview, 2787003a55c1bb3452fb694d503169ad}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, be7b95b5e936d11ecd049cd3794356cb}
androidx/dynamicanimation: {androidx/dynamicanimation, 1f9a5d45e51b6a7477a6151da88f6e7b}
okhttp3/internal/cache: {[okhttp3/internal/io, okhttp3/internal/cache, ], 017c3dbc5d843dbc1091c27d70cb5cb9}
com/readystatesoftware/sqliteasset: {com/readystatesoftware/sqliteasset, afd6451c40bc87500e9c9a1081b8d5f2}
com/oguzdev/circularfloatingactionmenu: {com/oguzdev/circularfloatingactionmenu, ddd6ac7fedab3ce2475ecafb920606fc}
androidx/loader: {androidx/loader, 4bd754190be5b8a02f5a541bf0cb3a66}
androidx/interpolator: {androidx/interpolator, 9520954530ce7215903ebf692e2215c5}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 647ac94efd6effb15b0f18fbb4eea173}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 3af32e239c2835ac2bd0c7386fe79949}
androidx/slidingpanelayout: {androidx/slidingpanelayout, e426a15115aacceef132ef0dcda9641a}
com/wx/wheelview: {com/wx/wheelview, 8893b1ff9f671aab722e5317b7aa8497}
androidx/drawerlayout: {androidx/drawerlayout, 6b14bc737854edd87f4885706f23fb5d}
androidx/legacy/coreui: {androidx/legacy/coreui, e97521e81a9f1d37da0597160bf5ab00}
androidx/viewpager: {androidx/viewpager, 5c6a428df6532f6761d17e9f5809e324}
androidx/arch/core: {androidx/arch/core, 4aedd1b836e501b0e82521ff6824fb7f}
com/facebook/imagepipelinebase: {com/facebook/imagepipelinebase, 0db390eeeb150a4b7e83ec8056f6ee13}
com/facebook/widget: {com/facebook/widget, 3bde6ded9ca0ee46d8b8d1577ebc0642}
androidx/legacy/content: {androidx/legacy/content, 6f17542208ee49d01c4f55a89a691e19}
io/reactivex: {io/reactivex, 28eacf60516071c077b87c37bd5326d9}
com/facebook/drawable: {com/facebook/drawable, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/concurrent/futures: {androidx/concurrent/futures, 545abb1aed1b0f5be5c504018e2271be}
com/facebook/webpsupport: {com/facebook/webpsupport, 6443c49180524c2ab1829e5032bb88f1}
com/facebook/animated: {[com/facebook/common, com/facebook/cache, com/facebook/imageformat, com/facebook/imageutils, com/facebook/datasource, com/facebook/binaryresource, com/facebook/imagepipeline, com/facebook/animated, ], 936efb482ce3bb43218c3f324b825618}
com/facebook/nativeimagetranscoder: {com/facebook/nativeimagetranscoder, 0db390eeeb150a4b7e83ec8056f6ee13}
androidx/inspection/work: {androidx/inspection/work, 542dd9699021b2a489ba6c7d8f6e4a23}
androidx/fragment: {androidx/fragment, 72ab2001e4e0382f3d945f66a570b2f3}
org/junit: {org/junit, bd4f70afd41a572d26986ceb0b87a9c1}
com/readystatesoftware/android: {com/readystatesoftware/android, 542dd9699021b2a489ba6c7d8f6e4a23}
com/mikepenz/aboutlibraries: {[com/mikepenz/aboutlibraries, com/mikepenz/fastadapter, ], 3699574db5d7ae69dfd35a8a9f6cd948}
retrofit2/converter/scalars: {retrofit2/converter/scalars, 2478b1d995bed505bb9116a921c646a3}
bolts: {bolts, ed4be08f9b90e6ef5151a1162c2724bd}
androidx/legacy/coreutils: {androidx/legacy/coreutils, da1c5c0e9e4d4de1ee6852a39fa1fee1}
okio: {okio, 9a4c254afeda95ba3e2772db342cb128}
androidx/work: {androidx/work, 21174ddd496ae1a96c30dac129d73c00}
com/scwang/smart: {com/scwang/smart, 04d09e2fe9e30b3ecfa57b1c0bb150ed}
androidx/print: {androidx/print, 60bf5c11bd96ef5e4ddd65374fd1cb0c}
androidx/legacy/v4: {androidx/legacy/v4, e97521e81a9f1d37da0597160bf5ab00}
androidx/tracing: {androidx/tracing, 1691b9585cc135c6595781ab31216573}
com/github/chrisbanes: {com/github/chrisbanes, 7adbac5182f1902af47c9122e6fa3470}
com/google/gson: {com/google/gson, 5349802978aa0c93d916de4e1788fff5}
androidx/customview: {androidx/customview, ee90bbac21b5d0cead2d93cc52a21fea}
okhttp3/logging: {okhttp3/logging, a59a589a9e2f8f7413a490a05adf4b81}
