androidx/appcompat: {androidx/appcompat, ac88be374cdea81258c72d87b0e7b304}
com/github/mrindeciso: {com/github/mrindeciso, 4de5d7b81e12b5478632ba63e2c43b47}
androidx/drawerlayout: {androidx/drawerlayout, 30255700177572ccf64342f616a74ba2}
androidx/legacy/coreui: {androidx/legacy/coreui, e97521e81a9f1d37da0597160bf5ab00}
androidx/viewpager: {androidx/viewpager, 45de159bcd9368611789a3e5713b6c38}
com/squareup/moshi: {com/squareup/moshi, 65b495a04cea80273433f4415d0e5d7b}
org/koin/android: {[org/koin/android, org/koin/core, ], 020eb29b524d7ba672d9d48bc72db455}
kotlinx/android/extensions: {kotlinx/android/extensions, 39e7fa8342d8a0a13a4b676b8c90cc42}
androidx/arch/core: {androidx/arch/core, 069c88c89cdd45634db883da3bd946d8}
kotlin/properties: {kotlin/properties, 7c13d3b2328235ee63749f8e62c9e353}
okhttp3/internal: {okhttp3/internal, 4768d715c70a3828c69527e3c7af4509}
kotlin/system: {kotlin/system, 1611ffd7b3fe1a7d724238ba58f76ecb}
androidx/legacy/content: {androidx/legacy/content, 1b9fc79b5e2ab9f8b67bba853d17e558}
okio/internal: {okio/internal, 5fd683a8630208cdf31dcc10b779debb}
kotlin/collections: {kotlin/collections, 36b25245700f1d9e889581d856ab13ae}
androidx/fragment: {androidx/fragment, 7db01e352dcec555605aba98464b86af}
org/commonvoice/saverio: {[org/commonvoice/saverio, org/commonvoice/saverio_lib, ], 6993c087b7782391164baf4ae3d7b395}
kotlin/contracts: {kotlin/contracts, 713173a8325aa1bfa39464429d6f3e25}
androidx/tracing: {androidx/tracing, e5d0e05179ef73aa5986c017dde92553}
kotlin: {kotlin, ee6f095ed2598809f14953eb47da06f1}
kotlin/coroutines: {kotlin/coroutines, 6265f6346fdceed3ecf5b61266fa2b35}
kotlin/concurrent: {kotlin/concurrent, ef42c819ccf1aabcfcaf5c16e3003eeb}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, 8af7b6125fb907636bed54563d4be768}
okhttp3/internal/http2: {[okhttp3/internal/concurrent, okhttp3/internal/http2, ], 0a58ba5cec097fe112e2461a65cae3cb}
androidx/legacy/coreutils: {androidx/legacy/coreutils, da1c5c0e9e4d4de1ee6852a39fa1fee1}
okio: {okio, bc8d02b95fd467a050d2bc466d50c6ba}
androidx/work: {androidx/work, 957e33d7cf4e3ed69d4126f873b101d0}
kotlin/text: {kotlin/text, da50660ac0a1e355878ff6950a400238}
kotlin/time: {kotlin/time, 3332b1b11747f4b21c8632d473c19989}
androidx/print: {androidx/print, 5f2713fc2008f1c9e0ca6c4bc81dbac3}
androidx/constraintlayout/solver: {androidx/constraintlayout/solver, 77bfce1ae30a7ca9e99920a75d9b8a5a}
androidx/legacy/v4: {androidx/legacy/v4, e97521e81a9f1d37da0597160bf5ab00}
kotlin/ranges: {kotlin/ranges, 028daeab183f1b26c4ac7c3bb9bdd25a}
androidx/inspection/work: {androidx/inspection/work, 542dd9699021b2a489ba6c7d8f6e4a23}
kotlinx/android/parcel: {kotlinx/android/parcel, 68a4aec0ffe8e9cc9b5e8e7f7097caed}
org/koin/androidx: {[org/koin/core, org/koin/androidx, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/customview: {androidx/customview, b5f4957107a5bd0018a35d0cad231914}
okhttp3/logging: {okhttp3/logging, 92b2a214a34b809a0b324e6869bfb38b}
