androidx/appcompat: {androidx/appcompat, e35813db56f5a7d1e30d220e36a812b1}
androidx/window/core: {androidx/window/core, fc7b92df1156b73de02a1c51b5cdc340}
kotlin/ranges: {kotlin/ranges, d94a4a0492fd6d8bbe0744505401c42b}
androidx/tracing: {androidx/tracing, 51ae78ed779db0d7975c162bad136cbf}
org/threeten/bp: {org/threeten/bp, 29d74969b90d9c6b1ec3a6a45e4ea680}
androidx/startup: {androidx/startup, 2b8a96a2970587a91d9bd3483c5d5582}
kotlin/comparisons: {kotlin/comparisons, 6839ce50b25edcf0eb43344c1137f45c}
okio: {okio, ccd7c7a3e92789c88e8788b855f81a65}
androidx/recyclerview: {androidx/recyclerview, 901d5758744e4e461f25013fbd5ff001}
androidx/customview/view: {androidx/customview/view, b5cdfa065e3a3b75a289919ef247c136}
info/metadude/android: {info/metadude/android, 40504bf43da56c20316663720da72555}
io/noties/markwon: {io/noties/markwon, 749a2447b0d1cdae2c4e39b2f95371a1}
kotlin/jvm: {kotlin/jvm, ff6e17814cff6aa1ed82bee08a5e579a}
androidx/loader/app: {androidx/loader/app, 3d54e00d2f51c28a85b6bd60ed677889}
